PERMNO,date,TICKER,COMNAM,TSYMBOL,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,DISTCD,DIVAMT,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,OPENPRC,NUMTRD,RETX
15544,1963-05-08,MS,MCCRORY CORP,,,,,,,,,,,,,,,,13.25000,13.62500,13.37500,3200,0.009434,,,5279,,,0.009434
15544,1963-05-09,MS,MCCRORY CORP,,,,,,,,,,,,,,,,13.25000,14.00000,13.50000,3500,0.009346,,,5279,,,0.009346
15544,1963-05-10,MS,MCCRORY CORP,,,,,,,,,,,,,,,,13.37500,13.75000,13.37500,3500,-0.009259,,,5279,,,-0.009259
15544,1963-05-13,MS,MCCRORY CORP,,,,,,,,,,,,,,,,13.25000,13.75000,13.25000,5100,-0.009346,,,5279,,,-0.009346
15544,1963-05-14,MS,MCCRORY CORP,,,,,,,,,,,,,,,,12.87500,13.12500,12.87500,6500,-0.028302,,,5279,,,-0.028302
15544,1963-05-15,MS,MCCRORY CORP,,,,,,,,,,,,,,,,12.50000,13.00000,12.62500,8700,-0.019417,,,5279,,,-0.019417
15544,1963-05-16,MS,MCCRORY CORP,,,,,,,,,,,,,,,,12.00000,12.62500,12.12500,10700,-0.039604,,,5279,,,-0.039604
15544,1963-05-17,MS,MCCRORY CORP,,,,,,,,,,,,,,,,11.37500,12.37500,12.37500,17800,0.020619,,,5279,,,0.020619
15544,1963-05-20,MS,MCCRORY CORP,,,,,,,,,,,,,,,,12.50000,13.12500,12.87500,12500,0.040404,,,5279,,,0.040404
15544,1963-05-21,MS,MCCRORY CORP,,,,,,,,,,,,,,,,12.75000,13.50000,13.50000,9000,0.048544,,,5279,,,0.048544
15544,1963-05-22,MS,MCCRORY CORP,,,,,,,,,,,,,,,,14.00000,15.25000,14.50000,25800,0.074074,,,5279,,,0.074074
15544,1963-05-23,MS,MCCRORY CORP,,,,,,,,,,,,,,,,14.50000,15.00000,14.50000,9900,0.000000,,,5279,,,0.000000
15544,1963-05-24,MS,MCCRORY CORP,,,,,,,,,,,,,,,,14.50000,15.25000,14.87500,12100,0.025862,,,5279,,,0.025862
15544,1963-05-27,MS,MCCRORY CORP,,,,,,,,,,,,,,,,14.00000,15.12500,14.62500,11600,-0.016807,,,5279,,,-0.016807
15544,1963-05-28,MS,MCCRORY CORP,,,,,,,,,,,,,,,,15.00000,15.25000,15.00000,5800,0.025641,,,5279,,,0.025641
15544,1963-05-29,MS,MCCRORY CORP,,,,,,,,,,,,,,,,13.62500,15.00000,14.50000,5100,-0.033333,,,5279,,,-0.033333
15544,1963-05-31,MS,MCCRORY CORP,,,,,,,,,,,,,,,,13.87500,14.62500,13.87500,4200,-0.043103,,,5279,,,-0.043103
15544,1963-06-03,MS,MCCRORY CORP,,,,,,,,,,,,,,,,13.37500,13.87500,13.62500,3400,-0.018018,,,5279,,,-0.018018
15544,1963-06-04,MS,MCCRORY CORP,,,,,,,,,,,,,,,,13.50000,13.50000,13.50000,700,-0.009174,,,5279,,,-0.009174
15544,1963-06-05,MS,MCCRORY CORP,,,,,,,,,,,,,,,,13.00000,13.25000,13.12500,4200,-0.027778,,,5279,,,-0.027778
15544,1963-06-06,MS,MCCRORY CORP,,,,,,,,,,,,,,,,13.25000,13.75000,13.75000,1100,0.047619,,,5279,,,0.047619
15544,1963-06-07,MS,MCCRORY CORP,,,,,,,,,,,,,,,,13.75000,14.37500,13.75000,3300,0.000000,,,5279,,,0.000000
15544,1963-06-10,MS,MCCRORY CORP,,,,,,,,,,,,,,,,13.62500,14.25000,13.62500,3500,-0.009091,,,5279,,,-0.009091
15544,1963-06-11,MS,MCCRORY CORP,,1963-05-03,,,,,1963-06-28,1963-06-14,1232,0.20000,,,,,,12.87500,13.37500,13.12500,4100,-0.022018,,,5279,,,-0.036697
15544,1963-06-12,MS,MCCRORY CORP,,,,,,,,,,,,,,,,13.00000,13.25000,13.12500,2500,0.000000,,,5279,,,0.000000
15544,1963-06-13,MS,MCCRORY CORP,,,,,,,,,,,,,,,,12.75000,13.00000,12.75000,3000,-0.028571,,,5279,,,-0.028571
15544,1963-06-14,MS,MCCRORY CORP,,,,,,,,,,,,,,,,12.37500,12.87500,12.50000,5000,-0.019608,,,5279,,,-0.019608
15544,1963-06-17,MS,MCCRORY CORP,,,,,,,,,,,,,,,,12.50000,12.87500,12.75000,2900,0.020000,,,5279,,,0.020000
15544,1963-06-18,MS,MCCRORY CORP,,,,,,,,,,,,,,,,12.62500,12.87500,12.62500,1000,-0.009804,,,5279,,,-0.009804
15544,1963-06-19,MS,MCCRORY CORP,,,,,,,,,,,,,,,,12.62500,12.87500,12.62500,1100,0.000000,,,5279,,,0.000000
15544,1963-06-20,MS,MCCRORY CORP,,,,,,,,,,,,,,,,12.62500,12.75000,12.75000,2400,0.009901,,,5279,,,0.009901
15544,1963-06-21,MS,MCCRORY CORP,,,,,,,,,,,,,,,,12.62500,12.75000,12.62500,2800,-0.009804,,,5279,,,-0.009804
15544,1963-06-24,MS,MCCRORY CORP,,,,,,,,,,,,,,,,12.50000,12.62500,12.50000,2900,-0.009901,,,5279,,,-0.009901
15544,1963-06-25,MS,MCCRORY CORP,,,,,,,,,,,,,,,,12.50000,12.50000,12.50000,1100,0.000000,,,5279,,,0.000000
