Taula 1
Wells Fargo & Company (WFC) — Interim data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
$87.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wells Fargo & Company;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WFC   949746101   2649100   NYSE    Common stock    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FactSet Fundamentals;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;30 SEP '25;30 JUN '25;31 MAR '25;31 DEC '24;30 SEP '24;30 JUN '24;31 MAR '24;31 DEC '23;30 SEP '23;30 JUN '23;31 MAR '23;31 DEC '22;30 SEP '22;30 JUN '22;31 MAR '22;31 DEC '21;30 SEP '21;30 JUN '21;31 MAR '21;31 DEC '20;30 SEP '20;30 JUN '20;31 MAR '20;31 DEC '19;30 SEP '19;30 JUN '19;31 MAR '19;31 DEC '18;30 SEP '18;30 JUN '18;31 MAR '18;31 DEC '17;30 SEP '17;30 JUN '17;31 MAR '17;31 DEC '16;30 SEP '16;30 JUN '16;31 MAR '16;31 DEC '15;30 SEP '15;30 JUN '15;31 MAR '15;31 DEC '14;30 SEP '14;30 JUN '14;31 MAR '14;31 DEC '13;30 SEP '13;30 JUN '13;31 MAR '13;31 DEC '12;30 SEP '12;30 JUN '12;31 MAR '12;31 DEC '11;30 SEP '11;30 JUN '11;31 MAR '11;31 DEC '10;30 SEP '10;30 JUN '10;31 MAR '10;31 DEC '09;30 SEP '09;30 JUN '09;31 MAR '09;31 DEC '08;30 SEP '08;30 JUN '08;31 MAR '08
;;;;PRELIM;RECAP;RECAP;RECAP;PRELIM;RECAP;RECAP;RECAP;PRELIM;RECAP;RECAP;RECAP;PRELIM;RECAP;RECAP;RECAP;PRELIM;RECAP;RECAP;RECAP;PRELIM;RECAP;RECAP;RECAP;PRELIM;RECAP;RECAP;RECAP;PRELIM;RECAP;RECAP;RECAP;PRELIM;RECAP;RECAP;RECAP;PRELIM;RECAP;RECAP;RECAP;PRELIM;RECAP;RECAP;RECAP;PRELIM;RECAP;RECAP;RECAP;PRELIM;RECAP;RECAP;RECAP;PRELIM;RECAP;RECAP;RECAP;PRELIM;RECAP;RECAP;RECAP;PRELIM;RECAP;RECAP;RECAP;PRELIM;RECAP;RECAP;RECAP
Total interest income;22.419;21.320;20.973;22.055;22.998;22.884;22.840;22.839;22.093;20.830;19.356;17.793;14.494;11.556;10.181;10.121;9.834;9.693;10.046;10.550;10.811;11.813;14.727;15.595;16.499;16.986;17.003;16.921;16.364;16.015;15.347;14.958;15.044;14.694;14.213;14.058;13.487;13.146;12.972;12.643;12.445;12.226;11.963;12.183;11.964;11.793;11.612;11.836;11.776;11.827;11.650;11.857;11.925;12.354;12.255;12.378;12.178;12.384;12.472;12.969;13.130;13.472;13.225;13.692;13.968;14.301;14.313;8.728;8.774;8.547;8.849
Trading assets;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;745;593;572;596;558;485;483;445;477;427;407;374;378;331;340;327;339;299;343;377;400;343;347;350;295;270;266;267;230;216;206;266;51;41;38;47
Investment securities;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.512;2.298;2.176;2.262;2.323;2.289;2.181;2.144;2.150;2.066;2.112;2.110;2.119;2.038;2.034;1.925;1.897;1.966;2.147;2.088;2.092;2.053;2.166;2.164;2.374;2.492;2.385;2.415;2.776;2.947;2.887;2.709;1.534;1.397;1.224;1.132
Debt securities;5.108;4.875;4.707;;4.630;4.470;4.262;;4.178;4.037;3.783;;3.043;2.702;2.563;;2.354;2.199;2.312;;2.446;2.946;3.472;;3.666;3.781;3.941;3.803;3.595;3.594;3.414;3.294;3.253;3.226;3.173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Loans held for sale;174;137;117;;129;133;114;;87;94;97;;120;126;140;;172;193;331;;239;237;209;;252;215;176;223;245;246;203;208;232;204;192;237;209;184;163;181;227;214;182;212;265;196;172;224;323;382;374;416;493;489;468;472;402;379;449;510;471;435;421;478;558;595;482;376;406;433;406
Mortgages held for sale;;;;;;;;;;;;;;;;;;;;;;;;;232;195;152;190;210;198;179;196;217;191;182;235;207;181;161;176;223;209;177;187;215;195;170;221;320;378;371;413;476;477;459;456;389;362;437;495;449;405;387;446;524;545;415;362;394;423;394
Loans held for sale excluding mortgages held for sale;;;;;;;;;;;;;;;;;;;;;;;;;20;20;24;33;35;48;24;12;15;13;10;2;2;3;2;5;4;5;5;25;50;1;2;3;3;4;3;3;17;12;9;16;13;17;12;15;22;30;34;32;34;50;67;14;12;10;12
Loans;13.924;13.573;13.357;;14.618;14.566;14.713;;14.755;14.115;13.318;;10.158;8.116;7.218;;7.057;7.095;7.201;;7.965;8.460;10.065;;10.982;11.316;11.354;11.367;11.116;10.912;10.579;10.367;10.522;10.358;10.141;10.128;9.978;9.822;9.577;9.323;9.216;9.098;8.938;9.091;8.963;8.852;8.746;8.907;8.901;8.902;8.861;9.027;9.016;9.242;9.197;9.275;9.224;9.361;9.387;9.666;9.779;10.277;10.038;10.122;10.170;10.532;10.765;6.726;6.888;6.806;7.212
Equity securities;164;150;147;;156;196;150;;152;194;170;;156;193;170;;146;132;137;;101;116;206;;247;236;210;260;280;221;231;239;186;199;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
