date,daily_return,price
1999-06-04,0.008746,64.875
1999-06-07,0.021195,66.25
1999-06-08,-0.004717,65.9375
1999-06-09,0.004739,66.25
1999-06-10,-0.000943,66.1875
1999-06-11,0.012748,67.03125
1999-06-14,-0.018182,65.8125
1999-06-15,0.022792,67.3125
1999-06-16,0.035283,69.6875
1999-06-17,0.029596,71.75
1999-06-18,0.008711,72.375
1999-06-21,-0.009499,71.6875
1999-06-22,0.000872,71.75
1999-06-23,-0.016551,70.5625
1999-06-24,-0.022144,69.0
1999-06-25,0.019928,70.375
1999-06-28,0.015986,71.5
1999-06-29,0.020979,73.0
1999-06-30,0.004281,73.3125
1999-07-01,0.016198,74.5
1999-07-02,-0.000839,74.4375
1999-07-06,0.009236,75.125
1999-07-07,-0.002496,74.9375
1999-07-08,0.00417,75.25
1999-07-09,-0.009967,74.5
1999-07-12,0.001678,74.625
1999-07-13,-0.010888,73.8125
1999-07-14,0.001693,73.9375
1999-07-15,0.010144,74.6875
1999-07-16,0.010879,75.5
1999-07-19,-0.019868,74.0
1999-07-20,-0.030405,71.75
1999-07-21,-0.033972,69.3125
1999-07-22,0.000902,69.375
1999-07-23,-0.010811,68.625
1999-07-26,0.017304,69.8125
1999-07-27,0.006267,70.25
1999-07-28,-0.003559,70.0
1999-07-29,-0.023214,68.375
1999-07-30,-0.029251,66.375
1999-08-02,-0.012241,65.5625
1999-08-03,-0.014299,64.625
1999-08-04,-0.021277,63.25
1999-08-05,-0.003953,63.0
1999-08-06,-0.045635,60.125
1999-08-09,0.008316,60.625
1999-08-10,-0.006186,60.25
1999-08-11,0.020228,61.46875
1999-08-12,-0.013727,60.625
1999-08-13,0.034021,62.6875
1999-08-16,-0.002991,62.5
1999-08-17,0.034,64.625
1999-08-18,0.009671,65.25
1999-08-19,-0.015326,64.25
1999-08-20,0.015564,65.25
1999-08-23,0.020115,66.5625
1999-08-24,0.004695,66.875
1999-08-25,-0.011215,66.125
1999-08-26,-0.034027,63.875
1999-08-27,-0.001957,63.75
1999-08-30,-0.057843,60.0625
1999-08-31,0.007284,60.5
1999-09-01,-0.003926,59.8125
1999-09-02,-0.012539,59.0625
1999-09-03,0.055027,62.3125
1999-09-07,-0.026078,60.6875
1999-09-08,-0.021627,59.375
1999-09-09,-0.024211,57.9375
1999-09-10,0.023733,59.3125
1999-09-13,-0.002107,59.1875
1999-09-14,-0.045407,56.5
1999-09-15,-0.017699,55.5
1999-09-16,0.003378,55.6875
1999-09-17,0.004489,55.9375
1999-09-20,-0.002235,55.8125
1999-09-21,-0.025756,54.375
1999-09-22,-0.016092,53.5
1999-09-23,0.022196,54.6875
1999-09-24,0.056,57.75
1999-09-27,-0.03355,55.8125
1999-09-28,0.005599,56.125
1999-09-29,-0.03118,54.375
1999-09-30,0.024138,55.6875
1999-10-01,-0.006734,55.3125
1999-10-04,0.037288,57.375
1999-10-05,0.006536,57.75
1999-10-06,0.019481,58.875
1999-10-07,-0.037155,56.6875
1999-10-08,-0.012128,56.0
1999-10-11,-0.033482,54.125
1999-10-12,-0.010393,53.5625
1999-10-13,-0.031505,51.875
1999-10-14,-0.016868,51.0
1999-10-15,-0.055147,48.1875
1999-10-18,0.028534,49.5625
1999-10-19,0.079445,53.5
1999-10-20,0.021028,54.625
1999-10-21,0.005721,54.9375
1999-10-22,0.069397,58.75
1999-10-25,-0.008511,58.25
1999-10-26,0.001073,58.3125
1999-10-27,0.04716,61.0625
1999-10-28,0.048106,64.0
1999-10-29,0.006836,64.4375
1999-11-01,0.00679,64.875
1999-11-02,-0.009634,64.25
1999-11-03,-0.019455,63.0
1999-11-04,0.007937,63.5
1999-11-05,0.024606,65.0625
1999-11-08,0.014409,66.0
1999-11-09,-0.03125,63.9375
1999-11-10,0.000978,64.0
1999-11-11,-0.015625,63.0
1999-11-12,0.055556,66.5
1999-11-15,-0.011278,65.75
1999-11-16,0.026616,67.5
1999-11-17,-0.013889,66.5625
1999-11-18,-0.01784,65.375
1999-11-19,-0.003824,65.125
1999-11-22,-0.017275,64.0
1999-11-23,-0.021484,62.625
1999-11-24,-0.041916,60.0
1999-11-26,0.008333,60.5
1999-11-29,-0.058884,56.9375
1999-11-30,0.027442,58.5
1999-12-01,-0.002137,57.875
1999-12-02,-0.025918,56.375
1999-12-03,0.018847,57.4375
1999-12-06,-0.042437,55.0
1999-12-07,-0.045455,52.5
1999-12-08,-0.038095,50.5
1999-12-09,0.008663,50.9375
1999-12-10,0.052761,53.625
1999-12-13,-0.018648,52.625
1999-12-14,-0.028504,51.125
1999-12-15,-0.025672,49.8125
1999-12-16,0.007528,50.1875
1999-12-17,-0.032379,48.5625
1999-12-20,-0.011583,48.0
1999-12-21,0.027344,49.3125
1999-12-22,-0.016477,48.5
1999-12-23,0.018041,49.375
1999-12-27,-0.007595,49.0
1999-12-28,0.006378,49.3125
1999-12-29,0.011407,49.875
1999-12-30,0.016291,50.6875
1999-12-31,-0.009864,50.1875
2000-01-03,-0.034869,48.4375
2000-01-04,-0.059355,45.5625
2000-01-05,0.010974,46.0625
2000-01-06,0.071913,49.375
2000-01-07,-0.013924,48.6875
2000-01-10,-0.03466,47.0
2000-01-11,-0.021277,46.0
2000-01-12,0.01087,46.5
2000-01-13,0.02285,47.5625
2000-01-14,0.059133,50.375
2000-01-18,-0.047146,48.0
2000-01-19,-0.019531,47.0625
2000-01-20,-0.021248,46.0625
2000-01-21,-0.008141,45.6875
2000-01-24,-0.024624,44.5625
2000-01-25,0.012623,45.125
2000-01-26,0.044321,47.125
2000-01-27,0.02122,48.125
2000-01-28,-0.049351,45.75
2000-01-31,0.058743,48.4375
2000-02-01,0.0,48.4375
2000-02-02,-0.014194,47.75
2000-02-03,-0.027487,46.4375
2000-02-04,-0.02288,45.375
2000-02-07,-0.001377,45.3125
2000-02-08,0.04,47.125
2000-02-09,-0.022546,46.0625
2000-02-10,-0.02578,44.875
2000-02-11,0.006964,45.1875
2000-02-14,-0.020747,44.25
2000-02-15,0.031073,45.625
2000-02-16,-0.009589,45.1875
2000-02-17,-0.012448,44.625
2000-02-18,-0.019608,43.75
2000-02-22,0.022857,44.75
2000-02-23,0.022346,45.75
2000-02-24,-0.020492,44.8125
2000-02-25,-0.015342,44.125
2000-02-28,0.041077,45.9375
2000-02-29,0.001361,46.0
2000-03-01,0.001359,45.5625
2000-03-02,-0.010974,45.0625
2000-03-03,-0.001387,45.0
2000-03-06,0.0,45.0
2000-03-07,-0.022222,44.0
2000-03-08,-0.008523,43.625
2000-03-09,-0.012894,43.0625
2000-03-10,-0.004354,42.875
2000-03-13,0.007289,43.1875
2000-03-14,-0.013025,42.625
2000-03-15,0.076246,45.875
2000-03-16,0.07357,49.25
2000-03-17,0.015228,50.0
2000-03-20,-0.0075,49.625
2000-03-21,0.027708,51.0
2000-03-22,0.008578,51.4375
2000-03-23,0.053463,54.1875
2000-03-24,0.008074,54.625
2000-03-27,-0.009153,54.125
2000-03-28,-0.010393,53.5625
2000-03-29,-0.029172,52.0
2000-03-30,-0.02524,50.6875
2000-03-31,0.034525,52.4375
2000-04-03,0.058403,55.5
2000-04-04,-0.023649,54.1875
2000-04-05,-0.00346,54.0
2000-04-06,-0.010417,53.4375
2000-04-07,-0.021053,52.3125
2000-04-10,0.009558,52.8125
2000-04-11,-0.008876,52.34375
2000-04-12,0.042388,54.5625
2000-04-13,-0.032073,52.8125
2000-04-14,-0.054438,49.9375
2000-04-17,0.007509,50.3125
2000-04-18,0.007453,50.6875
2000-04-19,-0.024661,49.4375
2000-04-20,0.002528,49.5625
2000-04-24,0.039092,51.5
2000-04-25,0.037621,53.4375
2000-04-26,-0.031579,51.75
2000-04-27,-0.009662,51.25
2000-04-28,-0.043902,49.0
2000-05-01,0.020408,50.0
2000-05-02,-0.0075,49.625
2000-05-03,-0.012595,49.0
2000-05-04,-0.020408,48.0
2000-05-05,-0.009115,47.5625
2000-05-08,0.013141,48.1875
2000-05-09,0.0,48.1875
2000-05-10,-0.03502,46.5
2000-05-11,0.018817,47.375
2000-05-12,0.025396,48.57813
2000-05-15,0.042136,50.625
2000-05-16,-0.018519,49.6875
2000-05-17,-0.007547,49.3125
2000-05-18,0.020279,50.3125
2000-05-19,-0.01118,49.75
2000-05-22,0.01005,50.25
2000-05-23,0.04602,52.5625
2000-05-24,0.067777,56.125
2000-05-25,-0.014477,55.3125
2000-05-26,-0.012429,54.625
2000-05-30,0.005721,54.9375
2000-05-31,0.018203,55.4375
2000-06-01,0.024803,56.8125
2000-06-02,0.073707,61.0
2000-06-05,-0.028689,59.25
2000-06-06,-0.042194,56.75
2000-06-07,0.018723,57.8125
2000-06-08,-0.018378,56.75
2000-06-09,-0.013216,56.0
2000-06-12,0.008929,56.5
2000-06-13,-0.014381,55.6875
2000-06-14,-0.006734,55.3125
2000-06-15,-0.061017,51.9375
2000-06-16,-0.086643,47.4375
2000-06-19,0.025033,48.625
2000-06-20,-0.002571,48.5
2000-06-21,-0.030928,47.0
2000-06-22,0.0,47.0
2000-06-23,0.007979,47.375
2000-06-26,0.011873,47.9375
2000-06-27,-0.018253,47.0625
2000-06-28,-0.035857,45.375
2000-06-29,0.001377,45.4375
2000-06-30,-0.053645,43.0
2000-07-03,0.046512,45.0
2000-07-05,0.006944,45.3125
2000-07-06,0.011035,45.8125
2000-07-07,0.035471,47.4375
2000-07-10,0.0,47.4375
2000-07-11,-0.01054,46.9375
2000-07-12,-0.002663,46.8125
2000-07-13,-0.013351,46.1875
2000-07-14,0.024357,47.3125
2000-07-17,-0.003963,47.125
2000-07-18,-0.023873,46.0
2000-07-19,0.002717,46.125
2000-07-20,0.048781,48.375
2000-07-21,-0.018088,47.5
2000-07-24,-0.001316,47.4375
2000-07-25,0.017128,48.25
2000-07-26,-0.024611,47.0625
2000-07-27,-0.00664,46.75
2000-07-28,-0.008021,46.375
2000-07-31,0.021563,47.375
2000-08-01,0.006596,47.6875
2000-08-02,-0.010485,47.1875
2000-08-03,0.039735,49.0625
2000-08-04,0.06879,52.4375
2000-08-07,-0.001192,52.375
2000-08-08,-0.008353,51.9375
2000-08-09,0.021661,53.0625
2000-08-10,0.007067,53.4375
2000-08-11,0.010526,54.0
2000-08-14,0.017361,54.9375
2000-08-15,-0.011377,54.3125
2000-08-16,-0.018412,53.3125
2000-08-17,0.004689,53.5625
2000-08-18,0.003501,53.75
2000-08-21,0.002326,53.875
2000-08-22,0.010441,54.4375
2000-08-23,-0.006889,54.0625
2000-08-24,-0.028902,52.5
2000-08-25,-0.014286,51.75
2000-08-28,0.001208,51.8125
2000-08-29,-0.018094,50.875
2000-08-30,0.009828,50.875
2000-08-31,0.052826,53.5625
2000-09-01,-0.019837,52.5
2000-09-05,0.013095,53.1875
2000-09-06,0.008226,53.625
2000-09-07,0.015152,54.4375
2000-09-08,0.027555,55.9375
2000-09-11,0.011173,56.5625
2000-09-12,0.007735,57.0
2000-09-13,-0.003289,56.8125
2000-09-14,-0.009901,56.25
2000-09-15,-0.027778,54.6875
2000-09-18,-0.018286,53.6875
2000-09-19,0.022119,54.875
2000-09-20,-0.019362,53.8125
2000-09-21,-0.015099,53.0
2000-09-22,0.037736,55.0
2000-09-25,0.0,55.0
2000-09-26,-0.021591,53.8125
2000-09-27,-0.020906,52.6875
2000-09-28,0.024911,54.0
2000-09-29,-0.030093,52.375
2000-10-02,0.013127,53.0625
2000-10-03,0.021201,54.1875
2000-10-04,-0.026528,52.75
2000-10-05,0.021327,53.875
2000-10-06,-0.041763,51.625
2000-10-09,-0.020581,50.5625
2000-10-10,-0.037083,48.6875
2000-10-11,-0.033376,47.0625
2000-10-12,-0.053121,44.5625
2000-10-13,0.044881,46.5625
2000-10-16,-0.02953,45.1875
2000-10-17,-0.053942,42.75
2000-10-18,-0.013158,42.1875
2000-10-19,0.044444,44.0625
2000-10-20,-0.007092,43.75
2000-10-23,0.0,43.75
2000-10-24,0.017143,44.5
2000-10-25,-0.009831,44.0625
2000-10-26,-0.015603,43.375
2000-10-27,0.036023,44.9375
2000-10-30,0.045897,47.0
2000-10-31,0.022606,48.0625
2000-11-01,0.006502,48.375
2000-11-02,0.018088,49.25
2000-11-03,-0.011421,48.6875
2000-11-06,0.048781,51.0625
2000-11-07,-0.007344,50.6875
2000-11-08,-0.038224,48.75
2000-11-09,0.020513,49.75
2000-11-10,-0.027638,48.375
2000-11-13,-0.01938,47.4375
