date,daily_return,price
1999-06-04,-0.002749,68.03125
1999-06-07,0.016077,69.125
1999-06-08,-0.01085,68.375
1999-06-09,-0.011426,67.59375
1999-06-10,-0.017568,66.40625
1999-06-11,-0.020235,65.0625
1999-06-14,0.033622,67.25
1999-06-15,0.005576,67.625
1999-06-16,-0.041128,64.84375
1999-06-17,0.015904,65.875
1999-06-18,-0.009488,65.25
1999-06-21,-0.012452,64.4375
1999-06-22,-0.00679,64.0
1999-06-23,-0.008789,63.4375
1999-06-24,-0.018719,62.25
1999-06-25,0.02008,63.5
1999-06-28,0.027756,65.0625
1999-06-29,0.013449,65.9375
1999-06-30,0.009479,66.5625
1999-07-01,-0.01831,65.34375
1999-07-02,0.000478,65.375
1999-07-06,0.021989,66.8125
1999-07-07,0.0,66.8125
1999-07-08,-0.019177,65.53125
1999-07-09,0.021936,66.96875
1999-07-12,-0.006066,66.5625
1999-07-13,-0.019249,65.28125
1999-07-14,0.005266,65.625
1999-07-15,0.031429,67.6875
1999-07-16,0.000923,67.75
1999-07-19,0.01476,68.75
1999-07-20,0.007273,69.25
1999-07-21,0.00361,69.5
1999-07-22,0.000899,69.5625
1999-07-23,0.001797,69.6875
1999-07-26,-0.004933,69.34375
1999-07-27,-0.002253,69.1875
1999-07-28,-0.01897,67.875
1999-07-29,-0.020258,66.5
1999-07-30,-0.021617,65.0625
1999-08-02,0.002402,65.21875
1999-08-03,0.005271,65.5625
1999-08-04,-0.009533,64.9375
1999-08-05,-0.025024,63.3125
1999-08-06,-0.01382,62.4375
1999-08-09,0.003003,62.625
1999-08-10,-0.016966,61.5625
1999-08-11,0.007107,62.0
1999-08-12,0.018145,63.125
1999-08-13,0.04901,66.21875
1999-08-16,-0.016517,65.125
1999-08-17,0.047985,68.25
1999-08-18,-0.032967,66.0
1999-08-19,-0.014678,65.03125
1999-08-20,0.016819,66.125
1999-08-23,0.033081,68.3125
1999-08-24,0.002745,68.5
1999-08-25,0.001825,68.625
1999-08-26,-0.008197,68.0625
1999-08-27,-0.001837,67.9375
1999-08-30,-0.045078,64.875
1999-08-31,0.021195,66.25
1999-09-01,0.009434,66.875
1999-09-02,-0.046729,63.75
1999-09-03,0.028431,65.5625
1999-09-07,-0.034318,63.3125
1999-09-08,-0.000494,63.28125
1999-09-09,-0.00642,62.875
1999-09-10,0.012923,63.6875
1999-09-13,-0.007851,63.1875
1999-09-14,-0.023244,61.71875
1999-09-15,0.017722,62.8125
1999-09-16,-0.01393,61.9375
1999-09-17,-0.007064,61.5
1999-09-20,0.009654,62.09375
1999-09-21,-0.031706,60.125
1999-09-22,-0.006237,59.75
1999-09-23,-0.006276,59.375
1999-09-24,0.041053,61.8125
1999-09-27,-0.034378,59.6875
1999-09-28,0.007162,59.875
1999-09-29,-0.012526,59.125
1999-09-30,0.02907,60.84375
1999-10-01,-0.01284,60.0625
1999-10-04,0.044745,62.75
1999-10-05,-0.013446,61.90625
1999-10-06,0.033821,64.0
1999-10-07,-0.024414,62.4375
1999-10-08,0.057057,66.0
1999-10-11,-0.000947,65.9375
1999-10-12,0.0,65.9375
1999-10-13,-0.030332,63.9375
1999-10-14,-0.017595,62.8125
1999-10-15,-0.038806,60.375
1999-10-18,-0.015528,59.4375
1999-10-19,0.037855,61.6875
1999-10-20,0.031915,63.65625
1999-10-21,0.008346,64.1875
1999-10-22,0.014606,65.125
1999-10-25,-0.001919,65.0
1999-10-26,-0.021154,63.625
1999-10-27,0.03831,66.0625
1999-10-28,0.059603,70.0
1999-10-29,0.054464,73.8125
1999-11-01,-0.003387,73.5625
1999-11-02,-0.034834,71.0
1999-11-03,-0.013204,70.0625
1999-11-04,0.018733,71.375
1999-11-05,0.011384,72.1875
1999-11-08,-0.001299,72.09375
1999-11-09,-0.027308,70.125
1999-11-10,0.009804,70.8125
1999-11-11,-0.015887,69.6875
1999-11-12,0.032287,71.9375
1999-11-15,0.026933,73.875
1999-11-16,0.014382,74.9375
1999-11-17,-0.015847,73.75
1999-11-18,-0.005932,73.3125
1999-11-19,0.0,73.3125
1999-11-22,-0.028133,71.25
1999-11-23,-0.01579,70.125
1999-11-24,-0.008913,69.5
1999-11-26,-0.004496,69.1875
1999-11-29,-0.01355,68.25
1999-11-30,0.025641,70.0
1999-12-01,-0.032143,67.75
1999-12-02,0.012915,68.625
1999-12-03,0.045537,71.75
1999-12-06,-0.047038,68.375
1999-12-07,-0.017368,67.1875
1999-12-08,-0.027907,65.3125
1999-12-09,0.008134,65.84375
1999-12-10,-0.01851,64.625
1999-12-13,0.018375,65.8125
1999-12-14,0.007597,66.3125
1999-12-15,-0.014138,65.375
1999-12-16,-0.002868,65.1875
1999-12-17,0.011505,65.9375
1999-12-20,0.027488,67.75
1999-12-21,0.039668,70.4375
1999-12-22,0.00976,71.125
1999-12-23,0.020211,72.5625
1999-12-27,0.002584,72.75
1999-12-28,-0.015464,71.625
1999-12-29,0.019058,72.75
1999-12-30,0.012457,73.65625
1999-12-31,-0.003818,73.375
2000-01-03,-0.0477,69.875
2000-01-04,-0.042039,66.9375
2000-01-05,-0.014939,65.9375
2000-01-06,0.035071,68.25
2000-01-07,-0.00641,67.8125
2000-01-10,-0.026267,66.03125
2000-01-11,-0.029815,64.0625
2000-01-12,-0.005854,63.6875
2000-01-13,0.028459,65.5
2000-01-14,0.013359,66.375
2000-01-18,-0.020716,65.0
2000-01-19,-0.049039,61.8125
2000-01-20,-0.029323,60.0
2000-01-21,0.002083,60.125
2000-01-24,-0.040021,57.71875
2000-01-25,0.049269,60.5625
2000-01-26,0.043344,63.1875
2000-01-27,0.011869,63.9375
2000-01-28,-0.01564,62.9375
2000-01-31,0.054618,66.375
2000-02-01,-0.02919,64.4375
2000-02-02,-0.030068,62.5
2000-02-03,0.047,65.4375
2000-02-04,-0.048711,62.25
2000-02-07,-0.006024,61.875
2000-02-08,0.00101,61.9375
2000-02-09,-0.0222,60.5625
2000-02-10,-0.00516,60.25
2000-02-11,-0.003631,60.03125
2000-02-14,-0.033837,58.0
2000-02-15,0.012931,58.75
2000-02-16,0.007979,59.21875
2000-02-17,-0.031135,57.375
2000-02-18,-0.033769,55.4375
2000-02-22,-0.018038,54.4375
2000-02-23,-0.028703,52.875
2000-02-24,-0.008274,52.4375
2000-02-25,-0.0441,50.125
2000-02-28,0.052369,52.75
2000-02-29,-0.013033,52.0625
2000-03-01,-0.038415,50.0625
2000-03-02,-0.012484,49.4375
2000-03-03,-0.005057,49.1875
2000-03-06,-0.049555,46.75
2000-03-07,-0.013369,46.125
