date,daily_return,price
1999-06-04,0.006289,40.0
1999-06-07,0.023438,40.9375
1999-06-08,-0.006107,40.6875
1999-06-09,-0.006144,40.4375
1999-06-10,-0.023184,39.5
1999-06-11,0.015823,40.125
1999-06-14,-0.010903,39.6875
1999-06-15,0.012598,40.1875
1999-06-16,0.024883,41.1875
1999-06-17,0.031867,42.5
1999-06-18,0.003676,42.65625
1999-06-21,-0.006593,42.375
1999-06-22,0.0059,42.625
1999-06-23,-0.005865,42.375
1999-06-24,-0.011799,41.875
1999-06-25,0.022388,42.8125
1999-06-28,0.00438,43.0
1999-06-29,0.023256,44.0
1999-06-30,-0.028409,42.75
1999-07-01,0.020468,43.625
1999-07-02,0.010029,44.0625
1999-07-06,0.017021,44.8125
1999-07-07,0.0,44.8125
1999-07-08,-0.001395,44.75
1999-07-09,0.009777,45.1875
1999-07-12,-0.033195,43.6875
1999-07-13,0.001431,43.75
1999-07-14,-0.017143,43.0
1999-07-15,0.0,43.0
1999-07-16,0.002907,43.125
1999-07-19,-0.010145,42.6875
1999-07-20,-0.014641,42.0625
1999-07-21,-0.005944,41.8125
1999-07-22,0.00299,41.9375
1999-07-23,-0.005961,41.6875
1999-07-26,-0.01949,40.875
1999-07-27,0.004587,41.0625
1999-07-28,-0.006088,40.8125
1999-07-29,-0.012251,40.3125
1999-07-30,-0.032558,39.0
1999-08-02,-0.009615,38.625
1999-08-03,0.011327,39.0625
1999-08-04,-0.02368,37.9375
1999-08-05,0.004942,38.125
1999-08-06,-0.019672,37.375
1999-08-09,0.020067,38.125
1999-08-10,-0.016393,37.5
1999-08-11,0.031667,38.6875
1999-08-12,-0.021002,37.875
1999-08-13,0.051155,39.8125
1999-08-16,0.00471,40.0
1999-08-17,0.034375,41.375
1999-08-18,-0.003021,41.25
1999-08-19,0.00303,41.375
1999-08-20,0.021148,42.25
1999-08-23,0.019231,43.0625
1999-08-24,0.004354,43.25
1999-08-25,0.014451,43.875
1999-08-26,-0.029915,42.5625
1999-08-27,-0.017621,41.8125
1999-08-30,-0.037369,40.25
1999-08-31,-0.01087,39.8125
1999-09-01,0.020408,40.625
1999-09-02,-0.029231,39.4375
1999-09-03,0.050713,41.4375
1999-09-07,-0.031674,40.125
1999-09-08,-0.004673,39.9375
1999-09-09,-0.01565,39.3125
1999-09-10,0.014308,39.875
1999-09-13,0.003135,40.0
1999-09-14,-0.046875,38.125
1999-09-15,0.003279,38.25
1999-09-16,-0.011438,37.8125
1999-09-17,0.013223,38.3125
1999-09-20,-0.017945,37.625
1999-09-21,-0.003322,37.5
1999-09-22,0.026667,38.5
1999-09-23,-0.003247,38.375
1999-09-24,0.040717,39.9375
1999-09-27,-0.035994,38.5
1999-09-28,0.00974,38.875
1999-09-29,-0.008039,38.5625
1999-09-30,0.027553,39.625
1999-10-01,-0.012618,39.125
1999-10-04,0.041534,40.75
1999-10-05,0.003067,40.875
1999-10-06,0.018349,41.625
1999-10-07,-0.021021,40.75
1999-10-08,0.042945,42.5
1999-10-11,0.0,42.5
1999-10-12,-0.019118,41.6875
1999-10-13,-0.047976,39.6875
1999-10-14,0.022047,40.5625
1999-10-15,-0.038521,39.0
1999-10-18,0.012821,39.5
1999-10-19,0.053798,41.625
1999-10-20,0.039039,43.25
1999-10-21,-0.00289,43.125
1999-10-22,0.037681,44.75
1999-10-25,-0.009777,44.3125
1999-10-26,0.008463,44.6875
1999-10-27,0.040559,46.5
1999-10-28,0.055108,49.0625
1999-10-29,-0.024204,47.875
1999-11-01,-0.020888,46.875
1999-11-02,0.010667,47.375
1999-11-03,-0.022164,46.125
1999-11-04,0.01897,47.0
1999-11-05,-0.003989,46.8125
1999-11-08,0.006676,47.125
1999-11-09,-0.035809,45.4375
1999-11-10,-0.011004,44.9375
1999-11-11,0.011127,45.4375
1999-11-12,0.050894,47.75
1999-11-15,-0.010471,47.25
1999-11-16,0.018519,48.125
1999-11-17,-0.020779,47.125
1999-11-18,0.015915,47.875
1999-11-19,-0.007833,47.5
1999-11-22,-0.014474,46.8125
1999-11-23,-0.014686,46.125
1999-11-24,-0.00271,46.0
1999-11-26,-0.001359,45.9375
1999-11-29,-0.020408,45.0
1999-11-30,0.033333,46.5
1999-12-01,0.008065,46.875
1999-12-02,0.004,47.0625
1999-12-03,0.002656,47.1875
1999-12-06,-0.037086,45.4375
1999-12-07,-0.030261,44.0625
1999-12-08,-0.008156,43.70313
1999-12-09,0.023954,44.75
1999-12-10,0.002793,44.875
1999-12-13,-0.016713,44.125
1999-12-14,-0.014164,43.5
1999-12-15,-0.038793,41.8125
1999-12-16,-0.053812,39.5625
1999-12-17,0.009479,39.9375
1999-12-20,0.01565,40.5625
1999-12-21,-0.013868,40.0
1999-12-22,0.010938,40.4375
1999-12-23,0.026275,41.5
1999-12-27,-0.01506,40.875
1999-12-28,0.007645,41.1875
1999-12-29,-0.015175,40.5625
1999-12-30,0.001541,40.625
1999-12-31,-0.004615,40.4375
2000-01-03,-0.032458,39.125
2000-01-04,-0.051118,37.125
2000-01-05,-0.008418,36.8125
2000-01-06,0.044143,38.4375
2000-01-07,0.017886,39.125
2000-01-10,-0.031949,37.875
2000-01-11,-0.016502,37.25
2000-01-12,0.028524,38.3125
2000-01-13,0.055465,40.4375
2000-01-14,0.030912,41.6875
2000-01-18,-0.067466,38.875
2000-01-19,-0.054662,36.75
2000-01-20,-0.010204,36.375
2000-01-21,0.006873,36.625
2000-01-24,-0.020478,35.875
2000-01-25,0.048781,37.625
2000-01-26,0.016611,38.25
2000-01-27,0.019608,39.0
2000-01-28,-0.00641,38.75
2000-01-31,0.032258,40.0
2000-02-01,0.010938,40.4375
2000-02-02,-0.030108,39.0
2000-02-03,-0.003205,38.875
2000-02-04,-0.008039,38.5625
2000-02-07,-0.009724,38.1875
2000-02-08,0.01964,38.9375
2000-02-09,-0.027287,37.875
2000-02-10,-0.029703,36.75
2000-02-11,0.030612,37.875
2000-02-14,-0.00165,37.8125
2000-02-15,-0.003306,37.6875
2000-02-16,-0.034826,36.375
2000-02-17,-0.039519,34.9375
2000-02-18,-0.041145,33.5
2000-02-22,0.044776,35.0
2000-02-23,-0.053571,33.125
2000-02-24,-0.007547,32.875
2000-02-25,-0.005703,32.6875
2000-02-28,0.043977,34.125
2000-02-29,-0.031136,33.0625
2000-03-01,0.049149,34.6875
2000-03-02,-0.021622,33.9375
2000-03-03,0.022099,34.6875
2000-03-06,-0.007207,34.4375
2000-03-07,-0.039927,33.0625
2000-03-08,0.013233,33.5
2000-03-09,-0.020522,32.8125
2000-03-10,-0.019048,32.1875
2000-03-13,0.013592,32.625
2000-03-14,-0.022989,31.875
2000-03-15,0.098039,35.0
2000-03-16,0.1,38.5
2000-03-17,0.0,38.5
2000-03-20,-0.01461,37.9375
2000-03-21,0.042834,39.5625
2000-03-22,0.011059,40.0
2000-03-23,0.035938,41.4375
2000-03-24,-0.010558,41.0
2000-03-27,-0.012195,40.5
2000-03-28,0.00463,40.6875
2000-03-29,-0.030722,39.4375
2000-03-30,-0.006339,39.1875
2000-03-31,0.039872,40.75
2000-04-03,0.072086,43.6875
2000-04-04,-0.010014,43.25
2000-04-05,-0.018786,42.4375
2000-04-06,-0.045655,40.5
2000-04-07,-0.018519,39.75
2000-04-10,-0.006289,39.5
