n_bins,method,alpha,split,MI_nats,MI_bits,marginal_LL,conditional_LL,delta_LL,marginal_acc,conditional_acc,marginal_sev,conditional_sev
25,quantile,0.1,val,0.2560939825871726,0.3694655186800184,-3.218703810235967,-3.561260458473324,-0.3425566482373572,0.028169014084507043,0.04225352112676056,5.898591549295775,5.971246097601203
25,quantile,0.1,test,0.2560939825871726,0.3694655186800184,-3.2187584263595084,-3.542343234401702,-0.3235848080421935,0.03651685393258427,0.05056179775280899,5.924157303370786,5.986383418484601
25,quantile,1.0,val,0.2560939825871726,0.3694655186800184,-3.218703810235967,-3.348023050920549,-0.12931924068458223,0.028169014084507043,0.04225352112676056,5.898591549295775,5.95338216590513
25,quantile,1.0,test,0.2560939825871726,0.3694655186800184,-3.2187584263595084,-3.317298364053871,-0.09853993769436276,0.03651685393258427,0.05056179775280899,5.924157303370786,5.970979374802042
35,quantile,0.1,val,0.4718880436674597,0.6807905404538387,-3.5546694915637396,-4.170939706688682,-0.6162702151249428,0.016901408450704224,0.05070422535211268,8.259154929577464,8.356864014037123
35,quantile,0.1,test,0.4718880436674597,0.6807905404538387,-3.55469181437449,-4.198600051187026,-0.643908236812536,0.03089887640449438,0.02247191011235955,8.311797752808989,8.436867135653085
35,quantile,1.0,val,0.4718880436674597,0.6807905404538387,-3.5546694915637396,-3.6836494698726443,-0.12897997830890473,0.016901408450704224,0.05070422535211268,8.259154929577464,8.313136710359128
35,quantile,1.0,test,0.4718880436674597,0.6807905404538387,-3.55469181437449,-3.704509741555917,-0.14981792718142684,0.03089887640449438,0.02247191011235955,8.311797752808989,8.37696727087656
40,quantile,0.1,val,0.5739883535191407,0.8280901511500854,-3.6886704805403983,-4.337206864712246,-0.6485363841718477,0.014084507042253521,0.016901408450704224,9.465988932994465,9.669200488158678
40,quantile,0.1,test,0.5739883535191407,0.8280901511500854,-3.688564655717856,-4.46599390471784,-0.7774292489999843,0.028089887640449437,0.02247191011235955,9.522104046164381,9.568842716262397
40,quantile,1.0,val,0.5739883535191407,0.8280901511500854,-3.6886704805403983,-3.7966101180392706,-0.10793963749887237,0.014084507042253521,0.016901408450704224,9.465988932994465,9.57348876912794
40,quantile,1.0,test,0.5739883535191407,0.8280901511500854,-3.688564655717856,-3.837156168334346,-0.14859151261648984,0.028089887640449437,0.02247191011235955,9.522104046164381,9.53767031627418
55,original_fixed,0.1,val,0.6594267858969617,0.9513517538428949,-3.682208162600835,-4.125278183304607,-0.44307002070377166,0.04788732394366197,0.02535211267605634,8.101643050821524,8.185760468031736
55,original_fixed,0.1,test,0.6594267858969617,0.9513517538428949,-3.692749152062543,-4.184169559890139,-0.49142040782759633,0.042134831460674156,0.042134831460674156,8.26690987502797,8.294955809078916
55,original_fixed,1.0,val,0.6594267858969617,0.9513517538428949,-3.682208162600835,-3.8822888065271584,-0.2000806439263232,0.04788732394366197,0.02535211267605634,8.101643050821524,8.144085376512013
55,original_fixed,1.0,test,0.6594267858969617,0.9513517538428949,-3.692749152062543,-3.891563071809108,-0.19881391974656504,0.042134831460674156,0.042134831460674156,8.26690987502797,8.317989003505536
