n_bins,n_st,method,model,alpha,tau,val_LL,delta_val
25,25,quantile,marginal,,,-3.2187038127105994,0.0
25,25,quantile,additive,1e-06,,-4.543896245200097,-1.3251924324894975
25,25,quantile,additive,0.0001,,-4.154725872941096,-0.9360220602304969
25,25,quantile,additive,0.001,,-3.9600812944771553,-0.7413774817665559
25,25,quantile,additive,0.01,,-3.764903648598857,-0.5461998358882578
25,25,quantile,additive,0.1,,-3.565011322353146,-0.34630750964254675
25,25,quantile,additive,1.0,,-3.351007980043137,-0.13230416733253758
25,25,quantile,additive,5.0,,-3.248461962461929,-0.029758149751329732
25,25,quantile,additive,10.0,,-3.231258677453596,-0.012554864742996497
25,25,quantile,backoff,1e-06,10.0,-3.43620017890043,-0.2174963661898306
25,25,quantile,backoff,1e-06,50.0,-3.2958570136215326,-0.07715320091093325
25,25,quantile,backoff,1e-06,100.0,-3.257034914874055,-0.03833110216345581
25,25,quantile,backoff,1e-06,200.0,-3.235297579505464,-0.016593766794864795
25,25,quantile,backoff,1e-06,500.0,-3.223653407148432,-0.004949594437832605
25,25,quantile,backoff,1e-06,1000.0,-3.2207102168312494,-0.002006404120650007
25,25,quantile,backoff,0.0001,10.0,-3.4361730935086756,-0.21746928079807626
25,25,quantile,backoff,0.0001,50.0,-3.29585103323341,-0.07714722052281076
25,25,quantile,backoff,0.0001,100.0,-3.257032251730127,-0.03832843901952776
25,25,quantile,backoff,0.0001,200.0,-3.235296524031717,-0.016592711321117726
25,25,quantile,backoff,0.0001,500.0,-3.2236531292051374,-0.004949316494538003
25,25,quantile,backoff,0.0001,1000.0,-3.2207101156853564,-0.0020063029747570127
25,25,quantile,backoff,0.001,10.0,-3.435927213738367,-0.2172234010277676
25,25,quantile,backoff,0.001,50.0,-3.2957967020034373,-0.07709288929283797
25,25,quantile,backoff,0.001,100.0,-3.2570080554105107,-0.038304242699911395
25,25,quantile,backoff,0.001,200.0,-3.23528693400654,-0.01658312129594064
25,25,quantile,backoff,0.001,500.0,-3.22365060372198,-0.004946791011380736
25,25,quantile,backoff,0.001,1000.0,-3.2207091966143016,-0.002005383903702196
25,25,quantile,backoff,0.01,10.0,-3.4335025961317442,-0.2147987834211449
25,25,quantile,backoff,0.01,50.0,-3.2952569281948048,-0.0765531154842054
25,25,quantile,backoff,0.01,100.0,-3.2567674799790733,-0.03806366726847399
25,25,quantile,backoff,0.01,200.0,-3.2351915455845335,-0.016487732873934124
