h,N,N_actual,sigma,n_train,n_val,n_test,model,test_ll,delta_ll,val_ll,accuracy,severity,alpha,tau
1,10,10,0.210991145999679,1657,355,356,marginal,-2.302677081922972,0.0,-2.30263137491204,0.06460674157303371,,,
1,10,10,0.210991145999679,1657,355,356,additive,-0.08106554514036189,2.22161153678261,-0.07234495705267704,0.9466292134831461,0.058627026454728594,1e-06,
1,10,10,0.210991145999679,1657,355,356,backoff,-0.3312535981004127,1.9714234838225593,-0.3229688924519912,0.9438202247191011,0.6162196142147843,1e-06,10.0
1,10,10,0.210991145999679,1657,355,356,state_cond_nn,-4.270020961761475,-1.9673438798385026,-2.167938470840454,0.09831460565328598,2.4678428173065186,,
1,10,10,0.210991145999679,1657,355,356,state_free_nn,-2.3016855716705322,0.00099151025243982,-2.3110897541046143,0.12359550595283508,2.4046640396118164,,
1,20,20,0.3882212196913626,1657,355,356,marginal,-2.9957958917200114,0.0,-2.995698732867717,0.03651685393258427,,,
1,20,20,0.3882212196913626,1657,355,356,additive,-0.1940835550103186,2.8017123367096928,-0.19483476290472906,0.8960674157303371,0.13259861045746504,1e-06,
1,20,20,0.3882212196913626,1657,355,356,backoff,-0.4589190930689938,2.5368767986510177,-0.4595152690402228,0.8960674157303371,1.221345895082997,1e-06,10.0
1,20,20,0.3882212196913626,1657,355,356,state_cond_nn,-3.1030499935150146,-0.10725410179500328,-2.993583917617798,0.04494382068514824,4.787842750549316,,
1,20,20,0.3882212196913626,1657,355,356,state_free_nn,-2.9986159801483154,-0.0028200884283040573,-2.962775707244873,0.05056179687380791,4.777099132537842,,
1,35,35,0.6741353995426268,1657,355,356,marginal,-3.554691468083884,0.0,-3.5546691452808434,0.03089887640449438,,,
1,35,35,0.6741353995426268,1657,355,356,additive,-0.3532468952221989,3.201444572861685,-0.2954644466343646,0.8033707865168539,0.2231018905429588,1e-06,
1,35,35,0.6741353995426268,1657,355,356,backoff,-0.6238772436993743,2.93081422438451,-0.5672389278636643,0.8033707865168539,2.0853131334082153,1e-06,10.0
1,35,35,0.6741353995426268,1657,355,356,state_cond_nn,-3.5520827770233154,0.002608691060568713,-3.5560529232025146,0.03089887648820877,8.310877799987793,,
1,35,35,0.6741353995426268,1657,355,356,state_free_nn,-3.589247465133667,-0.03455599704978285,-3.5272607803344727,0.028089888393878937,8.280489921569824,,
1,55,55,1.0,1657,355,356,marginal,-4.006776561351728,0.0,-4.0070401666839475,0.025280898876404494,,,
1,55,55,1.0,1657,355,356,additive,-1.7815169841974614e-06,4.0067747798347435,-1.7819837783073578e-06,1.0,2.3852726201459496e-05,1e-06,
1,55,55,1.0,1657,355,356,backoff,-0.2804842360865249,3.726292325265203,-0.280549332020433,1.0,3.25664643978817,1e-06,10.0
1,55,55,1.0,1657,355,356,state_cond_nn,-3.9996085166931152,0.007168044658612871,-3.9714443683624268,0.014044944196939468,13.07657241821289,,
