config_type,h,N,N_actual,frac_cells_zero,frac_cells_lt5,median_nonzero_per_row,p90_nonzero_per_row,median_row_entropy_empirical,median_row_maxprob_empirical
cumulative,1,10,10,0.056363636363636366,0.8272727272727273,10.0,10.0,2.1305726850340814,0.2
cumulative,1,20,20,0.22454545454545455,0.98,16.0,17.0,2.626957179480577,0.13333333333333333
cumulative,1,35,35,0.43636363636363634,0.9958441558441559,20.0,22.0,2.880478156833429,0.1
cumulative,1,55,55,0.579504132231405,0.9986776859504132,23.0,26.0,3.0602870926086956,0.1
cumulative,2,10,10,0.034545454545454546,0.8072727272727273,10.0,10.0,2.1366876873732066,0.2
cumulative,2,20,20,0.21363636363636362,0.9763636363636363,16.0,17.0,2.6095155746884253,0.13333333333333333
cumulative,2,35,35,0.42337662337662335,0.9968831168831169,20.0,22.6,2.908318357393279,0.1
cumulative,2,55,55,0.5821487603305785,0.9993388429752066,23.0,25.0,3.0777286974008473,0.1
cumulative,5,10,10,0.04909090909090909,0.8272727272727273,10.0,10.0,2.1541292921653583,0.1935483870967742
cumulative,5,20,20,0.21818181818181817,0.9772727272727273,16.0,17.0,2.6246497971791785,0.13333333333333333
cumulative,5,35,35,0.4238961038961039,0.9968831168831169,20.0,23.0,2.8867744469124035,0.1
cumulative,5,55,55,0.5824793388429752,0.9996694214876033,23.0,26.0,3.0602870926086956,0.1
cumulative,10,10,10,0.03636363636363636,0.8218181818181818,10.0,10.0,2.1413024519760038,0.2
cumulative,10,20,20,0.20727272727272728,0.98,16.0,18.0,2.6382837819336036,0.13333333333333333
cumulative,10,35,35,0.4166233766233766,0.9979220779220779,21.0,23.0,2.936158557953129,0.1
cumulative,10,55,55,0.5702479338842975,0.9996694214876033,24.0,26.0,3.1064969046460256,0.1
ck,1,55,55,0.5788429752066115,0.9986776859504132,23.0,26.0,3.0602870926086956,0.1
ck,2,55,55,0.5771900826446281,0.9993388429752066,23.0,26.6,3.0602870926086956,0.1
ck,5,55,55,0.5778512396694215,0.9990082644628099,23.0,25.0,3.077728697400847,0.1
ck,10,55,55,0.5811570247933884,0.9990082644628099,23.0,25.0,3.077728697400847,0.1
