h,N,model,test_ll,delta_ll,val_ll,accuracy,ci_lower,ci_upper
1,10,additive,-2.299062416541771,0.003672921837174048,-2.310087889371196,0.12078651685393259,,
1,10,backoff,-2.3011589159289856,0.0015764224499594803,-2.3027433211172412,0.11797752808988764,,
1,10,marginal,-2.302735338378945,0.0,-2.3028446814061487,0.06460674157303371,,
1,10,state_cond_nn,-2.3038108348846436,-0.0010754965056984922,,,,
1,10,state_free_nn,-2.304791212081909,-0.002055873702964117,,,,
1,20,additive,-2.99860631817626,-0.002699084884078662,-3.005158659605036,0.047752808988764044,,
1,20,backoff,-2.9958056035365446,0.00010162975563687837,-2.9956016167660726,0.06179775280898876,,
1,20,marginal,-2.9959072332921814,0.0,-2.9954706418847783,0.03651685393258427,,
1,20,state_cond_nn,-3.002133846282959,-0.006226612990777536,,,,
1,20,state_free_nn,-2.9925851821899414,0.0033220511022400423,,,,
1,35,additive,-3.555118482906361,-0.00020275432306426922,-3.5601311388671206,0.033707865168539325,,
1,35,backoff,-3.5547973992173336,0.00011832936596301025,-3.5556276871848946,0.03932584269662921,,
1,35,marginal,-3.5549157285832966,0.0,-3.5556074023015434,0.03089887640449438,,
1,35,state_cond_nn,-3.5522947311401367,0.0026209974431599115,,,,
1,35,state_free_nn,-3.5550925731658936,-0.00017684458259692448,,,,
1,55,additive,-4.0000226445698255,0.007439721346440997,-4.011027754549092,0.019662921348314606,,
1,55,backoff,-4.007163765432223,0.00029860048404373174,-4.007044091186044,0.028089887640449437,,
1,55,marginal,-4.0074623659162665,0.0,-4.006990678422042,0.025280898876404494,,
1,55,state_cond_nn,-4.026334285736084,-0.018871919819817506,,,-4.056503736972809,-4.000189924240113
1,55,state_free_nn,-4.012242794036865,-0.0047804281205987564,,,-4.027588653564453,-4.000261890888214
2,10,additive,-1.9841950386706704,0.3185912180834265,-2.044683958738204,0.2893258426966292,,
2,10,backoff,-1.9842697552509572,0.3185165015031397,-2.044804342670287,0.2808988764044944,,
2,10,marginal,-2.302786256754097,0.0,-2.3029978668277327,0.0786516853932584,,
2,10,state_cond_nn,-2.314258098602295,-0.01147184184819805,-2.2734203338623047,0.1151685416698455,,
2,10,state_free_nn,-2.3040943145751953,-0.0013080578210984406,-2.283477306365967,0.1292134821414947,,
2,20,additive,-2.7621386313721756,0.23383669943741703,-2.7961208636698314,0.1601123595505618,,
2,20,backoff,-2.7672203744067376,0.22875495640285504,-2.805654564604354,0.1629213483146067,,
2,20,marginal,-2.9959753308095927,0.0,-2.995880377933202,0.047752808988764,,
2,20,state_cond_nn,-2.9981706142425537,-0.0021952834329610482,-2.9976210594177246,0.0505617968738079,,
2,20,state_free_nn,-3.021009922027588,-0.025034591217995228,-2.971330404281616,0.0589887648820877,,
2,35,additive,-3.405120061486228,0.14973652832780582,-3.427809673385856,0.0814606741573033,,
2,35,backoff,-3.4029976497024115,0.15185894011162215,-3.4246900785123846,0.0814606741573033,,
2,35,marginal,-3.5548565898140336,0.0,-3.5552515701574743,0.0365168539325842,,
2,35,state_cond_nn,-3.575408697128296,-0.02055210731426227,-3.5339462757110596,0.0280898883938789,,
2,35,state_free_nn,-3.628434181213379,-0.07357759139934528,-3.5326387882232666,0.0280898883938789,,
2,55,additive,-3.84377264351068,0.16276866046692007,-3.9096226056715095,0.0561797752808988,,
2,55,backoff,-3.8464237826321823,0.16011752134541757,-3.906884692763082,0.0589887640449438,,
2,55,marginal,-4.0065413039776,0.0,-4.007544872309646,0.0224719101123595,,
2,55,state_cond_nn,-4.099170684814453,-0.09262938083685324,-3.95564079284668,0.011235955171287,,
2,55,state_free_nn,-4.076437473297119,-0.06989616931951925,-3.9857916831970215,0.0224719103425741,,
5,10,additive,-2.2434536379827152,0.05911871731468432,-2.268731237500393,0.180281690140845,,
5,10,backoff,-2.2441010335704243,0.05847132172697522,-2.2689527397926996,0.180281690140845,,
5,10,marginal,-2.3025723552973996,0.0,-2.302912767345405,0.0873239436619718,,
5,10,state_cond_nn,-2.3261730670928955,-0.023600711795495943,-2.2823517322540283,0.1267605572938919,,
5,10,state_free_nn,-2.36006236076355,-0.05749000546615024,-2.2612247467041016,0.0676056370139122,,
5,20,additive,-2.9510631772238587,0.04418920099143353,-2.962960165919296,0.076056338028169,,
5,20,backoff,-2.9507015730323203,0.04455080518297194,-2.963097381490505,0.076056338028169,,
5,20,marginal,-2.995252378215292,0.0,-2.995832837617366,0.0591549295774647,,
5,20,state_cond_nn,-3.082260847091675,-0.08700846887638258,-2.9783577919006348,0.0647887289524078,,
5,20,state_free_nn,-3.066462755203247,-0.07121037698795485,-2.960493803024292,0.0704225376248359,,
5,35,additive,-3.5232561095309647,0.031439360618693346,-3.5216962471520064,0.028169014084507,,
5,35,backoff,-3.5183880994702896,0.0363073706793684,-3.515705950189041,0.0309859154929577,,
5,35,marginal,-3.554695470149658,0.0,-3.5545768594349183,0.0478873239436619,,
5,35,state_cond_nn,-3.6478428840637207,-0.09314741391406267,-3.5246636867523193,0.0225352104753255,,
5,35,state_free_nn,-3.664360284805298,-0.10966481465563982,-3.516876220703125,0.0225352104753255,,
5,55,additive,-3.992575915522456,0.014684154569990948,-3.9829412662743304,0.0225352112676056,,
5,55,backoff,-3.9960711709140897,0.011188899178357303,-3.9788960005204057,0.028169014084507,,
5,55,marginal,-4.007260070092447,0.0,-4.007444801388437,0.028169014084507,,
5,55,state_cond_nn,-4.030080318450928,-0.022820248358480733,-3.969336986541748,0.0140845067799091,,
5,55,state_free_nn,-4.033176422119141,-0.025916352026693623,-3.973945140838623,0.0253521129488945,,
10,10,additive,-2.286258595706187,0.016392198325835494,-2.2939798710982124,0.1468926553672316,,
10,10,backoff,-2.2878380882737286,0.014812705758294076,-2.2934946379075205,0.1497175141242938,,
10,10,marginal,-2.3026507940320227,0.0,-2.302652454217924,0.0508474576271186,,
10,10,state_cond_nn,-2.3117685317993164,-0.009117737767293743,-2.2709808349609375,0.1271186470985412,,
10,10,state_free_nn,-2.328627824783325,-0.025977030751302532,-2.276801347732544,0.1299435049295425,,
10,20,additive,-2.982930385690276,0.01263838470520362,-2.991631116536053,0.0734463276836158,,
10,20,backoff,-2.9845355639312476,0.011033206464231782,-2.991202585527886,0.0677966101694915,,
10,20,marginal,-2.9955687703954794,0.0,-2.995842699392238,0.0508474576271186,,
10,20,state_cond_nn,-2.9736480712890625,0.02192069910641692,-2.975003480911255,0.0819209069013595,,
10,20,state_free_nn,-3.002216339111328,-0.006647568715848706,-2.981971263885498,0.0225988700985908,,
10,35,additive,-3.550941905064145,0.003705065142812547,-3.549327419400129,0.03954802259887,,
10,35,backoff,-3.5509368757588855,0.00371009444807191,-3.5493784622691766,0.0423728813559322,,
10,35,marginal,-3.5546469702069574,0.0,-3.555360644846943,0.0225988700564971,,
10,35,state_cond_nn,-3.6168274879455566,-0.06218051773859923,-3.532334804534912,0.0310734454542398,,
10,35,state_free_nn,-3.5652148723602295,-0.01056790215327208,-3.531414747238159,0.0225988700985908,,
10,55,additive,-4.001537459180592,0.0064010527441995535,-4.002236917340376,0.0225988700564971,,
10,55,backoff,-4.000823629715106,0.007114882209685369,-4.001825462462227,0.0225988700564971,,
10,55,marginal,-4.007938511924792,0.0,-4.00738275251682,0.0,,
10,55,state_cond_nn,-3.98259949684143,0.02533901508336145,-3.993326425552368,0.0282485876232385,-4.0320082902908325,-3.9803815722465514
10,55,state_free_nn,-3.9922006130218506,0.015737898902941083,-3.9870543479919434,0.0141242938116192,-4.0280375480651855,-3.9781723856925963
