model,arch,h,N,seed,nll_test,n_params,delta_nll_vs_shallow
state_cond,deep,1,55,7,4.015748977661133,102071,-0.27550411224365234
state_cond,deep,1,55,42,4.0147223472595215,102071,-0.43758296966552734
state_cond,deep,1,55,123,4.04331111907959,102071,-0.29045629501342773
state_cond,shallow,1,55,7,4.291253089904785,101925,0.0
state_cond,shallow,1,55,42,4.452305316925049,101925,0.0
state_cond,shallow,1,55,123,4.333767414093018,101925,0.0
state_free,deep,1,55,7,4.026646137237549,98551,-0.37642335891723633
state_free,deep,1,55,42,4.052250385284424,98551,-0.32786083221435547
state_free,deep,1,55,123,4.0037994384765625,98551,-0.22257566452026367
state_free,shallow,1,55,7,4.403069496154785,98555,0.0
state_free,shallow,1,55,42,4.380111217498779,98555,0.0
state_free,shallow,1,55,123,4.226375102996826,98555,0.0
state_cond,deep,10,55,7,4.0128068923950195,102071,-0.38396501541137695
state_cond,deep,10,55,42,3.985581159591675,102071,-0.3454611301422119
state_cond,deep,10,55,123,3.9923267364501953,102071,-0.3087496757507324
state_cond,shallow,10,55,7,4.3967719078063965,101925,0.0
state_cond,shallow,10,55,42,4.331042289733887,101925,0.0
state_cond,shallow,10,55,123,4.301076412200928,101925,0.0
state_free,deep,10,55,7,3.9880895614624023,98551,-0.3883957862854004
state_free,deep,10,55,42,3.9948229789733887,98551,-0.24194860458374023
state_free,deep,10,55,123,4.005377769470215,98551,-0.1202077865600586
state_free,shallow,10,55,7,4.376485347747803,98555,0.0
state_free,shallow,10,55,42,4.236771583557129,98555,0.0
state_free,shallow,10,55,123,4.125585556030273,98555,0.0
