model,h,N,train_frac,seed,nll_val,nll_test
state_cond,1,55,0.25,42,4.005782127380371,4.014114856719971
state_cond,1,55,0.25,7,4.004544258117676,4.00515079498291
state_cond,1,55,0.25,123,4.014004707336426,4.00999641418457
state_free,1,55,0.25,42,4.006065845489502,4.0120062828063965
state_free,1,55,0.25,7,4.017493724822998,4.010946750640869
state_free,1,55,0.25,123,4.018121242523193,4.008917808532715
state_cond,1,55,0.5,42,4.00546407699585,4.0139312744140625
state_cond,1,55,0.5,7,3.9809048175811768,4.050172805786133
state_cond,1,55,0.5,123,4.011472225189209,4.010321140289307
state_free,1,55,0.5,42,4.005381107330322,4.010763645172119
state_free,1,55,0.5,7,4.013119697570801,4.014815807342529
state_free,1,55,0.5,123,4.004297733306885,4.022951602935791
state_cond,1,55,0.75,42,3.9703378677368164,4.045227527618408
state_cond,1,55,0.75,7,3.971925973892212,4.030649185180664
state_cond,1,55,0.75,123,3.9922380447387695,4.042710304260254
state_free,1,55,0.75,42,3.9709200859069824,4.04536771774292
state_free,1,55,0.75,7,3.9739315509796143,4.108076095581055
state_free,1,55,0.75,123,3.9793593883514404,4.0191969871521
state_cond,1,55,1.0,42,3.9835681915283203,4.017306327819824
state_cond,1,55,1.0,7,3.957247257232666,4.0796942710876465
state_cond,1,55,1.0,123,3.967288017272949,4.022517204284668
state_free,1,55,1.0,42,3.9659204483032227,4.012254238128662
state_free,1,55,1.0,7,3.988966464996338,4.05042028427124
state_free,1,55,1.0,123,3.9765710830688477,4.011330604553223
state_cond,10,55,0.25,42,4.009692668914795,4.002042770385742
state_cond,10,55,0.25,7,4.013199329376221,4.012588977813721
state_cond,10,55,0.25,123,4.011386394500732,4.0092034339904785
state_free,10,55,0.25,42,4.005363464355469,4.007815837860107
state_free,10,55,0.25,7,4.010144233703613,4.012485504150391
state_free,10,55,0.25,123,4.010497570037842,4.01539945602417
state_cond,10,55,0.5,42,4.009583473205566,4.001528739929199
state_cond,10,55,0.5,7,4.007866859436035,4.009057521820068
state_cond,10,55,0.5,123,4.005124092102051,4.018820762634277
state_free,10,55,0.5,42,4.003788471221924,4.006874084472656
state_free,10,55,0.5,7,4.007225513458252,4.013716220855713
state_free,10,55,0.5,123,4.010177135467529,4.014078140258789
state_cond,10,55,0.75,42,3.9886999130249023,4.0207414627075195
state_cond,10,55,0.75,7,3.977407693862915,4.046321392059326
state_cond,10,55,0.75,123,3.992180347442627,3.977802276611328
state_free,10,55,0.75,42,3.975644588470459,3.9833505153656006
state_free,10,55,0.75,7,3.9691965579986572,3.982041120529175
state_free,10,55,0.75,123,3.9920361042022705,3.990694999694824
state_cond,10,55,1.0,42,3.987837553024292,3.9775068759918213
state_cond,10,55,1.0,7,3.9884705543518066,4.001354694366455
state_cond,10,55,1.0,123,3.9984309673309326,4.006311416625977
state_free,10,55,1.0,42,3.993617534637451,3.999457836151123
state_free,10,55,1.0,7,3.9999821186065674,3.9970767498016357
state_free,10,55,1.0,123,3.9870805740356445,3.9943268299102783
