timestep,ck_kl,ck_tv,date
0,0.01572131040181267,0.062403660887945744,2020-04-17
1,0.021493990968783395,0.0760581282662174,2020-04-20
2,0.02255792696713012,0.08387549163857425,2020-04-21
3,0.032579894671640006,0.0990973012260136,2020-04-22
4,0.07796267353448233,0.1536134711952027,2020-04-23
5,0.021140928209330438,0.07648400307394272,2020-04-24
6,0.05513047840602039,0.13141446434892526,2020-04-27
7,0.09106128032054298,0.17596907730662928,2020-04-28
8,0.013351764276512017,0.06290970766055613,2020-04-29
9,0.05747069270375344,0.13762555101286808,2020-04-30
10,0.02010733965270331,0.07917028843695118,2020-05-01
11,0.11162388533803902,0.17571006240714285,2020-05-04
12,0.027156451274536534,0.09022042904731654,2020-05-05
13,0.022406784319637905,0.07738981246550272,2020-05-06
14,0.2157007150150938,0.2749290894433923,2020-05-07
15,0.044854737596092716,0.12035597842742743,2020-05-08
16,0.018430512503792008,0.07299607859006445,2020-05-11
17,0.03676419458027197,0.1045471959706418,2020-05-12
18,0.028871679497088222,0.09421769364787373,2020-05-13
19,0.01816898987562093,0.07145342896740046,2020-05-14
20,0.01949969190178536,0.0743419265191437,2020-05-15
21,0.11187556298338508,0.1673781880684814,2020-05-18
22,0.11462364979314951,0.19897152775173352,2020-05-19
23,0.032565382674781145,0.09655232666707002,2020-05-20
24,0.09647395995997607,0.18065245974282368,2020-05-21
25,0.0743751740615421,0.16303389244987615,2020-05-22
26,0.06781138957473289,0.13771727962177946,2020-05-26
27,0.13476242997617896,0.18669289790729934,2020-05-27
28,0.019623525979387525,0.07673648284897824,2020-05-28
29,0.029980403977303914,0.09530402483567327,2020-05-29
30,0.031564628974697514,0.10051565670136221,2020-06-01
31,0.022635622678535194,0.07974860998269588,2020-06-02
32,0.05713368758062927,0.12289617115314687,2020-06-03
33,0.02282550857148035,0.08550529723763411,2020-06-04
34,0.36094188138847183,0.34902259416648135,2020-06-05
35,0.35654908597611323,0.34605209502169926,2020-06-08
36,0.2633899546619554,0.30897144207333654,2020-06-09
37,0.03208913400887499,0.09812343913055886,2020-06-10
38,0.35874588996717066,0.3221627769021158,2020-06-11
39,0.02860482554583324,0.09747829996420904,2020-06-12
40,0.019832923333799445,0.07799310385900644,2020-06-15
41,0.03393503528979307,0.09304325426304838,2020-06-16
42,0.07469562597912154,0.14220870794182383,2020-06-17
43,0.01360913436213702,0.062433844648132175,2020-06-18
44,0.0465549129247665,0.12226369563640127,2020-06-19
45,0.10217689129202538,0.19296114839401818,2020-06-22
46,0.12787749902559192,0.21742748604529866,2020-06-23
