model,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond,1,4,42,1.363946557044983,1.362669825553894,1.398573875427246,0.0122795143073555
state_cond,1,4,7,1.3564867973327637,1.3604010343551636,1.3955100774765017,0.0092157163566108
state_cond,1,4,123,1.3498297929763794,1.358021259307861,1.3929646015167236,0.006670240396833
state_free,1,4,42,1.3550653457641602,1.3601934909820557,1.3929448127746582,0.0066504516547676
state_free,1,4,7,1.3601120710372925,1.3603249788284302,1.398301362991333,0.0120070018714424
state_free,1,4,123,1.366123914718628,1.3630374670028689,1.3990776538848877,0.0127832927649971
state_cond,5,4,42,1.3863266706466677,1.381834626197815,1.4150817394256592,0.0287873783057686
state_cond,5,4,7,1.3615180253982544,1.376707673072815,1.4106982946395874,0.0244039335196968
state_cond,5,4,123,1.387939691543579,1.3837472200393677,1.419901728630066,0.0336073675101753
state_free,5,4,42,1.383836030960083,1.3831689357757568,1.4205710887908936,0.0342767276710029
state_free,5,4,7,1.365153431892395,1.3775639533996582,1.409302830696106,0.0230084695762153
state_free,5,4,123,1.3845499753952026,1.382990479469299,1.4179760217666626,0.031681660646772
state_cond,10,4,42,1.335374116897583,1.3766008615493774,1.403847575187683,0.0175532140677925
state_cond,10,4,7,1.32559072971344,1.3789801597595217,1.4019523859024048,0.0156580247825142
state_cond,10,4,123,1.3339060544967651,1.3720594644546509,1.399139165878296,0.0128448047584053
state_free,10,4,42,1.330548644065857,1.3794214725494385,1.4012397527694702,0.0149453916495796
state_free,10,4,7,1.3081586360931396,1.379590392112732,1.405861496925354,0.0195671358054634
state_free,10,4,123,1.3389719724655151,1.379901647567749,1.404644250869751,0.0183498897498604
state_cond,21,4,42,1.3210984468460083,1.3722987174987793,1.421227216720581,0.0349328556006904
state_cond,21,4,7,1.3333823680877686,1.378378987312317,1.416771411895752,0.0304770507758613
state_cond,21,4,123,1.3220617771148682,1.3742187023162842,1.412253975868225,0.0259596147483345
state_free,21,4,42,1.3274340629577637,1.3779233694076538,1.4088678359985352,0.0225734748786445
state_free,21,4,7,1.3223929405212402,1.3796048164367676,1.4257296323776243,0.0394352712577339
state_free,21,4,123,1.3248153924942017,1.373587727546692,1.4151618480682373,0.0288674869483467
state_cond,63,4,42,1.30401611328125,1.3414998054504397,1.3957667350769043,0.0094723739570137
state_cond,63,4,7,1.286138892173767,1.3556526899337769,1.386697769165039,0.0004034080451484
state_cond,63,4,123,1.2901149988174438,1.34429669380188,1.3830047845840454,-0.0032895765358451
state_free,63,4,42,1.2970649003982544,1.363065242767334,1.3839528560638428,-0.0023415050560477
state_free,63,4,7,1.3025470972061155,1.362384557723999,1.3905117511749268,0.0042173900550361
state_free,63,4,123,1.2856193780899048,1.344081997871399,1.3763277530670166,-0.0099666080528739
state_cond,1,10,42,2.1674001216888428,2.216137886047364,2.2760777473449707,-0.0265073456490751
state_cond,1,10,7,2.1494336128234863,2.211491346359253,2.28299617767334,-0.019588915320706
state_cond,1,10,123,2.1641762256622314,2.2129530906677246,2.278334856033325,-0.0242502369607207
state_free,1,10,42,2.163811683654785,2.215461254119873,2.280290126800537,-0.0222949661935087
state_free,1,10,7,2.13836407661438,2.2148373126983643,2.288475751876831,-0.0141093411172148
state_free,1,10,123,2.166068315505981,2.2167229652404785,2.2818119525909424,-0.0207731404031035
state_cond,5,10,42,2.175199508666992,2.257742166519165,2.28635573387146,-0.0162293591225859
state_cond,5,10,7,2.184930324554444,2.257103443145752,2.2865688800811768,-0.0160162129128691
state_cond,5,10,123,2.167416572570801,2.256913661956787,2.282672882080078,-0.0199122109139677
state_free,5,10,42,2.1610732078552246,2.2604782581329346,2.285598993301392,-0.0169860996926543
state_free,5,10,7,2.165678739547729,2.258929252624512,2.2900619506835938,-0.0125231423104521
state_free,5,10,123,2.193943977355957,2.267552375793457,2.2930448055267334,-0.0095402874673125
state_cond,10,10,42,2.27535367012024,2.2879886627197266,2.299690723419189,-0.0028943695748564
state_cond,10,10,7,2.18306040763855,2.2748281955718994,2.3080549240112305,0.0054698310171845
state_cond,10,10,123,2.288291454315185,2.293682813644409,2.296606540679932,-0.0059785523141142
state_free,10,10,42,2.274986982345581,2.2942419052124023,2.297749757766724,-0.0048353352273222
state_free,10,10,7,2.2835559844970703,2.291776418685913,2.297837257385254,-0.0047478356087919
state_free,10,10,123,2.2729880809783936,2.29382872581482,2.294870138168335,-0.0077149548257109
state_cond,21,10,42,2.269094944000244,2.296694755554199,2.3007688522338867,-0.0018162407601591
state_cond,21,10,7,2.2820751667022705,2.298193454742432,2.3065085411071777,0.0039234481131318
state_cond,21,10,123,2.284456491470337,2.294644355773926,2.298712015151977,-0.0038730778420683
state_free,21,10,42,2.270465135574341,2.2974064350128174,2.2988998889923096,-0.0036852040017363
state_free,21,10,7,2.28110146522522,2.298654079437256,2.296751022338867,-0.0058340706551787
state_free,21,10,123,2.266197681427002,2.3063652515411377,2.2977585792541504,-0.0048265137398955
state_cond,63,10,42,2.23701548576355,2.29978084564209,2.311166286468506,0.0085811934744599
state_cond,63,10,7,2.264167547225952,2.304318428039551,2.3059329986572266,0.0033479056631806
state_cond,63,10,123,2.271546602249145,2.303368330001831,2.30074143409729,-0.0018436588967558
state_free,63,10,42,2.240763187408448,2.3160417079925537,2.329129219055176,0.0265441260611298
state_free,63,10,7,2.263364553451538,2.308016300201416,2.3023085594177246,-0.0002765335763212
state_free,63,10,123,2.2410545349121094,2.304563045501709,2.311563491821289,0.0089783988272431
state_cond,1,20,42,2.8070528507232666,2.883782148361206,2.9680845737457275,-0.0276476998082633
state_cond,1,20,7,2.81957745552063,2.888031482696533,2.975905656814575,-0.0198266167394156
state_cond,1,20,123,2.797499179840088,2.8840928077697754,2.9786124229431152,-0.0171198506108756
state_free,1,20,42,2.807562828063965,2.8894217014312744,2.974663019180298,-0.021069254373693
state_free,1,20,7,2.8179428577423096,2.890061855316162,2.9765548706054688,-0.0191774029485221
state_free,1,20,123,2.816237688064575,2.885759353637696,2.972912311553955,-0.0228199620000357
state_cond,5,20,42,2.852792978286743,2.947861194610596,2.9825973510742188,-0.0131349224797721
state_cond,5,20,7,2.844542980194092,2.9510130882263184,2.9801857471466064,-0.0155465264073844
