timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.1916535,0.0,2020-04-22
1,0.0,3.3285792,0.0,2020-04-23
2,0.0,3.2674751,0.0,2020-04-24
3,0.0,3.3611465,0.0,2020-04-27
4,0.0,3.403614,0.0,2020-04-28
5,0.0,3.4420009,0.0,2020-04-29
6,0.0,3.4067855,0.0,2020-04-30
7,0.0,3.306458,0.0,2020-05-01
8,0.0,3.3130913,0.0,2020-05-04
9,0.0,3.3861961,0.0,2020-05-05
10,0.0,3.2955477,0.0,2020-05-06
11,0.0,3.4095643,0.0,2020-05-07
12,0.0,3.4411683,0.0,2020-05-08
13,0.0,3.4727073,0.0,2020-05-11
14,0.0,3.343745,0.0,2020-05-12
15,0.0,3.2178128,0.0,2020-05-13
16,0.0,3.3253362,0.0,2020-05-14
17,0.0,3.4649315,0.0,2020-05-15
18,0.0,3.3287456,0.0,2020-05-18
19,0.0,3.3395872,0.0,2020-05-19
20,0.0,3.3890245,0.0,2020-05-20
21,0.0,3.4146867,0.0,2020-05-21
22,0.0,3.5393047,0.0,2020-05-22
23,0.0,3.2612813,0.0,2020-05-26
24,0.0,3.348468,0.0,2020-05-27
25,0.0,3.3626304,0.0,2020-05-28
26,0.0,3.4216602,0.0,2020-05-29
27,0.0,3.4888952,0.0,2020-06-01
28,0.0,3.427166,0.0,2020-06-02
29,0.0,3.3935916,0.0,2020-06-03
30,0.0,3.4640794,0.0,2020-06-04
31,0.0,3.4471333,0.0,2020-06-05
32,0.0,3.4608326,0.0,2020-06-08
33,0.0,3.5036304,0.0,2020-06-09
34,0.0,3.382628,0.0,2020-06-10
35,0.0,2.9585922,0.0,2020-06-11
36,0.0,3.1586607,0.0,2020-06-12
37,0.0,3.249868,0.0,2020-06-15
38,0.0,3.4831512,0.0,2020-06-16
39,0.0,3.4850192,0.0,2020-06-17
40,0.0,3.2776594,0.0,2020-06-18
41,0.0,3.3739522,0.0,2020-06-19
42,0.0,3.5170438,0.0,2020-06-22
43,0.0,3.5221708,0.0,2020-06-23
44,0.0,3.4109502,0.0,2020-06-24
45,0.0,3.364866,0.0,2020-06-25
46,0.0,3.2431033,0.0,2020-06-26
47,0.0,3.397214,0.0,2020-06-29
48,0.0,3.393778,0.0,2020-06-30
