timestep,ck_kl,ck_tv,date
0,0.03541750053809447,0.08241410038224561,2020-03-27
1,0.03918369876170817,0.08859159243589064,2020-03-30
2,0.03298291978484747,0.08279476068448857,2020-03-31
3,0.037839066971632335,0.08410863439224392,2020-04-01
4,0.04087574661545833,0.08811608595339532,2020-04-02
5,0.040241360616578015,0.08920575624390258,2020-04-03
6,0.036958951845658304,0.0872468590673319,2020-04-06
7,0.03880981426238321,0.0899597177942561,2020-04-07
8,0.03561936523606318,0.08758349878045035,2020-04-08
9,0.029222785228056453,0.08289545311587997,2020-04-09
10,0.030222491901735326,0.08419687445603448,2020-04-13
11,0.12914917678186982,0.1966002925345172,2020-04-14
12,0.15565294413659095,0.2158583842529726,2020-04-15
13,0.13119959806712653,0.19736224284068257,2020-04-16
14,0.14627147103715502,0.21130878513277,2020-04-17
15,0.15671095901069726,0.22458616709591142,2020-04-20
16,0.06525124777351891,0.13071500245834236,2020-04-21
17,0.04729234975857618,0.10946465610147627,2020-04-22
18,0.06419248470084105,0.13135751561315723,2020-04-23
19,0.07995767125170893,0.15333547172052128,2020-04-24
20,0.10763879615087185,0.18490472273405564,2020-04-27
21,0.09007845730272142,0.16779374570586708,2020-04-28
22,0.12115143053145248,0.19825919808638506,2020-04-29
23,0.07733832016882146,0.1527383011786774,2020-04-30
24,0.03867244275832889,0.09644902650600184,2020-05-01
25,0.03064389481481946,0.08483658287241683,2020-05-04
26,0.023091782790120544,0.07515441743824039,2020-05-05
27,0.022000524125199917,0.07470749531034701,2020-05-06
28,0.022271009755669542,0.07963349560101039,2020-05-07
29,0.020602032262961048,0.07349194226883889,2020-05-08
30,0.02976985086077286,0.08691082972938888,2020-05-11
31,0.025884019426360375,0.07803752417341796,2020-05-12
32,0.21349489223127902,0.2552544296524674,2020-05-13
33,0.15680623361363547,0.21663421788001738,2020-05-14
34,0.1242677662276742,0.1908022875396105,2020-05-15
35,0.1280729021529014,0.19549810265737258,2020-05-18
36,0.12038351268808163,0.18897987473877653,2020-05-19
37,0.14060021438944723,0.20753610437077272,2020-05-20
38,0.18941474717658738,0.2442411010866555,2020-05-21
39,0.13239640153104507,0.20123393818369628,2020-05-22
40,0.12288212823087956,0.19376805414225357,2020-05-26
41,0.1889891302699114,0.24565499024694015,2020-05-27
42,0.15510505678891895,0.22038699155889638,2020-05-28
43,0.22580087620320885,0.2702975100350799,2020-05-29
44,0.15663941825792813,0.2214671961873513,2020-06-01
45,0.12886904783797154,0.2002094249073803,2020-06-02
46,0.10729114322428715,0.1846573213783306,2020-06-03
47,0.09154414298685437,0.1709058230413488,2020-06-04
48,0.122005834711496,0.20281013965489061,2020-06-05
49,0.15686313675889726,0.22962760609329375,2020-06-08
50,0.10594635246218587,0.18630928617017545,2020-06-09
51,0.11218174360458227,0.18997958979285534,2020-06-10
52,0.026502301159117832,0.07867894439158127,2020-06-11
53,0.10126803186473686,0.17287271788038913,2020-06-12
54,0.0669371199757299,0.1378538353542272,2020-06-15
55,0.04888075387803906,0.11632088175503659,2020-06-16
56,0.052845704830105415,0.12227942033578035,2020-06-17
