model,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond_full,1,55,42,,3.896557569503784,4.001328468322754,-0.006004716909717267
state_cond_full,1,55,7,,3.897258996963501,4.005078315734863,-0.002254869497607892
state_cond_full,1,55,123,,3.8926663398742676,3.993340253829956,-0.013992931402515119
state_cond_full,21,55,42,,4.006670951843262,4.010571002960205,0.003237817727733905
state_cond_full,21,55,7,,4.014279842376709,4.0143938064575195,0.007060621225048358
state_cond_full,21,55,123,,4.002041816711426,4.010250568389893,0.002917383157421405
state_cond_macro_only,1,55,42,,3.898613929748535,4.007101058959961,-0.00023212627251023576
state_cond_macro_only,1,55,7,,3.900289535522461,4.014111518859863,0.006778333627392108
state_cond_macro_only,1,55,123,,3.902590751647949,4.019798755645752,0.01246557041328078
state_cond_macro_only,21,55,42,,4.088670253753662,4.03149938583374,0.02416620060126906
state_cond_macro_only,21,55,7,,4.070328235626221,4.020752429962158,0.01341924472968703
state_cond_macro_only,21,55,123,,4.06126594543457,4.008437633514404,0.0011044482819331236
state_cond_own_only,1,55,42,,3.9131932258605957,3.992483615875244,-0.014849569357227033
state_cond_own_only,1,55,7,,3.915971040725708,3.993922710418701,-0.013410474813770001
state_cond_own_only,1,55,123,,3.9119935035705566,3.992255210876465,-0.01507797435600633
state_cond_own_only,21,55,42,,4.017093658447266,4.055383682250977,0.04805049701850539
state_cond_own_only,21,55,7,,4.006608486175537,4.029140472412109,0.021807287179638202
state_cond_own_only,21,55,123,,4.007943630218506,4.033241271972656,0.025908086740185077
state_cond_other_banks_only,1,55,42,,3.900090456008911,4.0242486000061035,0.016915414773632342
state_cond_other_banks_only,1,55,7,,3.8962960243225098,4.016279220581055,0.008946035348583514
state_cond_other_banks_only,1,55,123,,3.8947927951812744,4.019942283630371,0.01260909839789992
state_cond_other_banks_only,21,55,42,,4.00869083404541,4.0270609855651855,0.019727800332714374
state_cond_other_banks_only,21,55,7,,4.014229774475098,4.0315070152282715,0.02417382999580031
state_cond_other_banks_only,21,55,123,,4.026197910308838,4.031405925750732,0.02407274051826125
