timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.04211996868252754,3.2425015,0.20215233,2020-04-22
1,0.043251797556877136,3.2537136,0.20830119,2020-04-23
2,0.058734748512506485,3.4356396,0.2866744,2020-04-24
3,0.06713256239891052,3.5725453,0.32997227,2020-04-27
4,0.06626734882593155,3.5559814,0.3250087,2020-04-28
5,0.07007335126399994,3.633357,0.34758377,2020-04-29
6,0.06363885849714279,3.506498,0.31194478,2020-04-30
7,0.05939485877752304,3.5362718,0.31905827,2020-05-01
8,0.061130426824092865,3.57019,0.32932213,2020-05-04
9,0.06365606188774109,3.631455,0.34593484,2020-05-05
10,0.06386036425828934,3.6346123,0.34628907,2020-05-06
11,0.06538372486829758,3.6986308,0.35924697,2020-05-07
12,0.06576143950223923,3.7880607,0.369115,2020-05-08
13,0.06568180024623871,3.8005788,0.3694739,2020-05-11
14,0.06410171836614609,3.6386108,0.347805,2020-05-12
15,0.06078144535422325,3.5546916,0.3265083,2020-05-13
16,0.06384401768445969,3.6305807,0.34664112,2020-05-14
17,0.06437347829341888,3.6464212,0.35048437,2020-05-15
18,0.06594604253768921,3.7329645,0.36653036,2020-05-18
19,0.06557749956846237,3.7034748,0.36225685,2020-05-19
20,0.0659189522266388,3.7744253,0.3711693,2020-05-20
21,0.06582781672477722,3.737016,0.3680339,2020-05-21
22,0.0658797100186348,3.7723467,0.3712452,2020-05-22
23,0.06586909294128418,3.7812488,0.371968,2020-05-26
24,0.06575746834278107,3.7965996,0.37272787,2020-05-27
25,0.06582031399011612,3.7785587,0.37143874,2020-05-28
26,0.06583376973867416,3.7949424,0.37358618,2020-05-29
27,0.06586723774671555,3.7801547,0.3721297,2020-06-01
28,0.06577566266059875,3.8109798,0.37488014,2020-06-02
29,0.06524425745010376,3.8529236,0.37746826,2020-06-03
30,0.06506386399269104,3.859646,0.3769429,2020-06-04
31,0.06498315185308456,3.8978279,0.37693754,2020-06-05
32,0.06491275876760483,3.879076,0.37729508,2020-06-08
33,0.06534196436405182,3.8409123,0.37753847,2020-06-09
34,0.06562631577253342,3.8241117,0.3770392,2020-06-10
35,0.05081946402788162,3.395805,0.2755776,2020-06-11
36,0.060974907130002975,3.5670843,0.33235994,2020-06-12
37,0.06305720657110214,3.6169827,0.34558678,2020-06-15
38,0.06401996314525604,3.6463315,0.352246,2020-06-16
39,0.06436960399150848,3.659472,0.3547105,2020-06-17
40,0.06456945836544037,3.6672444,0.35689116,2020-06-18
41,0.06192243844270706,3.5877364,0.3390764,2020-06-19
42,0.0652407631278038,3.6962883,0.363432,2020-06-22
43,0.06549037992954254,3.7120273,0.36603045,2020-06-23
44,0.06356747448444366,3.6325395,0.34945792,2020-06-24
45,0.06489761918783188,3.6790774,0.35948128,2020-06-25
46,0.06195914000272751,3.5884833,0.33916909,2020-06-26
47,0.06492878496646881,3.6791658,0.35996872,2020-06-29
48,0.06566357612609863,3.7271442,0.36825824,2020-06-30
49,0.06587405502796173,3.783987,0.37404418,2020-07-01
50,0.06583830714225769,3.8081985,0.37624383,2020-07-02
51,0.06581594794988632,3.8084433,0.37624943,2020-07-06
52,0.06585043668746948,3.7652988,0.37309617,2020-07-07
53,0.0658465176820755,3.8077216,0.376711,2020-07-08
54,0.06583739817142487,3.7773979,0.37399238,2020-07-09
55,0.06576922535896301,3.8276117,0.37926325,2020-07-10
56,0.06508577615022659,3.6941178,0.36309513,2020-07-13
57,0.06583378463983536,3.776488,0.37388134,2020-07-14
58,0.06585673987865448,3.8170354,0.3785458,2020-07-15
59,0.0658806785941124,3.8115013,0.37797123,2020-07-16
60,0.06565669924020767,3.8696117,0.38157195,2020-07-17
61,0.06616029888391495,3.8893857,0.38386017,2020-07-20
62,0.06609881669282913,3.8847706,0.38412306,2020-07-21
63,0.06645502150058746,3.8945606,0.385463,2020-07-22
64,0.06594391167163849,3.8615158,0.3830736,2020-07-23
65,0.06594056636095047,3.8685427,0.383362,2020-07-24
66,0.0663730651140213,3.8933718,0.38510096,2020-07-27
