timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.030339540913701057,3.406767,0.1252761,2020-04-22
1,0.022167855873703957,3.5702577,0.088957965,2020-04-23
2,0.022816985845565796,3.6225128,0.075835094,2020-04-24
3,0.02383848838508129,3.7240913,0.08769205,2020-04-27
4,0.02944929152727127,3.8329818,0.11736901,2020-04-28
5,0.02825469709932804,3.6981304,0.114200994,2020-04-29
6,0.03942815959453583,3.7869058,0.1522974,2020-04-30
7,0.041945233941078186,3.4978983,0.17054272,2020-05-01
8,0.04019166901707649,3.5726352,0.15367968,2020-05-04
9,0.06650467962026596,3.8506181,0.2629057,2020-05-05
10,0.027166051790118217,3.5599542,0.099998824,2020-05-06
11,0.0526101253926754,3.886682,0.20922035,2020-05-07
12,0.04681834578514099,3.897008,0.18290123,2020-05-08
13,0.04976766183972359,3.835748,0.18317676,2020-05-11
14,0.05773350968956947,3.757033,0.25082782,2020-05-12
15,0.03582385554909706,3.1320744,0.15804131,2020-05-13
16,0.04872420057654381,3.7096555,0.19541007,2020-05-14
17,0.0673167034983635,3.926356,0.25016555,2020-05-15
18,0.027230799198150635,3.6188202,0.11056254,2020-05-18
19,0.03417271003127098,3.6959512,0.1380588,2020-05-19
20,0.033644478768110275,3.5981326,0.14352712,2020-05-20
21,0.04872361570596695,3.8138447,0.17437963,2020-05-21
22,0.11012813448905945,3.9577582,0.38292396,2020-05-22
23,0.02063964307308197,3.533279,0.07360044,2020-05-26
24,0.014369036071002483,3.6613963,0.051873572,2020-05-27
25,0.014304556883871555,3.6229208,0.05201755,2020-05-28
26,0.048448920249938965,3.8001897,0.18036498,2020-05-29
27,0.07449100911617279,3.9346263,0.2672199,2020-06-01
28,0.03404216095805168,3.757379,0.11463182,2020-06-02
29,0.030567554756999016,3.6867824,0.107418984,2020-06-03
30,0.022671405225992203,3.7571645,0.09824452,2020-06-04
31,0.02314954251050949,3.766105,0.0979901,2020-06-05
32,0.01860959827899933,3.7228093,0.06743598,2020-06-08
33,0.03905336931347847,3.8048077,0.14570242,2020-06-09
34,0.04104822874069214,3.5640314,0.15805823,2020-06-10
35,0.015220879577100277,2.6344101,0.06506064,2020-06-11
36,0.024523412808775902,3.0603864,0.09884452,2020-06-12
37,0.030567623674869537,3.4750996,0.11490157,2020-06-15
38,0.04487338662147522,3.8784113,0.17895365,2020-06-16
39,0.054282840341329575,3.9325905,0.1886726,2020-06-17
40,0.030178258195519447,3.5506575,0.12669043,2020-06-18
41,0.05377316474914551,3.8346682,0.18758833,2020-06-19
42,0.12184324860572815,3.9539266,0.4035454,2020-06-22
43,0.12305669486522675,3.9310246,0.42401204,2020-06-23
44,0.04732947424054146,3.7664444,0.17280388,2020-06-24
45,0.044460467994213104,3.7692413,0.16874848,2020-06-25
46,0.05416634678840637,3.6571193,0.23202701,2020-06-26
47,0.05601086840033531,3.7648244,0.22508535,2020-06-29
48,0.049798302352428436,3.8284483,0.19294465,2020-06-30
49,0.08405394107103348,3.981053,0.29215065,2020-07-01
50,0.05501057580113411,3.8411067,0.18031222,2020-07-02
