timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.04203447327017784,3.8360462,0.14887105,2020-03-27
1,0.041145484894514084,3.825399,0.14598106,2020-03-30
2,0.025860877707600594,3.5641575,0.10012211,2020-03-31
3,0.07345850020647049,3.935995,0.28850743,2020-04-01
4,0.04336944594979286,3.78822,0.17632426,2020-04-02
5,0.04794120416045189,3.831607,0.17268604,2020-04-03
6,0.0835784450173378,3.969198,0.31509405,2020-04-06
7,0.030555669218301773,3.5741632,0.12368552,2020-04-07
8,0.040990881621837616,3.8829494,0.1571288,2020-04-08
9,0.06964815407991409,3.9589436,0.24535699,2020-04-09
10,0.045750513672828674,3.8466785,0.16783698,2020-04-13
11,0.017884138971567154,3.6510997,0.0729287,2020-04-14
12,0.031507980078458786,3.4697442,0.14107567,2020-04-15
13,0.045544493943452835,3.8539271,0.1810412,2020-04-16
14,0.04259456694126129,3.732035,0.1835169,2020-04-17
15,0.056654952466487885,3.9331994,0.18998024,2020-04-20
16,0.05329045653343201,3.8725994,0.20635729,2020-04-21
17,0.04051454737782478,3.7126348,0.15743552,2020-04-22
18,0.028453100472688675,3.7757938,0.11214951,2020-04-23
19,0.07244691997766495,3.9505699,0.26219156,2020-04-24
20,0.07470414787530899,3.9810734,0.27494904,2020-04-27
21,0.06971016526222229,3.9542387,0.23263709,2020-04-28
22,0.08752503991127014,3.9822865,0.30425733,2020-04-29
23,0.09385357797145844,3.9841976,0.32886994,2020-04-30
24,0.07195302844047546,3.9303694,0.2858502,2020-05-01
25,0.0687931701540947,3.942385,0.2531409,2020-05-04
26,0.09105298668146133,3.9771569,0.34035036,2020-05-05
27,0.08274013549089432,3.986489,0.30068102,2020-05-06
28,0.09240517020225525,3.9854498,0.3257086,2020-05-07
29,0.08217563480138779,3.9863708,0.29643422,2020-05-08
30,0.08238570392131805,3.9887378,0.29785612,2020-05-11
31,0.08107814937829971,3.9618714,0.30298713,2020-05-12
32,0.0709114819765091,3.9358633,0.2622801,2020-05-13
33,0.05152881145477295,3.8137574,0.21885848,2020-05-14
34,0.07971267402172089,3.9650476,0.29185218,2020-05-15
35,0.0570949912071228,3.9422681,0.21751842,2020-05-18
36,0.07191202044487,3.9621172,0.23900785,2020-05-19
37,0.06417999416589737,3.9318438,0.22400746,2020-05-20
38,0.09156926721334457,3.9862776,0.3218814,2020-05-21
39,0.09474702179431915,3.9666529,0.33120057,2020-05-22
40,0.0705275684595108,3.949615,0.25680113,2020-05-26
41,0.054779645055532455,3.9387305,0.19595864,2020-05-27
42,0.06435637176036835,3.971035,0.22456557,2020-05-28
43,0.07112906873226166,3.968158,0.26273513,2020-05-29
44,0.07406537234783173,3.9365313,0.28224057,2020-06-01
45,0.06351127475500107,3.9091861,0.24730077,2020-06-02
46,0.08032456040382385,3.971904,0.28890967,2020-06-03
47,0.07748230546712875,3.9764202,0.25916037,2020-06-04
48,0.07834730297327042,3.9818704,0.26384452,2020-06-05
49,0.08385481685400009,3.9877238,0.2922746,2020-06-08
50,0.08725590258836746,3.9820766,0.3069444,2020-06-09
51,0.08110559731721878,3.9607258,0.31299984,2020-06-10
52,0.05416691303253174,3.8540714,0.22371668,2020-06-11
53,0.03392939269542694,3.5887694,0.14774752,2020-06-12
54,0.05390162020921707,3.9031777,0.18394147,2020-06-15
55,0.09202391654253006,3.9839766,0.31727436,2020-06-16
56,0.06529408693313599,3.9620461,0.2425526,2020-06-17
57,0.04110008105635643,3.7953022,0.14178024,2020-06-18
58,0.08000999689102173,3.976771,0.28003734,2020-06-19
59,0.09707912057638168,3.9640176,0.34875822,2020-06-22
60,0.09875652939081192,3.982535,0.36276352,2020-06-23
61,0.07495798170566559,3.9755714,0.27177116,2020-06-24
62,0.07896333187818527,3.9804919,0.29291174,2020-06-25
63,0.07174919545650482,3.9463732,0.26234403,2020-06-26
64,0.06631780415773392,3.9239607,0.24631026,2020-06-29
65,0.08584148436784744,3.9796753,0.29794037,2020-06-30
66,0.0916515439748764,3.984991,0.31774554,2020-07-01
67,0.08938086032867432,3.9869387,0.32632166,2020-07-02
68,0.07171125710010529,3.9577558,0.25408426,2020-07-06
69,0.08979133516550064,3.9770648,0.32061467,2020-07-07
70,0.09700893610715866,3.978063,0.3495488,2020-07-08
71,0.0918191447854042,3.98264,0.32141805,2020-07-09
72,0.08072303980588913,3.9556534,0.3107652,2020-07-10
73,0.04997559264302254,3.833425,0.20101587,2020-07-13
74,0.0840442106127739,3.988491,0.30147266,2020-07-14
75,0.09587546437978745,3.9629636,0.34149125,2020-07-15
76,0.09224024415016174,3.9789553,0.3243906,2020-07-16
77,0.07895012199878693,3.9546235,0.30633613,2020-07-17
78,0.09292993694543839,3.9818475,0.33963758,2020-07-20
79,0.09504681080579758,3.9831545,0.3306623,2020-07-21
80,0.09489991515874863,3.977821,0.33422175,2020-07-22
81,0.09287980943918228,3.9820266,0.32282025,2020-07-23
82,0.09048294275999069,3.9803264,0.31886387,2020-07-24
83,0.09343396127223969,3.971723,0.33840224,2020-07-27
84,0.07598912715911865,3.938749,0.30485725,2020-07-28
85,0.09623461216688156,3.9738247,0.33596885,2020-07-29
86,0.0908730998635292,3.9687433,0.31629533,2020-07-30
87,0.09573622047901154,3.9838352,0.34097663,2020-07-31
88,0.09829220920801163,3.9777987,0.34565976,2020-08-03
89,0.09475193917751312,3.9505868,0.3397545,2020-08-04
90,0.09736423939466476,3.9840803,0.35877293,2020-08-05
91,0.09580904990434647,3.9696517,0.3319318,2020-08-06
92,0.09788931161165237,3.9725075,0.3495726,2020-08-07
93,0.08727563172578812,3.9826798,0.31268215,2020-08-10
94,0.09280011057853699,3.971405,0.32271966,2020-08-11
95,0.09529341012239456,3.9640672,0.33969587,2020-08-12
96,0.09535512328147888,3.96407,0.3419929,2020-08-13
97,0.09712125360965729,3.9835005,0.36214548,2020-08-14
98,0.09776774793863297,3.983776,0.35841933,2020-08-17
99,0.09791406989097595,3.9726768,0.35229594,2020-08-18
100,0.09411128610372543,3.9839225,0.33301383,2020-08-19
101,0.09886941313743591,3.9785738,0.34758708,2020-08-20
102,0.09842341393232346,3.973377,0.3521629,2020-08-21
103,0.09719089418649673,3.983528,0.340816,2020-08-24
104,0.0954379215836525,3.9774418,0.32773083,2020-08-25
105,0.09212855249643326,3.951034,0.3265038,2020-08-26
106,0.09331467747688293,3.9794986,0.33330512,2020-08-27
107,0.09833920001983643,3.977785,0.346476,2020-08-28
108,0.0953969955444336,3.963696,0.3418286,2020-08-31
109,0.09882564097642899,3.972798,0.35667983,2020-09-01
110,0.09741419553756714,3.9824045,0.34039223,2020-09-02
111,0.09435278922319412,3.976245,0.3316394,2020-09-03
112,0.09572875499725342,3.9805605,0.3405873,2020-09-04
113,0.08954491466283798,3.9847715,0.31300345,2020-09-08
114,0.09337137639522552,3.9849443,0.33799,2020-09-09
115,0.09572110325098038,3.984145,0.33996055,2020-09-10
116,0.09964919835329056,3.976497,0.35566127,2020-09-11
117,0.09787680208683014,3.9810436,0.3539591,2020-09-14
118,0.09143137186765671,3.9856682,0.3156051,2020-09-15
119,0.09807701408863068,3.9832335,0.35651824,2020-09-16
120,0.09805983304977417,3.9809923,0.34331432,2020-09-17
121,0.09634999185800552,3.9811497,0.34564126,2020-09-18
122,0.09795890003442764,3.9829993,0.35576782,2020-09-21
123,0.09324664622545242,3.9828234,0.3323892,2020-09-22
124,0.09343831986188889,3.9851992,0.3323557,2020-09-23
125,0.09512336552143097,3.9843109,0.33786067,2020-09-24
126,0.09879285842180252,3.9827945,0.3528942,2020-09-25
127,0.09445188194513321,3.9769785,0.3315007,2020-09-28
128,0.09342821687459946,3.9700823,0.3261457,2020-09-29
129,0.09373065829277039,3.98488,0.32792974,2020-09-30
130,0.09773940593004227,3.965242,0.3479288,2020-10-01
131,0.0951668918132782,3.9575498,0.33977395,2020-10-02
132,0.09849140048027039,3.9680138,0.35726634,2020-10-05
133,0.09142541140317917,3.975903,0.3258437,2020-10-06
134,0.09767436236143112,3.9839027,0.3604143,2020-10-07
135,0.0962953194975853,3.9664938,0.3388848,2020-10-08
136,0.09609190374612808,3.9617665,0.34229615,2020-10-09
137,0.09427865594625473,3.95569,0.33759004,2020-10-12
138,0.09508120268583298,3.967038,0.33244672,2020-10-13
139,0.08604660630226135,3.974879,0.32036892,2020-10-14
140,0.07724592089653015,3.9550438,0.2895982,2020-10-15
141,0.09007934480905533,3.9821525,0.31865552,2020-10-16
142,0.0963611975312233,3.961889,0.3458907,2020-10-19
143,0.08874499052762985,3.9761086,0.3179934,2020-10-20
144,0.08044899255037308,3.9667127,0.26751298,2020-10-21
145,0.09865766018629074,3.981646,0.35999972,2020-10-22
146,0.09375620633363724,3.9655406,0.32569215,2020-10-23
147,0.09353300929069519,3.9767199,0.32571897,2020-10-26
148,0.09621400386095047,3.9736798,0.34648877,2020-10-27
149,0.09107867628335953,3.9789722,0.3334859,2020-10-28
150,0.09325578808784485,3.9846735,0.33928132,2020-10-29
151,0.09814687073230743,3.9773886,0.34813973,2020-10-30
152,0.09643901884555817,3.9711034,0.33557677,2020-11-02
153,0.092758908867836,3.9803233,0.32435432,2020-11-03
154,0.0926729068160057,3.9831328,0.3166456,2020-11-04
155,0.09160466492176056,3.9856582,0.33276698,2020-11-05
156,0.09165214002132416,3.985321,0.3116976,2020-11-06
157,0.08282221108675003,3.982441,0.2907591,2020-11-09
158,0.03324300795793533,3.832158,0.12126703,2020-11-10
159,0.04135306552052498,3.8592737,0.13912004,2020-11-11
160,0.0784393846988678,3.9483972,0.31058687,2020-11-12
161,0.09622550010681152,3.9828162,0.3405654,2020-11-13
162,0.03462931513786316,3.684004,0.13589585,2020-11-16
163,0.09685720503330231,3.9708264,0.34159964,2020-11-17
164,0.09413503855466843,3.966058,0.3336913,2020-11-18
165,0.09722873568534851,3.9835184,0.3413445,2020-11-19
166,0.09546413272619247,3.971324,0.33979535,2020-11-20
167,0.09871421009302139,3.9682713,0.35820773,2020-11-23
168,0.09597569704055786,3.9810874,0.33729836,2020-11-24
169,0.08482611924409866,3.987052,0.27970868,2020-11-25
170,0.09386807680130005,3.9737484,0.3269265,2020-11-27
171,0.09758410602807999,3.971596,0.3447752,2020-11-30
172,0.09784450381994247,3.9824495,0.35591418,2020-12-01
173,0.08859093487262726,3.985594,0.31301567,2020-12-02
174,0.09167767316102982,3.958807,0.32769713,2020-12-03
175,0.09577454626560211,3.9841492,0.34827855,2020-12-04
176,0.09148628264665604,3.979195,0.3269707,2020-12-07
177,0.09927256405353546,3.965502,0.3613561,2020-12-08
178,0.038683295249938965,3.8670998,0.14783978,2020-12-09
179,0.09910162538290024,3.9741282,0.35448515,2020-12-10
180,0.09855891019105911,3.964534,0.35559568,2020-12-11
181,0.09948612004518509,3.981743,0.35856116,2020-12-14
182,0.09882001578807831,3.9767237,0.34947914,2020-12-15
183,0.09477507323026657,3.961838,0.33462927,2020-12-16
184,0.09623267501592636,3.9554057,0.34674698,2020-12-17
185,0.09487856179475784,3.9844766,0.33407888,2020-12-18
186,0.09559009969234467,3.9827762,0.33524114,2020-12-21
187,0.09456687420606613,3.965659,0.33211088,2020-12-22
188,0.09387192875146866,3.9730668,0.33825523,2020-12-23
189,0.0888945609331131,3.9767835,0.31867763,2020-12-24
190,0.09495885670185089,3.9558988,0.33656532,2020-12-28
191,0.09801839292049408,3.9702501,0.3549106,2020-12-29
192,0.09947985410690308,3.980464,0.35216796,2020-12-30
193,0.09602982550859451,3.9600832,0.3459697,2020-12-31
194,0.09525416046380997,3.9602726,0.3350859,2021-01-04
195,0.09804343432188034,3.9647748,0.3527645,2021-01-05
196,0.09351857006549835,3.9834564,0.3241183,2021-01-06
197,0.08617430180311203,3.9879954,0.2942301,2021-01-07
198,0.09023846685886383,3.9779544,0.3073711,2021-01-08
199,0.09750986844301224,3.9720726,0.34491453,2021-01-11
200,0.09557255357503891,3.9707072,0.33600146,2021-01-12
201,0.0910501703619957,3.9852848,0.32777494,2021-01-13
202,0.09880746901035309,3.9719505,0.3585054,2021-01-14
