timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.03306546062231064,1.2694803,0.119764894,2020-03-27
1,0.03577853739261627,1.3573495,0.14507596,2020-03-30
2,0.034491535276174545,1.2517786,0.13210942,2020-03-31
3,0.04632150009274483,1.3804172,0.173008,2020-04-01
4,0.06743776798248291,1.3718747,0.25731996,2020-04-02
5,0.036833036690950394,1.3817624,0.12599221,2020-04-03
6,0.04037923738360405,1.3064473,0.16232735,2020-04-06
7,0.04092876985669136,1.366467,0.15246391,2020-04-07
8,0.0321970172226429,1.2954096,0.123375185,2020-04-08
9,0.02419440820813179,1.2777702,0.09938747,2020-04-09
10,0.02818976528942585,1.2811749,0.10974326,2020-04-13
11,0.04563632979989052,1.251398,0.17043912,2020-04-14
12,0.04449734091758728,1.3744891,0.14517918,2020-04-15
13,0.041116971522569656,1.3693917,0.15254158,2020-04-16
14,0.025871839374303818,1.2115257,0.10168466,2020-04-17
15,0.04538607597351074,1.3767588,0.17273253,2020-04-20
16,0.03400450944900513,1.3080993,0.12798211,2020-04-21
17,0.03588723763823509,1.326279,0.13761707,2020-04-22
18,0.03443671762943268,1.2651447,0.122588694,2020-04-23
19,0.045533254742622375,1.3613846,0.17557782,2020-04-24
20,0.052020929753780365,1.3814437,0.19690926,2020-04-27
21,0.02940727211534977,1.3431141,0.12375639,2020-04-28
22,0.031577881425619125,1.3536625,0.124675125,2020-04-29
23,0.028811262920498848,1.3734502,0.11170769,2020-04-30
24,0.04375791177153587,1.3781618,0.15327887,2020-05-01
25,0.048911090940237045,1.3372757,0.18732236,2020-05-04
26,0.030881430953741074,1.2958713,0.109763876,2020-05-05
27,0.05473722890019417,1.3579972,0.20336702,2020-05-06
28,0.03907483071088791,1.3535342,0.14881152,2020-05-07
29,0.04137104004621506,1.3742653,0.16195002,2020-05-08
30,0.03937971964478493,1.3715775,0.13918376,2020-05-11
31,0.04218323156237602,1.3789831,0.1565577,2020-05-12
32,0.038128212094306946,1.367903,0.13753042,2020-05-13
33,0.037151359021663666,1.3500909,0.14232016,2020-05-14
34,0.0322185643017292,1.314723,0.117382154,2020-05-15
35,0.0381811186671257,1.3178102,0.15328087,2020-05-18
36,0.03318014740943909,1.3609035,0.12582526,2020-05-19
37,0.04024072736501694,1.3700699,0.15216774,2020-05-20
38,0.044175710529088974,1.3577924,0.15907902,2020-05-21
39,0.0453471802175045,1.3702297,0.17435074,2020-05-22
40,0.05193621292710304,1.3596689,0.18406077,2020-05-26
41,0.03177335113286972,1.2693518,0.13756455,2020-05-27
42,0.04128284007310867,1.3439957,0.16061603,2020-05-28
43,0.04517747089266777,1.3701563,0.16971397,2020-05-29
44,0.039657995104789734,1.3716037,0.14754777,2020-06-01
45,0.0372345931828022,1.3168129,0.1335663,2020-06-02
46,0.03730301186442375,1.3486335,0.12928855,2020-06-03
47,0.028133967891335487,1.268946,0.11630647,2020-06-04
48,0.03161365166306496,1.3048043,0.12939969,2020-06-05
49,0.03863001987338066,1.3297822,0.15480669,2020-06-08
50,0.04156089946627617,1.3788718,0.15965836,2020-06-09
51,0.04066938906908035,1.3120992,0.14489801,2020-06-10
52,0.02943275310099125,1.2307822,0.09930392,2020-06-11
53,0.05966055393218994,1.3792274,0.22236753,2020-06-12
54,0.04587385803461075,1.3814062,0.16744061,2020-06-15
55,0.035240136086940765,1.3294288,0.14219436,2020-06-16
56,0.03816484659910202,1.3370478,0.14097527,2020-06-17
57,0.042637985199689865,1.3704681,0.16352017,2020-06-18
58,0.04507637023925781,1.362158,0.16229779,2020-06-19
59,0.041140273213386536,1.3578162,0.15291253,2020-06-22
60,0.03856669366359711,1.3710494,0.14331815,2020-06-23
61,0.04182400554418564,1.372229,0.15276384,2020-06-24
62,0.0493561290204525,1.3629439,0.1910551,2020-06-25
