timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.1410356,0.0,2020-04-22
1,0.0,3.504839,0.0,2020-04-23
2,0.0,3.0483913,0.0,2020-04-24
3,0.0,3.3709733,0.0,2020-04-27
4,0.0,3.3395524,0.0,2020-04-28
5,0.0,3.2240562,0.0,2020-04-29
6,0.0,3.2517803,0.0,2020-04-30
7,0.0,3.0662577,0.0,2020-05-01
8,0.0,3.207425,0.0,2020-05-04
9,0.0,3.4344037,0.0,2020-05-05
10,0.0,3.304086,0.0,2020-05-06
11,0.0,3.3146272,0.0,2020-05-07
12,0.0,3.5157144,0.0,2020-05-08
13,0.0,3.5291898,0.0,2020-05-11
14,0.0,3.124018,0.0,2020-05-12
15,0.0,2.724577,0.0,2020-05-13
16,0.0,3.3616686,0.0,2020-05-14
17,0.0,3.4992542,0.0,2020-05-15
18,0.0,3.2832952,0.0,2020-05-18
19,0.0,3.2735023,0.0,2020-05-19
20,0.0,3.374569,0.0,2020-05-20
21,0.0,3.3190246,0.0,2020-05-21
22,0.0,3.4845533,0.0,2020-05-22
23,0.0,3.0745456,0.0,2020-05-26
24,0.0,3.2669103,0.0,2020-05-27
25,0.0,3.162609,0.0,2020-05-28
26,0.0,3.442347,0.0,2020-05-29
27,0.0,3.46609,0.0,2020-06-01
28,0.0,3.4877713,0.0,2020-06-02
29,0.0,3.2814531,0.0,2020-06-03
30,0.0,3.2969463,0.0,2020-06-04
31,0.0,3.456778,0.0,2020-06-05
32,0.0,3.359406,0.0,2020-06-08
33,0.0,3.5047164,0.0,2020-06-09
34,0.0,3.3478425,0.0,2020-06-10
35,0.0,2.4896,0.0,2020-06-11
36,0.0,2.5537453,0.0,2020-06-12
37,0.0,3.0367315,0.0,2020-06-15
38,0.0,3.4157753,0.0,2020-06-16
39,0.0,3.5397985,0.0,2020-06-17
40,0.0,3.2003202,0.0,2020-06-18
41,0.0,3.2814877,0.0,2020-06-19
42,0.0,3.4412117,0.0,2020-06-22
43,0.0,3.4273481,0.0,2020-06-23
44,0.0,3.4267716,0.0,2020-06-24
45,0.0,3.2458382,0.0,2020-06-25
46,0.0,3.3040023,0.0,2020-06-26
47,0.0,3.2765017,0.0,2020-06-29
48,0.0,3.3098757,0.0,2020-06-30
49,0.0,3.522893,0.0,2020-07-01
50,0.0,3.4000292,0.0,2020-07-02
51,0.0,3.2969637,0.0,2020-07-06
52,0.0,3.518338,0.0,2020-07-07
53,0.0,3.3917742,0.0,2020-07-08
54,0.0,3.3926582,0.0,2020-07-09
55,0.0,3.446599,0.0,2020-07-10
56,0.0,3.4920619,0.0,2020-07-13
57,0.0,3.5298262,0.0,2020-07-14
58,0.0,3.4721525,0.0,2020-07-15
59,0.0,3.516378,0.0,2020-07-16
60,0.0,3.401269,0.0,2020-07-17
61,0.0,3.494875,0.0,2020-07-20
62,0.0,3.451233,0.0,2020-07-21
63,0.0,3.527045,0.0,2020-07-22
64,0.0,3.4813182,0.0,2020-07-23
65,0.0,3.500719,0.0,2020-07-24
66,0.0,3.5377617,0.0,2020-07-27
67,0.0,3.4717507,0.0,2020-07-28
68,0.0,3.5282044,0.0,2020-07-29
69,0.0,3.543047,0.0,2020-07-30
70,0.0,3.5034215,0.0,2020-07-31
71,0.0,3.5083804,0.0,2020-08-03
72,0.0,3.5428972,0.0,2020-08-04
73,0.0,3.511902,0.0,2020-08-05
74,0.0,3.5341167,0.0,2020-08-06
75,0.0,3.520915,0.0,2020-08-07
76,0.0,3.5427065,0.0,2020-08-10
77,0.0,3.4935184,0.0,2020-08-11
78,0.0,3.5128279,0.0,2020-08-12
79,0.0,3.5275764,0.0,2020-08-13
80,0.0,3.5215337,0.0,2020-08-14
81,0.0,3.513412,0.0,2020-08-17
82,0.0,3.526498,0.0,2020-08-18
83,0.0,3.435398,0.0,2020-08-19
84,0.0,3.5330045,0.0,2020-08-20
85,0.0,3.5313382,0.0,2020-08-21
86,0.0,3.4711654,0.0,2020-08-24
87,0.0,3.5286014,0.0,2020-08-25
88,0.0,3.5176752,0.0,2020-08-26
89,0.0,3.5176685,0.0,2020-08-27
90,0.0,3.5154216,0.0,2020-08-28
91,0.0,3.4450924,0.0,2020-08-31
92,0.0,3.5254192,0.0,2020-09-01
93,0.0,3.5041084,0.0,2020-09-02
94,0.0,3.3321722,0.0,2020-09-03
95,0.0,3.4042788,0.0,2020-09-04
96,0.0,3.429905,0.0,2020-09-08
97,0.0,3.4301414,0.0,2020-09-09
98,0.0,3.2525756,0.0,2020-09-10
99,0.0,3.5288389,0.0,2020-09-11
100,0.0,3.5159252,0.0,2020-09-14
101,0.0,3.5352972,0.0,2020-09-15
102,0.0,3.4164746,0.0,2020-09-16
103,0.0,3.5388927,0.0,2020-09-17
104,0.0,3.394774,0.0,2020-09-18
105,0.0,3.364573,0.0,2020-09-21
106,0.0,3.408673,0.0,2020-09-22
107,0.0,3.2438715,0.0,2020-09-23
108,0.0,3.3144228,0.0,2020-09-24
109,0.0,3.5206265,0.0,2020-09-25
110,0.0,3.4841049,0.0,2020-09-28
111,0.0,3.5094302,0.0,2020-09-29
112,0.0,3.509448,0.0,2020-09-30
113,0.0,3.5215917,0.0,2020-10-01
114,0.0,3.40961,0.0,2020-10-02
115,0.0,3.524073,0.0,2020-10-05
116,0.0,3.435266,0.0,2020-10-06
117,0.0,3.4985251,0.0,2020-10-07
118,0.0,3.5115914,0.0,2020-10-08
119,0.0,3.5221741,0.0,2020-10-09
120,0.0,3.5055351,0.0,2020-10-12
121,0.0,3.5331538,0.0,2020-10-13
122,0.0,3.4349384,0.0,2020-10-14
123,0.0,3.439106,0.0,2020-10-15
124,0.0,3.457681,0.0,2020-10-16
125,0.0,3.484076,0.0,2020-10-19
126,0.0,3.4833133,0.0,2020-10-20
127,0.0,3.5276,0.0,2020-10-21
128,0.0,3.5011,0.0,2020-10-22
129,0.0,3.5356712,0.0,2020-10-23
130,0.0,3.4977367,0.0,2020-10-26
131,0.0,3.461377,0.0,2020-10-27
132,0.0,2.962299,0.0,2020-10-28
133,0.0,3.4421127,0.0,2020-10-29
134,0.0,3.3541536,0.0,2020-10-30
135,0.0,3.470622,0.0,2020-11-02
136,0.0,3.451862,0.0,2020-11-03
137,0.0,3.4583576,0.0,2020-11-04
138,0.0,3.370198,0.0,2020-11-05
139,0.0,3.5031767,0.0,2020-11-06
140,0.0,3.021637,0.0,2020-11-09
141,0.0,3.310747,0.0,2020-11-10
142,0.0,3.4064736,0.0,2020-11-11
143,0.0,3.474854,0.0,2020-11-12
144,0.0,3.4893665,0.0,2020-11-13
145,0.0,3.3616624,0.0,2020-11-16
146,0.0,3.51201,0.0,2020-11-17
147,0.0,3.525763,0.0,2020-11-18
148,0.0,3.501395,0.0,2020-11-19
149,0.0,3.5421453,0.0,2020-11-20
150,0.0,3.4810843,0.0,2020-11-23
151,0.0,3.5168612,0.0,2020-11-24
152,0.0,3.5071697,0.0,2020-11-25
153,0.0,3.5018814,0.0,2020-11-27
154,0.0,3.510663,0.0,2020-11-30
155,0.0,3.5180497,0.0,2020-12-01
156,0.0,3.490674,0.0,2020-12-02
157,0.0,3.4456294,0.0,2020-12-03
158,0.0,3.5073206,0.0,2020-12-04
159,0.0,3.451642,0.0,2020-12-07
160,0.0,3.500912,0.0,2020-12-08
161,0.0,3.505643,0.0,2020-12-09
162,0.0,3.5364578,0.0,2020-12-10
163,0.0,3.5329409,0.0,2020-12-11
164,0.0,3.515338,0.0,2020-12-14
165,0.0,3.5273652,0.0,2020-12-15
166,0.0,3.5027277,0.0,2020-12-16
167,0.0,3.5009108,0.0,2020-12-17
168,0.0,3.5188005,0.0,2020-12-18
169,0.0,3.405994,0.0,2020-12-21
170,0.0,3.5028987,0.0,2020-12-22
171,0.0,3.4974957,0.0,2020-12-23
172,0.0,3.4700437,0.0,2020-12-24
173,0.0,3.50795,0.0,2020-12-28
174,0.0,3.4928453,0.0,2020-12-29
175,0.0,3.4910789,0.0,2020-12-30
176,0.0,3.5319963,0.0,2020-12-31
177,0.0,3.5421925,0.0,2021-01-04
178,0.0,3.5150821,0.0,2021-01-05
179,0.0,3.4930787,0.0,2021-01-06
180,0.0,3.5013542,0.0,2021-01-07
181,0.0,3.4716153,0.0,2021-01-08
182,0.0,3.5041351,0.0,2021-01-11
183,0.0,3.5348802,0.0,2021-01-12
184,0.0,3.514197,0.0,2021-01-13
185,0.0,3.5233343,0.0,2021-01-14
186,0.0,3.454376,0.0,2021-01-15
187,0.0,3.5174649,0.0,2021-01-19
188,0.0,3.5260286,0.0,2021-01-20
189,0.0,3.4946184,0.0,2021-01-21
190,0.0,3.5305161,0.0,2021-01-22
191,0.0,3.5309477,0.0,2021-01-25
192,0.0,3.5434844,0.0,2021-01-26
193,0.0,3.381761,0.0,2021-01-27
194,0.0,3.4875436,0.0,2021-01-28
195,0.0,3.4410858,0.0,2021-01-29
196,0.0,3.520238,0.0,2021-02-01
197,0.0,3.5267076,0.0,2021-02-02
198,0.0,3.5299377,0.0,2021-02-03
199,0.0,3.52945,0.0,2021-02-04
200,0.0,3.3861947,0.0,2021-02-05
201,0.0,3.5324354,0.0,2021-02-08
202,0.0,3.4641738,0.0,2021-02-09
203,0.0,3.5314791,0.0,2021-02-10
204,0.0,3.52096,0.0,2021-02-11
205,0.0,3.5122507,0.0,2021-02-12
206,0.0,3.5324588,0.0,2021-02-16
207,0.0,3.5043466,0.0,2021-02-17
208,0.0,3.5128527,0.0,2021-02-18
209,0.0,3.5193496,0.0,2021-02-19
210,0.0,3.5223818,0.0,2021-02-22
211,0.0,3.5025477,0.0,2021-02-23
212,0.0,3.5212603,0.0,2021-02-24
213,0.0,3.5158265,0.0,2021-02-25
214,0.0,3.4764283,0.0,2021-02-26
215,0.0,3.4835408,0.0,2021-03-01
216,0.0,3.4248338,0.0,2021-03-02
217,0.0,3.496897,0.0,2021-03-03
218,0.0,3.5092824,0.0,2021-03-04
219,0.0,3.521306,0.0,2021-03-05
220,0.0,3.5077815,0.0,2021-03-08
221,0.0,3.5089514,0.0,2021-03-09
222,0.0,3.519403,0.0,2021-03-10
223,0.0,3.4835813,0.0,2021-03-11
224,0.0,3.5282154,0.0,2021-03-12
225,0.0,3.404361,0.0,2021-03-15
226,0.0,3.5220404,0.0,2021-03-16
227,0.0,3.502253,0.0,2021-03-17
228,0.0,3.5373194,0.0,2021-03-18
229,0.0,3.5097008,0.0,2021-03-19
230,0.0,3.5073688,0.0,2021-03-22
231,0.0,3.540227,0.0,2021-03-23
232,0.0,3.5021653,0.0,2021-03-24
233,0.0,3.5055423,0.0,2021-03-25
234,0.0,3.4723325,0.0,2021-03-26
235,0.0,3.507146,0.0,2021-03-29
236,0.0,3.4377253,0.0,2021-03-30
237,0.0,3.3922477,0.0,2021-03-31
238,0.0,3.4945426,0.0,2021-04-01
239,0.0,3.320723,0.0,2021-04-05
240,0.0,3.460743,0.0,2021-04-06
241,0.0,3.3749523,0.0,2021-04-07
242,0.0,3.5025885,0.0,2021-04-08
243,0.0,3.4180937,0.0,2021-04-09
244,0.0,3.4342196,0.0,2021-04-12
245,0.0,3.4016435,0.0,2021-04-13
246,0.0,3.5134747,0.0,2021-04-14
247,0.0,3.414488,0.0,2021-04-15
248,0.0,3.5209534,0.0,2021-04-16
249,0.0,3.375431,0.0,2021-04-19
250,0.0,3.4971352,0.0,2021-04-20
251,0.0,3.47679,0.0,2021-04-21
252,0.0,3.5074942,0.0,2021-04-22
253,0.0,3.4591303,0.0,2021-04-23
254,0.0,3.4021978,0.0,2021-04-26
255,0.0,3.491603,0.0,2021-04-27
256,0.0,3.41914,0.0,2021-04-28
257,0.0,3.4537475,0.0,2021-04-29
258,0.0,3.4422722,0.0,2021-04-30
259,0.0,3.4624035,0.0,2021-05-03
260,0.0,3.4868672,0.0,2021-05-04
261,0.0,3.4831123,0.0,2021-05-05
262,0.0,3.5007496,0.0,2021-05-06
263,0.0,3.448251,0.0,2021-05-07
264,0.0,3.485869,0.0,2021-05-10
265,0.0,3.4642825,0.0,2021-05-11
266,0.0,3.5073059,0.0,2021-05-12
267,0.0,3.4885151,0.0,2021-05-13
268,0.0,3.4833107,0.0,2021-05-14
269,0.0,3.4772935,0.0,2021-05-17
270,0.0,3.4739497,0.0,2021-05-18
271,0.0,3.5195332,0.0,2021-05-19
272,0.0,3.4412827,0.0,2021-05-20
273,0.0,3.4324899,0.0,2021-05-21
274,0.0,3.3966775,0.0,2021-05-24
275,0.0,3.4629946,0.0,2021-05-25
276,0.0,3.4255376,0.0,2021-05-26
277,0.0,3.4851668,0.0,2021-05-27
278,0.0,3.3750608,0.0,2021-05-28
279,0.0,3.5014527,0.0,2021-06-01
280,0.0,3.4256845,0.0,2021-06-02
281,0.0,3.4769697,0.0,2021-06-03
282,0.0,3.3366685,0.0,2021-06-04
283,0.0,3.3453505,0.0,2021-06-07
284,0.0,3.3757508,0.0,2021-06-08
285,0.0,3.4476347,0.0,2021-06-09
286,0.0,3.4011588,0.0,2021-06-10
287,0.0,3.4744618,0.0,2021-06-11
