model,h,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond,1,42,,,,
state_free,1,42,,,,
state_cond,2,42,,,,
state_free,2,42,,,,
state_cond,5,42,,,,
state_free,5,42,,,,
state_cond,10,42,,,,
state_free,10,42,,,,
state_cond,1,42,,,,
state_free,1,42,,,,
state_cond,2,42,,,,
state_free,2,42,,,,
state_cond,5,42,,,,
state_free,5,42,,,,
state_cond,10,42,,,,
state_free,10,42,,,,
state_cond,1,42,3.806623935699463,3.868397951126098,3.959929466247559,-0.0474037189849125
state_free,1,42,3.8101673126220703,3.873185634613037,3.950396299362183,-0.0569368858702885
state_cond,2,42,3.823486089706421,3.8927676677703857,3.9706642627716064,-0.0366689224608647
state_free,2,42,3.820974349975586,3.898510694503784,3.9752955436706543,-0.0320376415618168
state_cond,5,42,3.8307955265045166,3.903322458267212,3.970448732376098,-0.0368844528563725
state_free,5,42,3.831311225891113,3.915307283401489,3.978368997573853,-0.0289641876586186
state_cond,10,42,3.8623316287994394,3.955578088760376,3.9918739795684814,-0.0154592056639897
state_free,10,42,3.8349814414978023,3.952802896499634,3.990729331970215,-0.0166038532622563
state_cond,1,42,3.806623935699463,3.8683979511260986,3.9599294662475586,-0.04740371898491258
state_free,1,42,3.8101673126220703,3.873185634613037,3.9503962993621826,-0.056936885870288556
state_cond,2,42,3.823486089706421,3.8927676677703857,3.9706642627716064,-0.03666892246086473
state_free,2,42,3.820974349975586,3.898510694503784,3.9752955436706543,-0.032037641561816876
state_cond,5,42,3.8307955265045166,3.903322458267212,3.9704487323760986,-0.03688445285637254
state_free,5,42,3.8313112258911133,3.9153072834014893,3.9783689975738525,-0.028964187658618634
state_cond,10,42,3.8623316287994385,3.955578088760376,3.9918739795684814,-0.015459205663989728
state_free,10,42,3.8349814414978027,3.952802896499634,3.990729331970215,-0.01660385326225633
