model,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond,1,4,42,1.365765929222107,1.3535773754119873,1.396573543548584,0.0102791824286934
state_cond,1,4,7,1.35359787940979,1.350078582763672,1.3874671459197998,0.0011727847999092
state_cond,1,4,123,1.3536555767059326,1.3481961488723757,1.3898727893829346,0.0035784282630439
state_free,1,4,42,1.361768126487732,1.350943684577942,1.396345853805542,0.0100514926856514
state_free,1,4,7,1.354314208030701,1.3476662635803225,1.3892779350280762,0.0029835739081855
state_free,1,4,123,1.3559077978134155,1.3476688861846924,1.3911149501800537,0.0048205890601631
state_cond,5,4,42,1.3661397695541382,1.3542488813400269,1.4029130935668943,0.0166187324470039
state_cond,5,4,7,1.3584470748901367,1.3500056266784668,1.3986462354660034,0.0123518743461128
state_cond,5,4,123,1.3611749410629272,1.3498653173446655,1.399262309074402,0.0129679479545112
state_free,5,4,42,1.3670058250427246,1.353888988494873,1.4024914503097534,0.0161970891898628
state_free,5,4,7,1.3643971681594849,1.3514621257781982,1.4007693529129028,0.0144749917930122
state_free,5,4,123,1.3525294065475464,1.3480709791183472,1.396699070930481,0.0104047098105903
state_cond,10,4,42,1.3283555507659912,1.3635964393615725,1.413686752319336,0.0273923911994453
state_cond,10,4,7,1.3432799577713013,1.3635599613189695,1.4098793268203735,0.0235849657004829
state_cond,10,4,123,1.3599555492401123,1.3683220148086548,1.4056200981140137,0.0193257369941231
state_free,10,4,42,1.3670908212661743,1.3680181503295898,1.4173890352249146,0.0310946741050239
state_free,10,4,7,1.329192280769348,1.3626058101654053,1.4129074811935425,0.0266131200736519
state_free,10,4,123,1.3728033304214478,1.3696953058242798,1.4119385480880735,0.0256441869681831
state_cond,21,4,42,1.3208014965057373,1.3475573062896729,1.4279650449752808,0.0416706838553901
state_cond,21,4,7,1.3358957767486572,1.3554017543792725,1.4129453897476196,0.026651028627729
state_cond,21,4,123,1.3222535848617554,1.3519052267074585,1.448312759399414,0.0620183982795234
state_free,21,4,42,1.3167105913162231,1.3528963327407837,1.4330041408538818,0.0467097797339912
state_free,21,4,7,1.3335411548614502,1.3535631895065308,1.4158161878585815,0.0295218267386909
state_free,21,4,123,1.319822072982788,1.3506721258163452,1.4473212957382202,0.0610269346183296
state_cond,63,4,42,1.3084259033203125,1.3588087558746338,1.4121912717819214,0.0258969106620308
state_cond,63,4,7,1.2846219539642334,1.3456412553787231,1.4301506280899048,0.0438562669700142
