timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,1.3858007,0.0,2020-04-13
1,0.0,1.2615173,0.0,2020-04-14
2,0.0,1.38272,0.0,2020-04-15
3,0.0,1.3622378,0.0,2020-04-16
4,0.0,1.176521,0.0,2020-04-17
5,0.0,1.3459687,0.0,2020-04-20
6,0.0,1.3800026,0.0,2020-04-21
7,0.0,1.3516642,0.0,2020-04-22
8,0.0,1.3819426,0.0,2020-04-23
9,0.0,1.3758569,0.0,2020-04-24
10,0.0,1.3759693,0.0,2020-04-27
11,0.0,1.3735052,0.0,2020-04-28
12,0.0,1.3834478,0.0,2020-04-29
13,0.0,1.3766629,0.0,2020-04-30
14,0.0,1.3782036,0.0,2020-05-01
15,0.0,1.3239577,0.0,2020-05-04
16,0.0,1.3600563,0.0,2020-05-05
17,0.0,1.328369,0.0,2020-05-06
18,0.0,1.3450112,0.0,2020-05-07
19,0.0,1.3802233,0.0,2020-05-08
20,0.0,1.3829584,0.0,2020-05-11
21,0.0,1.3695846,0.0,2020-05-12
22,0.0,1.3569822,0.0,2020-05-13
23,0.0,1.3634808,0.0,2020-05-14
24,0.0,1.3628778,0.0,2020-05-15
25,0.0,1.384839,0.0,2020-05-18
26,0.0,1.3846945,0.0,2020-05-19
27,0.0,1.3072511,0.0,2020-05-20
28,0.0,1.3722789,0.0,2020-05-21
29,0.0,1.373059,0.0,2020-05-22
30,0.0,1.3321886,0.0,2020-05-26
31,0.0,1.3751819,0.0,2020-05-27
32,0.0,1.3758603,0.0,2020-05-28
33,0.0,1.3735565,0.0,2020-05-29
34,0.0,1.3669188,0.0,2020-06-01
35,0.0,1.3852608,0.0,2020-06-02
36,0.0,1.3800975,0.0,2020-06-03
37,0.0,1.3431902,0.0,2020-06-04
38,0.0,1.3422623,0.0,2020-06-05
39,0.0,1.3854144,0.0,2020-06-08
40,0.0,1.3717246,0.0,2020-06-09
41,0.0,1.3549945,0.0,2020-06-10
42,0.0,1.360236,0.0,2020-06-11
43,0.0,1.3689746,0.0,2020-06-12
44,0.0,1.3796359,0.0,2020-06-15
45,0.0,1.3441705,0.0,2020-06-16
46,0.0,1.3731858,0.0,2020-06-17
47,0.0,1.3667084,0.0,2020-06-18
48,0.0,1.361945,0.0,2020-06-19
49,0.0,1.3771658,0.0,2020-06-22
50,0.0,1.3800942,0.0,2020-06-23
51,0.0,1.3720611,0.0,2020-06-24
52,0.0,1.3786113,0.0,2020-06-25
53,0.0,1.3857644,0.0,2020-06-26
54,0.0,1.3763677,0.0,2020-06-29
55,0.0,1.3855344,0.0,2020-06-30
56,0.0,1.375447,0.0,2020-07-01
57,0.0,1.3763349,0.0,2020-07-02
58,0.0,1.3456604,0.0,2020-07-06
59,0.0,1.3640081,0.0,2020-07-07
60,0.0,1.3707284,0.0,2020-07-08
61,0.0,1.3524824,0.0,2020-07-09
62,0.0,1.3637679,0.0,2020-07-10
63,0.0,1.355867,0.0,2020-07-13
64,0.0,1.3729348,0.0,2020-07-14
65,0.0,1.3770287,0.0,2020-07-15
66,0.0,1.3801655,0.0,2020-07-16
67,0.0,1.3753451,0.0,2020-07-17
68,0.0,1.369728,0.0,2020-07-20
69,0.0,1.3410753,0.0,2020-07-21
70,0.0,1.3801165,0.0,2020-07-22
71,0.0,1.381267,0.0,2020-07-23
72,0.0,1.3566345,0.0,2020-07-24
73,0.0,1.3709693,0.0,2020-07-27
74,0.0,1.3820522,0.0,2020-07-28
75,0.0,1.3818759,0.0,2020-07-29
76,0.0,1.3760233,0.0,2020-07-30
77,0.0,1.3684772,0.0,2020-07-31
78,0.0,1.3539342,0.0,2020-08-03
79,0.0,1.3774871,0.0,2020-08-04
80,0.0,1.3814645,0.0,2020-08-05
81,0.0,1.3591784,0.0,2020-08-06
82,0.0,1.3656619,0.0,2020-08-07
