timestep,ck_kl,ck_tv,date
0,0.030333272042804643,0.09634517819751069,2020-03-27
1,0.03650188302874919,0.10224459581067498,2020-03-30
2,0.2858258810377413,0.2756245926829595,2020-03-31
3,0.040137631032253304,0.11002220577604041,2020-04-01
4,0.1285911491406375,0.18493421523179607,2020-04-02
5,0.040113253798127954,0.10727011856377909,2020-04-03
6,0.060776315412213754,0.13295019435303118,2020-04-06
7,0.42581542808371403,0.384109213190173,2020-04-07
8,0.2306660183065746,0.24593045511927283,2020-04-08
9,0.07689288375015706,0.15999132846169828,2020-04-09
10,0.49364062981224555,0.36333024404627384,2020-04-13
11,1.1381827904601722,0.5749079906318186,2020-04-14
12,0.5156331816688923,0.387169659265314,2020-04-15
13,0.030542710549560637,0.0985330750512038,2020-04-16
14,0.21546116674894517,0.26452275978326684,2020-04-17
15,0.18081734868958438,0.23117938209395958,2020-04-20
16,0.03694725722075563,0.10226553122017265,2020-04-21
17,0.037876775039300974,0.10441212550649652,2020-04-22
18,0.9965664656574014,0.5089134589717583,2020-04-23
19,0.32750409446953843,0.31851721757515883,2020-04-24
20,0.038140611879270904,0.10612169316450858,2020-04-27
21,0.05483240884782338,0.12530850293300502,2020-04-28
22,0.28518607224923015,0.30334160008260297,2020-04-29
23,0.18885699686193472,0.23906235068965925,2020-04-30
24,0.03794222778990019,0.1058964350096323,2020-05-01
25,0.04010835929510662,0.11332756043105208,2020-05-04
26,0.1099812069148507,0.17637584745863308,2020-05-05
27,0.05776676894510618,0.12742895932732592,2020-05-06
28,0.052150738903610286,0.12232220809293616,2020-05-07
29,0.03629489136212731,0.10327904380028739,2020-05-08
30,0.04680175392644075,0.11507647352539732,2020-05-11
31,0.042596584549294984,0.11384613725636653,2020-05-12
32,0.039961379253540694,0.10816655454673721,2020-05-13
33,0.27506734993604937,0.3064849392115791,2020-05-14
34,0.2462949425232944,0.2871818316683639,2020-05-15
35,0.2063144198376745,0.23552778328492052,2020-05-18
36,0.027220412022481197,0.09363036832368384,2020-05-19
37,0.22560245222984118,0.2692170329436581,2020-05-20
38,0.2641501401454856,0.29030805080176686,2020-05-21
39,0.043404271352376504,0.10633542252775571,2020-05-22
40,0.22902684582028227,0.27262534629344287,2020-05-26
41,0.1526058239797254,0.2160699352895753,2020-05-27
42,0.03226325868364835,0.09958806282292992,2020-05-28
43,0.08963525622063026,0.1627747095646172,2020-05-29
44,0.03743997715038852,0.10481400962769694,2020-06-01
45,0.07063677428443836,0.15312403388932935,2020-06-02
46,0.16976716326294297,0.23742239819133262,2020-06-03
47,0.04451079554574487,0.12003940655512221,2020-06-04
