timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.02454710751771927,3.6915843,0.11086198,2020-03-27
1,0.026239290833473206,3.6416273,0.11550311,2020-03-30
2,0.018353881314396858,3.4468784,0.07562435,2020-03-31
3,0.02561727911233902,3.7397032,0.10867826,2020-04-01
4,0.020345008000731468,3.6570745,0.08512158,2020-04-02
5,0.029880423098802567,3.3342936,0.11693694,2020-04-03
6,0.013961710967123508,3.8714154,0.054412827,2020-04-06
7,0.02353120967745781,3.1095378,0.09731379,2020-04-07
8,0.015504667535424232,3.7256298,0.07603571,2020-04-08
9,0.009309767745435238,3.9130256,0.036186196,2020-04-09
10,0.026251498609781265,3.5118728,0.103876024,2020-04-13
11,0.019836194813251495,3.311983,0.08077212,2020-04-14
12,0.01868162862956524,2.9007802,0.07010217,2020-04-15
13,0.024693120270967484,3.6085594,0.11201443,2020-04-16
14,0.018949419260025024,3.177101,0.07211444,2020-04-17
15,0.01819472946226597,3.866001,0.08644773,2020-04-20
16,0.026032429188489914,3.8058321,0.104788125,2020-04-21
17,0.02738254703581333,3.8105056,0.110974394,2020-04-22
18,0.02295348234474659,3.296219,0.10645777,2020-04-23
19,0.009790599346160889,3.887402,0.03946478,2020-04-24
20,0.00766417570412159,3.9017878,0.03591168,2020-04-27
21,0.00831648614257574,3.927556,0.03658186,2020-04-28
22,0.009009196422994137,3.93763,0.03142441,2020-04-29
23,0.010269892401993275,3.9200366,0.046111733,2020-04-30
24,0.027935752645134926,3.6838076,0.11027911,2020-05-01
25,0.013623702339828014,3.9060912,0.063016705,2020-05-04
26,0.015225761570036411,3.9086816,0.06861049,2020-05-05
27,0.019214600324630737,3.798189,0.08656109,2020-05-06
28,0.014826525934040546,3.9442074,0.061895773,2020-05-07
29,0.006918714381754398,3.9198368,0.031240065,2020-05-08
30,0.01631142571568489,3.8806996,0.07623455,2020-05-11
31,0.019011642783880234,3.8978546,0.08411845,2020-05-12
32,0.026106353849172592,3.8534853,0.11727317,2020-05-13
33,0.015386238694190979,3.888936,0.06052719,2020-05-14
34,0.012440666556358337,3.90577,0.058401115,2020-05-15
35,0.011130250990390778,3.857173,0.048416153,2020-05-18
36,0.0202086940407753,3.8800247,0.0956484,2020-05-19
37,0.017785944044589996,3.8660567,0.07432517,2020-05-20
38,0.009893531911075115,3.9229264,0.044072345,2020-05-21
39,0.06468212604522705,3.9889057,0.23851751,2020-05-22
40,0.009271780960261822,3.8945675,0.03514169,2020-05-26
41,0.008246119134128094,3.9033632,0.040377263,2020-05-27
42,0.010834736749529839,3.9034472,0.049367867,2020-05-28
43,0.010538420639932156,3.91607,0.04535792,2020-05-29
44,0.025561420246958733,3.9527135,0.100291744,2020-06-01
45,0.014699479565024376,3.8571815,0.060772117,2020-06-02
46,0.008364757522940636,3.9225092,0.033414815,2020-06-03
47,0.007990297861397266,3.9332426,0.03075836,2020-06-04
48,0.006078093312680721,3.9288425,0.023790948,2020-06-05
49,0.00926204677671194,3.9370985,0.03263348,2020-06-08
50,0.010791601613163948,3.9359741,0.047245674,2020-06-09
51,0.016173681244254112,3.8628747,0.069867425,2020-06-10
52,0.021698907017707825,3.5853758,0.09209213,2020-06-11
53,0.0228798296302557,3.6617868,0.08984555,2020-06-12
54,0.01856773905456066,3.8298666,0.08568869,2020-06-15
55,0.03667653724551201,3.9711866,0.13708794,2020-06-16
56,0.02649756334722042,3.6966686,0.11992828,2020-06-17
57,0.02236558310687542,3.8423698,0.09847064,2020-06-18
58,0.020178984850645065,3.948413,0.08910154,2020-06-19
59,0.07713639736175537,3.9887369,0.29560968,2020-06-22
60,0.08768410235643387,3.984158,0.32345045,2020-06-23
61,0.023923946544528008,3.8053162,0.11353684,2020-06-24
62,0.0064956992864608765,3.921471,0.028139967,2020-06-25
63,0.02207498997449875,3.8617408,0.10091303,2020-06-26
64,0.009710309095680714,3.9243233,0.039198454,2020-06-29
65,0.012395997531712055,3.931261,0.05936253,2020-06-30
66,0.019815778359770775,3.9453576,0.08640208,2020-07-01
67,0.009729624725878239,3.929079,0.043639828,2020-07-02
68,0.01145913451910019,3.905699,0.05064701,2020-07-06
69,0.011357840150594711,3.9316947,0.055826046,2020-07-07
70,0.026047179475426674,3.9577906,0.108133726,2020-07-08
71,0.014788109809160233,3.9279678,0.066848844,2020-07-09
72,0.010328151285648346,3.9175022,0.039838046,2020-07-10
73,0.022562967613339424,3.8326252,0.093739055,2020-07-13
74,0.009149077348411083,3.9193885,0.040797055,2020-07-14
75,0.05776697024703026,3.9914052,0.21834645,2020-07-15
76,0.0197160504758358,3.9481468,0.07549229,2020-07-16
77,0.01121909823268652,3.912245,0.047803856,2020-07-17
78,0.08878858387470245,3.9834597,0.33288908,2020-07-20
79,0.04182683676481247,3.978344,0.16970229,2020-07-21
80,0.016758540645241737,3.942011,0.06337343,2020-07-22
81,0.08118414878845215,3.9871926,0.2885433,2020-07-23
82,0.05277486518025398,3.980642,0.18988968,2020-07-24
83,0.04306409880518913,3.9756014,0.1817198,2020-07-27
84,0.01567426137626171,3.8907077,0.062124826,2020-07-28
85,0.06956011056900024,3.9924126,0.25966218,2020-07-29
86,0.05758880823850632,3.987837,0.21531145,2020-07-30
87,0.0464581660926342,3.977892,0.16360973,2020-07-31
88,0.09299703687429428,3.9721072,0.3549054,2020-08-03
89,0.0874876081943512,3.9795756,0.33107686,2020-08-04
90,0.0250064879655838,3.952231,0.08791985,2020-08-05
91,0.09211817383766174,3.9757025,0.3280718,2020-08-06
92,0.0887049213051796,3.9805946,0.30355787,2020-08-07
93,0.007693362422287464,3.9277167,0.034246415,2020-08-10
94,0.07389308512210846,3.9918566,0.25773275,2020-08-11
95,0.08235005289316177,3.985517,0.29772425,2020-08-12
96,0.04653675854206085,3.9777205,0.18319593,2020-08-13
97,0.08666049689054489,3.978064,0.31885117,2020-08-14
98,0.047237176448106766,3.9770539,0.17520833,2020-08-17
