timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.09155471622943878,3.76654,0.33763102,2020-03-27
1,0.05178748816251755,3.582669,0.19678396,2020-03-30
2,0.0298142246901989,3.2241888,0.11183282,2020-03-31
3,0.12096337974071503,3.961062,0.41130197,2020-04-01
4,0.04607955366373062,3.4689193,0.17494829,2020-04-02
5,0.09776508808135986,3.7687,0.33408552,2020-04-03
6,0.12100761383771896,3.962355,0.41182736,2020-04-06
7,0.029965654015541077,3.0326464,0.098704726,2020-04-07
8,0.04323236644268036,3.5680285,0.17797387,2020-04-08
9,0.07818291336297989,3.710698,0.28012943,2020-04-09
10,0.02472684718668461,3.0581684,0.08505825,2020-04-13
11,0.023667044937610626,3.1053886,0.083532274,2020-04-14
12,0.028029628098011017,2.9335656,0.09446395,2020-04-15
13,0.09061665832996368,3.8145423,0.31914252,2020-04-16
14,0.05491546913981438,3.492691,0.18412848,2020-04-17
15,0.06193092465400696,3.5928392,0.2765211,2020-04-20
16,0.05196266621351242,3.58703,0.19526508,2020-04-21
17,0.07906163483858109,3.6585636,0.28219354,2020-04-22
18,0.037653595209121704,3.3184748,0.15581985,2020-04-23
19,0.07580801099538803,3.749191,0.29393587,2020-04-24
20,0.09079965204000473,3.84288,0.3719837,2020-04-27
21,0.10644593089818954,3.843669,0.3812592,2020-04-28
22,0.11066079884767532,3.956685,0.3968777,2020-04-29
23,0.11874061077833176,3.9494064,0.41746587,2020-04-30
24,0.09328661859035492,3.7751563,0.32869652,2020-05-01
25,0.08654777705669403,3.7842095,0.31730422,2020-05-04
26,0.12352500110864639,3.9352624,0.41776174,2020-05-05
27,0.07063177227973938,3.6861465,0.29613274,2020-05-06
28,0.11946892738342285,3.9592044,0.41397953,2020-05-07
29,0.11233534663915634,3.92612,0.42186636,2020-05-08
30,0.10968951880931854,3.9455516,0.41393915,2020-05-11
31,0.11453046649694443,3.934039,0.3938403,2020-05-12
32,0.10565830767154694,3.8751068,0.3605672,2020-05-13
33,0.0994257852435112,3.833021,0.33789566,2020-05-14
34,0.11722181737422943,3.913971,0.40345344,2020-05-15
35,0.05025332048535347,3.635978,0.23086183,2020-05-18
36,0.11922474950551987,3.926564,0.4228334,2020-05-19
37,0.07646503299474716,3.7075303,0.27747726,2020-05-20
38,0.11025352776050568,3.9744346,0.41641524,2020-05-21
39,0.09556058794260025,3.9669082,0.37946755,2020-05-22
40,0.09622236341238022,3.8574424,0.35298887,2020-05-26
41,0.08414240181446075,3.7852116,0.3577587,2020-05-27
42,0.07124225050210953,3.7568552,0.28693387,2020-05-28
43,0.07494111359119415,3.788004,0.29721394,2020-05-29
44,0.12190500646829605,3.9136295,0.408481,2020-06-01
45,0.08482567220926285,3.7673516,0.30763558,2020-06-02
46,0.10403674840927124,3.91278,0.3749603,2020-06-03
47,0.1140623390674591,3.9127395,0.40236613,2020-06-04
48,0.10976552963256836,3.9227622,0.39121842,2020-06-05
49,0.1100868284702301,3.956608,0.4118485,2020-06-08
50,0.11009760200977325,3.967502,0.40828693,2020-06-09
51,0.11446324735879898,3.9329948,0.38886178,2020-06-10
52,0.08041787147521973,3.7961392,0.2813031,2020-06-11
53,0.041919637471437454,3.3234859,0.14841919,2020-06-12
54,0.03800833225250244,3.3144305,0.15542331,2020-06-15
55,0.10262464731931686,3.900809,0.37191775,2020-06-16
56,0.09843184053897858,3.8745708,0.38679612,2020-06-17
57,0.04531729966402054,3.4229212,0.17817615,2020-06-18
58,0.08225211501121521,3.8066013,0.31594616,2020-06-19
59,0.09632062911987305,3.966297,0.38278273,2020-06-22
60,0.10495166480541229,3.9710577,0.39628926,2020-06-23
61,0.09910022467374802,3.8708367,0.39136878,2020-06-24
62,0.0983961820602417,3.8813992,0.379992,2020-06-25
63,0.12086901068687439,3.92112,0.41132092,2020-06-26
64,0.12117508798837662,3.9491036,0.4101639,2020-06-29
65,0.11669103801250458,3.9402223,0.4252338,2020-06-30
66,0.10165660083293915,3.9711325,0.39871103,2020-07-01
67,0.10865238308906555,3.9755237,0.40788704,2020-07-02
68,0.11710592359304428,3.958756,0.41932008,2020-07-06
69,0.10656601935625076,3.9759643,0.41439596,2020-07-07
70,0.1023939847946167,3.973985,0.39233702,2020-07-08
71,0.11652211099863052,3.9710155,0.42239898,2020-07-09
72,0.12502682209014893,3.9462862,0.41715017,2020-07-10
73,0.05230493098497391,3.415995,0.18035153,2020-07-13
74,0.08750113844871521,3.8532488,0.3481842,2020-07-14
75,0.11523251235485077,3.9714715,0.4110325,2020-07-15
76,0.10978752374649048,3.972807,0.42212334,2020-07-16
77,0.112062007188797,3.9740143,0.39982423,2020-07-17
78,0.10813441127538681,3.9715102,0.40411133,2020-07-20
79,0.11571844667196274,3.9715292,0.4204945,2020-07-21
80,0.09814219921827316,3.9704673,0.3886965,2020-07-22
81,0.08567018061876297,3.9594867,0.35874474,2020-07-23
82,0.10871187597513199,3.9687426,0.40944076,2020-07-24
83,0.08367763459682465,3.9574418,0.35754395,2020-07-27
84,0.11471220850944519,3.9708967,0.41250202,2020-07-28
85,0.08643865585327148,3.9578094,0.3655653,2020-07-29
86,0.09478762000799179,3.968155,0.38636303,2020-07-30
87,0.10975316911935806,3.9723814,0.40243706,2020-07-31
88,0.1000831350684166,3.9659874,0.3961652,2020-08-03
89,0.08600285649299622,3.9590247,0.36712885,2020-08-04
90,0.09622164815664291,3.9653134,0.37900695,2020-08-05
91,0.07593489438295364,3.9452956,0.33985752,2020-08-06
92,0.10427417606115341,3.9696755,0.39649597,2020-08-07
93,0.10579866915941238,3.9753249,0.4148962,2020-08-10
94,0.09933959692716599,3.9698725,0.38896623,2020-08-11
95,0.10495200753211975,3.9715366,0.39770442,2020-08-12
96,0.08078952133655548,3.9546914,0.3483475,2020-08-13
97,0.08516987413167953,3.956308,0.35710812,2020-08-14
98,0.09899761527776718,3.966582,0.38875207,2020-08-17
99,0.09506547451019287,3.9644794,0.37733606,2020-08-18
100,0.11537962406873703,3.9715428,0.4199141,2020-08-19
101,0.09164313971996307,3.9598641,0.37824097,2020-08-20
102,0.08923667669296265,3.959776,0.3685529,2020-08-21
103,0.10646358132362366,3.9690626,0.40556404,2020-08-24
104,0.09064234793186188,3.9608893,0.3795529,2020-08-25
105,0.08063843846321106,3.954181,0.34466937,2020-08-26
106,0.09667123854160309,3.9673872,0.38442588,2020-08-27
107,0.09908301383256912,3.9649746,0.3929096,2020-08-28
108,0.08747776597738266,3.9623551,0.36162218,2020-08-31
109,0.08819640427827835,3.9599576,0.36271253,2020-09-01
110,0.09243408590555191,3.9598172,0.38056728,2020-09-02
111,0.09679771959781647,3.9700365,0.3882416,2020-09-03
112,0.09761320799589157,3.9683871,0.38324326,2020-09-04
113,0.10609248280525208,3.9736495,0.4076187,2020-09-08
114,0.09588954597711563,3.9669359,0.3788098,2020-09-09
115,0.10644135624170303,3.972951,0.40899172,2020-09-10
116,0.09634062647819519,3.9648771,0.38284382,2020-09-11
117,0.11219783127307892,3.965974,0.3963144,2020-09-14
118,0.06889232993125916,3.84174,0.26565894,2020-09-15
119,0.07187365740537643,3.7347052,0.25642836,2020-09-16
120,0.12139977514743805,3.937346,0.42320764,2020-09-17
121,0.10726308077573776,3.9748056,0.39829153,2020-09-18
122,0.11645727604627609,3.9337208,0.40043247,2020-09-21
123,0.11264704912900925,3.9110975,0.38999775,2020-09-22
124,0.11506989598274231,3.9656718,0.4163967,2020-09-23
125,0.11711907386779785,3.967731,0.41186753,2020-09-24
126,0.11554223299026489,3.971768,0.4202034,2020-09-25
127,0.0972825139760971,3.9673018,0.38710177,2020-09-28
128,0.09166733175516129,3.9636128,0.38216636,2020-09-29
129,0.11942239105701447,3.9689412,0.41700798,2020-09-30
130,0.09859703481197357,3.968153,0.39374807,2020-10-01
131,0.09326691925525665,3.966148,0.3789196,2020-10-02
132,0.09954480826854706,3.9709306,0.38769817,2020-10-05
133,0.10435663908720016,3.9737341,0.40404505,2020-10-06
134,0.1045537143945694,3.9716606,0.3928812,2020-10-07
135,0.10295306146144867,3.972026,0.3989871,2020-10-08
136,0.09875984489917755,3.9683633,0.38669777,2020-10-09
137,0.09952492266893387,3.9707341,0.39004716,2020-10-12
138,0.1163521334528923,3.9276311,0.3977726,2020-10-13
139,0.11686532199382782,3.892137,0.39070213,2020-10-14
140,0.11755508929491043,3.9507053,0.41819498,2020-10-15
141,0.1030058041214943,3.970342,0.3993331,2020-10-16
142,0.09834446012973785,3.968409,0.38336205,2020-10-19
143,0.12176234275102615,3.9680274,0.42578948,2020-10-20
144,0.09558408707380295,3.9635625,0.38620102,2020-10-21
145,0.10534372925758362,3.9704719,0.39610714,2020-10-22
146,0.0883309543132782,3.9596324,0.3738843,2020-10-23
147,0.09873141348361969,3.968853,0.3865975,2020-10-26
148,0.10482533276081085,3.9738514,0.40058148,2020-10-27
149,0.12111169844865799,3.9670596,0.41891342,2020-10-28
150,0.11565907299518585,3.970941,0.4186119,2020-10-29
151,0.10337840020656586,3.9714844,0.40161982,2020-10-30
152,0.09735258668661118,3.9676783,0.38691834,2020-11-02
153,0.10936892032623291,3.9751937,0.41073593,2020-11-03
154,0.10505106300115585,3.972715,0.40278047,2020-11-04
155,0.1049363911151886,3.97387,0.3929435,2020-11-05
156,0.09868858009576797,3.967353,0.39650753,2020-11-06
157,0.11020933091640472,3.971293,0.39363813,2020-11-09
158,0.09379307180643082,3.832885,0.37353045,2020-11-10
159,0.05658193677663803,3.6090603,0.21151145,2020-11-11
160,0.1060006394982338,3.9742808,0.40255484,2020-11-12
161,0.09130916744470596,3.9635892,0.37059656,2020-11-13
162,0.07884250581264496,3.7532244,0.2958796,2020-11-16
163,0.0894184559583664,3.9623263,0.37387502,2020-11-17
164,0.0987258329987526,3.9734735,0.38551033,2020-11-18
165,0.09417691826820374,3.963172,0.3806468,2020-11-19
166,0.07881031930446625,3.9532063,0.3477071,2020-11-20
167,0.10454536229372025,3.974832,0.39363948,2020-11-23
168,0.10980311781167984,3.974385,0.41040164,2020-11-24
169,0.11599064618349075,3.9467113,0.41251963,2020-11-25
170,0.10389387607574463,3.9750462,0.38713008,2020-11-27
171,0.09859874844551086,3.9681,0.38923615,2020-11-30
172,0.10948750376701355,3.9736888,0.40470418,2020-12-01
173,0.10989179462194443,3.9167495,0.4003039,2020-12-02
174,0.08846244215965271,3.9637895,0.3752706,2020-12-03
175,0.11435507982969284,3.9727454,0.41006696,2020-12-04
176,0.09996505081653595,3.9698746,0.40117657,2020-12-07
177,0.08571354299783707,3.9584756,0.35384804,2020-12-08
178,0.07043243199586868,3.6870384,0.30877253,2020-12-09
179,0.09839002788066864,3.968087,0.38972813,2020-12-10
180,0.09874666482210159,3.9737568,0.39316782,2020-12-11
181,0.1033647209405899,3.9697366,0.39179298,2020-12-14
182,0.09486682713031769,3.9637928,0.38555807,2020-12-15
183,0.08487550169229507,3.9599206,0.36557716,2020-12-16
184,0.0860496461391449,3.9605472,0.35942513,2020-12-17
185,0.10728771239519119,3.972978,0.40492648,2020-12-18
186,0.10890008509159088,3.974943,0.4037958,2020-12-21
187,0.09493637084960938,3.966746,0.3874302,2020-12-22
188,0.09719353169202805,3.9701743,0.380474,2020-12-23
189,0.10004662722349167,3.972343,0.40815222,2020-12-24
190,0.08361469954252243,3.954747,0.3527379,2020-12-28
191,0.07849128544330597,3.9519503,0.3392537,2020-12-29
192,0.09366223216056824,3.9594586,0.3777694,2020-12-30
193,0.07785286009311676,3.9505303,0.3390533,2020-12-31
194,0.09402712434530258,3.9670482,0.38538188,2021-01-04
195,0.09804455190896988,3.9666889,0.38218614,2021-01-05
196,0.11374053359031677,3.9687896,0.41865027,2021-01-06
197,0.10813682526350021,3.9756098,0.40954268,2021-01-07
198,0.10025479644536972,3.9741886,0.3861549,2021-01-08
199,0.09961633384227753,3.9681573,0.3900554,2021-01-11
200,0.0984310507774353,3.9713085,0.3940785,2021-01-12
201,0.10801360756158829,3.9749715,0.39825368,2021-01-13
202,0.10137884318828583,3.9711807,0.39232844,2021-01-14
203,0.10837314277887344,3.97586,0.40868178,2021-01-15
204,0.11705916374921799,3.9580247,0.40361738,2021-01-19
205,0.12260092049837112,3.9480195,0.43005657,2021-01-20
206,0.09688249230384827,3.9643083,0.3850025,2021-01-21
207,0.1128847599029541,3.9724865,0.4132306,2021-01-22
208,0.11487585306167603,3.8936615,0.389623,2021-01-25
209,0.09848903119564056,3.9678552,0.3908986,2021-01-26
210,0.1009688451886177,3.9685035,0.39541417,2021-01-27
211,0.10499265789985657,3.970513,0.39862263,2021-01-28
212,0.10749378800392151,3.9719825,0.40922433,2021-01-29
213,0.09670767933130264,3.9648082,0.3804295,2021-02-01
214,0.10066239535808563,3.9689465,0.3992002,2021-02-02
215,0.10162945091724396,3.967549,0.39698923,2021-02-03
216,0.08318864554166794,3.9598591,0.35835737,2021-02-04
217,0.09655110538005829,3.9706256,0.3916146,2021-02-05
218,0.07670863717794418,3.9498088,0.3350855,2021-02-08
219,0.07561644166707993,3.947511,0.33248746,2021-02-09
220,0.07554338127374649,3.9493887,0.32920656,2021-02-10
221,0.07624182105064392,3.9482872,0.33607152,2021-02-11
222,0.07253561168909073,3.9420724,0.3207385,2021-02-12
223,0.09525784850120544,3.9685435,0.387222,2021-02-16
224,0.12711918354034424,3.9564357,0.42922753,2021-02-17
225,0.0785674974322319,3.9498463,0.3412138,2021-02-18
226,0.09866010397672653,3.9664512,0.38555518,2021-02-19
227,0.10633746534585953,3.9720938,0.4082307,2021-02-22
228,0.10291294008493423,3.9729269,0.39094543,2021-02-23
229,0.09316754341125488,3.9641604,0.3799398,2021-02-24
230,0.09997589141130447,3.9707248,0.39431143,2021-02-25
231,0.10810206830501556,3.9741454,0.39679477,2021-02-26
232,0.11388122290372849,3.9729474,0.4127454,2021-03-01
233,0.11306919157505035,3.973371,0.4191617,2021-03-02
234,0.10432156920433044,3.9762838,0.39104003,2021-03-03
235,0.10452782362699509,3.972959,0.40485165,2021-03-04
236,0.1057521179318428,3.9740794,0.4003241,2021-03-05
237,0.11329284310340881,3.9690003,0.4136539,2021-03-08
238,0.09521525353193283,3.966931,0.38647145,2021-03-09
239,0.09436219930648804,3.9684255,0.3754205,2021-03-10
240,0.09203752130270004,3.9626126,0.38357762,2021-03-11
241,0.0862928107380867,3.9606526,0.35709527,2021-03-12
242,0.09462752938270569,3.967546,0.38327667,2021-03-15
243,0.0889640599489212,3.9601502,0.36531225,2021-03-16
244,0.10427676886320114,3.9725857,0.39894077,2021-03-17
245,0.09924855828285217,3.9683232,0.39297915,2021-03-18
246,0.10190118104219437,3.9708304,0.39207748,2021-03-19
247,0.09085050970315933,3.9629853,0.37519008,2021-03-22
248,0.09449099004268646,3.961657,0.38121238,2021-03-23
249,0.09580052644014359,3.9654622,0.38522896,2021-03-24
250,0.09973272681236267,3.9691381,0.3940891,2021-03-25
251,0.08858596533536911,3.9577174,0.3724208,2021-03-26
252,0.09710054099559784,3.9662118,0.3855499,2021-03-29
253,0.10368388146162033,3.9736662,0.40014818,2021-03-30
254,0.08744047582149506,3.9565384,0.37087154,2021-03-31
255,0.08070781826972961,3.9559126,0.34612915,2021-04-01
256,0.08464739471673965,3.9563892,0.35791844,2021-04-05
257,0.07971701771020889,3.9492953,0.3452032,2021-04-06
258,0.08507072925567627,3.9590964,0.3619354,2021-04-07
259,0.08184788376092911,3.9507093,0.35009086,2021-04-08
260,0.08694976568222046,3.9609432,0.36711544,2021-04-09
261,0.07501932233572006,3.9434352,0.3312896,2021-04-12
262,0.08315995335578918,3.9561338,0.35808876,2021-04-13
263,0.093355193734169,3.962371,0.37628713,2021-04-14
264,0.1076207086443901,3.9727006,0.40552706,2021-04-15
265,0.10077140480279922,3.9707866,0.39027813,2021-04-16
266,0.09090816974639893,3.9616416,0.3741337,2021-04-19
267,0.09881497919559479,3.9661708,0.38893032,2021-04-20
268,0.10014541447162628,3.966131,0.3871945,2021-04-21
269,0.09780216217041016,3.9641585,0.39302662,2021-04-22
270,0.09258689731359482,3.962028,0.37333372,2021-04-23
271,0.07776658982038498,3.9503388,0.34791717,2021-04-26
272,0.08419560641050339,3.9563406,0.3590614,2021-04-27
273,0.08216007798910141,3.9536252,0.3492116,2021-04-28
274,0.09213607013225555,3.9640708,0.37673807,2021-04-29
275,0.09679000079631805,3.968663,0.3858674,2021-04-30
276,0.08904954046010971,3.9603817,0.36332384,2021-05-03
277,0.1061304584145546,3.9713778,0.4062319,2021-05-04
278,0.08680891245603561,3.9583113,0.36452356,2021-05-05
279,0.08660106360912323,3.960235,0.36477736,2021-05-06
280,0.09264680743217468,3.9626048,0.3782416,2021-05-07
281,0.08621418476104736,3.958854,0.36119327,2021-05-10
282,0.09074872732162476,3.9626713,0.37261888,2021-05-11
283,0.09228925406932831,3.9633121,0.3741522,2021-05-12
284,0.09077977389097214,3.9626408,0.37280896,2021-05-13
285,0.07885157316923141,3.9494576,0.345474,2021-05-14
286,0.0765896737575531,3.9483564,0.33682016,2021-05-17
287,0.07578923553228378,3.9466152,0.33274975,2021-05-18
288,0.11092539876699448,3.9714649,0.4077347,2021-05-19
289,0.08494875580072403,3.9570615,0.3608916,2021-05-20
290,0.09128457307815552,3.961787,0.372219,2021-05-21
291,0.08422635495662689,3.9585958,0.36302525,2021-05-24
292,0.08891406655311584,3.9614341,0.36883834,2021-05-25
293,0.08168809860944748,3.9528759,0.3499441,2021-05-26
294,0.08765313029289246,3.957613,0.36799142,2021-05-27
