timestep,ck_kl,ck_tv,date
0,0.04716804302392454,0.12817791372542237,2020-04-17
1,0.012119468836804382,0.05895359116233493,2020-04-20
2,0.03202969556147951,0.10471659810141297,2020-04-21
3,0.012424780925306744,0.06395617658587308,2020-04-22
4,0.13092631495740262,0.20652193319634632,2020-04-23
5,0.06637825302646734,0.13766195673973064,2020-04-24
6,0.011095813074079836,0.05164623616310207,2020-04-27
7,0.08775576354089344,0.16703126592403453,2020-04-28
8,0.023445043370354628,0.08874608512348942,2020-04-29
9,0.0540783651815728,0.12739419884315697,2020-04-30
10,0.008816205351993962,0.05173662381741753,2020-05-01
11,0.30092575501256735,0.30945746960856424,2020-05-04
12,0.020709425420840855,0.0804379914157677,2020-05-05
13,0.04060649628955132,0.11275165318334059,2020-05-06
14,0.16574618657262147,0.24037209712684632,2020-05-07
15,0.0223574988221384,0.08326974044904378,2020-05-08
16,0.038606882331379246,0.10439794141643788,2020-05-11
17,0.017957186752944672,0.07541830834021027,2020-05-12
18,0.05463949200560594,0.12954662042723966,2020-05-13
19,0.0093481751783996,0.05208457268363811,2020-05-14
20,0.010725370982797654,0.058057865943529914,2020-05-15
21,0.03253133824147599,0.10124918880400566,2020-05-18
22,0.06647810379576265,0.14333880475564603,2020-05-19
23,0.015483531468473281,0.07056775481404778,2020-05-20
24,0.1595829728109097,0.23350270820570646,2020-05-21
25,0.0992290760745002,0.18757498381599982,2020-05-22
26,0.00978111402674494,0.0541677701217836,2020-05-26
27,0.38753825829444427,0.338234560033974,2020-05-27
28,0.012123245068656651,0.05960020674688115,2020-05-28
29,0.015028214644982175,0.06697206247964699,2020-05-29
30,0.009217823981628124,0.05374435037590042,2020-06-01
31,0.009929997143981883,0.05454539745605054,2020-06-02
32,0.011284883607867906,0.05981902817755466,2020-06-03
33,0.021825875530956957,0.0813273032011952,2020-06-04
34,0.9653296646396232,0.5626857307575729,2020-06-05
35,0.4081763552744878,0.3817517818253636,2020-06-08
36,0.0234822023848942,0.08800434939890672,2020-06-09
37,0.05735411744193099,0.13264332577566224,2020-06-10
38,0.5648145421388188,0.401106102165855,2020-06-11
39,0.05411208620010676,0.13290647750294757,2020-06-12
40,0.017467349516127793,0.07448309047373038,2020-06-15
41,0.04200254388826991,0.11123848255322069,2020-06-16
