timestep,ck_kl,ck_tv,date
0,0.01181528813545804,0.06280323214011564,2020-04-17
1,0.05669143816742731,0.13716520190606046,2020-04-20
2,0.046650599076995716,0.12449125280299028,2020-04-21
3,0.03202980107870249,0.10211654740116413,2020-04-22
4,0.10874528278076118,0.18463424342358917,2020-04-23
5,0.12246350306139693,0.1825013693326493,2020-04-24
6,0.020604870883510193,0.0756959624734146,2020-04-27
7,0.12033210944277997,0.204468652902875,2020-04-28
8,0.011797669125916734,0.06360021274297253,2020-04-29
9,0.06871152452081997,0.15343989771740518,2020-04-30
10,0.011361470838248008,0.05754640940382372,2020-05-01
11,0.30240502111624096,0.2836717710795906,2020-05-04
12,0.01850335709148233,0.07705583265300163,2020-05-05
13,0.030462299524390193,0.09638985576163493,2020-05-06
14,0.199349311697583,0.26509375220623393,2020-05-07
15,0.08128947261985253,0.16764410477346584,2020-05-08
16,0.036640639533711744,0.10006664890441812,2020-05-11
17,0.01489120740710258,0.07153590179931582,2020-05-12
18,0.04033154047401987,0.10657898521365827,2020-05-13
19,0.01343242487960029,0.06329249561615477,2020-05-14
20,0.015230118346127615,0.07142938297762759,2020-05-15
21,0.07367664835466407,0.1527017425611701,2020-05-18
22,0.0929037676965374,0.17642437704061137,2020-05-19
23,0.023938953816162737,0.08497937822341572,2020-05-20
24,0.14434032623800067,0.22597740637140695,2020-05-21
25,0.03733885854609536,0.11661163241644494,2020-05-22
26,0.011852846992485417,0.062185405263854264,2020-05-26
27,0.45965881762235483,0.3551743546840914,2020-05-27
28,0.020050984346692478,0.0804887753015027,2020-05-28
29,0.009940767688498017,0.05652021074489107,2020-05-29
30,0.010218606587295611,0.055288756286687855,2020-06-01
31,0.021410627849222576,0.08615366423378133,2020-06-02
32,0.015716339283316786,0.06446810978820898,2020-06-03
33,0.042503245450947025,0.11101385373624612,2020-06-04
34,0.7937642262504294,0.5033514321560176,2020-06-05
35,0.3752272368634629,0.36436477975707116,2020-06-08
36,0.07015700527021307,0.1627416628931954,2020-06-09
37,0.027974919428291202,0.08616064170514648,2020-06-10
38,0.4176776158936835,0.3407522081880757,2020-06-11
39,0.07631127436420672,0.15060624128762862,2020-06-12
40,0.03324102739922531,0.10303443281799299,2020-06-15
41,0.05486815942703983,0.12239727601756793,2020-06-16
42,0.12117379339238332,0.18637431148544925,2020-06-17
43,0.05179377536478538,0.1300196492851047,2020-06-18
44,0.011161913229286639,0.05964410928888371,2020-06-19
45,0.02215113610578934,0.08804758074808218,2020-06-22
46,0.04556337593159742,0.12706073326373862,2020-06-23
47,0.014637402930567764,0.06820579581556103,2020-06-24
48,0.029763132929603926,0.09301895203242629,2020-06-25
49,0.01060719358675541,0.05263038263949857,2020-06-26
50,0.009347568310366632,0.05563125234372852,2020-06-29
51,0.050713891679004024,0.11707578408941684,2020-06-30
52,0.007949886225721282,0.046626828575671124,2020-07-01
53,0.012907251557584556,0.06109072667615071,2020-07-02
54,0.013898987894079768,0.06698631082134847,2020-07-06
55,0.016927833573167957,0.06861967253289118,2020-07-07
56,0.0342384205111196,0.09870603522432908,2020-07-08
57,0.07326619382856227,0.16152772198995463,2020-07-09
58,0.014058958591154764,0.06426922510044682,2020-07-10
59,0.047905557405766214,0.09757569630165128,2020-07-13
60,0.044609759951976906,0.10961024345332132,2020-07-14
61,0.018701738135395305,0.08115247180385529,2020-07-15
62,0.14074230154417994,0.1933641390332638,2020-07-16
63,0.006623927253185873,0.04678628946149915,2020-07-17
64,0.010191348347908552,0.056656986262866894,2020-07-20
65,0.007175438060938344,0.04205597009037879,2020-07-21
