timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.02313186787068844,3.4958863,0.08365587,2020-04-13
1,0.012573576532304287,3.2159734,0.045466196,2020-04-14
2,0.02203291654586792,3.0640025,0.09727757,2020-04-15
3,0.017933694645762444,3.2504683,0.069235325,2020-04-16
4,0.0218665711581707,3.1722863,0.08257985,2020-04-17
5,0.024678155779838562,3.4026952,0.09206221,2020-04-20
6,0.023723047226667404,3.389189,0.09006835,2020-04-21
7,0.02802961692214012,3.1267395,0.1024771,2020-04-22
8,0.022652311250567436,3.2569904,0.08886208,2020-04-23
9,0.01882891356945038,3.3392406,0.07588969,2020-04-24
10,0.023744987323880196,3.2943864,0.09325044,2020-04-27
11,0.02192532829940319,3.466936,0.075928435,2020-04-28
12,0.018569910898804665,3.4714088,0.071481735,2020-04-29
13,0.026952017098665237,3.4718735,0.1055291,2020-04-30
14,0.018802234902977943,3.3702378,0.073401846,2020-05-01
15,0.01998456008732319,3.390949,0.08192709,2020-05-04
16,0.025183554738759995,3.4505198,0.099465005,2020-05-05
17,0.0243902076035738,3.4306295,0.0963553,2020-05-06
18,0.023044301196932793,3.4410903,0.082733504,2020-05-07
19,0.02027655951678753,3.3924646,0.07278755,2020-05-08
20,0.026278121396899223,3.4484446,0.10266109,2020-05-11
21,0.024439360946416855,3.382761,0.092141815,2020-05-12
22,0.023059433326125145,3.2111428,0.08924089,2020-05-13
23,0.021147681400179863,3.3912153,0.08671931,2020-05-14
24,0.034837838262319565,3.5204878,0.14630413,2020-05-15
25,0.015567499212920666,3.3711982,0.06204733,2020-05-18
26,0.026292013004422188,3.5035005,0.10815849,2020-05-19
27,0.03246264159679413,3.5291846,0.106808744,2020-05-20
28,0.026103734970092773,3.477149,0.105992235,2020-05-21
29,0.034356847405433655,3.5213332,0.12344066,2020-05-22
30,0.017047151923179626,3.3858602,0.06553939,2020-05-26
31,0.016070162877440453,3.353251,0.06404425,2020-05-27
32,0.01920394040644169,3.4948647,0.07899192,2020-05-28
33,0.025628168135881424,3.4730985,0.10146889,2020-05-29
34,0.025557341054081917,3.4403074,0.09735379,2020-06-01
35,0.019706375896930695,3.4406314,0.082662135,2020-06-02
36,0.022253481671214104,3.4857621,0.08184695,2020-06-03
37,0.018368013203144073,3.479131,0.06413473,2020-06-04
38,0.01979910396039486,3.5132346,0.068013504,2020-06-05
