timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.4945538,0.0,2020-03-27
1,0.0,3.6115587,0.0,2020-03-30
2,0.0,3.7811596,0.0,2020-03-31
3,0.0,3.463965,0.0,2020-04-01
4,0.0,3.4599793,0.0,2020-04-02
5,0.0,3.429727,0.0,2020-04-03
6,0.0,3.781571,0.0,2020-04-06
7,0.0,3.4885302,0.0,2020-04-07
8,0.0,3.8014543,0.0,2020-04-08
9,0.0,3.854413,0.0,2020-04-09
10,0.0,3.5084803,0.0,2020-04-13
11,0.0,3.7940001,0.0,2020-04-14
12,0.0,3.5172257,0.0,2020-04-15
13,0.0,3.722005,0.0,2020-04-16
14,0.0,3.5967684,0.0,2020-04-17
15,0.0,3.775774,0.0,2020-04-20
16,0.0,3.848374,0.0,2020-04-21
17,0.0,3.7765796,0.0,2020-04-22
18,0.0,3.8091283,0.0,2020-04-23
19,0.0,3.8884492,0.0,2020-04-24
20,0.0,3.9127922,0.0,2020-04-27
21,0.0,3.901231,0.0,2020-04-28
22,0.0,3.9373493,0.0,2020-04-29
23,0.0,3.897158,0.0,2020-04-30
24,0.0,3.887892,0.0,2020-05-01
25,0.0,3.9524539,0.0,2020-05-04
26,0.0,3.9045765,0.0,2020-05-05
27,0.0,3.9285994,0.0,2020-05-06
28,0.0,3.9285223,0.0,2020-05-07
29,0.0,3.947627,0.0,2020-05-08
30,0.0,3.9425843,0.0,2020-05-11
31,0.0,3.9091086,0.0,2020-05-12
32,0.0,3.8269515,0.0,2020-05-13
33,0.0,3.9311233,0.0,2020-05-14
34,0.0,3.9367373,0.0,2020-05-15
35,0.0,3.9456196,0.0,2020-05-18
36,0.0,3.8962264,0.0,2020-05-19
37,0.0,3.928426,0.0,2020-05-20
38,0.0,3.9353666,0.0,2020-05-21
39,0.0,3.9346783,0.0,2020-05-22
40,0.0,3.941406,0.0,2020-05-26
41,0.0,3.9590604,0.0,2020-05-27
42,0.0,3.9330595,0.0,2020-05-28
43,0.0,3.9480083,0.0,2020-05-29
44,0.0,3.927261,0.0,2020-06-01
45,0.0,3.9193153,0.0,2020-06-02
46,0.0,3.9355378,0.0,2020-06-03
47,0.0,3.9344435,0.0,2020-06-04
48,0.0,3.9274473,0.0,2020-06-05
49,0.0,3.9400368,0.0,2020-06-08
50,0.0,3.9489691,0.0,2020-06-09
51,0.0,3.9409344,0.0,2020-06-10
52,0.0,3.881728,0.0,2020-06-11
53,0.0,3.9076474,0.0,2020-06-12
54,0.0,3.9434326,0.0,2020-06-15
55,0.0,3.9352582,0.0,2020-06-16
