model,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond,1,4,42,1.3714948892593384,1.362851619720459,1.4137016534805298,0.0274072923606392
state_cond,1,4,7,1.3664336204528809,1.3620154857635498,1.4089112281799316,0.022616867060041
state_cond,1,4,123,1.355541706085205,1.3582340478897097,1.4002389907836914,0.0139446296638008
state_free,1,4,42,1.361274480819702,1.360521674156189,1.398390531539917,0.0120961704200264
state_free,1,4,7,1.3677828311920166,1.3612843751907349,1.4096765518188477,0.023382190698957
state_free,1,4,123,1.356963872909546,1.3579156398773191,1.4042811393737793,0.0179867782538887
state_cond,5,4,42,1.3547511100769043,1.367681860923767,1.4065124988555908,0.0202181377357002
state_cond,5,4,7,1.3529975414276123,1.3683137893676758,1.4036667346954346,0.0173723735755439
state_cond,5,4,123,1.3656318187713623,1.3693475723266602,1.4044300317764282,0.0181356706565376
state_free,5,4,42,1.3604755401611328,1.3689777851104736,1.4080487489700315,0.0217543878501411
state_free,5,4,7,1.3645013570785522,1.3703399896621704,1.408847093582153,0.0225527324622627
state_free,5,4,123,1.345921754837036,1.36665678024292,1.4049699306488037,0.0186755695289131
state_cond,10,4,42,1.348325490951538,1.3682706356048584,1.3918322324752808,0.0055378713553901
state_cond,10,4,7,1.3334470987319946,1.3636680841445925,1.3995225429534912,0.0132281818336006
state_cond,10,4,123,1.334653615951538,1.3669421672821045,1.3883252143859863,0.0020308532660957
state_free,10,4,42,1.347813367843628,1.36798894405365,1.399335265159607,0.0130409040397163
state_free,10,4,7,1.3413077592849731,1.3674572706222534,1.405123591423035,0.018829230303144
state_free,10,4,123,1.3235775232315063,1.3606245517730713,1.4055485725402832,0.0192542114203926
state_cond,21,4,42,1.324795126914978,1.3755744695663452,1.4044032096862793,0.0181088485663887
state_cond,21,4,7,1.3379483222961426,1.3755911588668823,1.39778470993042,0.0114903488105293
state_cond,21,4,123,1.3367689847946167,1.374173641204834,1.3885163068771362,0.0022219457572456
state_free,21,4,42,1.3129392862319946,1.37861168384552,1.4048656225204468,0.0185712614005562
state_free,21,4,7,1.3336464166641235,1.3773338794708252,1.393005609512329,0.0067112483924385
state_free,21,4,123,1.321507215499878,1.3741028308868408,1.4000024795532229,0.013708118433332
state_cond,63,4,42,1.2788838148117063,1.3652235269546509,1.3917882442474363,0.0054938831275459
state_cond,63,4,7,1.3003047704696655,1.376795768737793,1.3990696668624878,0.0127753057425972
state_cond,63,4,123,1.2762300968170166,1.3681721687316897,1.39219331741333,0.0058989562934395
state_free,63,4,42,1.2846877574920654,1.3745979070663452,1.3947288990020752,0.0084345378821846
state_free,63,4,7,1.2892615795135498,1.384894847869873,1.3859981298446655,-0.000296231275225
state_free,63,4,123,1.2884405851364136,1.3626067638397217,1.3723820447921753,-0.0139123163277152
state_cond,1,10,42,2.183854818344116,2.221641778945923,2.276131153106689,-0.0264539398873564
state_cond,1,10,7,2.192143678665161,2.2243435382843018,2.273766040802002,-0.0288190521920439
state_cond,1,10,123,2.1887123584747314,2.225670576095581,2.2804503440856934,-0.0221347489083525
state_free,1,10,42,2.177665948867798,2.2222235202789307,2.278499126434326,-0.0240859665597197
state_free,1,10,7,2.195353507995605,2.2253763675689697,2.279550313949585,-0.0230347790444609
state_free,1,10,123,2.193342447280884,2.22501277923584,2.287466526031494,-0.0151185669625517
state_cond,5,10,42,2.190662145614624,2.2429347038269043,2.282296657562256,-0.02028843543179
state_cond,5,10,7,2.190265893936157,2.243871688842773,2.273608684539795,-0.0289764084542509
