timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0042035761289298534,2.7234468,0.017153554,2020-04-17
1,0.007292679511010647,2.7590942,0.029639777,2020-04-20
2,0.012270627543330193,2.873994,0.047833156,2020-04-21
3,0.006498199421912432,2.7433627,0.025016502,2020-04-22
4,0.006646445952355862,2.6217165,0.024815263,2020-04-23
5,0.007462298031896353,2.837726,0.026314408,2020-04-24
6,0.014278189279139042,2.8901567,0.05989962,2020-04-27
7,0.020758086815476418,2.9604166,0.08422469,2020-04-28
8,0.01650640368461609,2.9328556,0.07112466,2020-04-29
9,0.02293657511472702,2.955957,0.089136295,2020-04-30
10,0.007275695446878672,2.8299818,0.02731921,2020-05-01
11,0.006782023701816797,2.7727773,0.024346195,2020-05-04
12,0.00864856131374836,2.8233438,0.032064836,2020-05-05
13,0.008404276333749294,2.7754314,0.031451263,2020-05-06
14,0.022174090147018433,2.911964,0.08827247,2020-05-07
15,0.01877540908753872,2.9051836,0.077721275,2020-05-08
16,0.014200414530932903,2.870131,0.05276756,2020-05-11
17,0.01394329871982336,2.8675056,0.054580323,2020-05-12
18,0.007226062007248402,2.7272081,0.026406568,2020-05-13
19,0.005015021190047264,2.7837842,0.019285202,2020-05-14
20,0.010094835422933102,2.8423634,0.038937084,2020-05-15
21,0.01043336745351553,2.8449488,0.043824386,2020-05-18
22,0.010237453505396843,2.834157,0.039035458,2020-05-19
23,0.006838643923401833,2.8035731,0.029283732,2020-05-20
24,0.014031099155545235,2.880708,0.05286361,2020-05-21
25,0.027912167832255363,2.9848893,0.11033905,2020-05-22
26,0.007707026321440935,2.847928,0.030738054,2020-05-26
27,0.01155669055879116,2.860717,0.04910088,2020-05-27
28,0.010587397031486034,2.8472648,0.03957748,2020-05-28
29,0.015304962173104286,2.8790417,0.058219578,2020-05-29
30,0.015456637367606163,2.904528,0.061350323,2020-06-01
31,0.006743241101503372,2.8328326,0.024571922,2020-06-02
32,0.012123622931540012,2.908734,0.047891777,2020-06-03
33,0.020003249868750572,2.9414372,0.082565166,2020-06-04
34,0.012458603829145432,2.8869236,0.053406145,2020-06-05
35,0.022809233516454697,2.9718392,0.08784234,2020-06-08
36,0.021975025534629822,2.9622576,0.08550676,2020-06-09
37,0.006550622638314962,2.8222828,0.022646151,2020-06-10
38,0.005449727177619934,2.660891,0.019229496,2020-06-11
39,0.004944832995533943,2.6809134,0.017712003,2020-06-12
40,0.006464141421020031,2.749739,0.02543186,2020-06-15
41,0.01932789757847786,2.9371898,0.084487535,2020-06-16
42,0.006999627687036991,2.7544131,0.027103296,2020-06-17
43,0.006437108851969242,2.7442384,0.026836298,2020-06-18
44,0.01081869937479496,2.8112662,0.038897112,2020-06-19
45,0.02394270896911621,2.9505856,0.08897509,2020-06-22
46,0.025571292266249657,2.9681697,0.09681339,2020-06-23
47,0.008246843703091145,2.7320487,0.029356986,2020-06-24
48,0.020235899835824966,2.900068,0.076704755,2020-06-25
49,0.009353412315249443,2.7943263,0.03351621,2020-06-26
50,0.00907447375357151,2.8247693,0.037655413,2020-06-29
51,0.018340902402997017,2.8997867,0.07203981,2020-06-30
52,0.02011038176715374,2.9264767,0.08025971,2020-07-01
53,0.026348866522312164,2.9704218,0.09729789,2020-07-02
54,0.013721278868615627,2.8622372,0.05585308,2020-07-06
55,0.024713829159736633,2.9447186,0.08937651,2020-07-07
56,0.02421337366104126,2.9551463,0.09389321,2020-07-08
57,0.01968897506594658,2.902647,0.07490328,2020-07-09
58,0.009652878157794476,2.8555276,0.040844273,2020-07-10
59,0.007495483383536339,2.8416176,0.029624427,2020-07-13
60,0.012821194715797901,2.8637445,0.051530853,2020-07-14
61,0.030052509158849716,2.9882185,0.119840555,2020-07-15
62,0.025095172226428986,2.9564154,0.104102194,2020-07-16
63,0.016248147934675217,2.9335728,0.057779644,2020-07-17
64,0.02874511480331421,2.9850333,0.10802716,2020-07-20
65,0.02832258865237236,2.9865,0.1141835,2020-07-21
66,0.024322232231497765,2.9807463,0.08821725,2020-07-22
67,0.027676615864038467,2.989451,0.108581595,2020-07-23
68,0.025791805237531662,2.964525,0.102585025,2020-07-24
69,0.029950685799121857,2.9806333,0.108914584,2020-07-27
70,0.009851266629993916,2.8753293,0.037351742,2020-07-28
71,0.03218831121921539,2.985685,0.12378751,2020-07-29
72,0.030576104298233986,2.9861,0.108978614,2020-07-30
73,0.02720017358660698,2.983444,0.10933198,2020-07-31
74,0.031081443652510643,2.9850595,0.12027418,2020-08-03
75,0.031084246933460236,2.9676552,0.11051589,2020-08-04
76,0.02125268615782261,2.9774132,0.08335059,2020-08-05
77,0.031636424362659454,2.9799573,0.12104628,2020-08-06
78,0.02561008371412754,2.990071,0.108937986,2020-08-07
79,0.028107158839702606,2.9854605,0.105992936,2020-08-10
80,0.029007170349359512,2.9791243,0.116866454,2020-08-11
81,0.0293752271682024,2.9879894,0.11521256,2020-08-12
82,0.030084624886512756,2.9777308,0.11267255,2020-08-13
83,0.025227786973118782,2.9833367,0.09127215,2020-08-14
84,0.028785638511180878,2.9869955,0.1096707,2020-08-17
85,0.027576500549912453,2.9848576,0.10090636,2020-08-18
86,0.03001660481095314,2.980823,0.1083941,2020-08-19
87,0.030176138505339622,2.9818017,0.11458371,2020-08-20
88,0.031072288751602173,2.980338,0.1159572,2020-08-21
89,0.030858218669891357,2.9830341,0.123965636,2020-08-24
90,0.029531171545386314,2.9882917,0.11669339,2020-08-25
91,0.028103219345211983,2.976064,0.11109901,2020-08-26
92,0.029817307367920876,2.9599378,0.115575865,2020-08-27
93,0.029845600947737694,2.9775562,0.118969426,2020-08-28
94,0.025659305974841118,2.9845562,0.0938824,2020-08-31
95,0.030114859342575073,2.9878106,0.11771446,2020-09-01
96,0.03069719299674034,2.9874983,0.12167952,2020-09-02
97,0.028812352567911148,2.9866097,0.10595903,2020-09-03
98,0.027805272489786148,2.984481,0.11038256,2020-09-04
99,0.017719920724630356,2.8732848,0.06380971,2020-09-08
100,0.02598961815237999,2.9626927,0.100553736,2020-09-09
101,0.024013616144657135,2.9398968,0.0873511,2020-09-10
102,0.029247932136058807,2.985711,0.116470724,2020-09-11
103,0.02548782154917717,2.9848003,0.10023048,2020-09-14
104,0.026033204048871994,2.9762316,0.09993493,2020-09-15
105,0.022733306512236595,2.9594598,0.0947978,2020-09-16
106,0.027942385524511337,2.9680889,0.10234417,2020-09-17
107,0.026607466861605644,2.9759579,0.09891665,2020-09-18
108,0.018547261133790016,2.9042993,0.06738171,2020-09-21
109,0.01874253712594509,2.8838031,0.07072002,2020-09-22
110,0.01516070868819952,2.8558226,0.05570571,2020-09-23
111,0.024693280458450317,2.9412718,0.094914526,2020-09-24
112,0.026093890890479088,2.9686265,0.102275126,2020-09-25
113,0.027701904997229576,2.9848955,0.110473715,2020-09-28
114,0.028488030657172203,2.9865909,0.109746836,2020-09-29
115,0.024674315005540848,2.965951,0.10378839,2020-09-30
116,0.030055593699216843,2.9871798,0.117817864,2020-10-01
117,0.02938605472445488,2.9847987,0.11768083,2020-10-02
118,0.025342518463730812,2.9876747,0.09560582,2020-10-05
119,0.029917526990175247,2.9858928,0.1110977,2020-10-06
120,0.021457962691783905,2.9719954,0.08465071,2020-10-07
121,0.029499292373657227,2.985581,0.11758683,2020-10-08
122,0.027198756113648415,2.9843605,0.10445397,2020-10-09
123,0.026951175183057785,2.979834,0.10625972,2020-10-12
124,0.027549702674150467,2.9735756,0.10020963,2020-10-13
125,0.017142921686172485,2.909655,0.06340987,2020-10-14
126,0.02232910506427288,2.9275203,0.08408515,2020-10-15
127,0.02927355095744133,2.9760349,0.11598778,2020-10-16
128,0.02939293347299099,2.9875138,0.1124104,2020-10-19
129,0.024448420852422714,2.956723,0.102414384,2020-10-20
130,0.029366005212068558,2.9838634,0.11590846,2020-10-21
131,0.021213363856077194,2.9711978,0.08500429,2020-10-22
132,0.029241545125842094,2.9873528,0.113701805,2020-10-23
133,0.02621951326727867,2.9739702,0.09892599,2020-10-26
134,0.01970674656331539,2.8974597,0.0733801,2020-10-27
135,0.012603194452822208,2.8389673,0.046854414,2020-10-28
136,0.01334688812494278,2.8699732,0.048203282,2020-10-29
137,0.02734791673719883,2.9769037,0.10948429,2020-10-30
138,0.027583269402384758,2.9802957,0.10836348,2020-11-02
139,0.025171060115098953,2.969165,0.10544557,2020-11-03
140,0.020115483552217484,2.9345653,0.07945998,2020-11-04
141,0.02358480915427208,2.976386,0.09398537,2020-11-05
142,0.023654194548726082,2.9510024,0.090858236,2020-11-06
143,0.0052710953168570995,2.7894452,0.023447448,2020-11-09
144,0.006686006207019091,2.781764,0.025397038,2020-11-10
145,0.004946924280375242,2.7576323,0.0203201,2020-11-11
146,0.01741190254688263,2.9281628,0.06292461,2020-11-12
147,0.03104417771100998,2.9819815,0.11952945,2020-11-13
148,0.003703701077029109,2.792198,0.013503042,2020-11-16
149,0.027151204645633698,2.9782355,0.1057433,2020-11-17
150,0.02787410095334053,2.983783,0.106218375,2020-11-18
151,0.031346164643764496,2.985607,0.124941885,2020-11-19
152,0.030435100197792053,2.9845357,0.111974366,2020-11-20
153,0.024182254448533058,2.9834778,0.09591822,2020-11-23
154,0.025964796543121338,2.9895868,0.108595334,2020-11-24
155,0.024728301912546158,2.9903972,0.099698745,2020-11-25
156,0.02530587650835514,2.9908261,0.099443935,2020-11-27
157,0.031302474439144135,2.9797714,0.110564604,2020-11-30
158,0.02783650904893875,2.987295,0.10402395,2020-12-01
159,0.021447407081723213,2.963986,0.08082004,2020-12-02
160,0.028600359335541725,2.9855049,0.10824338,2020-12-03
161,0.020624369382858276,2.963177,0.08968052,2020-12-04
162,0.028503987938165665,2.986214,0.10631804,2020-12-07
163,0.026832792907953262,2.9894567,0.10532428,2020-12-08
164,0.01596546545624733,2.864461,0.058920152,2020-12-09
165,0.03105003573000431,2.9705358,0.11945316,2020-12-10
166,0.028482528403401375,2.9856308,0.1088651,2020-12-11
167,0.03128407895565033,2.9862325,0.12096867,2020-12-14
168,0.030052322894334793,2.966013,0.11463713,2020-12-15
169,0.029442397877573967,2.9673195,0.1094934,2020-12-16
170,0.029226509854197502,2.9693685,0.11160572,2020-12-17
171,0.03183283284306526,2.9800131,0.12036018,2020-12-18
172,0.029763732105493546,2.9787252,0.12129656,2020-12-21
173,0.02869931049644947,2.9845324,0.11058179,2020-12-22
174,0.02960854023694992,2.9883912,0.121081784,2020-12-23
175,0.02671569399535656,2.9848704,0.103584394,2020-12-24
176,0.02797868475317955,2.9787807,0.11361543,2020-12-28
177,0.02819775603711605,2.965637,0.10830881,2020-12-29
178,0.0297115258872509,2.9805555,0.118477434,2020-12-30
179,0.028474939987063408,2.9776495,0.107218124,2020-12-31
180,0.030417006462812424,2.9690146,0.11233898,2021-01-04
181,0.029434779658913612,2.9735374,0.11555296,2021-01-05
182,0.029220540076494217,2.987908,0.11750629,2021-01-06
183,0.020233837887644768,2.973239,0.07792998,2021-01-07
184,0.021671677008271217,2.9820886,0.08654341,2021-01-08
185,0.030098911374807358,2.9823475,0.118460126,2021-01-11
186,0.029519421979784966,2.9617355,0.116086006,2021-01-12
187,0.018282422795891762,2.9570646,0.06795561,2021-01-13
188,0.026633165776729584,2.9895508,0.10642471,2021-01-14
189,0.02686048112809658,2.9627879,0.09769269,2021-01-15
190,0.028351038694381714,2.9803193,0.10621539,2021-01-19
191,0.02695908024907112,2.9757788,0.10271391,2021-01-20
192,0.02863229252398014,2.9650714,0.10765043,2021-01-21
193,0.032682593911886215,2.9856088,0.11679007,2021-01-22
194,0.0306144617497921,2.9849808,0.1207041,2021-01-25
195,0.03244250267744064,2.9836555,0.11648219,2021-01-26
196,0.02112235128879547,2.9011688,0.0808046,2021-01-27
197,0.025127757340669632,2.9480712,0.09781812,2021-01-28
198,0.022549252957105637,2.9258378,0.08512765,2021-01-29
199,0.02878301590681076,2.9764354,0.11132121,2021-02-01
200,0.030327197164297104,2.977302,0.12288344,2021-02-02
201,0.028126562014222145,2.984736,0.11547434,2021-02-03
202,0.026031196117401123,2.9878957,0.105301544,2021-02-04
203,0.02463066205382347,2.9721127,0.09013857,2021-02-05
204,0.026634149253368378,2.9469368,0.10606094,2021-02-08
205,0.026695577427744865,2.9852765,0.10613424,2021-02-09
206,0.02907233126461506,2.9483612,0.1088947,2021-02-10
207,0.029203707352280617,2.9703434,0.105298966,2021-02-11
208,0.028584033250808716,2.9373646,0.1134543,2021-02-12
209,0.027091842144727707,2.9526556,0.10798295,2021-02-16
210,0.027467627078294754,2.9761977,0.11037248,2021-02-17
211,0.02688894048333168,2.9661977,0.1038416,2021-02-18
212,0.028582828119397163,2.9895976,0.11704166,2021-02-19
213,0.028524991124868393,2.9856207,0.11182564,2021-02-22
214,0.02638900652527809,2.9900994,0.101995476,2021-02-23
