timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.430103,0.0,2020-04-17
1,0.0,3.6945255,0.0,2020-04-20
2,0.0,3.6332731,0.0,2020-04-21
3,0.0,3.5056036,0.0,2020-04-22
4,0.0,3.2846053,0.0,2020-04-23
5,0.0,3.791088,0.0,2020-04-24
6,0.0,3.797145,0.0,2020-04-27
7,0.0,3.9596374,0.0,2020-04-28
8,0.0,3.7739322,0.0,2020-04-29
9,0.0,3.898316,0.0,2020-04-30
10,0.0,3.7336679,0.0,2020-05-01
11,0.0,3.7190337,0.0,2020-05-04
12,0.0,3.7963717,0.0,2020-05-05
13,0.0,3.6717377,0.0,2020-05-06
14,0.0,3.8603194,0.0,2020-05-07
15,0.0,3.9020855,0.0,2020-05-08
16,0.0,3.8620594,0.0,2020-05-11
17,0.0,3.7729642,0.0,2020-05-12
18,0.0,3.4978876,0.0,2020-05-13
19,0.0,3.5680594,0.0,2020-05-14
20,0.0,3.8141026,0.0,2020-05-15
21,0.0,3.7107244,0.0,2020-05-18
22,0.0,3.8065217,0.0,2020-05-19
23,0.0,3.7061577,0.0,2020-05-20
24,0.0,3.8876307,0.0,2020-05-21
25,0.0,4.005693,0.0,2020-05-22
26,0.0,3.7932591,0.0,2020-05-26
27,0.0,3.8267243,0.0,2020-05-27
28,0.0,3.7370603,0.0,2020-05-28
29,0.0,3.8027043,0.0,2020-05-29
30,0.0,3.8427517,0.0,2020-06-01
31,0.0,3.8620858,0.0,2020-06-02
32,0.0,3.9305086,0.0,2020-06-03
33,0.0,3.9193087,0.0,2020-06-04
34,0.0,3.90164,0.0,2020-06-05
35,0.0,3.9623408,0.0,2020-06-08
36,0.0,3.9584372,0.0,2020-06-09
37,0.0,3.8405335,0.0,2020-06-10
38,0.0,3.268454,0.0,2020-06-11
39,0.0,3.4150884,0.0,2020-06-12
40,0.0,3.591443,0.0,2020-06-15
41,0.0,3.9315553,0.0,2020-06-16
42,0.0,3.6193507,0.0,2020-06-17
43,0.0,3.5823886,0.0,2020-06-18
44,0.0,3.7397397,0.0,2020-06-19
45,0.0,3.9863095,0.0,2020-06-22
