timestep,ck_kl,ck_tv,date
0,0.044331966695916304,0.11621835906772228,2020-03-27
1,0.08576520119004745,0.16573159153345438,2020-03-30
2,0.029972094160334042,0.10497165489032681,2020-03-31
3,0.09639012653357759,0.17808298001329229,2020-04-01
4,0.04098021112319184,0.10585542356555391,2020-04-02
5,0.09997508609576544,0.17685148017913993,2020-04-03
6,0.10001685019285854,0.18243478062688728,2020-04-06
7,0.09174850525712869,0.17813015698025253,2020-04-07
8,0.4788983862135297,0.40911667682904584,2020-04-08
9,0.02576607009149676,0.092234931805904,2020-04-09
10,0.08709283292181819,0.16574118945403246,2020-04-13
11,0.29672855680645593,0.32539919458505123,2020-04-14
12,0.2612339506936242,0.3075292387175102,2020-04-15
13,0.04927657526305106,0.13252822348998117,2020-04-16
14,0.22854617945784567,0.27071841168661737,2020-04-17
15,0.059124746029680215,0.14145381615066271,2020-04-20
16,0.021432270790505983,0.08027849746733984,2020-04-21
17,0.05840432157243913,0.14620146687538232,2020-04-22
18,0.26629699251245104,0.30659743755315194,2020-04-23
19,0.12547809551756114,0.19090655191781164,2020-04-24
20,0.031223980037721415,0.1040813320813562,2020-04-27
21,0.15105669874397423,0.2374512286405499,2020-04-28
22,0.23249326135605858,0.2938972212722085,2020-04-29
23,0.06683053117870416,0.15296988053459165,2020-04-30
24,0.05371605845710135,0.12507893285473246,2020-05-01
25,0.02155681284079724,0.0868347055230596,2020-05-04
26,0.01741778054494609,0.07325830458506055,2020-05-05
27,0.020742592042841058,0.08321221044975412,2020-05-06
28,0.03544714598193989,0.1091876463578137,2020-05-07
29,0.021500030204053115,0.08229075479452407,2020-05-08
30,0.05499252000597155,0.1262013405447048,2020-05-11
31,0.05754339059881311,0.1300314865883516,2020-05-12
32,0.33901577006883793,0.32603826477801645,2020-05-13
33,0.11020219147521139,0.18333357170859613,2020-05-14
34,0.10446717377103065,0.19312188259544058,2020-05-15
35,0.05658076608969998,0.12401553557750654,2020-05-18
36,0.025658962620296176,0.09025282578619175,2020-05-19
37,0.06290103110230415,0.14305702850848454,2020-05-20
38,0.2316232245712768,0.2931570473965813,2020-05-21
39,0.026151976460703667,0.09299000226452574,2020-05-22
40,0.014375064106362261,0.06998583601918004,2020-05-26
41,0.06715450745729035,0.1505971307348855,2020-05-27
42,0.08117242886262672,0.1682704289036874,2020-05-28
43,0.06963443995726122,0.15177808221489875,2020-05-29
44,0.0647469341499349,0.1480581377062502,2020-06-01
45,0.05690462310939818,0.14066758426006187,2020-06-02
46,0.012599014909113913,0.06595638249354566,2020-06-03
47,0.14699539140090614,0.23387101067801394,2020-06-04
48,0.11500854538285174,0.20530498447195455,2020-06-05
49,0.07746823210414078,0.1592182309054825,2020-06-08
50,0.06907786505922722,0.1579260109780425,2020-06-09
51,0.017732634492307078,0.07548872681651214,2020-06-10
52,0.02351779400208016,0.08270717781948878,2020-06-11
53,0.025701505524092207,0.0921560247780186,2020-06-12
54,0.016802312698701374,0.07291449374814399,2020-06-15
55,0.0783900264506626,0.16840493569357706,2020-06-16
56,0.2004440728620601,0.2500501285589946,2020-06-17
57,0.015222581774238096,0.0716690399987061,2020-06-18
58,0.026722934577753345,0.09409046270096985,2020-06-19
59,0.039017026800124595,0.11514998506157682,2020-06-22
60,0.0511050338654337,0.1300146183372616,2020-06-23
61,0.06583783375562118,0.13721824341249605,2020-06-24
62,0.011444996324805952,0.06172061982346612,2020-06-25
63,0.14150622510038163,0.205305760040698,2020-06-26
64,0.016102036583952123,0.07456836663873259,2020-06-29
65,0.01920559705692949,0.07972117889551132,2020-06-30
66,0.12322491689412196,0.19302750816678915,2020-07-01
67,0.021558559775537476,0.08487600101360443,2020-07-02
68,0.14280021113872318,0.20361456504315542,2020-07-06
69,0.2035887957596746,0.24181262192486172,2020-07-07
70,0.16523130644640974,0.22508106246198087,2020-07-08
71,0.2823817734861772,0.28203807382092655,2020-07-09
72,0.06958989123844676,0.15141564840479155,2020-07-10
73,0.09626128606620084,0.1703015229901908,2020-07-13
74,0.0746805586652485,0.14861476399432458,2020-07-14
75,0.3216830428274627,0.2879752141588097,2020-07-15
76,0.07402636636396703,0.1480819347496734,2020-07-16
77,0.040654554579709186,0.1173804042967674,2020-07-17
78,0.05930485723596479,0.13731266466364273,2020-07-20
79,0.15966640709805924,0.2169427531175686,2020-07-21
80,0.09099999246760623,0.17342641792485264,2020-07-22
81,0.010813177718341598,0.05920926605112501,2020-07-23
82,0.059035753970520154,0.13747940409249648,2020-07-24
83,0.023110097527498433,0.0846517224360528,2020-07-27
84,0.154861951930532,0.22000778038940177,2020-07-28
85,0.012646945305233004,0.06387458382755976,2020-07-29
86,0.026335692355752643,0.08623466395722336,2020-07-30
87,0.094110850029461,0.17243914218128067,2020-07-31
88,0.011147404035346618,0.06028700572408757,2020-08-03
89,0.010701022808524524,0.05625176234992404,2020-08-04
90,0.022983369167574638,0.08789622357110781,2020-08-05
91,0.0917137088737602,0.1789816871522867,2020-08-06
92,0.016270646616377987,0.07100203554927405,2020-08-07
93,0.13412960908164712,0.22321143263953094,2020-08-10
94,0.05836427713730369,0.13297558123748066,2020-08-11
95,0.25062708254544835,0.3030519513125465,2020-08-12
96,0.008349143795232737,0.05349535781199697,2020-08-13
97,0.009362615466610132,0.05806783817291341,2020-08-14
98,0.009182054968969794,0.05646809267583193,2020-08-17
99,0.031161190378372214,0.10107858188442966,2020-08-18
100,0.02598824020598543,0.09187802866791567,2020-08-19
101,0.023758357494974205,0.08844071584223222,2020-08-20
102,0.039744991949992196,0.11118387172125523,2020-08-21
103,0.04570908071419381,0.12275255559312619,2020-08-24
104,0.24984365700224664,0.30489134476540125,2020-08-25
105,0.11147429826238796,0.19531812132899018,2020-08-26
106,0.009420180079052088,0.05723434935119526,2020-08-27
107,0.02979916693494778,0.0973452491729887,2020-08-28
108,0.010882772343757193,0.06216376634822822,2020-08-31
109,0.030644609911808944,0.09827419441185742,2020-09-01
110,0.02793568276551422,0.0954638257029325,2020-09-02
111,0.057851887126348596,0.14073011834009555,2020-09-03
112,0.028265346902580254,0.08977611387012342,2020-09-04
113,0.015265238616523237,0.07070319239196733,2020-09-08
114,0.03379283076534265,0.10396709191650669,2020-09-09
115,0.009514386219420553,0.05840786596359416,2020-09-10
116,0.017003460552492654,0.07448257435886765,2020-09-11
117,0.016421600476978535,0.07080040615716562,2020-09-14
118,0.10037102125112009,0.17438911962053466,2020-09-15
119,0.012306430283865586,0.0634694231718725,2020-09-16
120,0.07103321470574037,0.16062645002008774,2020-09-17
121,0.05276632926902488,0.1334908538791035,2020-09-18
122,0.009489315143206731,0.05672250555958469,2020-09-21
123,0.010572059999482087,0.05916135090213642,2020-09-22
124,0.021481854865336696,0.08482361880013829,2020-09-23
125,0.0411890166097781,0.11961337075907312,2020-09-24
126,0.012501656684221273,0.06501140033711766,2020-09-25
127,0.008600585764171623,0.053643982554172846,2020-09-28
128,0.05563058130664286,0.14046564907624717,2020-09-29
129,0.2680764303250472,0.31632816895988003,2020-09-30
130,0.17780160488709312,0.2579564771221021,2020-10-01
131,0.1899194814630914,0.2650707970090037,2020-10-02
132,0.1598646715996602,0.23657742612751553,2020-10-05
133,0.09406421162467866,0.18444928974673913,2020-10-06
134,0.00956953531333741,0.05733369290477019,2020-10-07
135,0.2061324399983888,0.2752348938377071,2020-10-08
136,0.009291009355281274,0.05621177316899074,2020-10-09
137,0.4054496118377035,0.385309533340773,2020-10-12
138,0.20761995636944597,0.27937195456010355,2020-10-13
139,0.09597925312405325,0.18493923161979692,2020-10-14
140,0.03290661444356261,0.1051592073083839,2020-10-15
141,0.024294995101801095,0.08808917127467372,2020-10-16
142,0.31444522662837465,0.3407468055781058,2020-10-19
143,0.016155865048774982,0.07340817869897923,2020-10-20
144,0.03479300335342236,0.1057894701919356,2020-10-21
145,0.01268312135519999,0.06585280550756957,2020-10-22
146,0.04288761962333512,0.11442846216183568,2020-10-23
147,0.06357622973912765,0.14739180832989443,2020-10-26
148,0.010836560812341084,0.06093063541456587,2020-10-27
149,0.07633431955922769,0.15947111659854346,2020-10-28
150,0.010910243536107145,0.0625604549151568,2020-10-29
151,0.007525676325558245,0.04933206311596137,2020-10-30
152,0.0194800360734935,0.07816198429372237,2020-11-02
153,0.04123589729985977,0.11928061548080236,2020-11-03
154,0.202688775366968,0.24164331680663184,2020-11-04
155,0.015877970708758557,0.07250184881944222,2020-11-05
156,0.1984815116100505,0.23707458141053492,2020-11-06
157,0.2183989672783897,0.25402166117131564,2020-11-09
158,0.11146146320575288,0.19819900680212907,2020-11-10
159,0.48928094622794793,0.36295420183850796,2020-11-11
160,0.11460078138017751,0.1918381308962235,2020-11-12
161,0.008613178443019,0.05508465243796027,2020-11-13
162,0.1659249353782534,0.2207716212497739,2020-11-16
163,0.012315497041052774,0.05827854384167141,2020-11-17
164,0.05931998156625309,0.1315984470727465,2020-11-18
165,0.014775259544401557,0.06836596960071332,2020-11-19
166,0.01884218300593673,0.07394372112234791,2020-11-20
167,0.04514790446230403,0.12169402778051958,2020-11-23
168,0.04930985256431883,0.1222209317815045,2020-11-24
169,0.05796417835105422,0.13143433509521876,2020-11-25
170,0.015031919682585508,0.06925073098001981,2020-11-27
171,0.07679730942337287,0.14913398870262337,2020-11-30
172,0.06457538547174237,0.1431335627705321,2020-12-01
173,0.016847849274824876,0.06447554341205348,2020-12-02
174,0.021243562703169218,0.07555255239191087,2020-12-03
175,0.04801094024602131,0.125386030316442,2020-12-04
176,0.10561062888995319,0.1966124596674079,2020-12-07
177,0.03243523113644092,0.09723504559599962,2020-12-08
178,0.015482109974578374,0.07206703872618618,2020-12-09
179,0.06697784797577432,0.13513711585939017,2020-12-10
180,0.016096562400536894,0.06434447768948015,2020-12-11
181,0.00958347727494478,0.0551823598875797,2020-12-14
182,0.027701880691008474,0.08830413562825314,2020-12-15
183,0.009000373974435188,0.05005644298813413,2020-12-16
184,0.15171464979480792,0.22649924072933622,2020-12-17
185,0.014913297675335805,0.06111416483077619,2020-12-18
186,0.009563555862428276,0.05511780801570282,2020-12-21
187,0.012906953652648158,0.060702173868143916,2020-12-22
188,0.014002137459090222,0.06619847231338745,2020-12-23
189,0.0163866888371896,0.07179265916396341,2020-12-24
190,0.324937804528916,0.34357322483533165,2020-12-28
191,0.1698267986659117,0.24446289233767443,2020-12-29
192,0.21043382742036304,0.27737991601431383,2020-12-30
193,0.13337905405084258,0.2098327826691224,2020-12-31
194,0.07578611593725917,0.15735401314091157,2021-01-04
195,0.017732819143047057,0.06648746803757138,2021-01-05
196,0.07046030789795389,0.14517493757854796,2021-01-06
197,0.06528437196086082,0.1411932261694459,2021-01-07
198,0.010323649290235371,0.0565749999738713,2021-01-08
199,0.0873463195155976,0.15438868161065303,2021-01-11
200,0.013372506268898583,0.053588916130831575,2021-01-12
201,0.11673267697194721,0.18695732273328208,2021-01-13
202,0.03940966382640414,0.10989117736477685,2021-01-14
203,0.009324855478630486,0.054029706380878645,2021-01-15
204,0.05849891898623389,0.13816582946043765,2021-01-19
205,0.03137701719057193,0.1008340713631322,2021-01-20
206,0.01042370204254096,0.05789987870339204,2021-01-21
207,0.021574551532866474,0.08331599093276322,2021-01-22
208,0.008943325281268084,0.055057972882051054,2021-01-25
209,0.02570577218532337,0.08147399228929145,2021-01-26
210,0.009549829627663825,0.05838787707738454,2021-01-27
