timestep,ck_kl,ck_tv,date
0,0.031113957277842,0.1013335534645773,2020-03-27
1,0.027123723136219823,0.094807638763472,2020-03-30
2,0.03858113669888906,0.10852645384761375,2020-03-31
3,0.15726904684278217,0.22892485243222602,2020-04-01
4,0.11022219132437985,0.19531011018176295,2020-04-02
5,0.1164859629573146,0.19937008148861382,2020-04-03
6,0.12436107001491432,0.20221146253674865,2020-04-06
7,0.09638416530175299,0.1791093685939684,2020-04-07
8,0.10602969847149915,0.18332886648515276,2020-04-08
9,0.11081687213059738,0.18042623429357002,2020-04-09
10,0.08301799151215801,0.1561746847427337,2020-04-13
11,0.04325980007781776,0.12075837631317349,2020-04-14
12,0.04256493125254378,0.11843037024844358,2020-04-15
13,0.042241191517610556,0.11943400459689453,2020-04-16
14,0.04234069703725396,0.11872292542658955,2020-04-17
15,0.06882421554186968,0.15414499905061058,2020-04-20
16,0.044574313265936846,0.12391653284422799,2020-04-21
17,0.05175359095900228,0.12980038743504851,2020-04-22
18,0.0454050634869593,0.12438441286597453,2020-04-23
19,0.04157823588660736,0.1187186724009885,2020-04-24
20,0.04026625995258681,0.11670717821964169,2020-04-27
21,0.03924147703986112,0.11538771582239239,2020-04-28
22,0.042785785333367236,0.12008016609427088,2020-04-29
23,0.040735664206300426,0.11721027825917883,2020-04-30
24,0.03366531721619812,0.10447265882279755,2020-05-01
25,0.028157927089927433,0.09570140979610244,2020-05-04
26,0.023715172083315694,0.08803489781383877,2020-05-05
27,0.023378145293669092,0.08727117249396675,2020-05-06
28,0.02088059023559197,0.08054429319011998,2020-05-07
29,0.0240747065672293,0.08932492642671429,2020-05-08
30,0.03487125881616623,0.10784968273661616,2020-05-11
31,0.029388346844269747,0.09773921703266938,2020-05-12
32,0.11800944843546735,0.21180983836537973,2020-05-13
33,0.09541322442949489,0.18699002893125116,2020-05-14
34,0.0815365151529785,0.17029948227763284,2020-05-15
35,0.0875403779401055,0.17720968759551625,2020-05-18
36,0.08536685187967812,0.1747757073160845,2020-05-19
37,0.09675317242887684,0.18727996444802827,2020-05-20
38,0.11861745597898835,0.21002641999485186,2020-05-21
39,0.09142441815180798,0.18169653183234616,2020-05-22
40,0.0882827080747789,0.17848565302040081,2020-05-26
41,0.12007612220563212,0.21056453319853755,2020-05-27
42,0.100914397066621,0.19168908804876034,2020-05-28
43,0.13458546719824602,0.22424195266436542,2020-05-29
44,0.0990134937643504,0.1897439220626622,2020-06-01
45,0.08766769464634269,0.1780942349826744,2020-06-02
46,0.0771892039751502,0.16708277108176967,2020-06-03
47,0.06752715241094186,0.1559517571714858,2020-06-04
48,0.08696097486142833,0.17806952691221198,2020-06-05
49,0.10647219021346849,0.19735606460978383,2020-06-08
50,0.07758971369332823,0.16799232522360208,2020-06-09
51,0.08366748804780409,0.1743686152826768,2020-06-10
52,0.029481331165582943,0.09775766078534806,2020-06-11
53,0.0775867820031566,0.1662852474164485,2020-06-12
54,0.05789720341637496,0.14229675836038874,2020-06-15
55,0.04501006670643847,0.12438916211235572,2020-06-16
56,0.047729104875701894,0.128610321061511,2020-06-17
57,0.028528564545499544,0.0978262515309869,2020-06-18
58,0.020043202622156916,0.08079718914485953,2020-06-19
59,0.023231274134356345,0.08819901556102017,2020-06-22
60,0.02095847398911701,0.08366401849353303,2020-06-23
61,0.02790505017363516,0.09637915821708339,2020-06-24
62,0.02817258081655328,0.09707263201711196,2020-06-25
63,0.0204007783810135,0.08144559016706485,2020-06-26
64,0.02463989852242509,0.09056909650482836,2020-06-29
65,0.019870527860688145,0.0811548120575946,2020-06-30
66,0.025467854899349697,0.09302933222581514,2020-07-01
67,0.02550830843330938,0.09336312994957566,2020-07-02
68,0.025285752338150218,0.09306381971016144,2020-07-06
69,0.020709230461989515,0.0836438582278594,2020-07-07
70,0.017837435724702033,0.07754263899971477,2020-07-08
71,0.015537420699305133,0.07113091607049314,2020-07-09
72,0.014511696021168433,0.06864785504893868,2020-07-10
73,0.01565473761322244,0.06512250705208855,2020-07-13
74,0.021735089332322256,0.08612726727622592,2020-07-14
75,0.014244245955143602,0.06789319228811908,2020-07-15
76,0.013565908751272284,0.06523580357012525,2020-07-16
77,0.014308400705349252,0.06899636856643941,2020-07-17
78,0.01276940610484357,0.06456909709003822,2020-07-20
79,0.013441129681022361,0.06670007390891933,2020-07-21
80,0.021494439195569436,0.08667504204131882,2020-07-22
81,0.020957862692667143,0.08541738531149473,2020-07-23
82,0.02083725240170393,0.0852010744357155,2020-07-24
83,0.02193651901259414,0.08766076957877128,2020-07-27
84,0.017060296137726843,0.0766785461145286,2020-07-28
85,0.0305029865734081,0.10386098589601563,2020-07-29
86,0.04366027992079784,0.12487198700647703,2020-07-30
87,0.027841558453701537,0.09909114520661867,2020-07-31
88,0.06876096866220163,0.15763741382514015,2020-08-03
89,0.0714762744401828,0.16080277851367028,2020-08-04
90,0.08775778714797132,0.1786134759119398,2020-08-05
91,0.21258594023787383,0.2808671979540884,2020-08-06
92,0.17404808542753814,0.2526383321564938,2020-08-07
93,0.18132481208340204,0.25803006689839536,2020-08-10
94,0.11765610592180913,0.20732898753297938,2020-08-11
95,0.15331103122548223,0.23641895690664072,2020-08-12
96,0.102168843374335,0.19284315727955237,2020-08-13
97,0.08035894555156183,0.17060033301650218,2020-08-14
98,0.0767072310007027,0.1665628249318391,2020-08-17
99,0.08336190646815715,0.17380716924159054,2020-08-18
100,0.08246821017238967,0.17297931851795506,2020-08-19
101,0.07176838101256763,0.16106060572775496,2020-08-20
102,0.10205371219291734,0.1929028243749525,2020-08-21
103,0.0927465601909256,0.18367303508674618,2020-08-24
104,0.12562807024394754,0.21407654312812657,2020-08-25
105,0.1124714127211499,0.2026955825388603,2020-08-26
106,0.06959191212357309,0.1587281428547948,2020-08-27
107,0.0755080608838831,0.1653758588506344,2020-08-28
108,0.05785928654833195,0.14428939820602907,2020-08-31
109,0.06030025955742875,0.14740554209441256,2020-09-01
110,0.06316561283912162,0.15102827747809375,2020-09-02
111,0.04662551957409627,0.12784132664781658,2020-09-03
112,0.06008705194390209,0.14693373577092705,2020-09-04
113,0.07907517136856963,0.16955928063337514,2020-09-08
114,0.0709718365929499,0.16050783410651928,2020-09-09
115,0.04641666151616094,0.128357729171451,2020-09-10
116,0.03932476637731823,0.1180695131272925,2020-09-11
117,0.04344868267349313,0.1244737089464716,2020-09-14
118,0.05694883835203906,0.14305901919088876,2020-09-15
119,0.06016442168903525,0.14722359744962513,2020-09-16
120,0.0672687130733398,0.15607117743220575,2020-09-17
121,0.07553764854236256,0.16570462970365185,2020-09-18
122,0.09028480663537458,0.18166278034409458,2020-09-21
