timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.03867803141474724,3.816313,0.1596111,2020-03-27
1,0.038685932755470276,3.8396635,0.1597073,2020-03-30
2,0.04141861945390701,3.822935,0.17039561,2020-03-31
3,0.06187811866402626,3.6200886,0.25112033,2020-04-01
4,0.06476161628961563,3.6071682,0.26200604,2020-04-02
5,0.06734377145767212,3.5808444,0.27067077,2020-04-03
6,0.06770997494459152,3.6067681,0.27283522,2020-04-06
7,0.06363411992788315,3.6986723,0.26121902,2020-04-07
8,0.06440579891204834,3.7196605,0.26489872,2020-04-08
9,0.0611671581864357,3.7877364,0.25530308,2020-04-09
10,0.05572577938437462,3.8533628,0.23748809,2020-04-13
11,0.05441788211464882,3.8876665,0.23322059,2020-04-14
12,0.05429987609386444,3.8710296,0.23268041,2020-04-15
13,0.053562089800834656,3.8823779,0.23015678,2020-04-16
14,0.052718937397003174,3.9012275,0.22694868,2020-04-17
15,0.041748035699129105,3.987127,0.18642633,2020-04-20
16,0.048874132335186005,3.8988779,0.21223778,2020-04-21
17,0.05129408836364746,3.8938591,0.22151813,2020-04-22
18,0.051322463899850845,3.896501,0.22173569,2020-04-23
19,0.05338176712393761,3.9108806,0.2291219,2020-04-24
20,0.05200357735157013,3.9377444,0.22486764,2020-04-27
21,0.05235845968127251,3.933511,0.22615069,2020-04-28
22,0.05362740531563759,3.93786,0.23084785,2020-04-29
23,0.05351962894201279,3.9187589,0.23018731,2020-04-30
24,0.03167766332626343,3.9460993,0.1275172,2020-05-01
25,0.03223652020096779,3.9460597,0.12936541,2020-05-04
26,0.03285583108663559,3.9491336,0.13102087,2020-05-05
27,0.0323854498565197,3.9495618,0.12916894,2020-05-06
28,0.0336112342774868,3.951418,0.13348573,2020-05-07
29,0.03448280319571495,3.958414,0.13515909,2020-05-08
30,0.034731943160295486,3.9579685,0.1361896,2020-05-11
31,0.03433752804994583,3.9410326,0.13763982,2020-05-12
32,0.034982070326805115,3.9303093,0.14100038,2020-05-13
33,0.035304199904203415,3.936957,0.14167291,2020-05-14
34,0.03556963428854942,3.937564,0.1425446,2020-05-15
35,0.03501707315444946,3.949304,0.13886717,2020-05-18
36,0.033970318734645844,3.9516993,0.1345238,2020-05-19
37,0.0339796282351017,3.9620142,0.1324184,2020-05-20
38,0.03313777968287468,3.9615772,0.12968744,2020-05-21
39,0.03356529399752617,3.9649253,0.1307426,2020-05-22
40,0.03323501721024513,3.967984,0.12921725,2020-05-26
