model,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond,1,4,42,1.342905879020691,1.3601865768432615,1.3988978862762451,0.0126035251563545
state_cond,1,4,7,1.3404370546340942,1.3632614612579346,1.4004621505737305,0.0141677894538398
state_cond,1,4,123,1.3326772451400757,1.3639137744903564,1.3976900577545166,0.011395696634626
state_free,1,4,42,1.3444950580596924,1.3614585399627686,1.3979763984680176,0.011682037348127
state_free,1,4,7,1.348298192024231,1.3605698347091677,1.40295147895813,0.0166571178382393
state_free,1,4,123,1.3423163890838623,1.363486886024475,1.4031985998153689,0.016904238695478
state_cond,5,4,42,1.327683925628662,1.372040867805481,1.4089224338531494,0.0226280727332588
state_cond,5,4,7,1.3268674612045288,1.3721282482147217,1.4090083837509155,0.0227140226310249
state_cond,5,4,123,1.338137984275818,1.3712233304977417,1.4057706594467163,0.0194762983268257
state_free,5,4,42,1.3397406339645386,1.371015191078186,1.4077370166778564,0.0214426555579658
state_free,5,4,7,1.3450261354446411,1.3702428340911863,1.4075628519058228,0.0212684907859321
state_free,5,4,123,1.3261749744415283,1.37206768989563,1.4136488437652588,0.0273544826453682
state_cond,10,4,42,1.324285864830017,1.3754197359085083,1.3995797634124756,0.013285402292585
state_cond,10,4,7,1.3105061054229736,1.3709927797317505,1.403744101524353,0.0174497404044624
state_cond,10,4,123,1.308732032775879,1.376128077507019,1.3995972871780396,0.0133029260581489
state_free,10,4,42,1.3278591632843018,1.3726967573165894,1.4019899368286133,0.0156955757087227
state_free,10,4,7,1.324315071105957,1.3726943731307983,1.404585599899292,0.0182912387794014
state_free,10,4,123,1.3041973114013672,1.3668780326843262,1.40882670879364,0.0225323476737495
state_cond,21,4,42,1.301164627075195,1.390205144882202,1.4098832607269287,0.0235888996070381
state_cond,21,4,7,1.308274507522583,1.3873717784881592,1.4052904844284058,0.0189961233085151
state_cond,21,4,123,1.3042001724243164,1.3866273164749146,1.40647554397583,0.0201811828559395
state_free,21,4,42,1.2952280044555664,1.393685817718506,1.4190678596496582,0.0327734985297676
state_free,21,4,7,1.3113542795181274,1.3905956745147705,1.4098353385925293,0.0235409774726387
state_free,21,4,123,1.3041138648986816,1.384179949760437,1.4125930070877075,0.0262986459678169
state_cond,63,4,42,1.2248715162277222,1.4073991775512695,1.4229884147644043,0.0366940536445137
state_cond,63,4,7,1.2445958852767944,1.396177887916565,1.4108730554580688,0.0245786943381782
state_cond,63,4,123,1.2297749519348145,1.398273468017578,1.4219279289245603,0.0356335678046699
state_free,63,4,42,1.2365514039993286,1.4024137258529663,1.425105094909668,0.0388107337897773
state_free,63,4,7,1.2347265481948853,1.4049692153930664,1.4060430526733398,0.0197486915534492
state_free,63,4,123,1.238805055618286,1.405465841293335,1.405584692955017,0.0192903318351265
state_cond,1,10,42,2.1664958000183105,2.221855878829956,2.2789385318756104,-0.0236465611184355
state_cond,1,10,7,2.165147542953491,2.222660541534424,2.2771384716033936,-0.0254466213906523
state_cond,1,10,123,2.16868543624878,2.2245562076568604,2.2795324325561523,-0.0230526604378935
state_free,1,10,42,2.163618326187134,2.2280282974243164,2.277107954025269,-0.0254771389687773
state_free,1,10,7,2.1755380630493164,2.226900100708008,2.2897820472717285,-0.0128030457223173
state_free,1,10,123,2.173045873641968,2.226043224334717,2.2852585315704346,-0.0173265614236113
state_cond,5,10,42,2.16694974899292,2.246095895767212,2.285135269165039,-0.0174498238290068
state_cond,5,10,7,2.1617655754089355,2.2472548484802246,2.281374454498291,-0.0212106384957548
state_cond,5,10,123,2.1552727222442627,2.2487902641296387,2.2924158573150635,-0.0101692356789824
state_free,5,10,42,2.1625237464904785,2.249077796936035,2.292339563369751,-0.0102455296242949
state_free,5,10,7,2.1356008052825928,2.2470359802246094,2.307919979095459,0.005334886101413
state_free,5,10,123,2.15584659576416,2.246159076690674,2.292447805404663,-0.0101372875893828
state_cond,10,10,42,2.1786136627197266,2.276498556137085,2.317150354385376,0.01456526139133
state_cond,10,10,7,2.1545157432556152,2.2740111351013184,2.31575608253479,0.0131709895407441
state_cond,10,10,123,2.17291522026062,2.2750773429870605,2.3149666786193848,0.0123815856253388
state_free,10,10,42,2.184295415878296,2.274639129638672,2.306300163269043,0.003715070274997
state_free,10,10,7,2.184584140777588,2.2724313735961914,2.3278069496154785,0.0252218566214326
state_free,10,10,123,2.146533489227295,2.274170398712158,2.3098840713500977,0.0072989783560517
state_cond,21,10,42,2.170982837677002,2.2835052013397217,2.275556325912476,-0.0270287670815703
state_cond,21,10,7,2.1631150245666504,2.2813913822174072,2.2773568630218506,-0.0252282299721953
state_cond,21,10,123,2.175799369812012,2.2790744304656982,2.269665241241455,-0.0329198517525908
state_free,21,10,42,2.1745684146881104,2.2805047035217285,2.277279853820801,-0.0253052391732451
state_free,21,10,7,2.111842632293701,2.2945168018341064,2.2935683727264404,-0.0090167202676054
state_free,21,10,123,2.153082847595215,2.2892942428588867,2.2759547233581543,-0.0266303696358916
state_cond,63,10,42,2.081956148147583,2.4527595043182373,2.425971508026123,0.1233864150320771
state_cond,63,10,7,2.05935001373291,2.464240312576294,2.435652017593384,0.1330669245993379
state_cond,63,10,123,2.0804920196533203,2.456979990005493,2.427401065826416,0.1248159728323701
state_free,63,10,42,2.086699962615967,2.4593515396118164,2.431836605072021,0.1292515120779755
state_free,63,10,7,2.0906193256378174,2.455684900283813,2.41956090927124,0.1169758162771943
state_free,63,10,123,2.087376594543457,2.462001085281372,2.410853147506714,0.1082680545126679
state_cond,1,20,42,2.806617259979248,2.8974297046661377,2.9672791957855225,-0.0284530777684683
state_cond,1,20,7,2.795387983322144,2.898056745529175,2.9657225608825684,-0.0300097126714224
state_cond,1,20,123,2.797999382019043,2.903935194015503,2.9706287384033203,-0.0251035351506705
state_free,1,20,42,2.822211265563965,2.9016079902648926,2.9609172344207764,-0.0348150391332144
state_free,1,20,7,2.8270034790039062,2.902303457260132,2.9728567600250244,-0.0228755135289664
state_free,1,20,123,2.7794623374938965,2.9013822078704834,2.9824798107147217,-0.0132524628392691
state_cond,5,20,42,2.8311142921447754,2.930026292800904,2.9819605350494385,-0.0137717385045523
state_cond,5,20,7,2.8304638862609863,2.930663585662842,2.968787908554077,-0.0269443649999137
state_cond,5,20,123,2.8323206901550293,2.9277048110961914,2.9774715900421143,-0.0182606835118765
state_free,5,20,42,2.8218002319335938,2.933950424194336,2.982665538787842,-0.013066734766149
state_free,5,20,7,2.8467061519622803,2.926031827926636,2.9848616123199463,-0.0108706612340445
state_free,5,20,123,2.8276360034942627,2.929469585418701,2.982494115829468,-0.013238157724523
state_cond,10,20,42,2.834738254547119,2.9666669368743896,3.0093181133270264,0.0135858397730355
state_cond,10,20,7,2.8484199047088623,2.96164608001709,3.0162243843078613,0.0204921107538704
state_cond,10,20,123,2.84155011177063,2.958127498626709,3.0159618854522705,0.0202296118982796
