timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,1.3381433,0.0,2020-04-17
1,0.0,1.3791486,0.0,2020-04-20
2,0.0,1.385857,0.0,2020-04-21
3,0.0,1.3711563,0.0,2020-04-22
4,0.0,1.3753864,0.0,2020-04-23
5,0.0,1.383538,0.0,2020-04-24
6,0.0,1.3771906,0.0,2020-04-27
7,0.0,1.3829194,0.0,2020-04-28
8,0.0,1.3823528,0.0,2020-04-29
9,0.0,1.3847564,0.0,2020-04-30
10,0.0,1.3840212,0.0,2020-05-01
11,0.0,1.3621445,0.0,2020-05-04
12,0.0,1.3818215,0.0,2020-05-05
13,0.0,1.3798728,0.0,2020-05-06
14,0.0,1.3861771,0.0,2020-05-07
15,0.0,1.3855889,0.0,2020-05-08
16,0.0,1.379685,0.0,2020-05-11
17,0.0,1.3813953,0.0,2020-05-12
18,0.0,1.3561884,0.0,2020-05-13
19,0.0,1.373395,0.0,2020-05-14
20,0.0,1.3846792,0.0,2020-05-15
21,0.0,1.3629845,0.0,2020-05-18
22,0.0,1.3850931,0.0,2020-05-19
23,0.0,1.3762811,0.0,2020-05-20
24,0.0,1.380188,0.0,2020-05-21
25,0.0,1.3801904,0.0,2020-05-22
26,0.0,1.3718854,0.0,2020-05-26
27,0.0,1.3842034,0.0,2020-05-27
28,0.0,1.3798448,0.0,2020-05-28
29,0.0,1.3861068,0.0,2020-05-29
30,0.0,1.3854367,0.0,2020-06-01
31,0.0,1.3852519,0.0,2020-06-02
32,0.0,1.3846741,0.0,2020-06-03
33,0.0,1.380084,0.0,2020-06-04
34,0.0,1.3763584,0.0,2020-06-05
35,0.0,1.3691626,0.0,2020-06-08
36,0.0,1.3803629,0.0,2020-06-09
37,0.0,1.3766004,0.0,2020-06-10
38,0.0,1.3217475,0.0,2020-06-11
39,0.0,1.3816818,0.0,2020-06-12
40,0.0,1.365485,0.0,2020-06-15
41,0.0,1.3834134,0.0,2020-06-16
42,0.0,1.3725574,0.0,2020-06-17
43,0.0,1.3636985,0.0,2020-06-18
44,0.0,1.296489,0.0,2020-06-19
45,0.0,1.3792598,0.0,2020-06-22
46,0.0,1.3837112,0.0,2020-06-23
47,0.0,1.3781383,0.0,2020-06-24
48,0.0,1.3774211,0.0,2020-06-25
49,0.0,1.3833687,0.0,2020-06-26
50,0.0,1.3861157,0.0,2020-06-29
51,0.0,1.3862853,0.0,2020-06-30
52,0.0,1.3862027,0.0,2020-07-01
53,0.0,1.3761232,0.0,2020-07-02
54,0.0,1.3820243,0.0,2020-07-06
55,0.0,1.3862393,0.0,2020-07-07
56,0.0,1.3834391,0.0,2020-07-08
57,0.0,1.3823947,0.0,2020-07-09
58,0.0,1.3833908,0.0,2020-07-10
59,0.0,1.3838545,0.0,2020-07-13
60,0.0,1.3778325,0.0,2020-07-14
61,0.0,1.381082,0.0,2020-07-15
62,0.0,1.3847494,0.0,2020-07-16
63,0.0,1.3770666,0.0,2020-07-17
64,0.0,1.3801972,0.0,2020-07-20
65,0.0,1.3792448,0.0,2020-07-21
66,0.0,1.3769134,0.0,2020-07-22
67,0.0,1.3737156,0.0,2020-07-23
68,0.0,1.3786325,0.0,2020-07-24
69,0.0,1.3834578,0.0,2020-07-27
70,0.0,1.3851693,0.0,2020-07-28
71,0.0,1.381702,0.0,2020-07-29
72,0.0,1.3794236,0.0,2020-07-30
73,0.0,1.376514,0.0,2020-07-31
74,0.0,1.3796607,0.0,2020-08-03
75,0.0,1.3791596,0.0,2020-08-04
76,0.0,1.3749868,0.0,2020-08-05
77,0.0,1.3807434,0.0,2020-08-06
78,0.0,1.3785926,0.0,2020-08-07
79,0.0,1.3837461,0.0,2020-08-10
80,0.0,1.3766251,0.0,2020-08-11
81,0.0,1.3730087,0.0,2020-08-12
82,0.0,1.3818645,0.0,2020-08-13
83,0.0,1.3806666,0.0,2020-08-14
84,0.0,1.3768326,0.0,2020-08-17
85,0.0,1.374967,0.0,2020-08-18
86,0.0,1.384842,0.0,2020-08-19
87,0.0,1.3811661,0.0,2020-08-20
88,0.0,1.3765211,0.0,2020-08-21
89,0.0,1.3829421,0.0,2020-08-24
90,0.0,1.3778812,0.0,2020-08-25
91,0.0,1.3743685,0.0,2020-08-26
92,0.0,1.3806,0.0,2020-08-27
93,0.0,1.3781577,0.0,2020-08-28
94,0.0,1.3783088,0.0,2020-08-31
95,0.0,1.3780563,0.0,2020-09-01
96,0.0,1.3825585,0.0,2020-09-02
97,0.0,1.3758348,0.0,2020-09-03
98,0.0,1.3818996,0.0,2020-09-04
99,0.0,1.3807347,0.0,2020-09-08
100,0.0,1.3827372,0.0,2020-09-09
101,0.0,1.3811315,0.0,2020-09-10
102,0.0,1.3792909,0.0,2020-09-11
103,0.0,1.3799007,0.0,2020-09-14
104,0.0,1.3771334,0.0,2020-09-15
105,0.0,1.3748331,0.0,2020-09-16
106,0.0,1.3780919,0.0,2020-09-17
107,0.0,1.3789673,0.0,2020-09-18
108,0.0,1.3830057,0.0,2020-09-21
109,0.0,1.3815151,0.0,2020-09-22
110,0.0,1.3687156,0.0,2020-09-23
111,0.0,1.3854373,0.0,2020-09-24
112,0.0,1.3814139,0.0,2020-09-25
113,0.0,1.3850791,0.0,2020-09-28
114,0.0,1.3828583,0.0,2020-09-29
115,0.0,1.3829671,0.0,2020-09-30
116,0.0,1.381055,0.0,2020-10-01
117,0.0,1.3797818,0.0,2020-10-02
118,0.0,1.3781453,0.0,2020-10-05
119,0.0,1.3805586,0.0,2020-10-06
120,0.0,1.3760308,0.0,2020-10-07
121,0.0,1.3769989,0.0,2020-10-08
122,0.0,1.3708326,0.0,2020-10-09
123,0.0,1.374715,0.0,2020-10-12
124,0.0,1.3848258,0.0,2020-10-13
125,0.0,1.384718,0.0,2020-10-14
126,0.0,1.3860036,0.0,2020-10-15
127,0.0,1.3791993,0.0,2020-10-16
128,0.0,1.378171,0.0,2020-10-19
129,0.0,1.3826507,0.0,2020-10-20
130,0.0,1.3782278,0.0,2020-10-21
131,0.0,1.3798645,0.0,2020-10-22
132,0.0,1.3810483,0.0,2020-10-23
133,0.0,1.3820726,0.0,2020-10-26
134,0.0,1.3729832,0.0,2020-10-27
135,0.0,1.3695863,0.0,2020-10-28
136,0.0,1.3860712,0.0,2020-10-29
137,0.0,1.3830723,0.0,2020-10-30
138,0.0,1.3840518,0.0,2020-11-02
139,0.0,1.3832835,0.0,2020-11-03
140,0.0,1.3840725,0.0,2020-11-04
141,0.0,1.382871,0.0,2020-11-05
142,0.0,1.3787186,0.0,2020-11-06
143,0.0,1.369235,0.0,2020-11-09
144,0.0,1.3832473,0.0,2020-11-10
145,0.0,1.3804374,0.0,2020-11-11
146,0.0,1.3784772,0.0,2020-11-12
147,0.0,1.3829148,0.0,2020-11-13
148,0.0,1.357704,0.0,2020-11-16
149,0.0,1.3717296,0.0,2020-11-17
150,0.0,1.3831085,0.0,2020-11-18
151,0.0,1.3806702,0.0,2020-11-19
152,0.0,1.3832067,0.0,2020-11-20
153,0.0,1.3807232,0.0,2020-11-23
154,0.0,1.3821282,0.0,2020-11-24
155,0.0,1.3803693,0.0,2020-11-25
156,0.0,1.3776212,0.0,2020-11-27
157,0.0,1.3813602,0.0,2020-11-30
158,0.0,1.3835448,0.0,2020-12-01
159,0.0,1.3849816,0.0,2020-12-02
160,0.0,1.3717238,0.0,2020-12-03
161,0.0,1.3830345,0.0,2020-12-04
162,0.0,1.3824073,0.0,2020-12-07
163,0.0,1.3722177,0.0,2020-12-08
164,0.0,1.3844392,0.0,2020-12-09
165,0.0,1.3755121,0.0,2020-12-10
