timestep,ck_kl,ck_tv,date
0,1.1641159021159777,0.5705915528538827,2020-04-17
1,0.2865843639098305,0.32630264208107335,2020-04-20
2,0.019532655481082524,0.0852199192149163,2020-04-21
3,0.006920674787309242,0.043843256836021964,2020-04-22
4,0.045235078886301475,0.12623444258611724,2020-04-23
5,0.02169588926519093,0.0891085849426975,2020-04-24
6,0.03558608136453503,0.10992224045061444,2020-04-27
7,0.04211073884458336,0.11903290879345414,2020-04-28
8,0.011096222071302378,0.05985815860419125,2020-04-29
9,0.00699151078749086,0.049957893522653125,2020-04-30
10,0.015713320740988152,0.07774197471564794,2020-05-01
11,0.27661915881077875,0.304862320232491,2020-05-04
12,0.48030445043676784,0.3776673930997202,2020-05-05
13,0.015795956906711876,0.07071912893189265,2020-05-06
14,0.10074259092756085,0.18459368315005692,2020-05-07
15,0.05752927852083371,0.1399950002750348,2020-05-08
16,0.02859263885777618,0.09664049461360666,2020-05-11
17,0.013841944315748013,0.06460575995411534,2020-05-12
18,0.15425779306330362,0.22716146688070948,2020-05-13
19,0.03489321123082628,0.1109124214356817,2020-05-14
20,0.0084074991138687,0.05311882628517291,2020-05-15
21,0.07377369282282553,0.15655257689321708,2020-05-18
22,0.15231207009652614,0.2312944607480924,2020-05-19
23,0.06623817157488021,0.14673771352252826,2020-05-20
24,0.11345824341209965,0.19747899701353394,2020-05-21
25,0.10903503281459849,0.1925483689200487,2020-05-22
26,0.006777498233755206,0.04476557395875503,2020-05-26
27,0.12103891018175067,0.20719654676476335,2020-05-27
28,0.020490700500623498,0.07855710229266677,2020-05-28
29,0.007384166293557796,0.05188662519685227,2020-05-29
30,0.0341424567508728,0.1125338430888249,2020-06-01
31,0.014889934945558089,0.0728718487035674,2020-06-02
32,0.02555285003881829,0.09721942219257228,2020-06-03
33,0.013574098408426187,0.06320458916039032,2020-06-04
34,0.4429200601248341,0.3956419514901911,2020-06-05
35,0.3892607953410591,0.37150580800482735,2020-06-08
36,0.2963417917792325,0.3260469196627583,2020-06-09
37,0.008012027865140955,0.0530680854045023,2020-06-10
38,0.7155859861627787,0.44071467783798784,2020-06-11
39,0.060521250509911174,0.15222510851733284,2020-06-12
40,0.019705276892417068,0.07989611092548898,2020-06-15
41,0.011155527523283786,0.06401937352111045,2020-06-16
42,0.0753108612061889,0.16269932752704785,2020-06-17
43,0.2006641455732758,0.25379005938476906,2020-06-18
44,0.005521416720110141,0.04276976808966263,2020-06-19
45,0.0485815356787837,0.12241247151982862,2020-06-22
46,0.024487805723040598,0.08341060465738494,2020-06-23
47,0.008914546422117258,0.05376810504376565,2020-06-24
48,0.29915930909363214,0.3014115664515454,2020-06-25
49,0.039835681932095905,0.11987551530270026,2020-06-26
50,0.029855511157802488,0.10528015342980021,2020-06-29
51,0.009649875388742762,0.058495924711585226,2020-06-30
52,0.004231010534150569,0.03814379210233888,2020-07-01
53,0.05109076827601115,0.13749830993135853,2020-07-02
54,0.03394852055443649,0.10934536613491574,2020-07-06
55,0.013985368518945043,0.06567340545785187,2020-07-07
56,0.052453425802237684,0.1368068152682053,2020-07-08
57,0.010764614543896772,0.051864823866255697,2020-07-09
58,0.006563040055787801,0.04592712417881115,2020-07-10
59,0.04963537048681443,0.1385402404123264,2020-07-13
60,0.046603619708073384,0.13123834304078477,2020-07-14
61,0.004803482761321984,0.03853098047535886,2020-07-15
62,0.015349042378179136,0.06456158607187219,2020-07-16
63,0.011965154745966697,0.0630663707435521,2020-07-17
64,0.0723949934421585,0.14829065936587466,2020-07-20
65,0.05414467923034519,0.12524790466094615,2020-07-21
66,0.012130369000138665,0.06772391978204532,2020-07-22
67,0.0034291064332674084,0.02927687937415439,2020-07-23
