model,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond,1,4,42,1.366658091545105,1.3445559740066528,1.3871102333068848,0.0008158721869941
state_cond,1,4,7,1.3681801557540894,1.3492345809936523,1.385280728340149,-0.0010136327797416
state_cond,1,4,123,1.361688494682312,1.3444615602493286,1.3855575323104858,-0.0007368288094047
state_free,1,4,42,1.3655295372009275,1.3432508707046509,1.3877685070037842,0.0014741458838936
state_free,1,4,7,1.3671900033950806,1.3442491292953491,1.3874934911727903,0.0011991300528999
state_free,1,4,123,1.3666470050811768,1.3444386720657349,1.387004852294922,0.0007104911750313
state_cond,5,4,42,1.3897716999053955,1.3675633668899536,1.3952505588531494,0.0089561977332588
state_cond,5,4,7,1.3878964185714722,1.3651340007781982,1.3971105813980105,0.0108162202781196
state_cond,5,4,123,1.390541434288025,1.3649754524230957,1.4001322984695437,0.0138379373496528
state_free,5,4,42,1.3879960775375366,1.365602970123291,1.3958323001861572,0.0095379390662666
state_free,5,4,7,1.3889145851135254,1.3629529476165771,1.4000893831253052,0.0137950220054146
state_free,5,4,123,1.389123797416687,1.3668795824050903,1.3971624374389648,0.0108680763190742
state_cond,10,4,42,1.3902589082717896,1.3745417594909668,1.406344652175903,0.0200502910560127
state_cond,10,4,7,1.387694239616394,1.3742250204086304,1.4047226905822754,0.0184283294623848
state_cond,10,4,123,1.3920286893844604,1.3747600317001345,1.411137580871582,0.0248432197516914
state_free,10,4,42,1.377045750617981,1.3714227676391602,1.4026435613632202,0.0163492002433296
state_free,10,4,7,1.3885096311569214,1.3735673427581787,1.4091150760650637,0.0228207149451729
state_free,10,4,123,1.3894610404968262,1.3755253553390503,1.4071732759475708,0.0208789148276802
state_cond,21,4,42,1.375576734542847,1.3617819547653198,1.3920341730117798,0.0057398118918892
state_cond,21,4,7,1.369841456413269,1.3587265014648438,1.3885869979858398,0.0022926368659492
state_cond,21,4,123,1.3680535554885864,1.3554024696350098,1.388290524482727,0.0019961633628364
state_free,21,4,42,1.3763872385025024,1.3576768636703491,1.3947694301605225,0.0084750690406318
state_free,21,4,7,1.368268609046936,1.356653332710266,1.3879565000534058,0.0016621389335151
state_free,21,4,123,1.379064679145813,1.360672950744629,1.392475962638855,0.0061816015189644
state_cond,63,4,42,1.3646310567855835,1.3658210039138794,1.3699198961257937,-0.0163744649940971
state_cond,63,4,7,1.3783683776855469,1.3650842905044556,1.3688454627990725,-0.0174488983208183
state_cond,63,4,123,1.3847169876098633,1.36477792263031,1.3760474920272827,-0.0102468690926078
state_free,63,4,42,1.3720040321350098,1.3654344081878662,1.3650647401809692,-0.0212296209389213
state_free,63,4,7,1.3838486671447754,1.366194725036621,1.3756928443908691,-0.0106015167290214
state_free,63,4,123,1.3847074508666992,1.3663729429244995,1.372699737548828,-0.0135946235710624
state_cond,1,10,42,2.211017847061157,2.2111661434173584,2.293156862258911,-0.0094282307351347
state_cond,1,10,7,2.2040395736694336,2.214308738708496,2.3044450283050537,0.0018599353110078
state_cond,1,10,123,2.20637845993042,2.212867021560669,2.294316530227661,-0.0082685627663847
state_free,1,10,42,2.2129218578338623,2.214974403381348,2.294661045074463,-0.007924047919583
state_free,1,10,7,2.208076238632202,2.211128234863281,2.2970290184021,-0.0055560745919462
state_free,1,10,123,2.206986665725708,2.207430362701416,2.296175241470337,-0.0064098515237089
state_cond,5,10,42,2.2486352920532227,2.2381467819213867,2.3111026287078857,0.0085175357138398
state_cond,5,10,7,2.2289867401123047,2.235968828201294,2.312206268310547,0.0096211753165009
state_cond,5,10,123,2.214697360992432,2.233536958694458,2.312323808670044,0.009738715675998
state_free,5,10,42,2.22330904006958,2.239806890487671,2.309710502624512,0.0071254096304658
state_free,5,10,7,2.2300021648406982,2.2270779609680176,2.315234422683716,0.0126493296896699
state_free,5,10,123,2.213685989379883,2.234480857849121,2.315589189529419,0.013004096535373
state_cond,10,10,42,2.2425625324249268,2.249027729034424,2.292951822280884,-0.0096332707131621
state_cond,10,10,7,2.241295576095581,2.251668691635132,2.299562454223633,-0.003022638770413
state_cond,10,10,123,2.233379364013672,2.248454570770264,2.2968668937683105,-0.0057181992257353
state_free,10,10,42,2.241589307785034,2.2499566078186035,2.29871129989624,-0.0038737930978056
state_free,10,10,7,2.242568016052246,2.249788284301758,2.2942757606506348,-0.0083093323434111
state_free,10,10,123,2.236456871032715,2.2479114532470703,2.297038555145264,-0.0055465378487822
state_cond,21,10,42,2.2029812335968018,2.2303273677825928,2.3087291717529297,0.0061440787588837
state_cond,21,10,7,2.205791473388672,2.231988906860352,2.3058454990386963,0.0032604060446503
state_cond,21,10,123,2.21465277671814,2.2350058555603027,2.299675464630127,-0.0029096283639189
state_free,21,10,42,2.227247714996338,2.2398898601531982,2.2954812049865723,-0.0071038880074736
state_free,21,10,7,2.207439661026001,2.2350594997406006,2.306914091110229,0.0043289981161835
state_free,21,10,123,2.235480785369873,2.240464448928833,2.2915046215057373,-0.0110804714883085
state_cond,63,10,42,2.24264931678772,2.2907838821411133,2.282944679260254,-0.0196404137337919
state_cond,63,10,7,2.2518224716186523,2.295794010162353,2.2713518142700195,-0.0312332787240263
state_cond,63,10,123,2.244476079940796,2.2916781902313232,2.28503942489624,-0.0175456680978056
state_free,63,10,42,2.262149810791016,2.294330596923828,2.273834466934204,-0.0287506260598418
state_free,63,10,7,2.246504545211792,2.290012121200561,2.2938454151153564,-0.0087396778786894
state_free,63,10,123,2.250738859176636,2.290818214416504,2.2811501026153564,-0.0214349903786894
state_cond,1,20,42,2.86443829536438,2.8884146213531494,2.998084545135498,0.0023522715815071
state_cond,1,20,7,2.882690906524658,2.888665199279785,2.990208148956299,-0.005524124597692
state_cond,1,20,123,2.875796318054199,2.89152193069458,2.9936203956604004,-0.0021118778935904
state_free,1,20,42,2.880133867263794,2.88619065284729,2.9916255474090576,-0.0041067261449332
state_free,1,20,7,2.8766443729400635,2.885075807571411,2.998085260391236,0.0023529868372444
state_free,1,20,123,2.8698909282684326,2.8812124729156494,2.9929099082946777,-0.0028223652593131
state_cond,5,20,42,2.8867745399475098,2.911722183227539,3.000117301940918,0.0043850283869271
state_cond,5,20,7,2.873300313949585,2.910996198654175,3.007763147354126,0.0120308738001351
state_cond,5,20,123,2.8813018798828125,2.910442590713501,3.0088324546813965,0.0131001811274056
state_free,5,20,42,2.872624397277832,2.9113969802856445,3.0194251537323,0.0236928801783089
state_free,5,20,7,2.8874435424804688,2.9087822437286377,3.00774884223938,0.012016568685389
state_free,5,20,123,2.8938112258911133,2.9155056476593018,3.007735013961792,0.0120027404078011
state_cond,10,20,42,2.8992958068847656,2.932537794113159,2.9907634258270264,-0.0049688477269644
state_cond,10,20,7,2.8850786685943604,2.930083513259888,2.997761011123657,0.0020287375696663
state_cond,10,20,123,2.9015138149261475,2.92749547958374,2.990741729736328,-0.0049905438176627
state_free,10,20,42,2.90640640258789,2.932361364364624,2.9920003414154053,-0.0037319321385855
state_free,10,20,7,2.89724063873291,2.9277145862579346,2.9937121868133545,-0.0020200867406363
state_free,10,20,123,2.906696557998657,2.9309678077697754,2.996002435684204,0.0002701621302132
state_cond,21,20,42,2.895397901535034,2.9308412075042725,2.985056638717652,-0.0106756348363394
state_cond,21,20,7,2.8860530853271484,2.9296071529388428,2.996318817138672,0.000586543584681
state_cond,21,20,123,2.8859755992889404,2.923991680145264,2.9987118244171143,0.0029795508631234
state_free,21,20,42,2.882621049880981,2.92958664894104,2.993297576904297,-0.0024346966496939
state_free,21,20,7,2.90075421333313,2.930572748184204,2.9843780994415283,-0.0113541741124625
state_free,21,20,123,2.8636474609375,2.925270795822144,3.0177927017211914,0.0220604281672005
state_cond,63,20,42,2.931771039962769,2.9923346042633057,2.981969118118286,-0.0137631554357047
state_cond,63,20,7,2.921492576599121,2.991391181945801,2.972681760787964,-0.0230505127660269
state_cond,63,20,123,2.9322824478149414,2.995750665664673,2.9728550910949707,-0.0228771824590201
state_free,63,20,42,2.9369468688964844,2.996271848678589,2.973015785217285,-0.0227164883367056
state_free,63,20,7,2.913843870162964,2.9953179359436035,2.992528200149536,-0.0032040734044547
state_free,63,20,123,2.934239387512207,2.9948713779449463,2.9778940677642822,-0.0178382057897086
state_cond,1,35,42,3.4269587993621826,3.441664457321167,3.562337636947632,0.0069895754582183
state_cond,1,35,7,3.418959617614746,3.4414079189300537,3.572014093399048,0.0166660319096343
state_cond,1,35,123,3.4268505573272705,3.4412317276000977,3.5520639419555664,-0.0032841195338471
state_free,1,35,42,3.429521322250366,3.4412128925323486,3.5644285678863525,0.009080506396939
state_free,1,35,7,3.431635618209839,3.439884185791016,3.562269687652588,0.0069216261631743
state_free,1,35,123,3.413694143295288,3.4342329502105717,3.5644211769104004,0.0090731154209868
state_cond,5,35,42,3.410226583480835,3.463121175765991,3.5662286281585693,0.0108805666691558
state_cond,5,35,7,3.434897899627685,3.4751172065734863,3.565991878509521,0.0106438170201079
state_cond,5,35,123,3.409079074859619,3.466647863388061,3.5656943321228027,0.0103462706333892
state_free,5,35,42,3.422405242919922,3.4694221019744877,3.566689729690552,0.0113416682011382
state_free,5,35,7,3.4169960021972656,3.460202217102051,3.577270269393921,0.0219222079045073
state_free,5,35,123,3.429370403289795,3.4674572944641118,3.5739121437072754,0.0185640822178618
state_cond,10,35,42,3.4622609615325928,3.4804556369781494,3.549590587615967,-0.0057574738734467
state_cond,10,35,7,3.46724009513855,3.489739179611206,3.55466365814209,-0.0006844033473236
state_cond,10,35,123,3.4577386379241943,3.4838361740112305,3.54883885383606,-0.0065092076533539
state_free,10,35,42,3.4540319442749023,3.4831995964050293,3.560415029525757,0.0050669680363433
state_free,10,35,7,3.465428352355957,3.4855551719665527,3.556896448135376,0.0015483866459624
state_free,10,35,123,3.4605512619018555,3.4882192611694336,3.5594656467437744,0.0041175852543609
state_cond,21,35,42,3.451631546020508,3.4859139919281006,3.5376272201538086,-0.0177208413356049
state_cond,21,35,7,3.4490275382995605,3.484977960586548,3.5485758781433105,-0.0067721833461029
state_cond,21,35,123,3.4418416023254395,3.488001108169556,3.547836303710937,-0.007511757778476
state_free,21,35,42,3.3991830348968506,3.4859542846679688,3.5799803733825684,0.0246323118931548
state_free,21,35,7,3.447876214981079,3.487405300140381,3.546963214874268,-0.0083848466151459
