timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.343882,0.0,2020-04-22
1,0.0,3.5297372,0.0,2020-04-23
2,0.0,3.1439552,0.0,2020-04-24
3,0.0,3.2695193,0.0,2020-04-27
4,0.0,3.3883688,0.0,2020-04-28
5,0.0,3.4508026,0.0,2020-04-29
6,0.0,3.5018365,0.0,2020-04-30
7,0.0,3.4533083,0.0,2020-05-01
8,0.0,3.288194,0.0,2020-05-04
9,0.0,3.435842,0.0,2020-05-05
10,0.0,3.3531473,0.0,2020-05-06
11,0.0,3.4285789,0.0,2020-05-07
12,0.0,3.552331,0.0,2020-05-08
13,0.0,3.5238464,0.0,2020-05-11
14,0.0,3.3481722,0.0,2020-05-12
15,0.0,3.2349663,0.0,2020-05-13
16,0.0,3.4562075,0.0,2020-05-14
17,0.0,3.501816,0.0,2020-05-15
18,0.0,3.3764153,0.0,2020-05-18
19,0.0,3.468018,0.0,2020-05-19
20,0.0,3.5287795,0.0,2020-05-20
21,0.0,3.4547973,0.0,2020-05-21
22,0.0,3.4848204,0.0,2020-05-22
23,0.0,3.1203153,0.0,2020-05-26
24,0.0,3.356533,0.0,2020-05-27
25,0.0,3.349353,0.0,2020-05-28
26,0.0,3.421372,0.0,2020-05-29
27,0.0,3.5001435,0.0,2020-06-01
28,0.0,3.4942293,0.0,2020-06-02
29,0.0,3.447171,0.0,2020-06-03
30,0.0,3.4727187,0.0,2020-06-04
31,0.0,3.492647,0.0,2020-06-05
32,0.0,3.427573,0.0,2020-06-08
33,0.0,3.4971733,0.0,2020-06-09
34,0.0,3.546787,0.0,2020-06-10
35,0.0,3.1152956,0.0,2020-06-11
36,0.0,3.1505883,0.0,2020-06-12
37,0.0,3.2699838,0.0,2020-06-15
38,0.0,3.5316455,0.0,2020-06-16
39,0.0,3.5528736,0.0,2020-06-17
40,0.0,3.4965854,0.0,2020-06-18
41,0.0,3.4001024,0.0,2020-06-19
42,0.0,3.475427,0.0,2020-06-22
43,0.0,3.510478,0.0,2020-06-23
44,0.0,3.4641786,0.0,2020-06-24
45,0.0,3.311161,0.0,2020-06-25
46,0.0,3.387249,0.0,2020-06-26
47,0.0,3.4916022,0.0,2020-06-29
48,0.0,3.4124784,0.0,2020-06-30
49,0.0,3.5454524,0.0,2020-07-01
50,0.0,3.418552,0.0,2020-07-02
51,0.0,3.5379202,0.0,2020-07-06
52,0.0,3.5363786,0.0,2020-07-07
53,0.0,3.3906806,0.0,2020-07-08
54,0.0,3.525782,0.0,2020-07-09
55,0.0,3.5500019,0.0,2020-07-10
56,0.0,3.4970837,0.0,2020-07-13
57,0.0,3.509856,0.0,2020-07-14
58,0.0,3.4245973,0.0,2020-07-15
59,0.0,3.52464,0.0,2020-07-16
60,0.0,3.549181,0.0,2020-07-17
61,0.0,3.5488877,0.0,2020-07-20
62,0.0,3.537704,0.0,2020-07-21
63,0.0,3.5409153,0.0,2020-07-22
64,0.0,3.550001,0.0,2020-07-23
65,0.0,3.5496626,0.0,2020-07-24
66,0.0,3.5509174,0.0,2020-07-27
67,0.0,3.542843,0.0,2020-07-28
68,0.0,3.548872,0.0,2020-07-29
69,0.0,3.5510592,0.0,2020-07-30
70,0.0,3.5478384,0.0,2020-07-31
71,0.0,3.5504086,0.0,2020-08-03
72,0.0,3.5498865,0.0,2020-08-04
73,0.0,3.4746215,0.0,2020-08-05
74,0.0,3.5078585,0.0,2020-08-06
75,0.0,3.532957,0.0,2020-08-07
76,0.0,3.543108,0.0,2020-08-10
77,0.0,3.5377302,0.0,2020-08-11
78,0.0,3.5186105,0.0,2020-08-12
79,0.0,3.5505493,0.0,2020-08-13
80,0.0,3.5419552,0.0,2020-08-14
81,0.0,3.5106077,0.0,2020-08-17
82,0.0,3.5324283,0.0,2020-08-18
83,0.0,3.5319355,0.0,2020-08-19
84,0.0,3.53923,0.0,2020-08-20
85,0.0,3.5475163,0.0,2020-08-21
86,0.0,3.5467713,0.0,2020-08-24
87,0.0,3.5374084,0.0,2020-08-25
88,0.0,3.5335798,0.0,2020-08-26
89,0.0,3.5510437,0.0,2020-08-27
90,0.0,3.5300908,0.0,2020-08-28
91,0.0,3.5335724,0.0,2020-08-31
92,0.0,3.5461154,0.0,2020-09-01
93,0.0,3.5504436,0.0,2020-09-02
94,0.0,3.4224224,0.0,2020-09-03
95,0.0,3.5220149,0.0,2020-09-04
96,0.0,3.4365501,0.0,2020-09-08
97,0.0,3.5154085,0.0,2020-09-09
98,0.0,3.4787548,0.0,2020-09-10
99,0.0,3.5492687,0.0,2020-09-11
100,0.0,3.535985,0.0,2020-09-14
101,0.0,3.5054934,0.0,2020-09-15
102,0.0,3.5428486,0.0,2020-09-16
103,0.0,3.5496504,0.0,2020-09-17
104,0.0,3.5351582,0.0,2020-09-18
105,0.0,3.4981246,0.0,2020-09-21
106,0.0,3.511322,0.0,2020-09-22
107,0.0,3.3998992,0.0,2020-09-23
108,0.0,3.5137172,0.0,2020-09-24
109,0.0,3.533334,0.0,2020-09-25
110,0.0,3.550445,0.0,2020-09-28
111,0.0,3.551809,0.0,2020-09-29
112,0.0,3.5502334,0.0,2020-09-30
113,0.0,3.549487,0.0,2020-10-01
114,0.0,3.4771945,0.0,2020-10-02
115,0.0,3.522498,0.0,2020-10-05
116,0.0,3.513774,0.0,2020-10-06
117,0.0,3.5456634,0.0,2020-10-07
118,0.0,3.5489013,0.0,2020-10-08
119,0.0,3.550061,0.0,2020-10-09
120,0.0,3.5340002,0.0,2020-10-12
121,0.0,3.5510523,0.0,2020-10-13
122,0.0,3.5295472,0.0,2020-10-14
123,0.0,3.4715083,0.0,2020-10-15
124,0.0,3.4861693,0.0,2020-10-16
125,0.0,3.481617,0.0,2020-10-19
126,0.0,3.5491438,0.0,2020-10-20
127,0.0,3.5506115,0.0,2020-10-21
128,0.0,3.5496576,0.0,2020-10-22
129,0.0,3.5154898,0.0,2020-10-23
130,0.0,3.4285827,0.0,2020-10-26
131,0.0,3.3914034,0.0,2020-10-27
132,0.0,3.249113,0.0,2020-10-28
133,0.0,3.3791993,0.0,2020-10-29
134,0.0,3.4197388,0.0,2020-10-30
135,0.0,3.347932,0.0,2020-11-02
136,0.0,3.5059495,0.0,2020-11-03
137,0.0,3.5021007,0.0,2020-11-04
138,0.0,3.4248164,0.0,2020-11-05
139,0.0,3.5502815,0.0,2020-11-06
140,0.0,3.0781417,0.0,2020-11-09
141,0.0,3.4441495,0.0,2020-11-10
142,0.0,3.411152,0.0,2020-11-11
143,0.0,3.5483856,0.0,2020-11-12
144,0.0,3.508931,0.0,2020-11-13
145,0.0,3.330597,0.0,2020-11-16
146,0.0,3.5507596,0.0,2020-11-17
147,0.0,3.549817,0.0,2020-11-18
148,0.0,3.5119717,0.0,2020-11-19
149,0.0,3.5165877,0.0,2020-11-20
150,0.0,3.5295768,0.0,2020-11-23
151,0.0,3.5279102,0.0,2020-11-24
152,0.0,3.551141,0.0,2020-11-25
153,0.0,3.5107408,0.0,2020-11-27
154,0.0,3.5039983,0.0,2020-11-30
155,0.0,3.545898,0.0,2020-12-01
156,0.0,3.5452712,0.0,2020-12-02
157,0.0,3.5300617,0.0,2020-12-03
158,0.0,3.4829004,0.0,2020-12-04
159,0.0,3.4865084,0.0,2020-12-07
160,0.0,3.425162,0.0,2020-12-08
161,0.0,3.551365,0.0,2020-12-09
162,0.0,3.5328655,0.0,2020-12-10
163,0.0,3.4941118,0.0,2020-12-11
164,0.0,3.517344,0.0,2020-12-14
165,0.0,3.5423834,0.0,2020-12-15
166,0.0,3.5377805,0.0,2020-12-16
167,0.0,3.4999225,0.0,2020-12-17
168,0.0,3.5223997,0.0,2020-12-18
169,0.0,3.5486724,0.0,2020-12-21
170,0.0,3.5334969,0.0,2020-12-22
171,0.0,3.5396335,0.0,2020-12-23
172,0.0,3.5073984,0.0,2020-12-24
173,0.0,3.4947777,0.0,2020-12-28
174,0.0,3.518383,0.0,2020-12-29
175,0.0,3.478858,0.0,2020-12-30
176,0.0,3.541238,0.0,2020-12-31
177,0.0,3.5504029,0.0,2021-01-04
178,0.0,3.5501745,0.0,2021-01-05
179,0.0,3.4774356,0.0,2021-01-06
180,0.0,3.5483503,0.0,2021-01-07
181,0.0,3.5475628,0.0,2021-01-08
182,0.0,3.5502503,0.0,2021-01-11
183,0.0,3.5413728,0.0,2021-01-12
184,0.0,3.5484006,0.0,2021-01-13
185,0.0,3.5278437,0.0,2021-01-14
186,0.0,3.5145144,0.0,2021-01-15
187,0.0,3.5467699,0.0,2021-01-19
188,0.0,3.5485735,0.0,2021-01-20
189,0.0,3.4382474,0.0,2021-01-21
190,0.0,3.548847,0.0,2021-01-22
191,0.0,3.5360851,0.0,2021-01-25
192,0.0,3.541699,0.0,2021-01-26
193,0.0,3.4688835,0.0,2021-01-27
194,0.0,3.5326364,0.0,2021-01-28
195,0.0,3.4675753,0.0,2021-01-29
196,0.0,3.5478654,0.0,2021-02-01
197,0.0,3.5465438,0.0,2021-02-02
198,0.0,3.5344963,0.0,2021-02-03
199,0.0,3.5476937,0.0,2021-02-04
200,0.0,3.5059714,0.0,2021-02-05
201,0.0,3.5338275,0.0,2021-02-08
202,0.0,3.4901366,0.0,2021-02-09
203,0.0,3.5242798,0.0,2021-02-10
204,0.0,3.5090196,0.0,2021-02-11
205,0.0,3.4859006,0.0,2021-02-12
206,0.0,3.5482826,0.0,2021-02-16
207,0.0,3.5152743,0.0,2021-02-17
208,0.0,3.537921,0.0,2021-02-18
209,0.0,3.48858,0.0,2021-02-19
210,0.0,3.5314727,0.0,2021-02-22
211,0.0,3.5414698,0.0,2021-02-23
212,0.0,3.54631,0.0,2021-02-24
213,0.0,3.5478146,0.0,2021-02-25
214,0.0,3.5380504,0.0,2021-02-26
215,0.0,3.548418,0.0,2021-03-01
216,0.0,3.5370522,0.0,2021-03-02
217,0.0,3.5500917,0.0,2021-03-03
218,0.0,3.5471833,0.0,2021-03-04
219,0.0,3.5406592,0.0,2021-03-05
220,0.0,3.5510833,0.0,2021-03-08
221,0.0,3.500104,0.0,2021-03-09
222,0.0,3.5331998,0.0,2021-03-10
223,0.0,3.4748194,0.0,2021-03-11
224,0.0,3.5114744,0.0,2021-03-12
225,0.0,3.4571242,0.0,2021-03-15
226,0.0,3.4750876,0.0,2021-03-16
227,0.0,3.5141869,0.0,2021-03-17
228,0.0,3.5362716,0.0,2021-03-18
229,0.0,3.5031486,0.0,2021-03-19
230,0.0,3.4843407,0.0,2021-03-22
231,0.0,3.5150013,0.0,2021-03-23
232,0.0,3.494481,0.0,2021-03-24
233,0.0,3.540353,0.0,2021-03-25
234,0.0,3.5153623,0.0,2021-03-26
235,0.0,3.4754894,0.0,2021-03-29
236,0.0,3.5057554,0.0,2021-03-30
237,0.0,3.4260206,0.0,2021-03-31
238,0.0,3.4331934,0.0,2021-04-01
239,0.0,3.37306,0.0,2021-04-05
240,0.0,3.441266,0.0,2021-04-06
241,0.0,3.4513555,0.0,2021-04-07
242,0.0,3.417433,0.0,2021-04-08
243,0.0,3.4756923,0.0,2021-04-09
244,0.0,3.4220493,0.0,2021-04-12
245,0.0,3.436461,0.0,2021-04-13
246,0.0,3.4748497,0.0,2021-04-14
247,0.0,3.3885357,0.0,2021-04-15
248,0.0,3.403375,0.0,2021-04-16
249,0.0,3.444107,0.0,2021-04-19
250,0.0,3.42041,0.0,2021-04-20
251,0.0,3.4735715,0.0,2021-04-21
252,0.0,3.482357,0.0,2021-04-22
253,0.0,3.4448376,0.0,2021-04-23
254,0.0,3.4630675,0.0,2021-04-26
255,0.0,3.4537442,0.0,2021-04-27
256,0.0,3.3872175,0.0,2021-04-28
257,0.0,3.4791226,0.0,2021-04-29
258,0.0,3.444861,0.0,2021-04-30
259,0.0,3.443699,0.0,2021-05-03
260,0.0,3.4891932,0.0,2021-05-04
261,0.0,3.460468,0.0,2021-05-05
262,0.0,3.4786925,0.0,2021-05-06
263,0.0,3.457494,0.0,2021-05-07
264,0.0,3.4854157,0.0,2021-05-10
265,0.0,3.5099897,0.0,2021-05-11
