timestep,ck_kl,ck_tv,date
0,0.27915125582178735,0.32777938326404094,2020-03-27
1,0.13329855695650333,0.21511479165085157,2020-03-30
2,0.3224517951265641,0.3479756546248914,2020-03-31
3,0.6879809704101023,0.478859315267515,2020-04-01
4,0.021339275734023198,0.07870647657584719,2020-04-02
5,0.07587501367340937,0.1567162797236225,2020-04-03
6,0.010131192259747485,0.05384599584688851,2020-04-06
7,0.07871792468728746,0.16236066293622595,2020-04-07
8,0.07219300135754175,0.1628384917684577,2020-04-08
9,0.09906973984628124,0.18168688529278154,2020-04-09
10,0.06479232406013871,0.13766046449330005,2020-04-13
11,0.024955124830110656,0.09288366704116449,2020-04-14
12,0.09412105730163868,0.16352161105976168,2020-04-15
13,0.019842218101497024,0.08347367013293237,2020-04-16
14,0.01586574645411127,0.07409232981528101,2020-04-17
15,0.08590458588002706,0.16032479193111468,2020-04-20
16,0.0909804535863137,0.17591195260470113,2020-04-21
17,0.05143468533818235,0.12207400889978882,2020-04-22
18,0.026858902531375576,0.09191184136943441,2020-04-23
19,0.11556558296349745,0.20039545660420324,2020-04-24
20,0.12686985385861108,0.19555694289453077,2020-04-27
21,0.026559920354144898,0.09036155518425996,2020-04-28
22,0.4543568818074363,0.393898821371803,2020-04-29
23,0.03974353501153095,0.1146274262412988,2020-04-30
24,0.062498413183412246,0.13103177056626403,2020-05-01
25,0.017415213834875844,0.07468545751855743,2020-05-04
26,0.14959261620757838,0.23200594826381468,2020-05-05
27,0.018152067755401766,0.07669667497876907,2020-05-06
28,0.017731343381902735,0.07325641502411685,2020-05-07
29,0.11257671082508358,0.1972542776958585,2020-05-08
30,0.00874922619091776,0.054391358639348485,2020-05-11
31,0.021924459575364874,0.07549257896496137,2020-05-12
32,0.2839025876364927,0.30356875466746547,2020-05-13
33,0.4543539912692566,0.3941973528963707,2020-05-14
34,0.28932311835552676,0.32156580396765805,2020-05-15
35,0.008099711005920862,0.0522225399122743,2020-05-18
36,0.005942809705477251,0.040313239877721736,2020-05-19
37,0.0098529309686071,0.05043691702215818,2020-05-20
38,0.031965843979452194,0.09977193591973799,2020-05-21
39,0.05169580917360657,0.13091995828227923,2020-05-22
40,0.08510636713089142,0.16740888825283443,2020-05-26
41,0.08640311089579841,0.160278843053313,2020-05-27
42,0.0460261608163297,0.12189951944626602,2020-05-28
