timestep,ck_kl,ck_tv,date
0,0.022631161773885345,0.08823823410715408,2020-03-27
1,0.045023257040599986,0.12484828800596168,2020-03-30
2,0.18472866749705466,0.26344432172790666,2020-03-31
3,0.21223307747770384,0.26910686321429417,2020-04-01
4,0.0616009641738691,0.1489898226835358,2020-04-02
5,0.07882072584577847,0.1665056566747977,2020-04-03
6,0.011563788076961137,0.060760705543732724,2020-04-06
7,0.026053544907223444,0.08741468857269474,2020-04-07
8,0.16053509922931528,0.23221184460137395,2020-04-08
9,0.1634263293709391,0.24195741996357473,2020-04-09
10,0.10424441023558347,0.19297410276421725,2020-04-13
11,0.16380393517986616,0.24889476118675097,2020-04-14
12,0.10080242806462947,0.19382480974061514,2020-04-15
13,0.03962627850330265,0.11310135600694357,2020-04-16
14,0.05539351117129904,0.14389705575508555,2020-04-17
15,0.02850570647568128,0.09834289991383859,2020-04-20
16,0.01879654797408259,0.07328954668004593,2020-04-21
17,0.047749057549748106,0.135188944287944,2020-04-22
18,0.07532394278540624,0.16199905445805557,2020-04-23
19,0.35719096409036166,0.35001019504944325,2020-04-24
20,0.11589211116239816,0.18962690042125308,2020-04-27
21,0.050611854276730074,0.12376280632225069,2020-04-28
22,0.11381830325552744,0.18794384005872414,2020-04-29
23,0.04172966940219397,0.11076482442171721,2020-04-30
24,0.11137591830530894,0.18557207729196204,2020-05-01
25,0.02286764483820641,0.08112649364915984,2020-05-04
26,0.13950869296111004,0.21695382466703975,2020-05-05
27,0.02732578493924423,0.09683097357390333,2020-05-06
28,0.11840104785498409,0.19964542012744171,2020-05-07
29,0.029008950367547255,0.09062375047047716,2020-05-08
30,0.017165804377491285,0.073021807994307,2020-05-11
31,0.031447528753335355,0.09204952342362392,2020-05-12
32,0.1586087570136581,0.21011349001705432,2020-05-13
33,0.3245968223046655,0.31725993559121124,2020-05-14
34,0.25367981414236296,0.29250047898990905,2020-05-15
35,0.2057309051821338,0.2638832788141573,2020-05-18
36,0.018116772377486812,0.07639291455071512,2020-05-19
37,0.029506450783665487,0.09782825080005296,2020-05-20
38,0.026878556239245743,0.08757672134772362,2020-05-21
39,0.025329995946662912,0.07303397592545896,2020-05-22
40,0.7271445810443856,0.43338290974052684,2020-05-26
41,0.06702022134478831,0.15289349365076685,2020-05-27
42,0.07156089703166209,0.15482795401405527,2020-05-28
43,0.011088763104490378,0.055735041812204164,2020-05-29
44,0.07959145842767631,0.1623324263369693,2020-06-01
45,0.05878268307235285,0.1464115878781619,2020-06-02
46,0.36841167693700383,0.3459372714882639,2020-06-03
47,0.019122637652770686,0.07758661739368786,2020-06-04
48,0.06886116796266559,0.15385181564570707,2020-06-05
49,0.33247603039542534,0.3254292477485634,2020-06-08
50,0.02299725765520789,0.0794654663610024,2020-06-09
51,0.21575907973730682,0.27340069761311403,2020-06-10
52,0.93950212985851,0.5482854133980345,2020-06-11
53,0.037021497076223576,0.1135174624026998,2020-06-12
54,0.13416965394897049,0.22028156947694968,2020-06-15
55,0.01144975937152905,0.05679615050422601,2020-06-16
56,0.029445997362088645,0.0972245229335773,2020-06-17
57,0.1599470354330654,0.23131197161100336,2020-06-18
58,0.21725050967979453,0.24346083093984272,2020-06-19
59,0.05708240244001264,0.13224228820822564,2020-06-22
60,0.1207043671740361,0.19066149764338114,2020-06-23
61,0.17302010609678767,0.20983458237093744,2020-06-24
62,0.09427363438328447,0.16808902457906233,2020-06-25
63,0.19158924835231703,0.215999412183775,2020-06-26
64,0.07015001704893252,0.13794617451076296,2020-06-29
65,0.017097841577481055,0.06364365191524511,2020-06-30
66,0.011851982643322673,0.049906740435206084,2020-07-01
67,0.22149669970573285,0.25703909592649504,2020-07-02
68,0.11793282466651167,0.18259898444718042,2020-07-06
69,0.16148325846752004,0.20393623710297068,2020-07-07
70,0.05251845300718079,0.1020204199843446,2020-07-08
71,0.08311271168442413,0.13532373112122092,2020-07-09
72,0.3145901706638186,0.29648613755682734,2020-07-10
73,0.26056583809438816,0.2891617572408496,2020-07-13
74,0.05624676716002731,0.1279931734829136,2020-07-14
75,0.07435701243481296,0.1297627387993071,2020-07-15
76,0.028045349126966712,0.07660544811161789,2020-07-16
77,0.327414610479778,0.3183664704179957,2020-07-17
78,0.011476688978730432,0.04843687740859421,2020-07-20
79,0.04613271492679664,0.09768970823347281,2020-07-21
80,0.04231956602371946,0.11032165160692206,2020-07-22
81,0.13693007960675116,0.1914443750650634,2020-07-23
82,0.12462981814426724,0.1691182418676307,2020-07-24
83,0.06929284951650319,0.13574258760995672,2020-07-27
84,0.16209370515781985,0.22477971109889444,2020-07-28
85,0.18132539922816426,0.2041787110651156,2020-07-29
86,0.22790768041960535,0.24937173091331474,2020-07-30
87,0.1240874099294906,0.18148663186915692,2020-07-31
88,0.06875770494020472,0.14224137634892728,2020-08-03
89,0.01489952304714527,0.05598292422989547,2020-08-04
90,0.06469529918362467,0.1272879565207321,2020-08-05
91,0.12947350952726622,0.19796196346332018,2020-08-06
92,0.010917579346078657,0.05110922149544439,2020-08-07
93,0.009935428847831333,0.05233691515629924,2020-08-10
94,0.017141945231026703,0.06570976968147262,2020-08-11
95,0.026264309596863364,0.08735575242680911,2020-08-12
96,0.015387900103706215,0.05563144462962195,2020-08-13
97,0.028516076314683097,0.08632164426813646,2020-08-14
98,0.03837065583581816,0.10357082977398778,2020-08-17
99,0.01006138524897922,0.04997689334234245,2020-08-18
100,0.01346104039875793,0.05456878640603109,2020-08-19
101,0.029606425286180377,0.08265004692700008,2020-08-20
102,0.11568423473155348,0.19012671875299503,2020-08-21
103,0.08928632472316679,0.17320750795859793,2020-08-24
104,0.18846354396102152,0.259349191093387,2020-08-25
105,0.02007083294892179,0.07166323344134642,2020-08-26
106,0.015911459008369832,0.058011811716886366,2020-08-27
107,0.011466397423766182,0.04860651772157458,2020-08-28
108,0.28035812926201026,0.2821841548311016,2020-08-31
