timestep,ck_kl,ck_tv,date
0,0.17947198450932894,0.22913738593528052,2020-03-27
1,0.05509498037044859,0.12470866282424037,2020-03-30
2,0.40137195312812596,0.3451862012765478,2020-03-31
3,0.04763697120051519,0.10286410323744558,2020-04-01
4,0.05217808352982162,0.12993943623205226,2020-04-02
5,0.03316222770466077,0.09701794918240692,2020-04-03
6,0.01612540467865993,0.05854603379241466,2020-04-06
7,0.07835056361925813,0.15697451608280147,2020-04-07
8,0.25854188947828216,0.27162154333389643,2020-04-08
9,0.07606892464079015,0.14717038216300057,2020-04-09
10,0.209738489084568,0.25313581728377793,2020-04-13
11,0.5133529710702236,0.38174957005815147,2020-04-14
12,0.3270361285199879,0.31862055497645253,2020-04-15
13,0.0199282666951245,0.07238357982359454,2020-04-16
14,0.3762428363589549,0.334515357663551,2020-04-17
15,0.16319464296098224,0.20370957924981206,2020-04-20
16,0.0780587935204008,0.1511385056745489,2020-04-21
17,0.07530300421523639,0.15238364508290456,2020-04-22
18,0.4299138116948361,0.3536912188043782,2020-04-23
19,0.019457582947724893,0.056975324646672494,2020-04-24
20,0.02259222343356723,0.06535727456783276,2020-04-27
21,0.061907646613202895,0.13852764769688838,2020-04-28
22,0.38381035431249355,0.3640583746127881,2020-04-29
23,0.250420499571959,0.294498064858151,2020-04-30
24,0.015278780618934472,0.06729177973456603,2020-05-01
25,0.025988003622143086,0.08742473755003254,2020-05-04
26,0.03422001704415999,0.0955079275033196,2020-05-05
27,0.06404952349346621,0.12506402178719533,2020-05-06
28,0.054491358059911954,0.10815077464932284,2020-05-07
29,0.16746151938306658,0.2105490517938357,2020-05-08
30,0.035666626580761994,0.08110910930544402,2020-05-11
31,0.02122678777587553,0.05905211020926735,2020-05-12
32,0.02199364234010116,0.07165801424476885,2020-05-13
33,0.2217285630865948,0.26597348814159977,2020-05-14
34,0.27793915272503494,0.30753884517585245,2020-05-15
35,0.02916889453747597,0.08187513030767085,2020-05-18
36,0.025752697186806915,0.07397931980575985,2020-05-19
37,0.06874033977685205,0.1444462462983752,2020-05-20
38,0.038655079470594614,0.09948785414278048,2020-05-21
39,0.01823132880720942,0.05805753327581384,2020-05-22
40,0.06905970229501067,0.12264173438674535,2020-05-26
41,0.0495902469539253,0.11778998538890385,2020-05-27
42,0.04568675815905267,0.10943064894849931,2020-05-28
43,0.012574728960162986,0.05887037865822158,2020-05-29
44,0.15339918562408247,0.21915447505402225,2020-06-01
45,0.027544053078104352,0.08927939230339492,2020-06-02
46,0.03157088858496801,0.08299245362629025,2020-06-03
47,0.013218864961065484,0.05326514831067122,2020-06-04
48,0.06534161594955303,0.13820939450729736,2020-06-05
49,0.04530101871773045,0.10473541801254016,2020-06-08
50,0.1530729804502632,0.22279494898426835,2020-06-09
51,0.01910725027642474,0.06196063083464883,2020-06-10
52,0.020909919928782345,0.06394418283844908,2020-06-11
53,0.05517616064978382,0.1405917177095674,2020-06-12
54,0.07683148966532631,0.1479555410606242,2020-06-15
55,0.040306867454817714,0.10386349121403843,2020-06-16
56,0.09872507094151031,0.15543833778163194,2020-06-17
57,0.21893154762268238,0.24510687805608966,2020-06-18
58,0.019027304777805717,0.05591985289607708,2020-06-19
59,0.028355361532585565,0.07102648258180531,2020-06-22
60,0.019588113135668855,0.05766399003954062,2020-06-23
61,0.16203071977088213,0.2047216748937163,2020-06-24
62,0.01292138271068505,0.057616887253235424,2020-06-25
63,0.11611534872350109,0.17720796881436565,2020-06-26
64,0.0428874592848548,0.12098543468274435,2020-06-29
65,0.19860605825856556,0.23339229948059828,2020-06-30
66,0.07157845599036401,0.11951785022427706,2020-07-01
67,0.040081885425431285,0.08641841032565085,2020-07-02
68,0.27602699946932774,0.26684711786239834,2020-07-06
69,0.01583179203232113,0.050429059681884617,2020-07-07
70,0.08762461057320763,0.14949362528247312,2020-07-08
71,0.03558293708656757,0.08107399708599489,2020-07-09
72,0.02455117287051042,0.06588457225129278,2020-07-10
73,0.2838099311580714,0.28470635381357057,2020-07-13
74,0.1532033226064526,0.19167828057289066,2020-07-14
75,0.06637623849295761,0.11821248466504516,2020-07-15
76,0.04747716242897813,0.09389186747351312,2020-07-16
77,0.044566158084149925,0.0939595589275719,2020-07-17
78,0.021219158649961118,0.05956611739448152,2020-07-20
79,0.01638653672181561,0.05075748991962694,2020-07-21
80,0.02086519317800094,0.06168323126593785,2020-07-22
81,0.01734202905976142,0.05644177372872904,2020-07-23
82,0.046018246690311314,0.0971765033818887,2020-07-24
83,0.02773742739328625,0.06979731354521815,2020-07-27
84,0.3218582283315564,0.2849676989952584,2020-07-28
85,0.019240840768367337,0.056029776436701546,2020-07-29
86,0.02353523772343065,0.06408897142374577,2020-07-30
87,0.023139947126076494,0.06401511869856347,2020-07-31
88,0.01754353040576551,0.05286801358840074,2020-08-03
89,0.053291588989706686,0.10103930652472844,2020-08-04
90,0.040870377431552675,0.08566813552352893,2020-08-05
91,0.02446449548056169,0.06437851043943968,2020-08-06
92,0.017143437108736097,0.052913077754482105,2020-08-07
93,0.03752118351204814,0.08243844528074734,2020-08-10
94,0.04955855157879979,0.11214485963320689,2020-08-11
95,0.04386004270766118,0.10345780002605251,2020-08-12
96,0.016289672069436933,0.0531931081528179,2020-08-13
97,0.02839433426401996,0.07156309942807638,2020-08-14
98,0.016294097740055028,0.05152217066247105,2020-08-17
99,0.016330174227657306,0.05329833523445711,2020-08-18
100,0.019989725780889884,0.058279238751184854,2020-08-19
101,0.01892677428245021,0.06493865557704163,2020-08-20
102,0.019544572512879867,0.06063378325227851,2020-08-21
103,0.019567319813156025,0.05774210619868334,2020-08-24
104,0.016912453786955335,0.05327297337894337,2020-08-25
105,0.06604938200366438,0.1340088049020208,2020-08-26
106,0.04511579674734111,0.0998574138716077,2020-08-27
107,0.04817988777289003,0.10736103860682258,2020-08-28
108,0.02331399080512435,0.06554929533042761,2020-08-31
109,0.021370076428178838,0.06530591906122178,2020-09-01
110,0.04179780433288417,0.09621108380742086,2020-09-02
111,0.01907119509628033,0.05939238533485472,2020-09-03
112,0.01637627514625261,0.052421999667429116,2020-09-04
113,0.02382298931119132,0.06440225032723697,2020-09-08
114,0.018495554444008543,0.05635098143846988,2020-09-09
115,0.05731670572593143,0.10817643703737857,2020-09-10
116,0.01967781031774547,0.058850538246100016,2020-09-11
117,0.02281929782866446,0.06180374009944375,2020-09-14
118,0.03966415533475848,0.08612041228587825,2020-09-15
119,0.018281291256119492,0.059521674620551086,2020-09-16
120,0.016203338242190675,0.051374821106157945,2020-09-17
121,0.018715961336943723,0.05619019783841635,2020-09-18
122,0.015923205050761214,0.05000676842302607,2020-09-21
123,0.016013864520952735,0.05238532638683014,2020-09-22
124,0.02260928524394481,0.06343325330290973,2020-09-23
125,0.02135500131804163,0.07240920713502368,2020-09-24
126,0.01644119798142829,0.052671877350064594,2020-09-25
127,0.03627232725581053,0.08120422521466977,2020-09-28
128,0.017009310267411062,0.053359842229858324,2020-09-29
