timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.025843173265457153,3.4975305,0.118444115,2020-03-27
1,0.024569332599639893,3.629898,0.09927197,2020-03-30
2,0.027346884831786156,3.5526822,0.12765819,2020-03-31
3,0.02116774208843708,2.8712738,0.09422235,2020-04-01
4,0.033681876957416534,3.7955651,0.1440494,2020-04-02
5,0.047595784068107605,3.7571604,0.22056934,2020-04-03
6,0.03335157036781311,3.8075137,0.12471039,2020-04-06
7,0.034076057374477386,3.9968126,0.13495167,2020-04-07
8,0.01911911554634571,3.7889118,0.0708228,2020-04-08
9,0.03448725491762161,3.884764,0.14241192,2020-04-09
10,0.030044173821806908,3.9721613,0.117298484,2020-04-13
11,0.026935260742902756,3.6703472,0.10710316,2020-04-14
12,0.03849023953080177,3.8508098,0.16112754,2020-04-15
13,0.03707589954137802,3.8859339,0.1625755,2020-04-16
14,0.029231511056423187,3.8914902,0.11796522,2020-04-17
15,0.03318299725651741,3.7720976,0.14116454,2020-04-20
16,0.03313279151916504,3.7039392,0.1378504,2020-04-21
17,0.033829253166913986,3.9042141,0.14451052,2020-04-22
18,0.03525529429316521,3.6226754,0.15031424,2020-04-23
19,0.027353378012776375,3.52835,0.11220215,2020-04-24
20,0.018980590626597404,3.7761803,0.07872261,2020-04-27
21,0.03384590893983841,3.9249096,0.13656701,2020-04-28
22,0.03879901021718979,3.9753757,0.13716722,2020-04-29
23,0.04213087633252144,3.991394,0.16479295,2020-04-30
24,0.042424947023391724,3.800025,0.18452148,2020-05-01
25,0.03133833780884743,3.9428017,0.14068168,2020-05-04
26,0.03251877427101135,3.9968414,0.1319735,2020-05-05
27,0.029483122751116753,3.8472648,0.12329561,2020-05-06
28,0.036402247846126556,3.9749482,0.13821016,2020-05-07
29,0.043338049203157425,3.9668877,0.16161126,2020-05-08
30,0.039442241191864014,3.980509,0.14309447,2020-05-11
31,0.032440900802612305,3.9352276,0.13625215,2020-05-12
32,0.034119613468647,3.8447995,0.15750356,2020-05-13
33,0.03059479407966137,3.9930184,0.117144346,2020-05-14
34,0.030817706137895584,3.9651523,0.12478966,2020-05-15
35,0.020566530525684357,3.9104111,0.07259381,2020-05-18
36,0.03567051142454147,3.986402,0.14378528,2020-05-19
37,0.036418069154024124,3.9757917,0.12629741,2020-05-20
38,0.03803109750151634,3.9595113,0.1544465,2020-05-21
39,0.041693493723869324,3.9678974,0.15633339,2020-05-22
40,0.02634233422577381,3.760706,0.11214029,2020-05-26
41,0.0257513839751482,3.8437567,0.09526115,2020-05-27
42,0.03448236733675003,3.7073767,0.14478484,2020-05-28
43,0.036854710429906845,3.9711318,0.144431,2020-05-29
44,0.037067487835884094,3.9988408,0.14456396,2020-06-01
45,0.04624418541789055,3.9288266,0.18747321,2020-06-02
46,0.04219146817922592,3.89456,0.1638384,2020-06-03
47,0.03817984461784363,3.9840355,0.13634141,2020-06-04
48,0.039312273263931274,3.976258,0.14022696,2020-06-05
49,0.030805781483650208,3.8123624,0.12017813,2020-06-08
50,0.041180580854415894,3.9812365,0.14813559,2020-06-09
51,0.05564037710428238,3.891096,0.23055506,2020-06-10
52,0.026692556217312813,3.025944,0.124580406,2020-06-11
53,0.029234973713755608,3.9243033,0.12619095,2020-06-12
54,0.029742298647761345,3.9669771,0.123987,2020-06-15
55,0.03920520469546318,3.983705,0.14142779,2020-06-16
56,0.046191710978746414,3.990613,0.1814034,2020-06-17
57,0.03478368744254112,3.9432936,0.13854969,2020-06-18
58,0.027936743572354317,3.959043,0.11657423,2020-06-19
59,0.04639143496751785,3.9866536,0.18812092,2020-06-22
60,0.03505575284361839,3.9934065,0.13254276,2020-06-23
61,0.039732180535793304,3.9974828,0.15962917,2020-06-24
62,0.033599853515625,3.991538,0.12559035,2020-06-25
63,0.027100728824734688,3.969018,0.1152532,2020-06-26
64,0.0377635583281517,3.9865406,0.14325236,2020-06-29
65,0.0315873920917511,3.9937658,0.12375219,2020-06-30
66,0.03626202419400215,3.9587576,0.12461382,2020-07-01
67,0.035214900970458984,3.9534671,0.13477303,2020-07-02
68,0.038585416972637177,3.995361,0.14127138,2020-07-06
69,0.038280241191387177,3.9907348,0.14407301,2020-07-07
70,0.04004255682229996,3.9923928,0.1486674,2020-07-08
71,0.0277485940605402,3.957108,0.11136593,2020-07-09
72,0.033420782536268234,3.9757261,0.12189963,2020-07-10
73,0.03393755480647087,3.9673803,0.1250521,2020-07-13
74,0.04298771917819977,3.9749796,0.14923216,2020-07-14
75,0.03209877014160156,3.994131,0.11730011,2020-07-15
76,0.035297662019729614,3.9977372,0.13119744,2020-07-16
77,0.05646102875471115,3.9292147,0.22144514,2020-07-17
78,0.03930812329053879,3.9837499,0.14368245,2020-07-20
79,0.030573958531022072,3.9964454,0.1064038,2020-07-21
80,0.0439441092312336,3.9742503,0.16926937,2020-07-22
81,0.0417928546667099,3.9741926,0.15509272,2020-07-23
82,0.034408219158649445,3.9865708,0.13216154,2020-07-24
83,0.03495287150144577,3.9285204,0.12589486,2020-07-27
84,0.046789057552814484,3.995649,0.18132071,2020-07-28
85,0.03730909898877144,3.9919686,0.13508846,2020-07-29
86,0.04609289765357971,3.9775498,0.17943776,2020-07-30
87,0.0468318946659565,3.9868846,0.16728723,2020-07-31
88,0.030261710286140442,3.9531364,0.108522736,2020-08-03
89,0.039023950695991516,3.97711,0.13517383,2020-08-04
90,0.04035273566842079,3.964725,0.14016464,2020-08-05
