timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.04285258799791336,3.6657789,0.1737727,2020-04-22
1,0.04331499710679054,3.6788425,0.17589161,2020-04-23
2,0.04751210659742355,3.794047,0.19217235,2020-04-24
3,0.05057616904377937,3.855086,0.20554402,2020-04-27
4,0.05018211528658867,3.8481042,0.20371127,2020-04-28
5,0.05274652689695358,3.888577,0.21594116,2020-04-29
6,0.04948415607213974,3.8319225,0.20130244,2020-04-30
7,0.04418477788567543,3.7527227,0.17681727,2020-05-01
8,0.04506935179233551,3.7748477,0.18013431,2020-05-04
9,0.047339390963315964,3.8190374,0.19126488,2020-05-05
10,0.04690662398934364,3.8137732,0.18900132,2020-05-06
11,0.04947078600525856,3.8572292,0.20061366,2020-05-07
12,0.053310494869947433,3.9135349,0.21797007,2020-05-08
13,0.05356378108263016,3.918823,0.2190573,2020-05-11
14,0.04731683060526848,3.8226552,0.19130209,2020-05-12
15,0.04482137784361839,3.7735224,0.17971642,2020-05-13
16,0.04750116169452667,3.8246489,0.19251825,2020-05-14
17,0.04828120395541191,3.8373542,0.19605303,2020-05-15
18,0.05168164521455765,3.888956,0.21146166,2020-05-18
19,0.05071728676557541,3.8724859,0.20716083,2020-05-19
20,0.05411534011363983,3.9173303,0.22248577,2020-05-20
21,0.05267702788114548,3.896169,0.21611607,2020-05-21
22,0.0542718842625618,3.917326,0.22317539,2020-05-22
23,0.05476940795779228,3.9228046,0.22529598,2020-05-26
24,0.055401869118213654,3.9304962,0.22802782,2020-05-27
25,0.05443766340613365,3.918567,0.22361058,2020-05-28
26,0.05572002753615379,3.932578,0.22981377,2020-05-29
27,0.054813165217638016,3.9223723,0.22548932,2020-06-01
28,0.056502051651477814,3.9418616,0.23352432,2020-06-02
29,0.05823616683483124,3.9621005,0.24069026,2020-06-03
30,0.058326974511146545,3.963764,0.24096714,2020-06-04
31,0.06017639860510826,3.9809637,0.2495415,2020-06-05
32,0.05943873152136803,3.9724336,0.24593988,2020-06-08
33,0.05781244486570358,3.9535024,0.2383828,2020-06-09
34,0.05731237307190895,3.947033,0.23672271,2020-06-10
35,0.04259407892823219,3.6870553,0.1712132,2020-06-11
36,0.046746570616960526,3.7926888,0.18904334,2020-06-12
37,0.04845275357365608,3.8239605,0.19699991,2020-06-15
38,0.04961490258574486,3.8419473,0.20194118,2020-06-16
39,0.050043247640132904,3.8485265,0.2038506,2020-06-17
40,0.050629857927560806,3.8563857,0.20678678,2020-06-18
41,0.04787254333496094,3.810892,0.19470772,2020-06-19
42,0.05205410346388817,3.8767822,0.21341598,2020-06-22
43,0.052559442818164825,3.884691,0.21552117,2020-06-23
44,0.04929480701684952,3.8362772,0.20070197,2020-06-24
45,0.051083583384752274,3.8647902,0.20900454,2020-06-25
46,0.047916918992996216,3.8130317,0.19499227,2020-06-26
47,0.05135997757315636,3.8683352,0.21053365,2020-06-29
48,0.053216394037008286,3.894809,0.21873079,2020-06-30
49,0.055778831243515015,3.9274535,0.22999834,2020-07-01
50,0.057004839181900024,3.9414794,0.23576139,2020-07-02
51,0.05700666084885597,3.940918,0.23563513,2020-07-06
52,0.055283769965171814,3.9181848,0.22787127,2020-07-07
53,0.057228416204452515,3.9415443,0.23661928,2020-07-08
54,0.056023407727479935,3.9253488,0.23087457,2020-07-09
55,0.058294981718063354,3.952868,0.24115923,2020-07-10
56,0.05226738378405571,3.875968,0.21422042,2020-07-13
57,0.05591115355491638,3.923911,0.2302847,2020-07-14
58,0.05795666575431824,3.9476883,0.23983373,2020-07-15
59,0.05779188126325607,3.9450748,0.23910153,2020-07-16
60,0.060290154069662094,3.9732385,0.25033373,2020-07-17
61,0.06135676056146622,3.9820664,0.25569668,2020-07-20
62,0.061267342418432236,3.9804559,0.2549186,2020-07-21
63,0.06169353798031807,3.9841664,0.2578722,2020-07-22
64,0.06051165983080864,3.9716117,0.25134346,2020-07-23
65,0.060737185180187225,3.9742513,0.25236192,2020-07-24
66,0.061662063002586365,3.9832692,0.25723225,2020-07-27
67,0.061123933643102646,3.977882,0.25401077,2020-07-28
68,0.061788227409124374,3.9854043,0.25862005,2020-07-29
69,0.06143982708454132,3.9817643,0.25578576,2020-07-30
70,0.06163058802485466,3.983556,0.2572164,2020-07-31
71,0.061611659824848175,3.9838161,0.25734058,2020-08-03
72,0.061991918832063675,3.985986,0.26001844,2020-08-04
73,0.06226912885904312,3.9895458,0.2628602,2020-08-05
74,0.06228846311569214,3.9903755,0.26366076,2020-08-06
75,0.062158502638339996,3.9907284,0.26385176,2020-08-07
76,0.06214473396539688,3.9907227,0.26408127,2020-08-10
77,0.06188380718231201,3.9864235,0.25935376,2020-08-11
78,0.06193098425865173,3.9907293,0.26312143,2020-08-12
79,0.0617813915014267,3.9907606,0.26247463,2020-08-13
80,0.06166267395019531,3.9907634,0.26198068,2020-08-14
81,0.0614677257835865,3.990216,0.2622334,2020-08-17
82,0.06162700802087784,3.9905093,0.26262382,2020-08-18
