timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.008182280696928501,3.8557906,0.032711595,2020-04-22
1,0.013140405528247356,3.8531625,0.05085642,2020-04-23
2,0.028015321120619774,3.5836608,0.12837578,2020-04-24
3,0.019891520962119102,3.8012261,0.0893493,2020-04-27
4,0.03663311153650284,3.8961928,0.16501415,2020-04-28
5,0.041321735829114914,3.8757973,0.18899049,2020-04-29
6,0.05631489306688309,3.9737463,0.23122434,2020-04-30
7,0.03772837668657303,3.864389,0.14099483,2020-05-01
8,0.035478588193655014,3.733979,0.13391545,2020-05-04
9,0.04136526584625244,3.9134126,0.17289981,2020-05-05
10,0.03862358257174492,3.801059,0.15784785,2020-05-06
11,0.056483592838048935,3.9796002,0.22881575,2020-05-07
12,0.04279765114188194,3.9824078,0.16896094,2020-05-08
13,0.05479976162314415,3.9705942,0.21526004,2020-05-11
14,0.0403292253613472,3.8917089,0.14644131,2020-05-12
15,0.02985474281013012,3.7996778,0.11986819,2020-05-13
16,0.04154171794652939,3.894547,0.18249768,2020-05-14
17,0.025111665949225426,3.899952,0.105704226,2020-05-15
18,0.018975405022501945,3.7513049,0.08681194,2020-05-18
19,0.014065252617001534,3.8948076,0.060912766,2020-05-19
20,0.018849952146410942,3.8710194,0.07785265,2020-05-20
21,0.041637688875198364,3.8951635,0.19097543,2020-05-21
22,0.0785539448261261,3.9855466,0.31207633,2020-05-22
23,0.024276159703731537,3.3988323,0.11092411,2020-05-26
24,0.012374305166304111,3.800924,0.056847192,2020-05-27
25,0.029187707230448723,3.6950479,0.13455117,2020-05-28
26,0.038282644003629684,3.8912754,0.14978081,2020-05-29
27,0.05338241532444954,3.9680018,0.2211676,2020-06-01
28,0.03976365551352501,3.7614357,0.19213146,2020-06-02
29,0.03387530520558357,3.7258484,0.15516087,2020-06-03
30,0.022375501692295074,3.9060574,0.103840835,2020-06-04
31,0.042365316301584244,3.8913994,0.20374727,2020-06-05
32,0.02937253937125206,3.7871845,0.13951032,2020-06-08
33,0.07317046821117401,3.9769204,0.30155697,2020-06-09
34,0.03583821281790733,3.8682623,0.13141575,2020-06-10
35,0.026916252449154854,3.3825676,0.10639522,2020-06-11
36,0.03338287025690079,3.2647936,0.1344601,2020-06-12
37,0.021186910569667816,3.6857564,0.088565245,2020-06-15
38,0.06566458195447922,3.994047,0.28172082,2020-06-16
39,0.038713015615940094,3.9529676,0.14911029,2020-06-17
40,0.014488795772194862,3.8987913,0.05962487,2020-06-18
41,0.08200430870056152,3.9720063,0.32478353,2020-06-19
42,0.09061682969331741,3.9751518,0.36381125,2020-06-22
43,0.08357593417167664,3.921294,0.3496456,2020-06-23
44,0.04833244904875755,3.9306939,0.185607,2020-06-24
45,0.03764253482222557,3.8440552,0.15636005,2020-06-25
46,0.026821626350283623,3.8996503,0.11090897,2020-06-26
47,0.03872233256697655,3.9202163,0.14502178,2020-06-29
48,0.04485586658120155,3.876067,0.18865298,2020-06-30
49,0.06203153356909752,3.9829798,0.22772174,2020-07-01
50,0.05361339822411537,3.9089456,0.22862178,2020-07-02
51,0.03862905502319336,3.9345317,0.1661278,2020-07-06
52,0.08242366462945938,3.9698677,0.3232111,2020-07-07
53,0.06033468618988991,3.930291,0.23595238,2020-07-08
54,0.04676150530576706,3.9599504,0.18712096,2020-07-09
55,0.06558577716350555,3.9816856,0.2730917,2020-07-10
56,0.023824866861104965,3.8858097,0.111862645,2020-07-13
57,0.06040666252374649,3.988002,0.26046816,2020-07-14
58,0.07024083286523819,3.9681451,0.2886265,2020-07-15
59,0.0711698830127716,3.9904187,0.28717098,2020-07-16
60,0.0766369104385376,3.9775834,0.33067286,2020-07-17
61,0.08100970834493637,3.965974,0.3166694,2020-07-20
62,0.07852774113416672,3.9853997,0.3186423,2020-07-21
63,0.08880574256181717,3.9813864,0.37198412,2020-07-22
64,0.07889041304588318,3.9813747,0.32068735,2020-07-23
65,0.06670837104320526,3.9928348,0.26959115,2020-07-24
66,0.0798790231347084,3.986525,0.3077459,2020-07-27
67,0.0739225521683693,3.982912,0.30407223,2020-07-28
68,0.08486776798963547,3.9843655,0.33590317,2020-07-29
69,0.08577018976211548,3.9678915,0.33869597,2020-07-30
70,0.08058783411979675,3.9653728,0.31278008,2020-07-31
71,0.07434792816638947,3.9882996,0.28890198,2020-08-03
72,0.07814214378595352,3.9263911,0.30634737,2020-08-04
73,0.08249755948781967,3.9404185,0.34706068,2020-08-05
74,0.07276859134435654,3.9475286,0.29088268,2020-08-06
75,0.08158203959465027,3.9622104,0.33135155,2020-08-07
76,0.08119739592075348,3.9845474,0.32712957,2020-08-10
77,0.08081375062465668,3.9859202,0.34023505,2020-08-11
78,0.07858546823263168,3.9375203,0.3241638,2020-08-12
79,0.08107667416334152,3.9875643,0.31809962,2020-08-13
80,0.08726004511117935,3.9813285,0.3451399,2020-08-14
81,0.07809384912252426,3.9829981,0.301531,2020-08-17
82,0.08054909855127335,3.946559,0.316859,2020-08-18
