timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.027476634830236435,3.8367088,0.12778121,2020-03-27
1,0.039872907102108,3.9155998,0.16043586,2020-03-30
2,0.02670496702194214,3.4929178,0.115080744,2020-03-31
3,0.07457892596721649,3.9906282,0.2972607,2020-04-01
4,0.03556756302714348,3.7375212,0.16037421,2020-04-02
5,0.04357634857296944,3.8689451,0.20798093,2020-04-03
6,0.07102783769369125,3.9920592,0.28217325,2020-04-06
7,0.02293635718524456,3.8143892,0.104273036,2020-04-07
8,0.023348703980445862,3.839523,0.09774913,2020-04-08
9,0.02989882603287697,3.9095397,0.12608069,2020-04-09
10,0.016772054135799408,3.811332,0.07396304,2020-04-13
11,0.011286971159279346,3.6310863,0.043183118,2020-04-14
12,0.027624711394309998,3.7190464,0.12561467,2020-04-15
13,0.07177047431468964,3.9798927,0.28684366,2020-04-16
14,0.02952534332871437,3.8104026,0.13169412,2020-04-17
15,0.06431624293327332,3.9836595,0.27788463,2020-04-20
16,0.050109606236219406,3.9458838,0.2054417,2020-04-21
17,0.07489970326423645,3.9786103,0.3029871,2020-04-22
18,0.026159802451729774,3.74027,0.122668326,2020-04-23
19,0.07619409263134003,3.9870677,0.31101742,2020-04-24
20,0.07065576314926147,3.9924703,0.30441985,2020-04-27
21,0.06172524765133858,3.979582,0.26593426,2020-04-28
22,0.06938837468624115,3.9788883,0.29338634,2020-04-29
23,0.07143596559762955,3.9828842,0.3073774,2020-04-30
24,0.05958173796534538,3.9490929,0.23414376,2020-05-01
25,0.06387081742286682,3.932095,0.2618681,2020-05-04
26,0.07984223961830139,3.988288,0.3379722,2020-05-05
27,0.06851262599229813,3.9847243,0.2832408,2020-05-06
28,0.07079655677080154,3.9920537,0.30510056,2020-05-07
29,0.06434983015060425,3.9799774,0.2833556,2020-05-08
30,0.07042665034532547,3.9876292,0.2984362,2020-05-11
31,0.0737537145614624,3.9839952,0.30698404,2020-05-12
32,0.07652067393064499,3.9881637,0.32275814,2020-05-13
33,0.07556083053350449,3.9762402,0.3118221,2020-05-14
34,0.0775541439652443,3.9840531,0.33668774,2020-05-15
35,0.06916359812021255,3.977907,0.3007661,2020-05-18
36,0.0636044293642044,3.9758675,0.27934188,2020-05-19
37,0.04973365366458893,3.9496393,0.20650758,2020-05-20
38,0.07549668848514557,3.9812188,0.33140764,2020-05-21
39,0.07132451981306076,3.9793136,0.31153387,2020-05-22
40,0.07459429651498795,3.988276,0.3059814,2020-05-26
41,0.03443625196814537,3.8937988,0.15903893,2020-05-27
42,0.02681654877960682,3.8874288,0.11868055,2020-05-28
43,0.048960328102111816,3.9486158,0.19336836,2020-05-29
44,0.07209368795156479,3.9634693,0.30146787,2020-06-01
45,0.04817034304141998,3.8874178,0.21674901,2020-06-02
46,0.07110276073217392,3.986934,0.28213972,2020-06-03
47,0.069109246134758,3.992625,0.29363427,2020-06-04
48,0.0693708136677742,3.989108,0.29193357,2020-06-05
49,0.06896152347326279,3.970983,0.29906204,2020-06-08
50,0.06959135085344315,3.9668431,0.3056206,2020-06-09
51,0.07555835694074631,3.984288,0.30941033,2020-06-10
52,0.07696174830198288,3.9895236,0.318187,2020-06-11
53,0.034077566117048264,3.717472,0.15137725,2020-06-12
54,0.04166167229413986,3.8070815,0.20284426,2020-06-15
55,0.06943464279174805,3.9904413,0.2911873,2020-06-16
56,0.06927181035280228,3.9926255,0.29163456,2020-06-17
57,0.03751741722226143,3.8678625,0.17972836,2020-06-18
58,0.07717260718345642,3.989165,0.3218571,2020-06-19
59,0.07925265282392502,3.9877214,0.32852334,2020-06-22
60,0.07250475883483887,3.967836,0.3224166,2020-06-23
61,0.06211988255381584,3.9782546,0.26018298,2020-06-24
62,0.06865520775318146,3.9894354,0.28213108,2020-06-25
63,0.05068698897957802,3.9469726,0.22917059,2020-06-26
64,0.03020940162241459,3.802237,0.13919277,2020-06-29
65,0.046911098062992096,3.8400576,0.22401835,2020-06-30
66,0.0705423578619957,3.9894738,0.30414727,2020-07-01
67,0.07417310774326324,3.9912002,0.29383242,2020-07-02
68,0.0487772636115551,3.926911,0.22937411,2020-07-06
69,0.07247094810009003,3.9867437,0.3105136,2020-07-07
70,0.06193440407514572,3.9721,0.24743141,2020-07-08
71,0.07776977121829987,3.9881816,0.33494627,2020-07-09
72,0.07367288321256638,3.9886222,0.304245,2020-07-10
73,0.03694523125886917,3.872035,0.17886743,2020-07-13
74,0.06129095330834389,3.9851816,0.24914667,2020-07-14
75,0.061496552079916,3.9873295,0.2548751,2020-07-15
76,0.06943880021572113,3.9894195,0.29331595,2020-07-16
77,0.07633856683969498,3.9899049,0.30584183,2020-07-17
78,0.07815919071435928,3.9849389,0.3284495,2020-07-20
79,0.07550609111785889,3.976337,0.3286915,2020-07-21
80,0.06814681738615036,3.959843,0.3023348,2020-07-22
81,0.07255950570106506,3.9800909,0.3137807,2020-07-23
82,0.07634034007787704,3.9878647,0.3214529,2020-07-24
83,0.07407347857952118,3.9859612,0.32174116,2020-07-27
84,0.0548587366938591,3.937142,0.23287979,2020-07-28
85,0.07057387381792068,3.9791079,0.31370807,2020-07-29
86,0.06886807084083557,3.9654794,0.3133101,2020-07-30
87,0.07196778804063797,3.9738362,0.31776753,2020-07-31
88,0.07554084807634354,3.9773412,0.32999444,2020-08-03
89,0.07320962846279144,3.9890268,0.31936032,2020-08-04
90,0.07390687614679337,3.9840736,0.31573367,2020-08-05
91,0.06996086239814758,3.9741774,0.3130149,2020-08-06
92,0.07181038707494736,3.979306,0.31067935,2020-08-07
93,0.071622334420681,3.980717,0.31459212,2020-08-10
94,0.06725835800170898,3.9621265,0.29572582,2020-08-11
95,0.06960553675889969,3.9656105,0.30996838,2020-08-12
96,0.06844009459018707,3.9620817,0.30944124,2020-08-13
97,0.07663217931985855,3.9844995,0.31914985,2020-08-14
98,0.07393182069063187,3.974081,0.32369533,2020-08-17
99,0.07460735738277435,3.9787412,0.31984788,2020-08-18
100,0.07700534909963608,3.9819267,0.33406192,2020-08-19
101,0.07547266036272049,3.9888592,0.32707024,2020-08-20
102,0.07363630086183548,3.9795485,0.32053536,2020-08-21
103,0.07158306241035461,3.9754755,0.31908447,2020-08-24
104,0.06865651905536652,3.96597,0.30985487,2020-08-25
105,0.0710052028298378,3.97448,0.3058787,2020-08-26
106,0.06786691397428513,3.9578075,0.30937475,2020-08-27
107,0.06871762126684189,3.9634,0.305383,2020-08-28
108,0.07369951158761978,3.978129,0.31010857,2020-08-31
109,0.07237207144498825,3.9714901,0.3240184,2020-09-01
110,0.06827294081449509,3.9567857,0.31025863,2020-09-02
111,0.06771336495876312,3.9594903,0.30411494,2020-09-03
112,0.06977550685405731,3.9753711,0.30339852,2020-09-04
113,0.06892604380846024,3.9669356,0.31026015,2020-09-08
114,0.07341115921735764,3.9908788,0.29654634,2020-09-09
115,0.07941386848688126,3.986882,0.33343443,2020-09-10
116,0.07147210091352463,3.9717903,0.3194448,2020-09-11
117,0.07441861182451248,3.9735823,0.32430786,2020-09-14
118,0.07180152088403702,3.987781,0.31338575,2020-09-15
119,0.0741436704993248,3.9812586,0.31674773,2020-09-16
120,0.07163237780332565,3.9733193,0.31817582,2020-09-17
121,0.0701705813407898,3.992235,0.279615,2020-09-18
122,0.07510758936405182,3.9803727,0.3285435,2020-09-21
123,0.06908039003610611,3.9655523,0.31120113,2020-09-22
124,0.07219328731298447,3.9722636,0.31620264,2020-09-23
125,0.0737852081656456,3.9907012,0.31452298,2020-09-24
126,0.07420485466718674,3.9907706,0.3216319,2020-09-25
127,0.06972058117389679,3.9901476,0.28574628,2020-09-28
128,0.0709676668047905,3.973107,0.3167742,2020-09-29
129,0.07148263603448868,3.986791,0.30795208,2020-09-30
130,0.07788433879613876,3.9892495,0.32363123,2020-10-01
131,0.07010407000780106,3.9745564,0.305651,2020-10-02
132,0.07490141689777374,3.9744606,0.32607767,2020-10-05
133,0.06735006719827652,3.9613013,0.3062033,2020-10-06
134,0.07621042430400848,3.9892626,0.31093773,2020-10-07
135,0.07012677937746048,3.9675086,0.3169644,2020-10-08
136,0.06844668835401535,3.9641688,0.30362058,2020-10-09
137,0.06827422976493835,3.9641998,0.29913,2020-10-12
138,0.06937109678983688,3.9688485,0.3099224,2020-10-13
139,0.0689396783709526,3.9924798,0.2701329,2020-10-14
140,0.07234672456979752,3.9701788,0.31947458,2020-10-15
141,0.07450656592845917,3.9827354,0.31789273,2020-10-16
142,0.07793427258729935,3.9843152,0.32829002,2020-10-19
143,0.0713975578546524,3.9707162,0.31971177,2020-10-20
144,0.06938213109970093,3.9616306,0.31197828,2020-10-21
145,0.074386365711689,3.9908223,0.3091986,2020-10-22
146,0.0739678144454956,3.9911528,0.32402122,2020-10-23
147,0.06776958703994751,3.9600666,0.30383027,2020-10-26
148,0.0724547952413559,3.9741957,0.3146982,2020-10-27
149,0.07537265866994858,3.990196,0.3210618,2020-10-28
150,0.07771086692810059,3.9890335,0.31968778,2020-10-29
151,0.07641327381134033,3.9825683,0.33184952,2020-10-30
