timestep,ck_kl,ck_tv,date
0,0.10840250482188654,0.19881096832283798,2020-03-27
1,0.1070941481968253,0.19678589540464547,2020-03-30
2,0.07561217894679934,0.1619244975615065,2020-03-31
3,1.1763957908220588,0.6086859229029712,2020-04-01
4,0.0703396084811761,0.14523264201703648,2020-04-02
5,0.10034529882043416,0.1842158954883722,2020-04-03
6,0.044457580321223746,0.11581049955896691,2020-04-06
7,0.09204228487918342,0.18249986196753065,2020-04-07
8,0.03434493144604006,0.1085353913223587,2020-04-08
9,0.17346060819312062,0.24984429563123658,2020-04-09
10,0.027368220119425645,0.09424461031549378,2020-04-13
11,0.06842518377250709,0.15053346095273087,2020-04-14
12,0.059042280025666236,0.1424165973554928,2020-04-15
13,0.03830900056111639,0.11246424813491199,2020-04-16
14,0.06401339722571366,0.1299801114687515,2020-04-17
15,0.028137961521925124,0.09811901370197042,2020-04-20
16,0.07882457791798389,0.1644937341464635,2020-04-21
17,0.02079431125656715,0.07962853731655853,2020-04-22
18,0.1476044227961495,0.20827757078965564,2020-04-23
19,0.14061103416621254,0.22021289031073146,2020-04-24
20,0.1282774338687192,0.19589288766374183,2020-04-27
21,0.0888979817339751,0.1624623714463547,2020-04-28
22,0.30176162412029633,0.32593629597971496,2020-04-29
23,0.11371260175984857,0.19729202176745392,2020-04-30
24,0.07255378569197475,0.1417254976093326,2020-05-01
25,0.02276750360235179,0.0892511436679824,2020-05-04
26,0.18426125628664272,0.2658283448742149,2020-05-05
27,0.020180728409505935,0.08355704517438504,2020-05-06
28,0.018239643545419956,0.07543903420354989,2020-05-07
29,0.09877975055738106,0.18367476107958994,2020-05-08
30,0.021187488454998918,0.0770491623761456,2020-05-11
31,0.05738500092412666,0.1149411953773709,2020-05-12
32,0.08900871668358279,0.16643888946637633,2020-05-13
33,0.6262923482018344,0.47262463429418394,2020-05-14
34,0.5378719551611961,0.44432106596264126,2020-05-15
35,0.013531470258368962,0.06920899870771709,2020-05-18
36,0.02153591691575588,0.06297441715362252,2020-05-19
37,0.033528140293326646,0.09142478250575871,2020-05-20
38,0.048215438970749654,0.12788666167085944,2020-05-21
39,0.017432984437500243,0.07539479623885659,2020-05-22
40,0.12192012397906755,0.18711104287377225,2020-05-26
41,0.12351547469843142,0.212411695563255,2020-05-27
42,0.06417301852999618,0.14044537461643156,2020-05-28
43,0.02961754168401179,0.09573218798328573,2020-05-29
44,0.09964002324141945,0.19331934748047788,2020-06-01
45,0.034323731193136496,0.10259467672331991,2020-06-02
46,0.1929230245150874,0.2528525625100183,2020-06-03
47,0.06366541122669177,0.14914767048514987,2020-06-04
48,0.03083375825100531,0.10451335912961297,2020-06-05
49,0.2190756671214781,0.27162292282965333,2020-06-08
50,0.02751359227909402,0.09521594993749821,2020-06-09
51,0.0865731806139052,0.14883070591568984,2020-06-10
52,0.9997396771494365,0.5488966823421976,2020-06-11
53,0.049588779812774035,0.11626369157885696,2020-06-12
54,0.042698631079960116,0.12001236307924107,2020-06-15
55,0.06298368526737423,0.1447825419112306,2020-06-16
56,0.010146031950116069,0.05522580603505768,2020-06-17
57,0.07686706522486059,0.13262485929576814,2020-06-18
58,0.042302673588496445,0.10350639313815405,2020-06-19
59,0.019424181370774663,0.07750535780058757,2020-06-22
60,0.07299735839492183,0.15925990335434337,2020-06-23
61,0.009239228509177721,0.04681664307931712,2020-06-24
62,0.011950479198620145,0.056472049856356746,2020-06-25
63,0.023543921947260436,0.08183320892540209,2020-06-26
64,0.04076483481091088,0.09678454902709391,2020-06-29
65,0.01503860452697723,0.07106103157526421,2020-06-30
66,0.053729126305110966,0.12159464919825574,2020-07-01
67,0.07829284365672816,0.15525547150545507,2020-07-02
68,0.011655574877824957,0.05245717486745184,2020-07-06
69,0.007722357606765134,0.047013292192800094,2020-07-07
70,0.030881329509812955,0.08308904582575896,2020-07-08
71,0.005494611355637229,0.03702426472115357,2020-07-09
72,0.010250969882140542,0.047921467271224046,2020-07-10
73,0.012844987555234427,0.04998296746797296,2020-07-13
74,0.06962761328091104,0.1448384117536554,2020-07-14
75,0.020415330843968613,0.07450363230446626,2020-07-15
76,0.005569287264358388,0.0389255711900938,2020-07-16
77,0.04654667463704621,0.1063429140326991,2020-07-17
78,0.011461412657762524,0.05228322980004486,2020-07-20
79,0.015898006465188713,0.05958600894637253,2020-07-21
80,0.015251888890962429,0.0634087622132243,2020-07-22
81,0.07046759789133746,0.14884023948964936,2020-07-23
82,0.012629043153926413,0.058903524555689285,2020-07-24
83,0.10936833754974364,0.18308010493702423,2020-07-27
84,0.00692928078717627,0.042681626716744005,2020-07-28
85,0.05916233173776277,0.12982871217739664,2020-07-29
86,0.024266516508858273,0.08247726274465324,2020-07-30
87,0.007710728550655693,0.04562865496699354,2020-07-31
88,0.11493460556484002,0.198199102096573,2020-08-03
89,0.023669147775057766,0.08190248703412893,2020-08-04
90,0.06623204273947475,0.1413873215174464,2020-08-05
91,0.4024191012235007,0.38186306983847085,2020-08-06
92,0.13700822647389488,0.21744356800922732,2020-08-07
93,0.05424663926762578,0.1311003766782952,2020-08-10
94,0.01844199165251907,0.07526868999363635,2020-08-11
95,0.18703236605015183,0.24979733816498345,2020-08-12
96,0.06343891167614098,0.13858134602323055,2020-08-13
97,0.07704747016896038,0.15828252352849564,2020-08-14
98,0.13940615085998748,0.20879256502186247,2020-08-17
99,0.09977799983428931,0.18630666347133998,2020-08-18
100,0.017865527946976965,0.07258578221760081,2020-08-19
101,0.10843695167234095,0.18809392713665887,2020-08-20
102,0.06529565708663268,0.1493077074111648,2020-08-21
103,0.0835753880941628,0.16975893386000723,2020-08-24
104,0.16311896611635343,0.23818467860762887,2020-08-25
105,0.06655891952333434,0.14615392653865672,2020-08-26
106,0.012214753290966884,0.060773605332606735,2020-08-27
107,0.04341187269831678,0.10528070463792431,2020-08-28
108,0.041231357567678865,0.11712756638244982,2020-08-31
109,0.029153017267208165,0.08768119457940714,2020-09-01
110,0.0661059278755846,0.1408131993055891,2020-09-02
111,0.011189492681065618,0.05980461284663307,2020-09-03
112,0.043254987607348985,0.11994009945536574,2020-09-04
113,0.059005857518654774,0.13694843335955467,2020-09-08
114,0.06328283198862447,0.14411918976991372,2020-09-09
115,0.03008483493489347,0.09555082184349023,2020-09-10
116,0.009769484601692075,0.05086046287236736,2020-09-11
117,0.03723656910224816,0.10981752327811993,2020-09-14
118,0.006502483649437253,0.042615817318308845,2020-09-15
