timestep,ck_kl,ck_tv,date
0,0.06976881170929557,0.15418300394135445,2020-03-27
1,0.020151723336950415,0.07392755439576555,2020-03-30
2,0.08305711684895527,0.1782273805746538,2020-03-31
3,0.31215641714901304,0.296758711861949,2020-04-01
4,0.06630814366430206,0.1413422802816399,2020-04-02
5,0.06433612139373475,0.15516330646620635,2020-04-03
6,0.014070105683682636,0.0666724096688277,2020-04-06
7,0.019507264009469363,0.08149998485394176,2020-04-07
8,0.011427309235133675,0.060137198581766096,2020-04-08
9,0.4617301844160986,0.3802254989516567,2020-04-09
10,0.035543966885316795,0.10161733706966913,2020-04-13
11,0.062047241594081176,0.14470499954746427,2020-04-14
12,0.08154904046447324,0.1649116867244235,2020-04-15
13,0.016945352709413854,0.07542153664106398,2020-04-16
14,0.015417441301414685,0.0725806620145253,2020-04-17
15,0.04132776554886135,0.11675404107166806,2020-04-20
16,0.2076573104526148,0.27214886517874143,2020-04-21
17,0.04615589056699794,0.11324604926386152,2020-04-22
18,0.0539975000352583,0.13351326805831784,2020-04-23
19,0.0712656767882015,0.15572636538566878,2020-04-24
20,0.13369575480262857,0.20603437168581,2020-04-27
21,0.012457609190794,0.06171368317680119,2020-04-28
22,0.19491534845221098,0.25471273927347715,2020-04-29
23,0.04098607895220143,0.11674912257486286,2020-04-30
24,0.025297627601818584,0.08496964511801676,2020-05-01
25,0.025125457601558862,0.0893161360700753,2020-05-04
26,0.1524133529335336,0.23343093872555026,2020-05-05
27,0.025585734501032156,0.09160030324496395,2020-05-06
28,0.02905666346557371,0.09774196663759226,2020-05-07
29,0.11557840187209471,0.19997683811105912,2020-05-08
30,0.010606901885428266,0.058826284367427706,2020-05-11
31,0.023235189993604962,0.0786439587269332,2020-05-12
32,0.14988275224539313,0.21280784461793698,2020-05-13
33,0.3081380998724011,0.3213358537790121,2020-05-14
34,0.13885972653084236,0.21658407859966364,2020-05-15
35,0.010610683176120248,0.056660321245612454,2020-05-18
36,0.006632271670382563,0.0467912465113055,2020-05-19
37,0.0111637872528446,0.0577389914054806,2020-05-20
38,0.020654887381234353,0.08083850228101051,2020-05-21
39,0.020443220142213978,0.08215391484234252,2020-05-22
40,0.06934019608274855,0.14962209467420207,2020-05-26
41,0.022963462234575127,0.08511688400797071,2020-05-27
42,0.04744841812663829,0.12989875435578419,2020-05-28
43,0.008841070685146774,0.05170267109557091,2020-05-29
44,0.030063573302644694,0.09984493680991247,2020-06-01
45,0.014260359010778859,0.06913350412219675,2020-06-02
46,0.07722624819574837,0.15623066194054402,2020-06-03
47,0.045751356669216973,0.1251622838867574,2020-06-04
48,0.030935812525917816,0.09580708395561077,2020-06-05
49,0.10294559572909891,0.18352822197149032,2020-06-08
50,0.023639704285461638,0.08958686138833984,2020-06-09
51,0.03633984571651578,0.09816502427200587,2020-06-10
52,0.3205747847936984,0.27585656862209584,2020-06-11
53,0.03213011000697402,0.09955290892756583,2020-06-12
54,0.10824666433848157,0.19021405135232825,2020-06-15
55,0.032039383481145836,0.10434113560028939,2020-06-16
56,0.01501623018744782,0.06213489065318273,2020-06-17
57,0.07620363118003577,0.1481565804417308,2020-06-18
58,0.07139657615855918,0.1471656779222608,2020-06-19
59,0.006447219823627337,0.041374525579124743,2020-06-22
60,0.07560746217548638,0.16053629043369175,2020-06-23
61,0.007350383551598658,0.04914014636441961,2020-06-24
62,0.02243988907609239,0.07872149246580554,2020-06-25
63,0.003722153546610392,0.03155776282972345,2020-06-26
64,0.06531511108567854,0.13325367723646525,2020-06-29
65,0.0037444966553225744,0.032615838082250985,2020-06-30
66,0.06176367469183475,0.13736160041844916,2020-07-01
67,0.04720799613108932,0.11831179106147095,2020-07-02
68,0.0167275367163503,0.06946198966244803,2020-07-06
69,0.057120562831918596,0.1276982849340793,2020-07-07
70,0.028005358611728082,0.08638683028496605,2020-07-08
71,0.004102410558562211,0.03341828731728927,2020-07-09
72,0.014612908919818021,0.06494375198994272,2020-07-10
73,0.11807110071927308,0.18345940541467504,2020-07-13
74,0.013002804982091377,0.06421436436616264,2020-07-14
75,0.008243969922153942,0.0493756693620448,2020-07-15
76,0.0044123819861637496,0.03479090599190391,2020-07-16
77,0.08003210749991183,0.15592252480347749,2020-07-17
78,0.0014920335082884034,0.02096308112942882,2020-07-20
79,0.0014990441053208295,0.019951057448820378,2020-07-21
80,0.008061038841497292,0.046484958182212203,2020-07-22
81,0.09349450871050655,0.15904478377467754,2020-07-23
82,0.007184660679452652,0.044159621060306097,2020-07-24
83,0.05049052524555533,0.12364135786976743,2020-07-27
84,0.010783702359092333,0.05519038600248368,2020-07-28
85,0.003905219522973915,0.03399995561135214,2020-07-29
86,0.07828874929815641,0.14948705565132908,2020-07-30
87,0.0032969425514797522,0.03037855979465707,2020-07-31
88,0.16755957279128958,0.235875520758208,2020-08-03
89,0.016753026981146665,0.06497093695652259,2020-08-04
90,0.023237489084905274,0.08021553739316833,2020-08-05
91,0.3372715080627353,0.34443515143829456,2020-08-06
92,0.10527645427605513,0.19055367475854798,2020-08-07
93,0.07072051136362356,0.15868553922995582,2020-08-10
94,0.023456596706943413,0.0888244215496635,2020-08-11
