model,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond,1,4,42,1.3463330268859863,1.3479948043823242,1.3883705139160156,0.002076152796125
state_cond,1,4,7,1.347886562347412,1.3527730703353882,1.3857680559158323,-0.000526305204058
state_cond,1,4,123,1.3364357948303225,1.3484487533569336,1.3849018812179563,-0.001392479901934
state_free,1,4,42,1.3508810997009275,1.3469749689102173,1.3871222734451294,0.0008279123252388
state_free,1,4,7,1.3527588844299316,1.347750186920166,1.3881490230560305,0.0018546619361397
state_free,1,4,123,1.3462353944778442,1.347259759902954,1.3878204822540283,0.0015261211341377
state_cond,5,4,42,1.3506381511688232,1.368125081062317,1.3952890634536743,0.0089947023337837
state_cond,5,4,7,1.3514009714126587,1.3663986921310425,1.3962829113006592,0.0099885501807686
state_cond,5,4,123,1.3536862134933472,1.3648579120635986,1.396991491317749,0.0106971301978584
state_free,5,4,42,1.354841709136963,1.3642538785934448,1.3951966762542725,0.0089023151343818
state_free,5,4,7,1.3587721586227417,1.3607337474822998,1.3941994905471802,0.0079051294272896
state_free,5,4,123,1.3577457666397097,1.362676024436951,1.3939111232757568,0.0076167621558662
state_cond,10,4,42,1.350517511367798,1.3784677982330322,1.4057689905166626,0.019474629396772
state_cond,10,4,7,1.3568130731582642,1.3783726692199707,1.4015793800354004,0.0152850189155098
state_cond,10,4,123,1.3540116548538208,1.3774808645248413,1.4025745391845703,0.0162801780646797
state_free,10,4,42,1.3529270887374878,1.3824645280838013,1.408553123474121,0.0222587623542305
state_free,10,4,7,1.35871422290802,1.376240372657776,1.404982089996338,0.0186877288764473
state_free,10,4,123,1.3599107265472412,1.3770179748535156,1.404464602470398,0.0181702413505073
state_cond,21,4,42,1.3330835103988647,1.3681577444076538,1.4184911251068115,0.0321967639869209
state_cond,21,4,7,1.3293567895889282,1.3659147024154663,1.4234583377838137,0.0371639766639229
state_cond,21,4,123,1.3270292282104492,1.3654375076293943,1.417099118232727,0.0308047571128364
state_free,21,4,42,1.3399618864059448,1.3709723949432373,1.4163007736206057,0.0300064125007148
state_free,21,4,7,1.335888147354126,1.362358808517456,1.414772868156433,0.0284785070365425
state_free,21,4,123,1.3405495882034302,1.3688313961029053,1.4123462438583374,0.0260518827384468
state_cond,63,4,42,1.306678295135498,1.409778714179993,1.4052366018295288,0.0189422407096382
state_cond,63,4,7,1.323970079421997,1.3990651369094849,1.3962904214859009,0.0099960603660103
state_cond,63,4,123,1.324882984161377,1.3919894695281982,1.3900526762008667,0.0037583150809761
state_free,63,4,42,1.3148837089538574,1.4175556898117063,1.4141465425491333,0.0278521814292427
state_free,63,4,7,1.3262746334075928,1.3920060396194458,1.3909626007080078,0.0046682395881172
state_free,63,4,123,1.3224610090255735,1.397708773612976,1.3970668315887451,0.0107724704688545
state_cond,1,10,42,2.1910133361816406,2.2153775691986084,2.3070223331451416,0.0044372401510957
state_cond,1,10,7,2.1859147548675537,2.217869281768799,2.3088419437408447,0.0062568507467988
state_cond,1,10,123,2.182884931564331,2.218208074569702,2.306249618530273,0.0036645255362275
state_free,1,10,42,2.1950106620788574,2.2154057025909424,2.302096366882324,-0.0004887261117216
state_free,1,10,7,2.1932122707366943,2.212211847305298,2.3019018173217773,-0.0006832756722685
state_free,1,10,123,2.189803123474121,2.211606979370117,2.297996759414673,-0.004588333579373
state_cond,5,10,42,2.211439609527588,2.234100580215454,2.311174392700196,0.0085892997061494
state_cond,5,10,7,2.198416233062744,2.236375570297241,2.31570053100586,0.0131154380118134
state_cond,5,10,123,2.1822762489318848,2.2399375438690186,2.323962450027466,0.0213773570334199
state_free,5,10,42,2.1968510150909424,2.2420883178710938,2.3223557472229004,0.0197706542288544
state_free,5,10,7,2.204751491546631,2.233844518661499,2.3199803829193115,0.0173952899252656
state_free,5,10,123,2.1896650791168213,2.23787784576416,2.326249837875366,0.0236647448813203
state_cond,10,10,42,2.211023330688477,2.25029730796814,2.307072401046753,0.004487308052707
state_cond,10,10,7,2.210651397705078,2.252872943878174,2.308006048202514,0.0054209552084687
state_cond,10,10,123,2.1995162963867188,2.2544362545013428,2.3172473907470703,0.0146622977530244
state_free,10,10,42,2.209531307220459,2.2533998489379883,2.307856798171997,0.0052717051779511
state_free,10,10,7,2.217161178588867,2.249680280685425,2.3081471920013428,0.0055620990072968
state_free,10,10,123,2.2068135738372803,2.257052659988404,2.312965154647827,0.0103800616537812
state_cond,21,10,42,2.16960883140564,2.239548444747925,2.325634479522705,0.0230493865286591
state_cond,21,10,7,2.1641204357147217,2.26019549369812,2.362948179244995,0.0603630862509492
state_cond,21,10,123,2.171430826187134,2.249876022338867,2.343303918838501,0.040718825844455
state_free,21,10,42,2.18262267112732,2.252550840377808,2.3326520919799805,0.0300669989859345
state_free,21,10,7,2.168951272964477,2.2684926986694336,2.381754875183105,0.0791697821890595
state_free,21,10,123,2.193439722061157,2.2459921836853027,2.321738243103028,0.0191531501089814
state_cond,63,10,42,2.1813201904296875,2.3129186630249023,2.392014265060425,0.0894291720663789
state_cond,63,10,7,2.17693305015564,2.319868803024292,2.389883279800415,0.0872981868063691
state_cond,63,10,123,2.1751630306243896,2.3120296001434326,2.3813862800598145,0.0788011870657685
state_free,63,10,42,2.170879364013672,2.3395535945892334,2.367310047149658,0.0647249541556123
state_free,63,10,7,2.1708993911743164,2.3269801139831543,2.3662140369415283,0.0636289439474824
state_free,63,10,123,2.174556493759156,2.3264195919036865,2.3839662075042725,0.0813811145102265
state_cond,1,20,42,2.8415775299072266,2.8964693546295166,3.018473148345948,0.0227408747919564
state_cond,1,20,7,2.8535287380218506,2.893428087234497,3.009439945220948,0.0137076716669564
state_cond,1,20,123,2.8465538024902344,2.89389967918396,3.005073308944702,0.0093410353907112
state_free,1,20,42,2.8614342212677,2.8905367851257324,2.9941742420196533,-0.0015580315343375
state_free,1,20,7,2.854611396789551,2.8886818885803223,3.003580570220948,0.0078482966669564
state_free,1,20,123,2.8498101234436035,2.8864879608154297,2.999821424484253,0.004089150930262
state_cond,5,20,42,2.855189561843872,2.914557456970215,3.019545555114746,0.0238132815607552
state_cond,5,20,7,2.8450138568878174,2.918757200241089,3.025596618652344,0.0298643450983528
state_cond,5,20,123,2.853712797164917,2.9145946502685547,3.0151171684265137,0.0193848948725228
state_free,5,20,42,2.847635507583618,2.9210293292999268,3.0316293239593506,0.0358970504053597
state_free,5,20,7,2.862825870513916,2.911590576171875,3.0191969871521,0.0234647135981087
state_free,5,20,123,2.8702566623687744,2.9143495559692383,3.017689943313598,0.0219576697596077
state_cond,10,20,42,2.8692471981048584,2.943681240081787,3.0102860927581787,0.0145538192041878
state_cond,10,20,7,2.855015754699707,2.9494361877441406,3.0217788219451904,0.0260465483911995
state_cond,10,20,123,2.8731400966644287,2.9330945014953613,3.005101203918457,0.0093689303644661
state_free,10,20,42,2.875778913497925,2.9422106742858887,3.002375841140747,0.0066435675867562
state_free,10,20,7,2.870623588562012,2.941014289855957,3.011291980743408,0.0155597071894173
state_free,10,20,123,2.87697172164917,2.9405176639556885,3.007763385772705,0.0120311122187142
state_cond,21,20,42,2.856108903884888,2.936320304870605,3.014277458190918,0.0185451846369271
state_cond,21,20,7,2.8521833419799805,2.940816164016724,3.035851001739502,0.0401187281855111
state_cond,21,20,123,2.849424362182617,2.936774492263794,3.035117149353028,0.0393848757990364
state_free,21,20,42,2.8394761085510254,2.9481332302093506,3.0412416458129883,0.0455093722589974
state_free,21,20,7,2.862541913986206,2.9366962909698486,3.014979600906372,0.0192473273523812
state_free,21,20,123,2.828460216522217,2.9526047706604004,3.062576532363892,0.0668442588099007
state_cond,63,20,42,2.8333117961883545,3.036948204040528,3.1005730628967285,0.1048407893427376
state_cond,63,20,7,2.8453011512756348,3.033941507339477,3.151611566543579,0.1558792929895882
state_cond,63,20,123,2.8482139110565186,3.026106595993042,3.1250221729278564,0.1292898993738656
state_free,63,20,42,2.8486545085906982,3.0393083095550537,3.1053683757781982,0.1096361022242073
state_free,63,20,7,2.845998287200928,3.024765968322754,3.097024917602539,0.1012926440485482
state_free,63,20,123,2.841568946838379,3.037827968597412,3.108773946762085,0.1130416732080941
state_cond,1,35,42,3.39519476890564,3.446556329727173,3.5797293186187744,0.0243812571293609
state_cond,1,35,7,3.3932011127471924,3.4480578899383545,3.5799365043640137,0.0245884428746001
state_cond,1,35,123,3.394653797149658,3.443600654602051,3.5695269107818604,0.0141788492924468
state_free,1,35,42,3.405860424041748,3.442991018295288,3.565958023071289,0.0106099615818755
state_free,1,35,7,3.4077024459838867,3.4390974044799805,3.565805435180664,0.0104573736912505
state_free,1,35,123,3.3924241065979004,3.442335367202759,3.569613456726074,0.0142653952366607
state_cond,5,35,42,3.380769729614258,3.467159509658813,3.5837531089782715,0.0284050474888579
state_cond,5,35,7,3.400158643722534,3.47772479057312,3.576561689376831,0.0212136278874175
state_cond,5,35,123,3.365114450454712,3.474684476852417,3.591463565826416,0.0361155043370025
state_free,5,35,42,3.3893306255340576,3.476371049880981,3.5852949619293213,0.0299469004399077
state_free,5,35,7,3.389235734939575,3.466388702392578,3.582371950149536,0.0270238886601226
state_free,5,35,123,3.4050850868225098,3.470700740814209,3.578660726547241,0.0233126650578276
state_cond,10,35,42,3.425393581390381,3.492640495300293,3.5661306381225586,0.010782576633145
state_cond,10,35,7,3.427440643310547,3.4994590282440186,3.5700056552886963,0.0146575937992827
state_cond,10,35,123,3.422165870666504,3.494086265563965,3.563528060913086,0.0081799994236724
state_free,10,35,42,3.4228627681732178,3.501596212387085,3.5681686401367188,0.0128205786473052
state_free,10,35,7,3.4341912269592285,3.494926929473877,3.5655293464660645,0.0101812849766509
state_free,10,35,123,3.4317257404327397,3.4971365928649902,3.567086696624756,0.0117386351353423
state_cond,21,35,42,3.406038522720337,3.500274896621704,3.568931579589844,0.0135835181004302
state_cond,21,35,7,3.4062650203704834,3.508683919906616,3.580803632736206,0.0254555712467925
state_cond,21,35,123,3.4017043113708496,3.500481367111206,3.5804452896118164,0.0250972281224028
state_free,21,35,42,3.362308979034424,3.508429288864136,3.6028473377227783,0.0474992762333648
state_free,21,35,7,3.4121339321136475,3.4977853298187256,3.5657401084899902,0.0103920470005767
state_free,21,35,123,3.407724142074585,3.5012006759643555,3.5686771869659424,0.0133291254765288
state_cond,63,35,42,3.39469575881958,3.599727869033813,3.6612610816955566,0.1059130202061431
state_cond,63,35,7,3.393905639648437,3.604215145111084,3.705519914627075,0.1501718531376616
state_cond,63,35,123,3.410696029663086,3.582620620727539,3.641209840774536,0.0858617792851226
state_free,63,35,42,3.394991636276245,3.5974369049072266,3.6586313247680655,0.1032832632786528
state_free,63,35,7,3.401216745376587,3.601692914962769,3.648541450500488,0.0931933890110747
state_free,63,35,123,3.40197229385376,3.5962839126586914,3.686894178390503,0.1315461169010894
state_cond,1,55,42,3.836618185043335,3.8995931148529053,4.0350446701049805,0.027711484872509295
state_cond,1,55,7,3.838254451751709,3.9011223316192627,4.031208038330078,0.023874853097606952
state_cond,1,55,123,3.835951566696167,3.896895170211792,4.023019313812256,0.015686128579784686
state_free,1,55,42,3.860041618347168,3.895432233810425,4.0139055252075195,0.006572339975048358
state_free,1,55,7,3.844446897506714,3.8929219245910645,4.0230817794799805,0.015748594247509295
state_free,1,55,123,3.8260269165039062,3.899679183959961,4.023303985595703,0.015970800363231952
state_cond,5,55,42,3.805142402648926,3.9261813163757324,4.045714378356934,0.03838119312446242
state_cond,5,55,7,3.835568904876709,3.931129217147827,4.031538486480713,0.024205301248241717
state_cond,5,55,123,3.832894802093506,3.9239909648895264,4.026455879211426,0.019122693978954608
state_free,5,55,42,3.8475592136383057,3.9209887981414795,4.026889324188232,0.01955613895576125
state_free,5,55,7,3.8300790786743164,3.9202582836151123,4.039389133453369,0.03205594822089797
state_free,5,55,123,3.8501052856445312,3.923490047454834,4.023728847503662,0.016395662271190936
state_cond,10,55,42,3.866666793823242,3.952554941177368,4.02165412902832,0.01432094379584914
state_cond,10,55,7,3.865741491317749,3.950327157974243,4.021988868713379,0.014655683480907733
state_cond,10,55,123,3.867802143096924,3.9507131576538086,4.018731117248535,0.011397932016063983
state_free,10,55,42,3.88116717338562,3.9509196281433105,4.014666557312012,0.0073333720795405455
state_free,10,55,7,3.878140926361084,3.948286533355713,4.018153190612793,0.010820005380321795
state_free,10,55,123,3.870232582092285,3.9576566219329834,4.013858318328857,0.006525133096386249
state_cond,21,55,42,3.833568572998047,3.969872236251831,4.042858600616455,0.035525415383983905
state_cond,21,55,7,3.8458385467529297,3.9718000888824463,4.037389278411865,0.03005609317939406
state_cond,21,55,123,3.838682174682617,3.9636735916137695,4.034974098205566,0.027640912973095233
state_free,21,55,42,3.8590316772460938,3.9574368000030518,4.016994953155518,0.009661767923046405
state_free,21,55,7,3.861954927444458,3.953667640686035,4.017483234405518,0.010150049173046405
state_free,21,55,123,3.8395602703094482,3.972264528274536,4.037457466125488,0.030124280893017108
state_cond,63,55,42,3.8561923503875732,4.035975456237793,4.07625150680542,0.06891832157294875
state_cond,63,55,7,3.838442325592041,4.055300235748291,4.159283638000488,0.1519504527680171
state_cond,63,55,123,3.858842611312866,4.02725887298584,4.072908878326416,0.06557569309394484
state_free,63,55,42,3.841883420944214,4.06787633895874,4.116362571716309,0.10902938648383742
state_free,63,55,7,3.8415520191192627,4.0462470054626465,4.090662479400635,0.08332929416816359
state_free,63,55,123,3.868405342102051,4.026163101196289,4.0492167472839355,0.041883562051464374
