timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.011153467930853367,1.3733655,0.050551973,2020-02-06
1,0.011258370243012905,1.3718661,0.052512698,2020-02-07
2,0.010929720476269722,1.361099,0.048350893,2020-02-10
3,0.011095010675489902,1.359477,0.04876326,2020-02-11
4,0.010841854847967625,1.3660963,0.04973469,2020-02-12
5,0.010079355910420418,1.3517246,0.044823624,2020-02-13
6,0.010552361607551575,1.3606557,0.047091983,2020-02-14
7,0.0108209028840065,1.3620156,0.05015198,2020-02-18
8,0.010939568281173706,1.3544656,0.04788404,2020-02-19
9,0.010490714572370052,1.3579615,0.047498435,2020-02-20
10,0.011034898459911346,1.3697529,0.049655393,2020-02-21
11,0.010345278307795525,1.3619825,0.04412157,2020-02-24
12,0.011633559130132198,1.3552577,0.043151423,2020-02-25
13,0.011615022085607052,1.3438228,0.04256139,2020-02-26
14,0.009557470679283142,1.34764,0.032638595,2020-02-27
15,0.010484704747796059,1.3358535,0.03705626,2020-02-28
16,0.010666383430361748,1.3635302,0.045136638,2020-03-02
17,0.009916509501636028,1.3602531,0.03817232,2020-03-03
18,0.010667774826288223,1.3678778,0.045831233,2020-03-04
19,0.008128137327730656,1.3324,0.02815114,2020-03-05
20,0.010167170315980911,1.327959,0.038180567,2020-03-06
21,0.005933912470936775,1.1722845,0.020253282,2020-03-09
22,0.00908744614571333,1.2444813,0.034354977,2020-03-10
23,0.0076264990493655205,1.305526,0.027553942,2020-03-11
24,0.008072051219642162,1.2974932,0.032383423,2020-03-12
25,0.011986062861979008,1.3448142,0.049845755,2020-03-13
26,0.005687801633030176,1.1895729,0.021004006,2020-03-16
27,0.007373948581516743,1.29279,0.031280372,2020-03-17
28,0.0056698499247431755,1.1928241,0.020407904,2020-03-18
29,0.005209540482610464,1.2766131,0.02347457,2020-03-19
30,0.007011742796748877,1.310068,0.031176273,2020-03-20
31,0.007898172363638878,1.2791615,0.030613624,2020-03-23
32,0.010885587893426418,1.3147408,0.040452287,2020-03-24
33,0.008750447072088718,1.3280401,0.032661058,2020-03-25
34,0.005236226134002209,1.2515776,0.021449365,2020-03-26
35,0.008383272215723991,1.3619587,0.035086125,2020-03-27
36,0.006663578096777201,1.2960385,0.02774183,2020-03-30
37,0.007094349712133408,1.3335515,0.030996807,2020-03-31
38,0.007434467785060406,1.2589055,0.025404133,2020-04-01
39,0.011001309379935265,1.3634813,0.043480925,2020-04-02
40,0.006788470782339573,1.2481818,0.02215515,2020-04-03
41,0.007072904147207737,1.2762889,0.027006138,2020-04-06
42,0.004868786782026291,1.1828935,0.019437775,2020-04-07
43,0.004240149632096291,1.2800674,0.022786595,2020-04-08
44,0.007567557971924543,1.3527555,0.030965805,2020-04-09
45,0.00798271968960762,1.2949632,0.030331917,2020-04-13
46,0.008152354508638382,1.3272979,0.04197648,2020-04-14
47,0.004171463195234537,1.0403979,0.01237197,2020-04-15
48,0.00885824766010046,1.3161411,0.037724666,2020-04-16
49,0.010623783804476261,1.3015026,0.036871184,2020-04-17
50,0.005863585509359837,1.3263315,0.025323823,2020-04-20
51,0.009151624515652657,1.3650393,0.03736195,2020-04-21
52,0.006402523722499609,1.2098415,0.026323326,2020-04-22
53,0.00547825638204813,1.2904941,0.025121104,2020-04-23
54,0.009924233891069889,1.3801411,0.04930763,2020-04-24
55,0.007972787134349346,1.3704674,0.036947593,2020-04-27
56,0.010130874812602997,1.3826585,0.038030706,2020-04-28
57,0.008387737907469273,1.3810272,0.03729201,2020-04-29
58,0.0076047987677156925,1.3604398,0.028355233,2020-04-30
59,0.00864239502698183,1.2821201,0.029395383,2020-05-01
60,0.00867302343249321,1.3166927,0.034288257,2020-05-04
61,0.008643455803394318,1.3026352,0.02876646,2020-05-05
62,0.008252602070569992,1.3288076,0.041706704,2020-05-06
63,0.009290581569075584,1.349971,0.038201682,2020-05-07
64,0.008020808920264244,1.367757,0.03689321,2020-05-08
65,0.008145946078002453,1.3408905,0.03930638,2020-05-11
66,0.009691646322607994,1.3235036,0.033300087,2020-05-12
67,0.008404048159718513,1.2851398,0.02724494,2020-05-13
68,0.008267190307378769,1.2592087,0.030551583,2020-05-14
69,0.008370430208742619,1.3392527,0.028636307,2020-05-15
70,0.006760480813682079,1.3545464,0.031830326,2020-05-18
71,0.009473799727857113,1.3669399,0.03703525,2020-05-19
72,0.010691038332879543,1.3622963,0.041175157,2020-05-20
73,0.008323990739881992,1.3593849,0.034736425,2020-05-21
74,0.010258851572871208,1.3729247,0.04333929,2020-05-22
75,0.010156901553273201,1.3761032,0.043078303,2020-05-26
76,0.008652419783174992,1.3770956,0.038468115,2020-05-27
77,0.009329978376626968,1.3808061,0.046109714,2020-05-28
78,0.010119904763996601,1.3655146,0.049263798,2020-05-29
79,0.008553658612072468,1.3266557,0.034856137,2020-06-01
80,0.008806371130049229,1.3468161,0.033983417,2020-06-02
81,0.010221241042017937,1.3804867,0.044252828,2020-06-03
82,0.009488041512668133,1.3813106,0.036003865,2020-06-04
83,0.010332678444683552,1.3826932,0.044089086,2020-06-05
84,0.009442131966352463,1.3820242,0.050000854,2020-06-08
85,0.009524647146463394,1.3747641,0.048988007,2020-06-09
86,0.009466838091611862,1.341079,0.036326163,2020-06-10
87,0.008665423840284348,1.2570451,0.029344793,2020-06-11
88,0.008404890075325966,1.2307756,0.028618235,2020-06-12
89,0.01002582348883152,1.3618574,0.04173284,2020-06-15
90,0.009557025507092476,1.3760672,0.03780768,2020-06-16
91,0.00704064080491662,1.3170123,0.030184828,2020-06-17
92,0.009457189589738846,1.3345244,0.03624917,2020-06-18
93,0.008966287598013878,1.3547864,0.03956344,2020-06-19
94,0.009586308151483536,1.357949,0.04146315,2020-06-22
95,0.010607616975903511,1.3624316,0.04544632,2020-06-23
96,0.008159942924976349,1.3301765,0.03724087,2020-06-24
97,0.009927094914019108,1.3767632,0.04525751,2020-06-25
98,0.00934059638530016,1.3521764,0.03162475,2020-06-26
99,0.010221862234175205,1.3516133,0.03641645,2020-06-29
100,0.009884045459330082,1.3457953,0.043779068,2020-06-30
101,0.008938896469771862,1.3660057,0.037446603,2020-07-01
102,0.010568985715508461,1.3700056,0.051122516,2020-07-02
103,0.010529402643442154,1.3630694,0.045255534,2020-07-06
104,0.008936094120144844,1.3561416,0.043600246,2020-07-07
105,0.011269978247582912,1.3773044,0.050455883,2020-07-08
106,0.00899900309741497,1.3280878,0.03370227,2020-07-09
107,0.009404093027114868,1.3327625,0.037973195,2020-07-10
108,0.008266385644674301,1.3146882,0.02747072,2020-07-13
109,0.010094302706420422,1.3772732,0.05028239,2020-07-14
110,0.010879687033593655,1.37768,0.04463698,2020-07-15
111,0.00856586080044508,1.3720152,0.03620387,2020-07-16
112,0.009964958764612675,1.3708982,0.042776197,2020-07-17
113,0.01048723328858614,1.3501358,0.04413011,2020-07-20
114,0.009556655772030354,1.3508828,0.039474875,2020-07-21
115,0.009596776217222214,1.3751385,0.041723706,2020-07-22
116,0.01045208889991045,1.3785094,0.046390004,2020-07-23
117,0.008682477287948132,1.3333148,0.037007473,2020-07-24
118,0.01070868968963623,1.3729157,0.049217753,2020-07-27
119,0.009227733127772808,1.3325368,0.035719424,2020-07-28
120,0.010699259117245674,1.3647124,0.046344645,2020-07-29
121,0.009800884872674942,1.3738625,0.045674056,2020-07-30
122,0.010460393503308296,1.3698723,0.044595256,2020-07-31
123,0.009484252892434597,1.3496913,0.03997139,2020-08-03
124,0.009491371922194958,1.3611399,0.04469893,2020-08-04
125,0.01082469243556261,1.3607872,0.044757783,2020-08-05
126,0.00973956473171711,1.3668069,0.04433818,2020-08-06
127,0.01006060279905796,1.3700671,0.041318268,2020-08-07
128,0.010108893737196922,1.3731089,0.04654055,2020-08-10
129,0.010845191776752472,1.3800169,0.04701119,2020-08-11
130,0.00985295232385397,1.3742751,0.04071212,2020-08-12
131,0.011066097766160965,1.3700511,0.052059725,2020-08-13
132,0.010534846223890781,1.3609456,0.04646422,2020-08-14
133,0.009965488687157631,1.3603942,0.040688954,2020-08-17
134,0.010873263701796532,1.3658563,0.047091916,2020-08-18
135,0.010546620935201645,1.3521153,0.043577828,2020-08-19
136,0.009715748950839043,1.3408823,0.04139506,2020-08-20
137,0.010947193019092083,1.3612034,0.04716669,2020-08-21
138,0.010892647318542004,1.361283,0.045769967,2020-08-24
139,0.009535238146781921,1.3719946,0.04006458,2020-08-25
140,0.011208745650947094,1.3760085,0.051921435,2020-08-26
141,0.01066534873098135,1.3645809,0.045922257,2020-08-27
142,0.010470142588019371,1.368058,0.042500474,2020-08-28
143,0.009820999577641487,1.3741242,0.046625465,2020-08-31
144,0.010465039871633053,1.3601484,0.045336217,2020-09-01
145,0.009842329658567905,1.3598096,0.040245213,2020-09-02
