timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,2.2896569,0.0,2020-04-22
1,0.0,2.2741914,0.0,2020-04-23
2,0.0,2.06471,0.0,2020-04-24
3,0.0,2.2143188,0.0,2020-04-27
4,0.0,2.2107944,0.0,2020-04-28
5,0.0,2.2096074,0.0,2020-04-29
6,0.0,2.2984562,0.0,2020-04-30
7,0.0,2.2682943,0.0,2020-05-01
8,0.0,2.1112924,0.0,2020-05-04
9,0.0,2.2855096,0.0,2020-05-05
10,0.0,2.2260592,0.0,2020-05-06
11,0.0,2.2397368,0.0,2020-05-07
12,0.0,2.2951336,0.0,2020-05-08
13,0.0,2.2863984,0.0,2020-05-11
14,0.0,2.2360704,0.0,2020-05-12
15,0.0,2.1505125,0.0,2020-05-13
16,0.0,2.258155,0.0,2020-05-14
17,0.0,2.2725735,0.0,2020-05-15
18,0.0,2.230911,0.0,2020-05-18
19,0.0,2.265052,0.0,2020-05-19
20,0.0,2.2931376,0.0,2020-05-20
21,0.0,2.2326865,0.0,2020-05-21
22,0.0,2.256946,0.0,2020-05-22
23,0.0,2.0534947,0.0,2020-05-26
24,0.0,2.2335842,0.0,2020-05-27
25,0.0,2.2258854,0.0,2020-05-28
26,0.0,2.2722988,0.0,2020-05-29
27,0.0,2.2585044,0.0,2020-06-01
28,0.0,2.2581081,0.0,2020-06-02
29,0.0,2.2200742,0.0,2020-06-03
30,0.0,2.230796,0.0,2020-06-04
31,0.0,2.2821271,0.0,2020-06-05
32,0.0,2.1969001,0.0,2020-06-08
33,0.0,2.2988114,0.0,2020-06-09
34,0.0,2.2781708,0.0,2020-06-10
35,0.0,2.0125654,0.0,2020-06-11
36,0.0,2.0056694,0.0,2020-06-12
37,0.0,2.1482866,0.0,2020-06-15
38,0.0,2.2742107,0.0,2020-06-16
39,0.0,2.267717,0.0,2020-06-17
40,0.0,2.2815495,0.0,2020-06-18
41,0.0,2.200887,0.0,2020-06-19
42,0.0,2.2559254,0.0,2020-06-22
43,0.0,2.2689023,0.0,2020-06-23
44,0.0,2.2998588,0.0,2020-06-24
45,0.0,2.2412674,0.0,2020-06-25
46,0.0,2.2752059,0.0,2020-06-26
47,0.0,2.2445982,0.0,2020-06-29
48,0.0,2.1989074,0.0,2020-06-30
49,0.0,2.2947237,0.0,2020-07-01
50,0.0,2.2243211,0.0,2020-07-02
51,0.0,2.299741,0.0,2020-07-06
52,0.0,2.2993808,0.0,2020-07-07
53,0.0,2.2528913,0.0,2020-07-08
54,0.0,2.2908926,0.0,2020-07-09
55,0.0,2.2971284,0.0,2020-07-10
56,0.0,2.2894278,0.0,2020-07-13
57,0.0,2.261493,0.0,2020-07-14
58,0.0,2.2385972,0.0,2020-07-15
59,0.0,2.293314,0.0,2020-07-16
60,0.0,2.2970757,0.0,2020-07-17
61,0.0,2.2931535,0.0,2020-07-20
62,0.0,2.2731245,0.0,2020-07-21
63,0.0,2.2916512,0.0,2020-07-22
64,0.0,2.2960443,0.0,2020-07-23
65,0.0,2.2904453,0.0,2020-07-24
66,0.0,2.296059,0.0,2020-07-27
67,0.0,2.2798545,0.0,2020-07-28
68,0.0,2.2898986,0.0,2020-07-29
69,0.0,2.2992883,0.0,2020-07-30
70,0.0,2.2879379,0.0,2020-07-31
71,0.0,2.2978523,0.0,2020-08-03
72,0.0,2.2986348,0.0,2020-08-04
73,0.0,2.284675,0.0,2020-08-05
74,0.0,2.2742753,0.0,2020-08-06
75,0.0,2.2905579,0.0,2020-08-07
76,0.0,2.2657106,0.0,2020-08-10
77,0.0,2.2984557,0.0,2020-08-11
78,0.0,2.2846038,0.0,2020-08-12
79,0.0,2.2962415,0.0,2020-08-13
80,0.0,2.2827473,0.0,2020-08-14
81,0.0,2.278344,0.0,2020-08-17
82,0.0,2.2928185,0.0,2020-08-18
83,0.0,2.2798014,0.0,2020-08-19
84,0.0,2.2930427,0.0,2020-08-20
85,0.0,2.2981405,0.0,2020-08-21
86,0.0,2.2918518,0.0,2020-08-24
87,0.0,2.293012,0.0,2020-08-25
88,0.0,2.2804344,0.0,2020-08-26
89,0.0,2.2980561,0.0,2020-08-27
90,0.0,2.2974944,0.0,2020-08-28
91,0.0,2.283648,0.0,2020-08-31
92,0.0,2.2957687,0.0,2020-09-01
93,0.0,2.297021,0.0,2020-09-02
94,0.0,2.2332797,0.0,2020-09-03
95,0.0,2.2887287,0.0,2020-09-04
96,0.0,2.289975,0.0,2020-09-08
97,0.0,2.2972946,0.0,2020-09-09
98,0.0,2.2491,0.0,2020-09-10
99,0.0,2.2914283,0.0,2020-09-11
100,0.0,2.2917886,0.0,2020-09-14
101,0.0,2.2847207,0.0,2020-09-15
102,0.0,2.2925415,0.0,2020-09-16
103,0.0,2.2979686,0.0,2020-09-17
104,0.0,2.2957308,0.0,2020-09-18
105,0.0,2.2940688,0.0,2020-09-21
106,0.0,2.2886639,0.0,2020-09-22
107,0.0,2.2141845,0.0,2020-09-23
108,0.0,2.2648416,0.0,2020-09-24
109,0.0,2.298352,0.0,2020-09-25
110,0.0,2.2993348,0.0,2020-09-28
111,0.0,2.2909553,0.0,2020-09-29
112,0.0,2.298166,0.0,2020-09-30
113,0.0,2.298518,0.0,2020-10-01
114,0.0,2.2720788,0.0,2020-10-02
115,0.0,2.2640624,0.0,2020-10-05
116,0.0,2.2957897,0.0,2020-10-06
117,0.0,2.290614,0.0,2020-10-07
118,0.0,2.2979941,0.0,2020-10-08
119,0.0,2.2983756,0.0,2020-10-09
120,0.0,2.2704012,0.0,2020-10-12
121,0.0,2.2992911,0.0,2020-10-13
122,0.0,2.2900398,0.0,2020-10-14
123,0.0,2.2438858,0.0,2020-10-15
124,0.0,2.2849662,0.0,2020-10-16
125,0.0,2.2942455,0.0,2020-10-19
126,0.0,2.2950332,0.0,2020-10-20
127,0.0,2.2865167,0.0,2020-10-21
128,0.0,2.248909,0.0,2020-10-22
129,0.0,2.282515,0.0,2020-10-23
130,0.0,2.2759426,0.0,2020-10-26
131,0.0,2.235306,0.0,2020-10-27
132,0.0,2.1597877,0.0,2020-10-28
133,0.0,2.1721444,0.0,2020-10-29
134,0.0,2.195739,0.0,2020-10-30
135,0.0,2.1962783,0.0,2020-11-02
136,0.0,2.2870162,0.0,2020-11-03
137,0.0,2.2996666,0.0,2020-11-04
138,0.0,2.2489495,0.0,2020-11-05
139,0.0,2.2881315,0.0,2020-11-06
140,0.0,2.0981126,0.0,2020-11-09
141,0.0,2.194586,0.0,2020-11-10
142,0.0,2.278735,0.0,2020-11-11
143,0.0,2.2947142,0.0,2020-11-12
144,0.0,2.2942336,0.0,2020-11-13
145,0.0,2.0933702,0.0,2020-11-16
146,0.0,2.2985897,0.0,2020-11-17
147,0.0,2.2933502,0.0,2020-11-18
148,0.0,2.2769375,0.0,2020-11-19
149,0.0,2.29492,0.0,2020-11-20
150,0.0,2.2966697,0.0,2020-11-23
151,0.0,2.2960818,0.0,2020-11-24
152,0.0,2.2977538,0.0,2020-11-25
153,0.0,2.2881527,0.0,2020-11-27
154,0.0,2.2928665,0.0,2020-11-30
155,0.0,2.2953668,0.0,2020-12-01
156,0.0,2.2748287,0.0,2020-12-02
