timestep,ck_kl,ck_tv,date
0,0.04987205632731432,0.1293918690233334,2020-04-13
1,0.044642893731695873,0.12451398723901556,2020-04-14
2,0.034205385023910115,0.10403734646446397,2020-04-15
3,0.014132615937029398,0.06281973756449237,2020-04-16
4,0.020817327809780174,0.08038206438615524,2020-04-17
5,0.041154793050144474,0.12064730557412993,2020-04-20
6,0.022570767996481975,0.08473371488020374,2020-04-21
7,0.10381299908999328,0.18076373629167325,2020-04-22
8,0.021197284420831273,0.08102123548402229,2020-04-23
9,0.020481640967736334,0.08191914859083715,2020-04-24
10,0.029894077438246066,0.09908404719279962,2020-04-27
11,0.09772182792833657,0.1772751956075664,2020-04-28
12,0.0095027409036232,0.05728355188465265,2020-04-29
13,0.007591631520193397,0.05184285578423189,2020-04-30
14,0.012543063085415253,0.06583558443991558,2020-05-01
15,0.19897770378769136,0.2535550026061345,2020-05-04
16,0.01782069214752197,0.08106337296146958,2020-05-05
17,0.025331292010376608,0.09163550351732604,2020-05-06
18,0.1407088335517335,0.2298289109402051,2020-05-07
19,0.004833650226283179,0.04069691983705349,2020-05-08
20,0.019855092475358344,0.08012842568411713,2020-05-11
21,0.10951337769288705,0.19424879435196551,2020-05-12
22,0.0086183990845235,0.05067728815949322,2020-05-13
23,0.0738116947549665,0.16181696585002633,2020-05-14
24,0.043946995899431116,0.12957164878997515,2020-05-15
25,0.10781892664352587,0.18659760713978837,2020-05-18
26,0.13247866700055794,0.20725399942052877,2020-05-19
27,0.007058525172516479,0.04779525181054569,2020-05-20
28,0.010683729665428507,0.06202005842196369,2020-05-21
29,0.07337672316180092,0.16811280539907364,2020-05-22
30,0.03977652002694671,0.12240573429846957,2020-05-26
31,0.027507938189583334,0.09503763953292615,2020-05-27
32,0.01927871421496954,0.08013297003931714,2020-05-28
33,0.14190282096211146,0.21565641363967664,2020-05-29
34,0.13758845631241845,0.22281987768073674,2020-06-01
35,0.06306400712749809,0.15202342767295482,2020-06-02
36,0.02730686169361183,0.10314045914757286,2020-06-03
37,0.0074173954927240935,0.04489393463618419,2020-06-04
38,0.05274590623445268,0.14320339591654396,2020-06-05
39,0.06159378656717952,0.15295335034178478,2020-06-08
40,0.008439987612901913,0.050219483535641034,2020-06-09
41,0.05613974157903427,0.13562507059041512,2020-06-10
42,0.0683495485845305,0.14536586634405066,2020-06-11
43,0.013706722602132949,0.062166331853895855,2020-06-12
44,0.005366823243270124,0.04268744777265282,2020-06-15
45,0.026998614398146048,0.1021965167111449,2020-06-16
46,0.008180618462257186,0.0499736090292475,2020-06-17
47,0.1773305091906895,0.23785845586984833,2020-06-18
48,0.012601173628055257,0.06760413649517037,2020-06-19
49,0.011806117195823047,0.06464678503899138,2020-06-22
50,0.012264558773271364,0.06250026219141396,2020-06-23
51,0.03492748001990574,0.10724892192746262,2020-06-24
52,0.05236182544656392,0.13019394796433814,2020-06-25
53,0.07734166733056588,0.15822688822511807,2020-06-26
54,0.0729252211225577,0.15284282984202832,2020-06-29
55,0.012567975555868308,0.06696119488136086,2020-06-30
56,0.04745839551288499,0.13471776263882634,2020-07-01
57,0.03354572267028297,0.10086226703475121,2020-07-02
58,0.0065313963416964525,0.044352956382497054,2020-07-06
59,0.08436288177238017,0.1578164862135693,2020-07-07
60,0.004228465634078806,0.03616410098541914,2020-07-08
61,0.05088674961749727,0.11702656057374913,2020-07-09
62,0.01588536996685142,0.07693399468332207,2020-07-10
63,0.2115281563723934,0.25744419049930306,2020-07-13
64,0.09547080224308543,0.1756537586684345,2020-07-14
65,0.003348726648416903,0.03032966209029677,2020-07-15
66,0.005004091170822336,0.039580352139586425,2020-07-16
67,0.07685717015205798,0.1564920607684694,2020-07-17
68,0.018820713484322963,0.06575975381069034,2020-07-20
69,0.003304118829595486,0.02935309401690962,2020-07-21
70,0.005427377212564405,0.03365915225785134,2020-07-22
71,0.10084271918170709,0.15731249301124137,2020-07-23
72,0.11090447795009024,0.1658422953671316,2020-07-24
73,0.023272579515500415,0.07339133388230847,2020-07-27
74,0.04863738597657841,0.12104666778957321,2020-07-28
75,0.11034479463089486,0.19829020736810551,2020-07-29
76,0.1455551678289924,0.17927649586943403,2020-07-30
77,0.01783100056019367,0.07550558679386081,2020-07-31
78,0.04609788673438544,0.11849879150268552,2020-08-03
79,0.04860777234633691,0.10151174365511025,2020-08-04
80,0.023867540258143274,0.07322716648555773,2020-08-05
81,0.06927335634649268,0.1541495987218201,2020-08-06
82,0.0073034902648025325,0.03881316792260349,2020-08-07
83,0.0264554572972715,0.0813590380587454,2020-08-10
84,0.048974272385188374,0.12675219067926322,2020-08-11
85,0.028416524412595245,0.09051863866575495,2020-08-12
86,0.01893341422680909,0.0645438441015046,2020-08-13
87,0.01738429598608523,0.07650343690194004,2020-08-14
88,0.018376196517662983,0.06207537087753946,2020-08-17
89,0.025688061425922188,0.09365817313663047,2020-08-18
90,0.015599965067318674,0.06903226548678287,2020-08-19
91,0.02723878614767809,0.09241095316625769,2020-08-20
92,0.22132286145968513,0.28935660553941633,2020-08-21
93,0.15054953941535132,0.23628260148867217,2020-08-24
94,0.2162188905916951,0.28510606530477955,2020-08-25
95,0.04007426163560048,0.1206476217632507,2020-08-26
96,0.19675951656054144,0.27106079383668646,2020-08-27
97,0.02816126390234042,0.09237533025561143,2020-08-28
98,0.006924849712495831,0.040969693628735766,2020-08-31
99,0.056019641618327384,0.14127188535735355,2020-09-01
100,0.01794235372565587,0.0738278664492423,2020-09-02
101,0.06169400381609261,0.13054551070669754,2020-09-03
102,0.024024698976042032,0.09372161729095385,2020-09-04
103,0.05625422871740657,0.1295087936696607,2020-09-08
104,0.003926987154785813,0.03402603574470757,2020-09-09
105,0.056023795906976384,0.14467549731202925,2020-09-10
106,0.022365427567832715,0.08971674172019772,2020-09-11
107,0.009055637521344027,0.04500772211317564,2020-09-14
108,0.03849019525885816,0.10683716517715502,2020-09-15
109,0.00499667698409822,0.03772419177686375,2020-09-16
110,0.004628686923774184,0.03755686354003944,2020-09-17
111,0.033527870604015124,0.09469735019050132,2020-09-18
112,0.01585727505134315,0.07573245612175422,2020-09-21
113,0.014789607509452551,0.07067067793104574,2020-09-22
114,0.004327080352833731,0.03779672079880216,2020-09-23
115,0.004974474701471188,0.04026826181349899,2020-09-24
116,0.02975609886930171,0.10126231359302308,2020-09-25
117,0.020782116304214015,0.07284470732008617,2020-09-28
118,0.003436417048980998,0.03130133548173097,2020-09-29
119,0.022158807609653667,0.07454312480141356,2020-09-30
120,0.0201872042918615,0.08035561716624595,2020-10-01
121,0.06226022343951398,0.15302770045441597,2020-10-02
122,0.0059896030642299794,0.04412547786003083,2020-10-05
123,0.012198842636978409,0.06550401911072493,2020-10-06
124,0.012345717953321058,0.05463525701285904,2020-10-07
125,0.003586170372481507,0.028442286385321897,2020-10-08
126,0.014561324729917072,0.07201440875898456,2020-10-09
127,0.0869023027701755,0.18028316602523192,2020-10-12
128,0.06821150521358427,0.1602832582664289,2020-10-13
129,0.011803202894639247,0.06547564826121188,2020-10-14
130,0.20881033873951918,0.2823755563165613,2020-10-15
131,0.1910657959664254,0.27062373558880426,2020-10-16
132,0.14038544171716189,0.23213931013108063,2020-10-19
133,0.13506379541488053,0.22737774677995984,2020-10-20
134,0.09481825237051203,0.19054606916890443,2020-10-21
135,0.004150449767045029,0.036818409326764515,2020-10-22
136,0.08713724564541535,0.18144701324849172,2020-10-23
137,0.13131878184153586,0.1948378633459854,2020-10-26
138,0.166996991819853,0.2375258253765226,2020-10-27
139,0.021267486522650043,0.08822363472044764,2020-10-28
140,0.09051750817953304,0.17813369583928557,2020-10-29
141,0.0053637927884537875,0.03567933233476376,2020-10-30
142,0.16325271061640848,0.2205931293827467,2020-11-02
143,0.06964854358710522,0.16043797975834803,2020-11-03
144,0.039160201973812106,0.10749274320000123,2020-11-04
145,0.008861884226399008,0.04758759647589915,2020-11-05
146,0.06619153491266237,0.13251397950944566,2020-11-06
147,0.24743222466009845,0.27330228479807916,2020-11-09
148,0.05588945353405679,0.13556423757374364,2020-11-10
149,0.12274341102223812,0.19734269113868425,2020-11-11
150,0.009108983555077747,0.043879670191433885,2020-11-12
151,0.052118039500559085,0.13301851967973527,2020-11-13
152,0.45154839673684155,0.35405411303125633,2020-11-16
153,0.007609222926431642,0.047964278116349394,2020-11-17
154,0.06090332112112715,0.14608738127071225,2020-11-18
155,0.010435755013598095,0.05314124422358411,2020-11-19
156,0.03332374227790066,0.08557895081433926,2020-11-20
157,0.037012224975038935,0.09475820969116291,2020-11-23
158,0.059572128314636444,0.11318380907582999,2020-11-24
159,0.07033645987039955,0.1632924822586151,2020-11-25
160,0.08734107880345864,0.1504868862296032,2020-11-27
161,0.004284790844630184,0.031760150780108055,2020-11-30
162,0.007805367610528512,0.04020024433822156,2020-12-01
163,0.004491681289054909,0.03101008322990639,2020-12-02
164,0.007253948222517186,0.04502049424022497,2020-12-03
165,0.011911808250823665,0.05049619042492191,2020-12-04
166,0.01094741098978541,0.04750492182768015,2020-12-07
167,0.04505114172387388,0.12245336099414515,2020-12-08
168,0.5659386833974114,0.3841679583256826,2020-12-09
169,0.17068558556744995,0.2431917094473558,2020-12-10
170,0.03128511112974886,0.10042066137673454,2020-12-11
171,0.004895579898912869,0.03214939099426953,2020-12-14
172,0.02293699342720889,0.06917420575091858,2020-12-15
173,0.05174861730850879,0.106481409031182,2020-12-16
174,0.03472938722948655,0.10426644108894394,2020-12-17
175,0.08959067552128479,0.16945604628808952,2020-12-18
176,0.030747387597086315,0.09905285382906415,2020-12-21
177,0.22466175364425697,0.28652183710762424,2020-12-22
178,0.06499550620882608,0.15191862956228155,2020-12-23
179,0.013143589654661909,0.06899164637280987,2020-12-24
180,0.04431643592397997,0.12093821356363285,2020-12-28
181,0.012315436631547329,0.0555850043812321,2020-12-29
182,0.009821809960919685,0.05204731643346329,2020-12-30
183,0.0030940379613574854,0.028419453087710485,2020-12-31
184,0.030754479680800903,0.08212642357710029,2021-01-04
185,0.11125901844597279,0.19747030013690486,2021-01-05
186,0.04463095567295526,0.09915133254429671,2021-01-06
187,0.2027388636613785,0.2097728983229443,2021-01-07
188,0.03667547364363928,0.10179783718712716,2021-01-08
189,0.008460579018484534,0.04873166415242705,2021-01-11
190,0.03077572862887921,0.09251048648418522,2021-01-12
191,0.0231855974848174,0.09194783540766384,2021-01-13
192,0.137259293626362,0.21902339865954168,2021-01-14
193,0.06427327488998041,0.15377331125922836,2021-01-15
194,0.09158363252368541,0.18260300877436583,2021-01-19
195,0.11412122276800614,0.19927240016111392,2021-01-20
196,0.11286717745212813,0.19095064370191198,2021-01-21
197,0.0981275937785995,0.18343863543362637,2021-01-22
198,0.003726184718571519,0.031066008345811726,2021-01-25
199,0.010837448582029124,0.05583281844423555,2021-01-26
200,0.1245936416238116,0.16961852315085488,2021-01-27
201,0.04107177726963243,0.10211849868303584,2021-01-28
202,0.1521987170504507,0.20034439040017835,2021-01-29
203,0.1670666504588709,0.19805260307520953,2021-02-01
204,0.01348618285950719,0.06363545790954607,2021-02-02
205,0.034644792631954406,0.0906508802089116,2021-02-03
206,0.013150739947115238,0.05477488371865363,2021-02-04
207,0.19153353019101968,0.22445403898370542,2021-02-05
208,0.0024776247737372517,0.024858893312228094,2021-02-08
209,0.08442787953324146,0.17214719620460314,2021-02-09
210,0.03440752142004737,0.10476280273239193,2021-02-10
211,0.054439348784710545,0.1345996961714511,2021-02-11
212,0.2033061269750076,0.26552198929717213,2021-02-12
213,0.07528614939002672,0.15936599753975597,2021-02-16
214,0.0040786852824693486,0.029833603782862195,2021-02-17
215,0.04859665580278267,0.13009862361705107,2021-02-18
216,0.06167493145232639,0.14649315517837916,2021-02-19
217,0.03055381470194004,0.09859230470324902,2021-02-22
218,0.08407087565930518,0.1771055328160287,2021-02-23
219,0.021752219587781316,0.06799773407342807,2021-02-24
220,0.022814508472462625,0.08716273265496752,2021-02-25
221,0.2794448468578038,0.2667965620768859,2021-02-26
222,0.018859190263146995,0.07940854971545455,2021-03-01
223,0.07614078412478605,0.12318664986913305,2021-03-02
224,0.1107941647366872,0.1579989504051152,2021-03-03
225,0.007604361563829161,0.039237204370559414,2021-03-04
226,0.00707065488476386,0.04400988384607983,2021-03-05
227,0.018462116770931562,0.06378544408515477,2021-03-08
228,0.007472535367565118,0.039184399469252396,2021-03-09
229,0.0052363683622913505,0.03323609615006474,2021-03-10
230,0.006348053300774141,0.04006209662400673,2021-03-11
231,0.03933275285192803,0.11312257583922258,2021-03-12
232,0.006431744670445535,0.03920481519345452,2021-03-15
233,0.0041459459592738165,0.031466396408952005,2021-03-16
234,0.005542525290678257,0.037938825740921535,2021-03-17
