timestep,ck_kl,ck_tv,date
0,0.034297302379613426,0.10741836044536215,2020-04-13
1,0.020823106657344242,0.0846553414997159,2020-04-14
2,0.07249748532407685,0.15722767344784194,2020-04-15
3,0.01173495376381727,0.06087941108911948,2020-04-16
4,0.026830088701550004,0.09327787760282746,2020-04-17
5,0.04481371881136918,0.12425343191393975,2020-04-20
6,0.043749360248837466,0.12631831592675855,2020-04-21
7,0.09085300205390903,0.1635993626670249,2020-04-22
8,0.013711754907295986,0.0631301649435734,2020-04-23
9,0.020425213090791993,0.0845044281301643,2020-04-24
10,0.04143310550702502,0.11876044784085787,2020-04-27
11,0.021987732650390775,0.086364488261548,2020-04-28
12,0.014531466038200462,0.06807951985945257,2020-04-29
13,0.02313645520066901,0.08832701403012157,2020-04-30
14,0.03164092262129659,0.10549250507909558,2020-05-01
15,0.10267095726007329,0.18576083050284414,2020-05-04
16,0.00975649511118786,0.058214665390321205,2020-05-05
17,0.01262258204467395,0.0664952442236226,2020-05-06
18,0.050032397018743555,0.13628622959117198,2020-05-07
19,0.006319983623129365,0.0460574230104767,2020-05-08
20,0.0053508677473174905,0.041817952201455094,2020-05-11
21,0.05458715984639654,0.13616180612567333,2020-05-12
22,0.02035824630822541,0.08135317504992687,2020-05-13
23,0.02377351779461508,0.08973995838003271,2020-05-14
24,0.012655690023180417,0.06827182363607599,2020-05-15
25,0.02822627120608306,0.09718795480005774,2020-05-18
26,0.1748113212047334,0.2373531840698908,2020-05-19
27,0.006466662821329592,0.044290293492410135,2020-05-20
28,0.0048107331684781604,0.04259026741239111,2020-05-21
29,0.019898540253699516,0.08799205968594992,2020-05-22
30,0.006919750992324059,0.043785617863988754,2020-05-26
31,0.011410446001937647,0.06209469749496888,2020-05-27
32,0.008412862580808691,0.052256172253066085,2020-05-28
33,0.2930491626750745,0.31206026384005214,2020-05-29
34,0.16199946695016804,0.23605803667561367,2020-06-01
35,0.03606829634031934,0.11418704932265102,2020-06-02
36,0.004571319399451163,0.03925195181180192,2020-06-03
37,0.017890203674617043,0.08333807896260391,2020-06-04
38,0.05917972072162932,0.1489630379543286,2020-06-05
39,0.011649043054075815,0.06493349594492959,2020-06-08
40,0.006677718377420471,0.04616771517645174,2020-06-09
41,0.1050738807304743,0.18629891858677167,2020-06-10
42,0.03845233753661262,0.11144138562734669,2020-06-11
43,0.02200281715553467,0.086456749379325,2020-06-12
44,0.011893160885850448,0.06070866429002218,2020-06-15
45,0.022542902747049183,0.09362070502792956,2020-06-16
46,0.006864081581013685,0.04402414837452342,2020-06-17
47,0.06936825915772696,0.1537558203326438,2020-06-18
48,0.005893389269838424,0.04675408629130063,2020-06-19
49,0.014118433891874721,0.07462311752966296,2020-06-22
50,0.04387202583042269,0.12884947927112514,2020-06-23
51,0.06947799845476692,0.15363085479917046,2020-06-24
52,0.042971662662557066,0.12095380362348754,2020-06-25
53,0.038231001747691964,0.11412428968885188,2020-06-26
54,0.16930205550476743,0.23001079445331443,2020-06-29
55,0.007391696458446217,0.05198276052519818,2020-06-30
56,0.03062726103944661,0.10890015381539472,2020-07-01
57,0.04162531429434992,0.11457990150331354,2020-07-02
58,0.037390237438576966,0.1110060181544756,2020-07-06
59,0.04843773198310322,0.11991471145132843,2020-07-07
60,0.0025286947595945276,0.027960808067830932,2020-07-08
61,0.0426850408700387,0.11420145145663955,2020-07-09
62,0.004644225732361199,0.03963989474003497,2020-07-10
63,0.16731558322680345,0.23210418820173617,2020-07-13
64,0.03486750078275409,0.10497809665718981,2020-07-14
65,0.028084297235897206,0.08516922724630738,2020-07-15
66,0.0011251376725893417,0.0197302973077856,2020-07-16
67,0.058787734606628526,0.13971499314927036,2020-07-17
68,0.020906306268401894,0.08819169294995531,2020-07-20
69,0.010066899906420896,0.06071850413867361,2020-07-21
70,0.01618999782062604,0.06538583070439154,2020-07-22
71,0.15661727286459087,0.20687945518471862,2020-07-23
72,0.064605598988282,0.1319258988423668,2020-07-24
73,0.010834127959144436,0.051680529485905055,2020-07-27
74,0.01476735681163022,0.06538918706178867,2020-07-28
75,0.047083012232054675,0.13082273852856624,2020-07-29
76,0.08175350053969092,0.1382061047533556,2020-07-30
77,0.02133897584656053,0.089989070701038,2020-07-31
78,0.038897471020757725,0.11173228908024346,2020-08-03
79,0.0017812202436760256,0.022700901458049764,2020-08-04
80,0.0017613537076117836,0.02029353960090302,2020-08-05
81,0.1405300920699755,0.22403627523615766,2020-08-06
82,0.001696299863681606,0.020477065106637094,2020-08-07
83,0.011547035274935924,0.05447725148056777,2020-08-10
84,0.04256744213485592,0.12228733609155179,2020-08-11
85,0.005218278847724533,0.042714244257001474,2020-08-12
86,0.004235799613432219,0.030356209204291253,2020-08-13
87,0.0031158833677436444,0.035024933051156275,2020-08-14
88,0.031153169996953764,0.08379646931784628,2020-08-17
89,0.027646090027257805,0.10072810393608292,2020-08-18
90,0.0013174516510628086,0.021994567214462798,2020-08-19
91,0.024485253819907557,0.09294989114247611,2020-08-20
92,0.22885073276871848,0.2950324800011267,2020-08-21
93,0.0858509187115774,0.1803107089500734,2020-08-24
94,0.3008104670203394,0.3384622262388023,2020-08-25
95,0.027867318611800307,0.10182094247048007,2020-08-26
