model,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
state_cond,1,4,42,1.3554134368896484,1.316877365112305,1.3769705295562744,-0.0093238315636161
state_cond,1,4,7,1.3539626598358154,1.316987156867981,1.3784749507904053,-0.0078194103294852
state_cond,1,4,123,1.357656478881836,1.317485213279724,1.3792929649353027,-0.0070013961845878
state_free,1,4,42,1.3569504022598269,1.318663477897644,1.3779892921447754,-0.0083050689751151
state_free,1,4,7,1.3656954765319824,1.321685552597046,1.3812477588653564,-0.0050466022545341
state_free,1,4,123,1.3560940027236938,1.3150873184204102,1.3810478448867798,-0.0052465162331107
state_cond,5,4,42,1.3486732244491575,1.3400214910507202,1.3805948495864868,-0.0056995115334037
state_cond,5,4,7,1.3464268445968628,1.3377639055252075,1.382813811302185,-0.0034805498177055
state_cond,5,4,123,1.362013339996338,1.339536190032959,1.3808521032333374,-0.0054422578865531
state_free,5,4,42,1.370322346687317,1.343719482421875,1.3834707736968994,-0.0028235874229911
state_free,5,4,7,1.3608369827270508,1.337996244430542,1.3809828758239746,-0.0053114852959159
state_free,5,4,123,1.35917329788208,1.33753502368927,1.379109025001526,-0.0071853361183646
state_cond,10,4,42,1.3526149988174438,1.3523573875427246,1.3896582126617432,0.0033638515418525
state_cond,10,4,7,1.345165491104126,1.3478596210479736,1.3869365453720093,0.0006421842521187
state_cond,10,4,123,1.3582239151000977,1.3521757125854492,1.390061616897583,0.0037672557776924
state_free,10,4,42,1.3677020072937012,1.35429584980011,1.389274835586548,0.0029804744666572
state_free,10,4,7,1.3545730113983154,1.352272868156433,1.3883607387542725,0.0020663776343818
state_free,10,4,123,1.3687409162521362,1.3550798892974854,1.3887557983398438,0.0024614372199531
state_cond,21,4,42,1.3445143699645996,1.3420917987823486,1.3875253200531006,0.00123095893321
state_cond,21,4,7,1.3355056047439575,1.342626690864563,1.3791333436965942,-0.0071610174232963
state_cond,21,4,123,1.324299931526184,1.337959051132202,1.3768898248672483,-0.009404536252642
state_free,21,4,42,1.3275927305221558,1.3380699157714844,1.3814754486083984,-0.0048189125114921
state_free,21,4,7,1.3370462656021118,1.341774582862854,1.385858416557312,-0.0004359445625785
state_free,21,4,123,1.3321735858917236,1.3364237546920776,1.3832299709320068,-0.0030643901878837
state_cond,63,4,42,1.2881625890731812,1.316853404045105,1.3768409490585327,-0.0094534120613578
state_cond,63,4,7,1.295788049697876,1.3073923587799072,1.3667610883712769,-0.0195332727486137
state_cond,63,4,123,1.2933050394058228,1.314762830734253,1.3570225238800049,-0.0292718372398856
state_free,63,4,42,1.2980551719665527,1.324072003364563,1.3640950918197632,-0.0221992693001273
state_free,63,4,7,1.2842568159103394,1.316985011100769,1.3528817892074585,-0.033412571912432
state_free,63,4,123,1.299008011817932,1.3105229139328003,1.3785969018936155,-0.0076974592262748
state_cond,1,10,42,2.208523988723755,2.158816337585449,2.26005220413208,-0.0425328888619658
state_cond,1,10,7,2.174487590789795,2.153248310089112,2.2554705142974854,-0.0471145786965605
state_cond,1,10,123,2.17526650428772,2.151045799255371,2.2504327297210693,-0.0521523632729765
state_free,1,10,42,2.179945230484009,2.1535181999206543,2.252470016479492,-0.0501150765145537
state_free,1,10,7,2.1760263442993164,2.1538243293762207,2.257274866104126,-0.0453102268899199
state_free,1,10,123,2.1733946800231934,2.1530864238739014,2.256311416625977,-0.0462736763680693
state_cond,5,10,42,2.213560104370117,2.201011657714844,2.282850503921509,-0.0197345890725371
state_cond,5,10,7,2.2239739894866943,2.208129405975342,2.282994031906128,-0.0195910610879179
state_cond,5,10,123,2.179538488388061,2.195290327072144,2.2797775268554688,-0.0228075661385771
state_free,5,10,42,2.18862533569336,2.196030616760254,2.275951147079468,-0.0266339459145781
state_free,5,10,7,2.2163052558898926,2.201822519302368,2.288713216781616,-0.0138718762124296
state_free,5,10,123,2.1929118633270264,2.198849678039551,2.2800185680389404,-0.0225665249551054
state_cond,10,10,42,2.226774215698242,2.2380855083465576,2.2967183589935303,-0.0058667340005156
state_cond,10,10,7,2.2139017581939697,2.229609489440918,2.278996229171753,-0.0235888638222929
state_cond,10,10,123,2.240004539489746,2.2407803535461426,2.2902183532714844,-0.0123667397225615
state_free,10,10,42,2.2398715019226074,2.240309000015259,2.298335552215576,-0.0042495407784697
state_free,10,10,7,2.20442271232605,2.22933030128479,2.283318281173706,-0.0192668118203398
state_free,10,10,123,2.202779054641724,2.239506244659424,2.28674840927124,-0.0158366837228056
state_cond,21,10,42,2.213207960128784,2.2322561740875244,2.298059463500977,-0.0045256294930693
state_cond,21,10,7,2.216993808746338,2.231921672821045,2.2991018295288086,-0.0034832634652373
state_cond,21,10,123,2.2180333137512207,2.236755847930908,2.298095703125,-0.0044893898690459
state_free,21,10,42,2.199486255645752,2.224336862564087,2.293274164199829,-0.0093109287942168
state_free,21,10,7,2.218345165252685,2.2259912490844727,2.295572519302368,-0.0070125736916777
state_free,21,10,123,2.2043917179107666,2.236976861953736,2.292643547058105,-0.0099415459359404
state_cond,63,10,42,2.2678380012512207,2.296781063079834,2.309250593185425,0.0066655001913789
state_cond,63,10,7,2.284223794937134,2.302434206008911,2.306845664978028,0.0042605719839814
state_cond,63,10,123,2.2897250652313232,2.300481081008911,2.304563045501709,0.001977952507663
state_free,63,10,42,2.271236658096313,2.312464475631714,2.3118605613708496,0.0092754683768037
state_free,63,10,7,2.2802810668945312,2.30249547958374,2.304741859436035,0.0021567664419892
state_free,63,10,123,2.2713217735290527,2.3101367950439453,2.3137025833129883,0.0111174903189423
state_cond,1,20,42,2.8329851627349854,2.8240761756896973,2.9462690353393555,-0.0494632382146353
state_cond,1,20,7,2.857438087463379,2.831614255905152,2.9461679458618164,-0.0495643276921744
state_cond,1,20,123,2.820723533630371,2.8232614994049072,2.9401402473449707,-0.0555920262090201
state_free,1,20,42,2.838658094406128,2.8220250606536865,2.9382596015930176,-0.0574726719609732
state_free,1,20,7,2.840074062347412,2.8211147785186768,2.9390876293182373,-0.0566446442357535
state_free,1,20,123,2.8360602855682373,2.821051597595215,2.9377005100250244,-0.0580317635289664
state_cond,5,20,42,2.852592706680298,2.8770251274108887,2.9564950466156006,-0.0392372269383902
state_cond,5,20,7,2.8569648265838623,2.87900185585022,2.96484923362732,-0.0308830399266715
state_cond,5,20,123,2.8392932415008545,2.8762333393096924,2.973731517791748,-0.0220007557622428
state_free,5,20,42,2.8716602325439453,2.883361577987671,2.9731240272521973,-0.0226082463017935
state_free,5,20,7,2.847635269165039,2.8732755184173584,2.972814083099365,-0.0229181904546256
state_free,5,20,123,2.8539395332336426,2.878974676132202,2.9641778469085693,-0.0315544266454215
