timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.702742,0.0,2020-04-22
1,0.0,3.825194,0.0,2020-04-23
2,0.0,3.6727428,0.0,2020-04-24
3,0.0,3.861236,0.0,2020-04-27
4,0.0,3.81966,0.0,2020-04-28
5,0.0,3.8348267,0.0,2020-04-29
6,0.0,3.8783891,0.0,2020-04-30
7,0.0,3.6043398,0.0,2020-05-01
8,0.0,3.6862926,0.0,2020-05-04
9,0.0,3.9301,0.0,2020-05-05
10,0.0,3.7784557,0.0,2020-05-06
11,0.0,3.9202216,0.0,2020-05-07
12,0.0,3.95174,0.0,2020-05-08
13,0.0,3.9092462,0.0,2020-05-11
14,0.0,3.7894013,0.0,2020-05-12
15,0.0,3.7233841,0.0,2020-05-13
16,0.0,3.69428,0.0,2020-05-14
17,0.0,3.9880893,0.0,2020-05-15
18,0.0,3.8946805,0.0,2020-05-18
19,0.0,3.8962915,0.0,2020-05-19
20,0.0,3.7658029,0.0,2020-05-20
21,0.0,3.9300964,0.0,2020-05-21
22,0.0,3.9186995,0.0,2020-05-22
23,0.0,3.6548069,0.0,2020-05-26
24,0.0,3.863881,0.0,2020-05-27
25,0.0,3.7025998,0.0,2020-05-28
26,0.0,3.8711333,0.0,2020-05-29
27,0.0,3.948658,0.0,2020-06-01
28,0.0,4.003535,0.0,2020-06-02
29,0.0,3.8521185,0.0,2020-06-03
30,0.0,3.9723575,0.0,2020-06-04
31,0.0,3.9136147,0.0,2020-06-05
32,0.0,3.8419244,0.0,2020-06-08
33,0.0,3.950702,0.0,2020-06-09
34,0.0,3.863658,0.0,2020-06-10
35,0.0,3.3140736,0.0,2020-06-11
36,0.0,3.532382,0.0,2020-06-12
37,0.0,3.7527342,0.0,2020-06-15
38,0.0,3.9305298,0.0,2020-06-16
39,0.0,3.9242117,0.0,2020-06-17
40,0.0,3.7900593,0.0,2020-06-18
41,0.0,3.8748522,0.0,2020-06-19
42,0.0,3.9689312,0.0,2020-06-22
43,0.0,3.9951427,0.0,2020-06-23
44,0.0,3.8619418,0.0,2020-06-24
45,0.0,3.8567398,0.0,2020-06-25
46,0.0,3.8623338,0.0,2020-06-26
47,0.0,3.8968797,0.0,2020-06-29
48,0.0,3.8469582,0.0,2020-06-30
49,0.0,3.9648504,0.0,2020-07-01
50,0.0,3.9393787,0.0,2020-07-02
51,0.0,3.9350126,0.0,2020-07-06
52,0.0,3.9759114,0.0,2020-07-07
53,0.0,3.9856327,0.0,2020-07-08
54,0.0,3.9721513,0.0,2020-07-09
55,0.0,3.9373488,0.0,2020-07-10
56,0.0,3.998698,0.0,2020-07-13
57,0.0,3.926,0.0,2020-07-14
58,0.0,3.9070437,0.0,2020-07-15
59,0.0,4.0022063,0.0,2020-07-16
60,0.0,3.9855516,0.0,2020-07-17
61,0.0,3.999603,0.0,2020-07-20
62,0.0,3.983961,0.0,2020-07-21
63,0.0,4.0034328,0.0,2020-07-22
64,0.0,3.9322844,0.0,2020-07-23
65,0.0,4.0035796,0.0,2020-07-24
66,0.0,4.002209,0.0,2020-07-27
67,0.0,3.9805436,0.0,2020-07-28
68,0.0,4.003144,0.0,2020-07-29
69,0.0,3.9926314,0.0,2020-07-30
70,0.0,4.002502,0.0,2020-07-31
71,0.0,4.001828,0.0,2020-08-03
72,0.0,3.992535,0.0,2020-08-04
73,0.0,3.9661236,0.0,2020-08-05
74,0.0,3.9763422,0.0,2020-08-06
75,0.0,3.9790545,0.0,2020-08-07
76,0.0,4.0023046,0.0,2020-08-10
77,0.0,3.9969122,0.0,2020-08-11
78,0.0,3.924177,0.0,2020-08-12
79,0.0,3.999051,0.0,2020-08-13
80,0.0,3.9997132,0.0,2020-08-14
81,0.0,3.9532454,0.0,2020-08-17
82,0.0,3.97998,0.0,2020-08-18
83,0.0,3.984857,0.0,2020-08-19
84,0.0,3.9736664,0.0,2020-08-20
85,0.0,3.9926028,0.0,2020-08-21
86,0.0,4.003015,0.0,2020-08-24
87,0.0,3.9929748,0.0,2020-08-25
88,0.0,3.9771762,0.0,2020-08-26
89,0.0,4.003315,0.0,2020-08-27
90,0.0,3.9273713,0.0,2020-08-28
91,0.0,4.0006866,0.0,2020-08-31
92,0.0,3.9987504,0.0,2020-09-01
93,0.0,4.0036044,0.0,2020-09-02
94,0.0,3.9004054,0.0,2020-09-03
95,0.0,3.9580386,0.0,2020-09-04
96,0.0,3.8660715,0.0,2020-09-08
97,0.0,3.99784,0.0,2020-09-09
98,0.0,3.8987887,0.0,2020-09-10
99,0.0,4.00363,0.0,2020-09-11
100,0.0,3.9826114,0.0,2020-09-14
101,0.0,3.898212,0.0,2020-09-15
102,0.0,3.9921684,0.0,2020-09-16
103,0.0,4.0028877,0.0,2020-09-17
104,0.0,3.9861767,0.0,2020-09-18
105,0.0,3.9939375,0.0,2020-09-21
106,0.0,3.9555664,0.0,2020-09-22
107,0.0,3.886763,0.0,2020-09-23
108,0.0,3.9742754,0.0,2020-09-24
109,0.0,4.003671,0.0,2020-09-25
110,0.0,4.003803,0.0,2020-09-28
111,0.0,4.0020785,0.0,2020-09-29
112,0.0,3.9818234,0.0,2020-09-30
113,0.0,3.9760027,0.0,2020-10-01
114,0.0,3.9340174,0.0,2020-10-02
115,0.0,3.9822085,0.0,2020-10-05
116,0.0,3.9349165,0.0,2020-10-06
117,0.0,3.9858148,0.0,2020-10-07
118,0.0,3.998957,0.0,2020-10-08
119,0.0,4.0018373,0.0,2020-10-09
