timestep,ck_kl,ck_tv,date
0,0.016777030038946646,0.06093093151578803,2020-03-27
1,0.01660795692251354,0.07129471119590769,2020-03-30
2,0.067372284021993,0.14389465779464233,2020-03-31
3,0.04753513579092533,0.11584016734010291,2020-04-01
4,0.16632878651817964,0.2451330685307249,2020-04-02
5,0.041785506652592716,0.11534472873629321,2020-04-03
6,0.10656069646074248,0.15489880225698469,2020-04-06
7,0.032974696318164055,0.10116681733003376,2020-04-07
8,0.09487270570087554,0.14833675423033596,2020-04-08
9,0.04813948857764682,0.10618077900394825,2020-04-09
10,0.045283401139969134,0.11147885172041554,2020-04-13
11,0.04261900162174166,0.12338265162453026,2020-04-14
12,0.05217856617914667,0.11829811418466112,2020-04-15
13,0.045426489015821615,0.12710590801846455,2020-04-16
14,0.09120859156110014,0.1585905582104874,2020-04-17
15,0.1527302818334852,0.2302529180237638,2020-04-20
16,0.026964349829313165,0.09612184903794792,2020-04-21
17,0.06996263432345277,0.16010494616258977,2020-04-22
18,0.018749484480307683,0.08160193188199494,2020-04-23
19,0.1661141322456992,0.20823315290364672,2020-04-24
20,0.33786018397974865,0.3376075155621219,2020-04-27
21,0.035303777183709334,0.10773618890796244,2020-04-28
22,0.25878390036104487,0.2992598812179266,2020-04-29
23,0.015189265513809513,0.06910569175544008,2020-04-30
24,0.1533023949897911,0.19877414032911703,2020-05-01
25,0.02659214972565629,0.08203105293012027,2020-05-04
26,0.17255103847339096,0.2464202286404436,2020-05-05
27,0.01102366465756342,0.05834744126459242,2020-05-06
28,0.02658385627957362,0.09669768324190751,2020-05-07
29,0.06884222631709079,0.15902308637992063,2020-05-08
30,0.07601468255201112,0.15653671328164084,2020-05-11
31,0.04059375285364021,0.11789640446936864,2020-05-12
32,0.713070886771962,0.47086181355428547,2020-05-13
33,0.28553523266744557,0.31120092005820554,2020-05-14
34,0.03327342112435776,0.10148473145658186,2020-05-15
35,0.041566957480727335,0.09793648465963459,2020-05-18
36,0.020497031550757255,0.07643678289803371,2020-05-19
37,0.016201535533930632,0.07207958343430952,2020-05-20
38,0.020706893497841612,0.08152561428008108,2020-05-21
39,0.047832707439566226,0.09600291649340364,2020-05-22
40,0.35364078069354177,0.2951156418940298,2020-05-26
41,0.03270631470817459,0.11221348532920793,2020-05-27
42,0.02103037121826453,0.0824049988709659,2020-05-28
43,0.01778214854182397,0.07150000885460822,2020-05-29
44,0.09046038066127482,0.17816448671793028,2020-06-01
45,0.048634273466988856,0.12980985784158763,2020-06-02
46,0.10453972300874803,0.16161296446413645,2020-06-03
47,0.0474137287269954,0.10807341992459717,2020-06-04
48,0.0169973509249236,0.07477937554872159,2020-06-05
49,0.027080410795957317,0.08270097247973435,2020-06-08
50,0.11707876885657562,0.17688462407512437,2020-06-09
51,0.07584176900244266,0.13104360190867684,2020-06-10
52,0.027492339041893157,0.08300795796434757,2020-06-11
53,0.03892042285521677,0.10132469657018209,2020-06-12
54,0.023726597614663537,0.08098661303480625,2020-06-15
55,0.019971652050536165,0.08048016706437855,2020-06-16
56,0.058464649018559675,0.1160439037619366,2020-06-17
57,0.06683293599862104,0.13470146147925813,2020-06-18
58,0.49513700789961773,0.3502921952027169,2020-06-19
59,0.03476511764672269,0.10449938323357015,2020-06-22
60,0.035276325469579164,0.09385029755926551,2020-06-23
61,0.0528268220332666,0.11418196954310408,2020-06-24
62,0.07819305665564158,0.14016551026009286,2020-06-25
63,0.0636858517747834,0.1228189824825568,2020-06-26
64,0.011618940101753218,0.059804371940757904,2020-06-29
65,0.10955640888903743,0.16997623114038246,2020-06-30
66,0.11792121748678182,0.1887583858445095,2020-07-01
67,0.059697793241430215,0.11616825382320105,2020-07-02
68,0.13332734202697305,0.18010047155239958,2020-07-06
69,0.4508152611457822,0.34029825435996175,2020-07-07
70,0.18170316433003086,0.20362842294466513,2020-07-08
71,0.23643580558156868,0.23399337496665143,2020-07-09
72,0.3594670624320925,0.31119864134216757,2020-07-10
73,0.030344010611837856,0.08781429841216087,2020-07-13
74,0.04520730572661174,0.1064063278010478,2020-07-14
75,0.12637079494136488,0.16604414659964375,2020-07-15
76,0.13472653894697825,0.1901725362438433,2020-07-16
77,0.2644408334827236,0.27389676911763783,2020-07-17
78,0.02159134753953553,0.06814461016491528,2020-07-20
79,0.4361799853538147,0.3225024071285654,2020-07-21
80,0.035220441639255605,0.0997495214007683,2020-07-22
81,0.15904242187268697,0.18142040438017523,2020-07-23
82,0.40385983731484887,0.29538997121678945,2020-07-24
83,0.06831223961806135,0.12229969529163005,2020-07-27
84,0.29342465755488367,0.2896019976134234,2020-07-28
85,0.33151346417655453,0.2602425409605316,2020-07-29
86,0.07256591265543451,0.11902031467556784,2020-07-30
87,0.38400067540527644,0.27752103952015217,2020-07-31
88,0.07185683855477695,0.12331782867621258,2020-08-03
89,0.02375219635532213,0.06086359536024912,2020-08-04
90,0.17839154881328548,0.20082475392610716,2020-08-05
91,0.04084056748321102,0.10822045121171277,2020-08-06
92,0.042068442198048235,0.11323487436809405,2020-08-07
93,0.052094192069181686,0.13849188276650376,2020-08-10
94,0.058356062020064325,0.1371205587185509,2020-08-11
95,0.3197041188097793,0.33154681579609485,2020-08-12
96,0.02327179165671925,0.06639037627487243,2020-08-13
97,0.03250788343406751,0.09257576182157033,2020-08-14
98,0.16139425086329806,0.22936318324598237,2020-08-17
99,0.023125186530637706,0.06918400672147419,2020-08-18
100,0.07877344295478254,0.13286411054770333,2020-08-19
101,0.044660041221991416,0.11461706448785167,2020-08-20
102,0.1388255387349877,0.2122345434068456,2020-08-21
103,0.033129709490274356,0.10209004161688834,2020-08-24
104,0.1413421433394758,0.22159830493277452,2020-08-25
105,0.0733999549150861,0.15625711522166771,2020-08-26
106,0.019797440915183463,0.06415959903179691,2020-08-27
107,0.1008484706290165,0.18058642599593633,2020-08-28
108,0.03786451483661097,0.09364370376724385,2020-08-31
109,0.1980881056055365,0.2542561032417444,2020-09-01
110,0.05065546382716061,0.09380709002329281,2020-09-02
111,0.019631029202146884,0.06363568640712612,2020-09-03
112,0.02405445338234056,0.08205591813735175,2020-09-04
113,0.028730084409438167,0.0842365552152926,2020-09-08
114,0.0219068175694736,0.08121334783373489,2020-09-09
115,0.1004345504467724,0.16719058165819692,2020-09-10
116,0.04359417026359796,0.09817197363229095,2020-09-11
117,0.0643526375080606,0.12274116849313102,2020-09-14
118,0.19061691596427496,0.23726849106421308,2020-09-15
119,0.02374375217594755,0.07157154477161747,2020-09-16
120,0.03507078660202202,0.10521229515167306,2020-09-17
121,0.048303644827690985,0.12241775010883689,2020-09-18
122,0.1263484217397609,0.1928667203112046,2020-09-21
123,0.06935083221003821,0.1252774658819983,2020-09-22
124,0.3756435173475994,0.3159104636249295,2020-09-23
125,0.033337973292662915,0.1033540309819375,2020-09-24
126,0.10354220140121122,0.1828590160938776,2020-09-25
127,0.07505080256772323,0.14138684331810844,2020-09-28
128,0.029338392572293176,0.08529588598924201,2020-09-29
129,0.02643289948465681,0.09201711819383913,2020-09-30
130,0.2624152689944514,0.3021356373058217,2020-10-01
131,0.2871543030614002,0.3114102400034753,2020-10-02
132,0.013874325521615242,0.06853093639265188,2020-10-05
133,0.044553222145457906,0.11965550842510643,2020-10-06
134,0.006981516168422328,0.048126224376496406,2020-10-07
135,0.3395824033055664,0.3537064212990364,2020-10-08
136,0.024760536850862255,0.08815524931029045,2020-10-09
137,1.2914712436302678,0.6403346912637755,2020-10-12
138,0.14481486979825178,0.21777854151813966,2020-10-13
139,0.35508049842390305,0.3456416109284346,2020-10-14
140,0.13425403826191368,0.20961633671698562,2020-10-15
141,0.044108410508662724,0.11498980598182308,2020-10-16
142,0.872371500826529,0.5431461587245293,2020-10-19
143,0.024202526157312623,0.07930459409163043,2020-10-20
144,0.024991961671238017,0.08175356145174582,2020-10-21
145,0.28570460839112405,0.2673137584170081,2020-10-22
146,0.06566192484215076,0.1181307625618342,2020-10-23
147,0.03914353888302731,0.1106643483456109,2020-10-26
148,0.013677038471353958,0.06340466468407964,2020-10-27
149,0.05489563352778343,0.13120108044378387,2020-10-28
150,0.015688579398727674,0.07093872820381837,2020-10-29
151,0.032568916532146795,0.09661254141949907,2020-10-30
152,0.05446690859539972,0.11432322273032339,2020-11-02
153,0.009485745789309667,0.055543336622335675,2020-11-03
154,0.19270015844172164,0.2421720636028662,2020-11-04
155,0.031034706976335473,0.08299334133234255,2020-11-05
156,0.1287191459445277,0.18519123149102407,2020-11-06
157,0.429243881818378,0.331897019114874,2020-11-09
158,0.15743870062722268,0.23812812479950557,2020-11-10
159,0.3860888342271451,0.33175651456483685,2020-11-11
160,0.3587093484241974,0.29887204679728097,2020-11-12
161,0.16136064623684143,0.19698536811058348,2020-11-13
162,0.20514972536576936,0.20693841479037695,2020-11-16
163,0.021469034969502948,0.07637086764219496,2020-11-17
164,0.16719969730335693,0.19364031933948778,2020-11-18
165,0.2066621548281301,0.20612938864261582,2020-11-19
166,0.02273568137676862,0.08286758877401576,2020-11-20
167,0.17139589911361827,0.19979954864080285,2020-11-23
168,0.025822443985587952,0.08269015791188247,2020-11-24
169,0.00973910187554302,0.0561330155637589,2020-11-25
170,0.31288065625016065,0.2975685280107952,2020-11-27
171,0.2468543414978445,0.23225437716050157,2020-11-30
172,0.40595742252176825,0.30217713682406727,2020-12-01
173,0.21543247666597928,0.2469037957120938,2020-12-02
174,0.03205883643308788,0.07996239791938241,2020-12-03
175,0.027363721834248435,0.07256488666747431,2020-12-04
176,0.03541390913430279,0.11062390612743743,2020-12-07
177,0.1706626933138675,0.24405005598409718,2020-12-08
178,0.009165512931624995,0.05340216763374605,2020-12-09
179,0.183545233428761,0.2403906152985486,2020-12-10
180,0.02329999445859555,0.06092472968784869,2020-12-11
181,0.05627107183252608,0.12562860040814405,2020-12-14
182,0.06786771341080558,0.1423829841648976,2020-12-15
183,0.025532567496146262,0.07832210418433846,2020-12-16
184,0.2707443269850434,0.301315525273416,2020-12-17
185,0.09340532058956046,0.1702354333481109,2020-12-18
186,0.27049648983461,0.23627411641709792,2020-12-21
187,0.025232690289324913,0.08724841217186623,2020-12-22
188,0.0317303551227873,0.09884268238014922,2020-12-23
189,0.14542649907260197,0.19326375330399606,2020-12-24
190,0.05968179835589236,0.1390478271974444,2020-12-28
191,0.11827775193322773,0.1979470117945396,2020-12-29
192,0.2182978103769749,0.2770470301655232,2020-12-30
193,0.04371149309994433,0.11652124981631905,2020-12-31
194,0.14741381513249047,0.22228261078151787,2021-01-04
195,0.21220660035604227,0.2644997924794663,2021-01-05
196,0.024161710240128465,0.0783282328696674,2021-01-06
197,0.01229830186033462,0.0618729056116771,2021-01-07
198,0.07012457185742721,0.14051341170383508,2021-01-08
199,0.042721771527243095,0.09448019435833557,2021-01-11
200,0.01933992490864043,0.06025377020023593,2021-01-12
201,0.4348176088638522,0.3371435396422038,2021-01-13
202,0.3127678425409587,0.2546273379323013,2021-01-14
203,0.11392168265875618,0.18025180659038276,2021-01-15
204,0.017448664585003992,0.05701360033846588,2021-01-19
205,0.07093202343628216,0.12602505258528365,2021-01-20
206,0.044773439543018455,0.10982002929711132,2021-01-21
207,0.08191724037235075,0.13555673178835775,2021-01-22
208,0.010862463021781506,0.05576873120293291,2021-01-25
209,0.014203530914012486,0.057949100569630964,2021-01-26
210,0.05858715576969231,0.12504118099648745,2021-01-27
211,0.017435684762348788,0.07579309061946574,2021-01-28
212,0.030068367151384508,0.09821152182157812,2021-01-29
213,0.05184398823023204,0.10978089025259301,2021-02-01
214,0.025993026695835232,0.07710032089989081,2021-02-02
215,0.06116291654583142,0.12081854553208926,2021-02-03
216,0.042489330042281725,0.09958846107880037,2021-02-04
217,0.010103424690501637,0.05597121239069681,2021-02-05
218,0.08448945716713517,0.13659271615049184,2021-02-08
219,0.019270269704019186,0.07712542299876858,2021-02-09
220,0.039078979987459815,0.07946927467600029,2021-02-10
221,0.027745269401578353,0.09038230037046122,2021-02-11
222,0.03968536817163572,0.0976985449144079,2021-02-12
223,0.15123517215694604,0.17488783480326123,2021-02-16
224,0.04454051539720954,0.09394134154850939,2021-02-17
225,0.022249179029694043,0.07796591980442262,2021-02-18
226,0.08340576219633379,0.13440661992975836,2021-02-19
227,0.032322307120695566,0.09427836183819042,2021-02-22
228,0.03446466558161675,0.09118903706423648,2021-02-23
229,0.03115500290691399,0.07991155621205326,2021-02-24
230,0.08216370769266512,0.16257961223877104,2021-02-25
231,0.23155749778251766,0.25808911305310195,2021-02-26
232,0.12631686800454817,0.17245801930182936,2021-03-01
233,0.02867884163273617,0.08439858581933142,2021-03-02
234,0.09528379366805356,0.13712454491011636,2021-03-03
235,0.031634822021634985,0.08059367232618452,2021-03-04
236,0.6129314927434525,0.36627384012295716,2021-03-05
237,0.16849174872626504,0.20800604327429512,2021-03-08
238,0.10109753176348751,0.15098318354424067,2021-03-09
239,0.295434716856497,0.25080780741760156,2021-03-10
240,0.03374506914572821,0.07656345523140168,2021-03-11
241,0.12083744065731969,0.1553338067472568,2021-03-12
242,0.10873956836038678,0.14368359258058852,2021-03-15
243,0.031037736511773006,0.07474479356149685,2021-03-16
244,0.1371814330627165,0.16987007623029324,2021-03-17
245,0.02245164437887875,0.06938289329414753,2021-03-18
246,0.057039795129866636,0.11108655450676291,2021-03-19
247,0.029245461127825882,0.075634160011561,2021-03-22
248,0.032889103059348716,0.08395628784618707,2021-03-23
249,0.026542505045004543,0.0863601186383675,2021-03-24
250,0.01605157863162185,0.060452019582827025,2021-03-25
251,0.01943258589894058,0.07517362417646309,2021-03-26
252,0.0305714522188988,0.09504532899314455,2021-03-29
253,0.43789441872604634,0.32215301536006125,2021-03-30
254,0.02675276256129731,0.08216433666508009,2021-03-31
255,0.19018034564874392,0.2163819404202944,2021-04-01
256,0.0581303634805549,0.09679374002688591,2021-04-05
257,0.22496280384813688,0.21773101047495882,2021-04-06
258,0.05207022007657536,0.09532551791999842,2021-04-07
259,0.031908400974732284,0.08211836980025446,2021-04-08
260,0.033453922445247385,0.07401690813832701,2021-04-09
261,0.021755204058924137,0.06618053068748779,2021-04-12
262,0.018164578610576545,0.06003170851509077,2021-04-13
263,0.06434304797701607,0.13942715428737829,2021-04-14
264,0.13406665578314755,0.20993085710647616,2021-04-15
265,0.056295183168838143,0.13226555213987745,2021-04-16
266,0.03786592668365608,0.10328881521539111,2021-04-19
267,0.04586326298126013,0.09305481838724573,2021-04-20
268,0.09316308058660946,0.14134580513297493,2021-04-21
269,0.05863708388933763,0.10440815487102723,2021-04-22
270,0.21841821946107262,0.21826992312030152,2021-04-23
271,0.09956759149101668,0.14232414027896226,2021-04-26
272,0.2927465195164866,0.26855859059958936,2021-04-27
273,0.08294382231328601,0.1142936344546179,2021-04-28
274,0.09384077904891183,0.13030926618168076,2021-04-29
275,0.22870804708253334,0.24010237093385797,2021-04-30
276,0.02830373516699782,0.07392585443907854,2021-05-03
277,0.024125457980084242,0.06552714497541447,2021-05-04
278,0.019905876939799286,0.06079141037125,2021-05-05
279,0.046250274535176064,0.08537821984586523,2021-05-06
280,0.025189937978423057,0.06369967653008117,2021-05-07
281,0.07804609383501523,0.1261625547302911,2021-05-10
282,0.09085952891655276,0.12313504359557156,2021-05-11
283,0.16573574473354383,0.17726777277492162,2021-05-12
284,0.32292126827241213,0.26654240620936115,2021-05-13
285,0.0418232694485046,0.0900487187766004,2021-05-14
286,0.03262859299260932,0.07281739434056311,2021-05-17
287,0.034597170527516506,0.10113698262100418,2021-05-18
288,0.03388122284270927,0.10108011775696472,2021-05-19
289,0.2016982483443645,0.2616041348096888,2021-05-20
290,0.33580395082607933,0.33799864935781404,2021-05-21
291,0.175713515487844,0.24322994800614212,2021-05-24
292,0.016512798461870547,0.05540247959377529,2021-05-25
293,0.10187218492046339,0.1816338621554929,2021-05-26
294,0.07606001814125964,0.14688397165484016,2021-05-27
295,0.016789418847796923,0.05533472068432611,2021-05-28
296,0.021951722970617992,0.06605216551253848,2021-06-01
