timestep,ck_kl,ck_tv,date
0,0.03172787086238975,0.08928786457792738,2020-03-27
1,0.0514556719287717,0.12812811468129143,2020-03-30
2,0.1884897603994558,0.24169882092769382,2020-03-31
3,0.3480030340710926,0.31616716265917766,2020-04-01
4,0.05416852249903092,0.12514632050311245,2020-04-02
5,0.08493243845876887,0.14701214984673128,2020-04-03
6,0.12836253213263252,0.18680408368727144,2020-04-06
7,0.2580046526615883,0.26425713802807776,2020-04-07
8,0.18439131955938948,0.2217157492476351,2020-04-08
9,0.1272697232207674,0.17951490418398003,2020-04-09
10,0.08209932803797063,0.14632706260641556,2020-04-13
11,0.03448391775255276,0.09285796223349309,2020-04-14
12,0.0941330387061614,0.16802098541164834,2020-04-15
13,0.02843601223276046,0.09073207231657432,2020-04-16
14,0.28981427654736047,0.288511767574157,2020-04-17
15,0.01422065903044123,0.06632995901696427,2020-04-20
16,0.056110267710513445,0.12866653802710384,2020-04-21
17,0.014706472360829564,0.06695500445641549,2020-04-22
18,0.06221395574383554,0.12201344938547555,2020-04-23
19,0.1745923190420019,0.23540785486714738,2020-04-24
20,0.016847503117662397,0.07328714850928826,2020-04-27
21,0.015595722603407627,0.06720977854429723,2020-04-28
22,0.30891404159323904,0.3322664009454544,2020-04-29
23,0.14306959958662735,0.21074151172132452,2020-04-30
24,0.0959136429445704,0.16080427806725808,2020-05-01
25,0.060710338022874316,0.13664599270296018,2020-05-04
26,0.07903644175558512,0.1545136776187511,2020-05-05
27,0.01900718497353959,0.0679407979956101,2020-05-06
28,0.17776063651469817,0.2423249703296983,2020-05-07
29,0.01933250000126235,0.06828074958913638,2020-05-08
30,0.0947093563760306,0.17269315818659497,2020-05-11
31,0.03192468943876555,0.09706359204469624,2020-05-12
32,0.05004361420344803,0.1254600535704382,2020-05-13
33,0.11613414361487767,0.1953301685003387,2020-05-14
34,0.11160779380820164,0.18806701271777534,2020-05-15
35,0.0781721050302062,0.1594607729152763,2020-05-18
36,0.02893832234832756,0.08479221033070393,2020-05-19
37,0.098644575367093,0.18431946642138616,2020-05-20
38,0.10203182324054796,0.17916811954006767,2020-05-21
39,0.03345747415154348,0.0760781515874875,2020-05-22
40,0.18343093082171885,0.20554787137712643,2020-05-26
41,0.04528545959668163,0.10074545408157125,2020-05-27
42,0.046074479578642975,0.10254130931833186,2020-05-28
43,0.030834261182830468,0.09984423004120276,2020-05-29
44,0.23081125789046258,0.2794179317409052,2020-06-01
45,0.03764671226865751,0.09997390332233833,2020-06-02
46,0.09984597784149418,0.16086272973334606,2020-06-03
47,0.0370448248190512,0.10573506601387983,2020-06-04
48,0.019142129699492094,0.07547843924885089,2020-06-05
49,0.03726102040861671,0.10291994579376577,2020-06-08
50,0.030386365220105366,0.08521265355743156,2020-06-09
51,0.1504439791583459,0.198502918617123,2020-06-10
52,0.06663142527611582,0.13217606462551967,2020-06-11
53,0.03231232412988296,0.09573508022629447,2020-06-12
54,0.010460836165960812,0.057736369624624556,2020-06-15
55,0.0436808759994816,0.08580132821535505,2020-06-16
56,0.2995462682300934,0.283186629880993,2020-06-17
57,0.14593204440577148,0.2133422010497162,2020-06-18
58,0.08876296629140218,0.135591482049411,2020-06-19
59,0.03989933222205853,0.09492139358372455,2020-06-22
60,0.037935152085255996,0.0768919266654902,2020-06-23
61,0.38594136699511894,0.3184609111270024,2020-06-24
62,0.15976042754885467,0.20568546872059856,2020-06-25
63,0.13033227200849182,0.16928418991043626,2020-06-26
64,0.09772255024265047,0.16041176069323618,2020-06-29
65,0.09256752068926337,0.13351588821002633,2020-06-30
66,0.08808010167769868,0.12936427381091054,2020-07-01
67,0.033278691125349605,0.07764657232888798,2020-07-02
68,0.10942537348342007,0.1622821216135003,2020-07-06
69,0.05571798750882299,0.09583054692172874,2020-07-07
70,0.03571367988838369,0.07501730069267519,2020-07-08
71,0.03976034055039388,0.08047414755379365,2020-07-09
72,0.19232405582284315,0.2141931057125621,2020-07-10
73,0.2896606575981075,0.2917448839939178,2020-07-13
74,0.18970660389651858,0.22391284853866253,2020-07-14
75,0.03126241449271928,0.08188386339959731,2020-07-15
76,0.03453765126305527,0.07577001497181039,2020-07-16
77,0.29513392751916206,0.2713657785537348,2020-07-17
78,0.05134313520124953,0.08836353037033617,2020-07-20
79,0.041458468533725965,0.102354522537207,2020-07-21
80,0.08658835579069885,0.16504442007213782,2020-07-22
81,0.03029715601623536,0.07311208923451133,2020-07-23
82,0.09120704268499409,0.12542717323308478,2020-07-24
83,0.02915462205234799,0.07526104251393553,2020-07-27
84,0.3490277635868638,0.30679895881751706,2020-07-28
85,0.0435905563845755,0.09073459343255776,2020-07-29
86,0.035761672080645596,0.09060145683626236,2020-07-30
87,0.0459279011601851,0.08512643908537129,2020-07-31
88,0.031048675849165656,0.0729000630931493,2020-08-03
89,0.02802254128727321,0.0709341362665122,2020-08-04
90,0.04538111178095751,0.09540587267431111,2020-08-05
91,0.03448690223891478,0.08894777573965092,2020-08-06
92,0.03940235731849683,0.08001759540985663,2020-08-07
93,0.05295881564635888,0.09876328018891364,2020-08-10
94,0.030172006379782585,0.08664192578546163,2020-08-11
95,0.10919640834903085,0.18872727491128571,2020-08-12
96,0.03609992078972283,0.0780100433835566,2020-08-13
97,0.036848242127659546,0.07933176068732437,2020-08-14
98,0.04025637871016565,0.09717962398435302,2020-08-17
99,0.03482246459044273,0.09084552622279614,2020-08-18
100,0.03719520420604421,0.10181075631164956,2020-08-19
101,0.03438940123856669,0.07736926891011352,2020-08-20
102,0.04941372983512292,0.11688737530631055,2020-08-21
103,0.10681266635617724,0.18438226143108638,2020-08-24
104,0.10874332555603902,0.18901228974516143,2020-08-25
105,0.051082753935291214,0.11937329492425439,2020-08-26
106,0.036780971117281416,0.07455292332540774,2020-08-27
107,0.040517660509637406,0.0966491781729787,2020-08-28
108,0.05845363951144329,0.10328377215664683,2020-08-31
109,0.03213465922215741,0.08085666607927099,2020-09-01
110,0.05653924366197487,0.09407970935637049,2020-09-02
111,0.06600723784101961,0.107038056814805,2020-09-03
112,0.035363525016292585,0.0755656126974095,2020-09-04
113,0.08090404110234344,0.12163587230014482,2020-09-08
114,0.0423218189330767,0.08328958520944248,2020-09-09
115,0.05737705547807906,0.09526148640952103,2020-09-10
116,0.050180350251195854,0.09678971320416675,2020-09-11
