timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.024156754836440086,3.7345688,0.13225086,2020-04-22
1,0.02461884170770645,3.7445717,0.1341159,2020-04-23
2,0.028877923265099525,3.8232877,0.15392688,2020-04-24
3,0.03230937570333481,3.8693428,0.16909784,2020-04-27
4,0.03181877359747887,3.8638775,0.1670651,2020-04-28
5,0.035590559244155884,3.8955097,0.18483342,2020-04-29
6,0.030994592234492302,3.8478549,0.16262816,2020-04-30
7,0.026907382532954216,3.7757752,0.14417188,2020-05-01
8,0.027914876118302345,3.7923553,0.1498679,2020-05-04
9,0.03066672943532467,3.8283832,0.16566704,2020-05-05
10,0.02976623736321926,3.8178852,0.16060525,2020-05-06
11,0.033407725393772125,3.8602662,0.18028238,2020-05-07
12,0.04017069190740585,3.9141595,0.21658371,2020-05-08
13,0.040634628385305405,3.917637,0.21926336,2020-05-11
14,0.030649952590465546,3.8254194,0.16579351,2020-05-12
15,0.02801523171365261,3.7842462,0.15061349,2020-05-13
16,0.03123692236840725,3.8300257,0.16909413,2020-05-14
17,0.0322871133685112,3.8407087,0.17469452,2020-05-15
18,0.03713340684771538,3.886608,0.19975254,2020-05-18
19,0.03546687215566635,3.8728244,0.19060671,2020-05-19
20,0.04180501401424408,3.9198155,0.224697,2020-05-20
21,0.03883487358689308,3.8995774,0.2079247,2020-05-21
22,0.04215811938047409,3.9223685,0.22642441,2020-05-22
23,0.04301191866397858,3.9274263,0.23076592,2020-05-26
24,0.04440387710928917,3.9369519,0.23812208,2020-05-27
25,0.04198935255408287,3.9224887,0.22510977,2020-05-28
26,0.045118220150470734,3.9394386,0.241618,2020-05-29
27,0.04293867573142052,3.9269516,0.23014936,2020-06-01
28,0.04683999344706535,3.948124,0.25053406,2020-06-02
29,0.05054933577775955,3.9670837,0.26923814,2020-06-03
30,0.05041642487049103,3.9671576,0.26831293,2020-06-04
31,0.054791469126939774,3.9845824,0.28976366,2020-06-05
32,0.0524224117398262,3.97679,0.2774546,2020-06-08
33,0.0482160821557045,3.957575,0.2560307,2020-06-09
34,0.04755953326821327,3.9528217,0.25299054,2020-06-10
35,0.02580968849360943,3.731179,0.13617599,2020-06-11
36,0.029932234436273575,3.8115227,0.15991087,2020-06-12
37,0.03199600428342819,3.8374538,0.17134324,2020-06-15
38,0.033409323543310165,3.8530369,0.17836806,2020-06-16
39,0.03388974070549011,3.858821,0.18079442,2020-06-17
40,0.03495505079627037,3.867967,0.1862692,2020-06-18
41,0.031457241624593735,3.8284595,0.16817583,2020-06-19
42,0.03730887547135353,3.8866377,0.19845471,2020-06-22
43,0.03803785517811775,3.8926556,0.20228353,2020-06-23
44,0.033194977790117264,3.8504755,0.17738773,2020-06-24
45,0.035790976136922836,3.8747218,0.19069694,2020-06-25
46,0.03169194981455803,3.8313053,0.16972516,2020-06-26
47,0.03651077672839165,3.879335,0.19458963,2020-06-29
48,0.03954289108514786,3.9034426,0.21065757,2020-06-30
49,0.0445312075316906,3.9353218,0.23739897,2020-07-01
50,0.047249797731637955,3.9498518,0.25146422,2020-07-02
51,0.04705343395471573,3.9493308,0.25022694,2020-07-06
52,0.04347292706370354,3.929057,0.2314597,2020-07-07
53,0.04750584438443184,3.9517126,0.25231522,2020-07-08
54,0.044984545558691025,3.9388604,0.2391146,2020-07-09
55,0.049997735768556595,3.9640405,0.2650727,2020-07-10
56,0.037710148841142654,3.8911233,0.20012654,2020-07-13
57,0.044517114758491516,3.936296,0.23649058,2020-07-14
58,0.049155253916978836,3.9598484,0.26059067,2020-07-15
59,0.04881077632308006,3.9584298,0.25878054,2020-07-16
60,0.05456090718507767,3.9829726,0.28798422,2020-07-17
61,0.057233668863773346,3.9901016,0.30144957,2020-07-20
62,0.056842394173145294,3.9891531,0.29918215,2020-07-21
63,0.05791467800736427,3.991163,0.3047102,2020-07-22
64,0.05490471422672272,3.9839578,0.28932673,2020-07-23
65,0.05537590757012367,3.9854913,0.2916739,2020-07-24
66,0.05751582235097885,3.9908433,0.30243865,2020-07-27
67,0.056217048317193985,3.9880564,0.29589275,2020-07-28
68,0.0581582635641098,3.9915583,0.306069,2020-07-29
69,0.05714792013168335,3.9903295,0.30088928,2020-07-30
70,0.0576525442302227,3.9911163,0.30352783,2020-07-31
71,0.05776528641581535,3.9910734,0.3041434,2020-08-03
72,0.05874045938253403,3.9917247,0.30911112,2020-08-04
73,0.059649284929037094,3.9903955,0.3135936,2020-08-05
74,0.05989387258887291,3.9885697,0.31509396,2020-08-06
75,0.06000306457281113,3.9859054,0.31598407,2020-08-07
76,0.0600898452103138,3.9851153,0.31637055,2020-08-10
77,0.058352913707494736,3.9917212,0.30692482,2020-08-11
78,0.05993462726473808,3.9860923,0.3152468,2020-08-12
79,0.05988653749227524,3.9864497,0.31511718,2020-08-13
80,0.05983604118227959,3.9866102,0.31490853,2020-08-14
81,0.060137003660202026,3.9826202,0.3169338,2020-08-17
82,0.06016411632299423,3.9837515,0.31693736,2020-08-18
83,0.05967075750231743,3.9900005,0.31379798,2020-08-19
84,0.0595475509762764,3.9905548,0.3131106,2020-08-20
85,0.05978129431605339,3.9896884,0.31453392,2020-08-21
86,0.05984966829419136,3.988784,0.31491482,2020-08-24
87,0.060027871280908585,3.9870787,0.31583565,2020-08-25
88,0.05898949131369591,3.991643,0.31019506,2020-08-26
89,0.056709401309490204,3.9887612,0.29861486,2020-08-27
90,0.05891994386911392,3.9916131,0.3099527,2020-08-28
91,0.05290361866354942,3.9766586,0.27904212,2020-08-31
92,0.05366797745227814,3.979235,0.28305036,2020-09-01
93,0.05301330238580704,3.9766834,0.27954707,2020-09-02
94,0.035831861197948456,3.875999,0.18964386,2020-09-03
95,0.04161284118890762,3.9205859,0.22080949,2020-09-04
96,0.040043506771326065,3.9121447,0.21244659,2020-09-08
97,0.0464317612349987,3.9493015,0.2463568,2020-09-09
98,0.04414725303649902,3.936998,0.23451886,2020-09-10
99,0.05141965672373772,3.9729328,0.2720725,2020-09-11
100,0.054098330438137054,3.9833148,0.2857356,2020-09-14
101,0.05452050641179085,3.984133,0.2879064,2020-09-15
102,0.053715359419584274,3.9806585,0.2835297,2020-09-16
103,0.05297951400279999,3.9777336,0.2795191,2020-09-17
104,0.05431520566344261,3.9824817,0.28647727,2020-09-18
105,0.0495748445391655,3.9639769,0.26249215,2020-09-21
106,0.05186501890420914,3.9738996,0.273988,2020-09-22
107,0.047262042760849,3.9521801,0.25060278,2020-09-23
108,0.04721365123987198,3.9515364,0.25045505,2020-09-24
109,0.05215585231781006,3.9741619,0.27583298,2020-09-25
110,0.05243096500635147,3.9748285,0.27729172,2020-09-28
111,0.05235125496983528,3.9755762,0.27685925,2020-09-29
112,0.05201641097664833,3.9737086,0.27515203,2020-09-30
113,0.05118478462100029,3.9708686,0.2711357,2020-10-01
114,0.04857785999774933,3.9601743,0.25795394,2020-10-02
115,0.04789099469780922,3.9563677,0.25403345,2020-10-05
116,0.04451558366417885,3.937692,0.23617826,2020-10-06
117,0.04826008528470993,3.9582667,0.25563416,2020-10-07
118,0.05266645550727844,3.977076,0.27787942,2020-10-08
119,0.055723290890455246,3.98756,0.2936136,2020-10-09
120,0.055504634976387024,3.987409,0.2926156,2020-10-12
121,0.05377646163105965,3.98131,0.28371176,2020-10-13
122,0.053150370717048645,3.9787686,0.28032336,2020-10-14
123,0.05165094882249832,3.9728544,0.27269226,2020-10-15
124,0.05062787979841232,3.968819,0.2674839,2020-10-16
125,0.046449966728687286,3.948936,0.24580425,2020-10-19
126,0.04554130136966705,3.9439166,0.24105361,2020-10-20
127,0.047411926090717316,3.954938,0.25085258,2020-10-21
128,0.04902160167694092,3.9627612,0.25898758,2020-10-22
129,0.05060750991106033,3.9700325,0.26712623,2020-10-23
