timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.033515676856040955,3.7670605,0.20537552,2020-04-22
1,0.027155758813023567,3.8574333,0.15644728,2020-04-23
2,0.039345499128103256,3.8735838,0.21451622,2020-04-24
3,0.05494033917784691,3.955567,0.26249754,2020-04-27
4,0.08807313442230225,3.9473498,0.39534718,2020-04-28
5,0.10580237954854965,3.9712815,0.46497944,2020-04-29
6,0.12015905976295471,3.9234617,0.5279941,2020-04-30
7,0.08989091217517853,3.9475198,0.4030308,2020-05-01
8,0.051198359578847885,3.9496686,0.3003558,2020-05-04
9,0.08759338408708572,3.9713264,0.40597424,2020-05-05
10,0.05590951442718506,3.963838,0.31087437,2020-05-06
11,0.10169743746519089,3.9661627,0.47299737,2020-05-07
12,0.06987196207046509,3.9714663,0.33627135,2020-05-08
13,0.04883335158228874,3.942182,0.2536847,2020-05-11
14,0.0877261683344841,3.9447238,0.4178872,2020-05-12
15,0.05207938700914383,3.8564816,0.30848113,2020-05-13
16,0.051359862089157104,3.8445125,0.2887168,2020-05-14
17,0.06471608579158783,3.9682047,0.31749514,2020-05-15
18,0.0433797650039196,3.883532,0.22984637,2020-05-18
19,0.0803636685013771,3.9721522,0.37299582,2020-05-19
20,0.055932220071554184,3.8431277,0.27495217,2020-05-20
21,0.0722893700003624,3.9787292,0.3424527,2020-05-21
22,0.12117499858140945,3.9601343,0.5034521,2020-05-22
23,0.053022343665361404,3.9251149,0.3005156,2020-05-26
24,0.04434549808502197,3.9147582,0.21985534,2020-05-27
25,0.04277539253234863,3.8149838,0.21243691,2020-05-28
26,0.07885714620351791,3.9419415,0.3704644,2020-05-29
27,0.0949481725692749,3.9711337,0.44989005,2020-06-01
28,0.04481423273682594,3.925366,0.25209767,2020-06-02
29,0.0705828070640564,3.9629278,0.36215132,2020-06-03
30,0.09148549288511276,3.9790184,0.39990488,2020-06-04
31,0.06950753182172775,3.8961103,0.3079484,2020-06-05
32,0.09306269884109497,3.9788969,0.41622847,2020-06-08
33,0.10841228067874908,3.9752128,0.46920243,2020-06-09
34,0.0671074241399765,3.9327185,0.34337166,2020-06-10
35,0.05328384041786194,3.8647947,0.29473835,2020-06-11
36,0.03310757875442505,3.6253982,0.1656143,2020-06-12
37,0.03357633203268051,3.8165865,0.17748933,2020-06-15
38,0.12094958126544952,3.9643383,0.5052528,2020-06-16
39,0.07464398443698883,3.972527,0.32927483,2020-06-17
40,0.022077733650803566,3.7552657,0.12800765,2020-06-18
41,0.05200666934251785,3.9406497,0.3026827,2020-06-19
42,0.11055345088243484,3.9318845,0.4889316,2020-06-22
43,0.10772727429866791,3.937843,0.47219545,2020-06-23
