model,h,seed,nll_train,nll_val,nll_test,delta_marginal
ho_k1,1,42,,3.842114210128784,3.953121900558472,-0.0542112846739994
ho_k1,1,7,,3.839404344558716,3.9513673782348633,-0.0559658069976078
ho_k1,1,123,,3.842172145843506,3.950737237930298,-0.0565959473021733
ho_k2,1,42,,3.848574638366699,3.956051826477051,-0.0512813587554203
ho_k2,1,7,,3.8473188877105713,3.959262609481812,-0.0480705757506596
ho_k2,1,123,,3.846546411514282,3.956894397735596,-0.0504387874968754
ho_k3,1,42,,3.843835830688477,3.955602645874024,-0.0517305393584477
ho_k3,1,7,,3.844617605209351,3.9620065689086914,-0.0453266163237797
ho_k3,1,123,,3.843989372253418,3.9523425102233887,-0.0549906750090825
ho_k5,1,42,,3.8548550605773926,3.969884872436523,-0.0374483127959477
ho_k5,1,7,,3.849000453948975,3.962584972381592,-0.0447482128508793
ho_k5,1,123,,3.8522844314575195,3.970425605773926,-0.03690757945854539
